mastodon	twitter
@anaivas@mastodon.ie	@anaivas
@anibalarregui@mastodon.world	@agarregui
@annetpauwelussen@akademienl.social	@Annet81
@anthrobirder@mstdn.social	@Anthrobirder
@anthroetc@fediscience.org	@anthroetc
@anthropam@climatejustice.social	@anthropam
@anthropomonde@mastodon.social	@anthropomonde
@anthrotech_ana@mastodon.ie	@anthrotech_ana
@AssaDoron@aus.social	@AssaDoron
@atama001@hcommons.social	@atama001
@bairdcampbell@union.place	@BairdCampbell
@BCernusa@mastodon.social	@BCernusa
@benjaminefrati@hcommons.social	@benjaminefrati
@bjkingape@mastodon.online 	@bjkingape 
@Carwil@mastodon.online	@CarwilBJ
@CatherineMunro@writing.exchange	@catherinemmunro
@cazaschuster@mastodon.lol	@CarlySchuster
@claudiamerli@mastodon.social	@Claudia_Merli1
@cmenzies@scholar.social	@charlesmenzies
@csammells@mstdn.social	@csammells
@d0g3n@nerdculture.de	@d0g3n
@davidrypel@sciences.social	@rypeld
@dennyrp@universeodon.com	@dennybuoy
@dreimear@mastodon.ie	@eimeartf
@drlaurian@mastodon.social	@drlaurian
@eisenberg_andy@mstdn.social	@eisenberg_andy
@elingchin/mastodon.lol	@labspeceth
@emmakowal@aus.social	@profemmakowal
@enganhifa@mstdn.social	@enganhifa 
@ErinMConsiglio@spore.social	@ErinMConsiglio
@fabiomattioli@mastodon.social	@FMPINDARICO
@FionaCoward@fediscience.org	@BU_ArchAnth
@flgnk@social.coop	@flgnk
@fran@archaeo.social	@frnnr
@gkountourides@fediscience.org	@gkountourides
@Gudrunwillett@fediscience.org	@gudrunwillett
@hanelizqui@mastodon.lol	@hanelizqui
@hannahcknox@mastodon.socil	@hannahcknox
@hoda@mastodon.social	@hodanthro
@hw@fediscience.org	@hwileniu
@HyL@mstdn.ca	@H_Y_L
@HyL@urbanists.social	@H_Y_L
@ilsepit@fediscience.org	@ilsepit
@independentpen@mas.to	@independentpen
@inwildlight@mastadon.social	@inwildlight
@ionheras@masto.ai	@iongueras
@Izband@mastodon.world	@UshaymTariq
@Janinedahinden@mstdn.social	@janineDahinden
@jeremyfcohen@sciences.social	@jeremyfcohen
@jjablair@mstdn.social	@jjablair
@jmgib2@aus.social	@JasonMGib
@jontheanthroman@mastodon.world	@jontheanthroman
@js_rubin@newsie.social	@js_rubin
@justcodeculture@mastodon.com	@justcodeculture
@kagillogly@masto.nu	@kagillogly
@kathrineitel@mastodon.world	@kathrineitel
@kerim@zirk.us	@kerim
@kompostmoderne@sciences.social	@kompostmoderne
@kopyor@mastodon.social	@kopyor
@LauraMcLauchlan@aus.social	@ShadowEcologies
@LauraSikstrom@mastodon.social	@laurasikstrom
@lizrodwell@mastodon.online	@lizrodwell
@lmesseri@mastodon.social	@lmesseri
@Manigarm@mastodon.social	@Manigarm
@marcyrockman@climatejustice.social	@marcyrockman
@margotweiss@mastodon.lol	@MargotDWeiss
@mariasidorkina@zirk.us	@SidorkinaMaria
@martinlangcz@mstdn.social	@martinlangcz
@mysteriousdrbex@mastodon.social	@mysteriousdrbex
@NachoFradejas@fediscience.org	@NachoFradejas
@NatNesvaderani@c.im	@NNesvaderani
@NatNesvaderani@c.im	@sohanci
@nilanjana@mas.to	@_nilanjana_
@og_ko@sciences.social	@KojanicOgnjen
@olatzgabrisk@mastodon.social	@OlatzGAbrisketa
@otsuki3c@mastodon.social	@otsuki3c
@Paolamin@mastodon.uno	@PaolaMinoia3
@pierskelly@aus.social	@perezkelly
@pierskelly@aus.social	@ragnhildfd
@radicalanthro@c.im	@radicalanthro
@rkadelhi@mastadon.world	@rkadelhi
@rossross@mastodon.lol	@pluralperfect
@s3nnacherib@climatejustice.social	@s3nnacherib
@sarahczerny@mastodon.world 	@sarahczerny
@saralmdavis@ohai.social	@saralmdavis
@schrisomalis@mastodon.online	@schrisomalis
@scotthaddow@archaeo.social	@sdhaddow
@slg@mastodon.social	@SusanaLGallardo
@SongsForHorses@mastodon.social	@songsforhorses
@spfeifer@mstdn.social	@pfeifer_simone
@suomenantropologi@fediscience.org	@anthrofi
@thaoeatworld@mastodon.social	@Thaoeatworld
@ThHazod@mastodon.social	@HazodTh
@tibetcurator@zirk.us	@tibetcurator
@timelfen@assembleg.es 	@timelfen
@ValueQuestion@mastodon.scot	@dme_project
@qiao_j@mastodon.online	@Qiao_J
@sfern@mastodon.social	@sfern
@sudasana@mastodon.social	@sudasana
@AniketAlam@scholar.social	@aniketalam
@franciscao@mastodon.social	@thefranciscao
@WellingtonChineseHistory@cloudisland.nz	@WgtnChineseHist
@chuckwooldridge@mastodon.online	@WooldridgeChuck
@cameroncampbell@mstdn.social	@campbell_kang
@RBrightHistory@mastodon.social	@RBrightHistory
@jagevans@c.im	@jagevans
@cbarker@writing.exchange	@CaitlinBarker10
@juliesullivan@mastodon.social	@Webwight
@nheller@zirk.us	@nheller
@bookwitz@mstdn.social	@bookwitz
@ioantrifu@mstdn.jp	@ioantrifu
@dambaras@mastodon.social	@dambaras
@SayakaChatani@scholar.social	@SayakaChatani
@Achim@social.anoxinon.de	@AKluppelberg
@ethanmark@mastodon.online	@ethanmarkleiden
@bojacobs@mastodon.social	@bojacobs, @nuclearbodies, @globalhibakusha
@nathanledbetter@mstdn.social	@NH_Ledbetter
@roellinghoff@mstdn.jp	@m_roellinghoff
@japan_prof_john@mstdn.jp	@Japan_prof_john
@kalramnath@mastodon.social	@kalramnath
@hildedeweerdt@mastodon.social	@hild_de
@chris_levesque@mastodon.online	@chris_levesque_
@robinshistory@mstdn.social	@robinshistory
@agasramirez@mastodon.social	@agasramirez
@nludovice@mstdn.social	@ludothexplorer
@nhungtuyettran@mastodon.social	@nhungtuyettran
@rinald@scholar.social	@rinald
@sepoy@mastodon.social	@sepoy
@DisabilityStor1@mastodon.social	@DisabilityStor1
@divya_cherian@writing.exchange	@dillivali
@katherineschof8@mastodon.social	@katherineschof8
@sandipto@mstdn.social	@sandiptodg
@tanujakothiyal@mastodon.social	@tanuja.kothiyal
@Finitarian@mastodon.green	@fredrikalbritt1
@anhsyhuyle@mas.to	@anhsyhuyle
@cktai@scholar.social	@chaokangtai
@JasonPetrulis@mastodon.online	@JasonPetrulis
@DLeeTalbot@ausglam.space	@colourful_hist
@OrelBeilinson@bildung.social	@BeilinsonOrel
@janehong@mastodon.social	@janehongphd
@konrad@social.coop	@kmlawson
@kprkr@sciences.social	@kprkr
@dancarkner@mstdn.ca	@dan_carkner
@miket_32@mastodon.social	@miket_32
@carwyn@fediscience.org	@carwyn
@HuShuo@mastodon.social	@HuShuo
@tinebeest@mstdn.social	@tinebeest
@charleslaughlin@zirk.us	@charleslaughlin
@restocruz@sciences.social	@RCruzAnth
@tibetcurator@zirk.us	@tibetcurator
@kerim@mastodon.xyz	@kerim
@ndloubere@toot.community	@ndloubere
@tiennusmarcus@piaille.fr	@tiennusmarcus
@brian_hioe@mastodon.online	@brianhioe
@arinbasu@qoto.org	@arinbasu
@inchg@mastodon.social	@ChongJaIan
@profjohnharney@zirk.us	@profjohnharney
@dambaras@mastodon.online	@dambaras
@preetiraghunath30@mastodon.social	@preetiraghunath
@yael_rice@mastodon.online	@yael_rice
@remcobreuker@mastodon.social	@koryoinleiden
@Elliiipses@aus.social	@Elliiipses
@heejinlee@zirk.us	@heejinlee_
@TheKpopProf@mstdn.social 	@TheKpopProf
@ChTagsold@fediscience.org	@prieber
@ivanfranceschini@toot.community	@FangYiren
@sutrasandstuff@mastodon.social	@sutrasandstuff
@bmleitner@mas.to	@bmleitner
@sbasu@mastodon.online	@sbasu_in
@kungfuzi@hcommons.social	@kchienw
@sinolit@zirk.us	@sinolit
@bokane@jawns.club	@bokane
@dambaras@zirk.us	@dambaras
@syperng@mas.to	@syperng
@paupitarch@mastodont.cat	@paupitarch
@StAndre@mas.to	@JamesStAndre
@jacenba@mas.to	@jacenba
@SpaceSilk@astrodon.social	@SpaceSilk
@Anne_MarieBrady@mastodon.nz	@Anne_MarieBrady
@sangomahanty@aus.social	@sangomahanty
@Kabe_xz@mastodon.social	@abekaori_xz
@lonaga@zirk.us	@lisaonaga
@michaelmanangu@sciences.social	@michaelmanangu
@YiGu@scholar.social	@YiGUevie
@xinhan@mas.to	@bingo_xin
@junotane@mastodon.social	@junotane
@MIC_Journal@mas.to	@MIC_Journal
@SteveMcCarty@hcommons.social	@waoesteve
@kerim@zirk.us	@kerim
@nathanelamarHK@kolektiva.social	@nathanelamarHK
@jeffreyhall@mstdn.jp	@mrjeffu
@uttaras@mastodon.social	@uttaras
@yitang_lin@mas.to	YiTangl1
@Maximilian_Mayer@mastodon.social	@mayer_iras
@ghostimage@mastodon.lol	Ghost_Image_
@yilinwriter@wandering.shop	@yilinwriter 
@vangrmr@fedihum.org	@jalaukika
@jdierkes@sciences.social	@jdierkes
@GiuliaSciorati@mastodon.uno	@GiuliaSciorati
