rheinze	assemblag.es	[109417147220906349, 109243458234695495, 109247044880628330, 131133, 110149979465086052, 1302832, 109845298550366701, 109930984016325938, 108196965407361484, 109811185466669325, 109313583679608371, 109251624347269044, 109241964949327801, 109212672053987101, 107813127450217516, 1094823, 107192220324249637, 109244541611212393, 109253794537020425, 109246188461663850, 108193302952227054, 108195813984792095, 108447411460100814, 109245609343095019, 108197097526120436, 109246554904857531, 109242132901229652, 108199165262372945, 109254154653602960, 108197634993900256, 498898, 109245541094634872, 108198208912042906, 108194296859840955, 109258581550267238, 109499356486987813, 109511377914187363, 109244941378832941, 109257015350044137, 109246684756160630, 286253, 405401, 108217382882803207, 108219153777910954, 109359435679440423, 108198529895901597, 635734, 1135306, 108291588973200107, 109249727689978662, 44957, 108130696892458148, 109382339716209931, 109253195031339219, 108197473642513625, 109245981843893237, 109245685922602604, 108197133668596750, 109372635381006256, 109368779687740629, 109245625888163613, 94236, 109250886685497074, 63926, 109292023046477071, 109245056964393649, 108197118286434315, 108279919557660192, 108135630365156366, 109246013594339935, 108233443577132659, 108424199035148592, 108219921318477342, 470584, 109370120245919666, 109244901910237086, 108198314972722813, 109358178113646034, 108197064285674663, 109355640520384698, 109353932748293185, 109352914046477879, 109247132914913369, 109337283812265216, 109239930057145921, 108318978140831867, 160976, 109240835082812321, 256273, 1069280, 109251318599075632, 109249459389319233, 108170054842670994, 108225595395472956, 108198477198368059, 109252373255114685, 109244689223657889, 108198532187161363, 1150722, 108199370985777498, 109247454860331262, 109309504886369476, 108130371603477611, 109286669584107905, 109256568958282543, 109256906323204875, 109252112921297642, 108130769549430985, 109247219736728009, 108198109031210998, 108198853497517029, 107152624668489340, 109243472467405976, 108194559556021687, 109252734320120049, 109257542135853175, 108197486513070519, 109259844176599998, 108196250347937199, 109247364249298898, 109259356079037148, 109258586002396811, 109290863468520688, 109256243499071669, 109247712952305913, 109290738792896257, 108197550408617964, 108226318059549217, 108230727355575916, 108087099149100771, 109115247953517608, 109250308700635838, 109221661297802561, 109257875045661901, 109246120984435842, 109257945507422703, 109259107886860679, 109253030849652168, 109255827296489530, 109256346112601960, 109257482306083746, 109259484073296381, 109259855425926327, 109258584951311009, 109252064969006974, 109251763096137550, 109248731834290705, 109247286189883850, 109247080432692894, 109258253957880303, 108192731761847990, 109258275920521194, 109258839101999913, 108147087055662876, 109245332094566989, 109246038302075563, 109241645729324283, 109245911437151830, 109245840377785041, 109258523990311499, 109258085084448475, 109256612906545738, 109256235698218043, 109252390287433465, 109245535247047306, 109244709534183199, 109243139631965273, 109243488853574031, 108198921112183684, 109245255954755006, 109245318521378527, 109241995804981879, 109240270660115590, 108196980178026571, 109242938066235229, 108196848946592882, 108194111349566214, 109240548236268344, 1138668, 108137068582298268, 108192620641708058, 107152570609602299, 111137, 465523]	African Studies
BrianJAP	mastodon.world	[1302832, 110023631275744313, 109930984016325938, 108199281502070458, 109257362865470161, 109281604552407359, 109258708476117795, 109253454541948422, 109290863468520688, 109258424055953334, 109354262687819962, 109258839101999913, 109224415414500824, 109247712952305913, 109244709534183199, 108197133668596750, 63926, 109259019591013600, 109258419213743828, 108249106013752343, 109258528504921542, 1053872, 109378264702032791, 108198921112183684, 109258150625978994, 109259855425926327, 109243488853574031, 109281624831792274, 109256325783998026, 108194111349566214, 109247052254201092, 487413, 109245911437151830, 109255827296489530, 109258700025626017]	African Studies
joelglasman	fediscience.org	[]	African Studies
brenton_peterson	sciences.social	[107192220324249637, 109354941450990518, 109512890118213607, 109520790808461038, 109502549345730678, 2500, 109258334228557590, 108240181602727391, 109354262687819962, 108219153777910954, 109258839101999913, 109394740405660974, 108286719626990337, 109361957651581784, 109250272471055276, 109247228835198047, 109245074292058074, 109374445722711192, 109245606072974551, 109242553890407670, 109259509639073535, 109323255334677613, 109325233112055380, 109259559097302320, 109362183192060261, 109356093024913413, 109256164631853133, 109354312254479826, 109353932748293185, 109332173854504671, 108198921112183684, 109304109650563876, 108137262687029145, 109280715316295106, 492196, 109326936782668937, 109311203466564443, 108143820858606330, 109257006799028293, 1150722, 109248110210216416, 108195046425770204, 109240990170827357, 109311681383409521, 109246822754893722, 109309058631349679, 109256331105424443, 109255677802234737, 109258633637561391, 109256853569031316, 109244081326433869, 108197012196056024, 109257743235227749, 109258203779753232, 109247219736728009, 109253748416291204, 109259818587559733, 109248793113455368, 109258612801269356, 109254711371052067, 109261276383970214, 109257140465283903, 109258009540348132, 109244322914841851, 109151022235776665, 109259220158333905, 109258409315244497, 109257424478141850, 108197938909482044, 109246172157188540, 109248560264027442, 109299017580929103, 1036386, 109251537213359110, 109259146038899971, 109253170726430981, 109252614982770138, 109253288928798071, 108196909860085743, 109259385958532278, 357207, 109257656628119537, 109257189852046750, 109236956654550986, 991524, 109245332094566989, 109248286658483918, 109250777499708466, 109259807472089978, 154181, 109258115149215014, 1007891, 36272, 109246308036614816, 109251766034507462, 109259461805091902, 109258713442012497, 109252823400201472, 109255874741253613, 515229, 109258254425744982, 109254781113719627, 109238950410739987, 109236501730211262, 109250875383964242, 108220442991049032, 1049632, 109244413571415728, 109258550215514313, 109247928625335719, 583586, 109252229648540664, 109259465034501750, 109254292602320137, 109252987244564814, 109258466914113951, 109276580547495260, 109251886904079015, 109258663471604134, 109257038659332983, 109247775481263315, 109242019898546517, 330718, 109253123235743333, 109215806011730188, 109259361436757992, 109259263930506189, 109251417818943012, 109259797244452860, 109257599065567016, 109259756469400211, 109258684361195344, 109258027043105017, 109259492437116563, 109258607530345612, 109258790469333671, 109258848605721176, 109258450831415890, 109258907004418374, 109257718683810762, 109259118923452512, 109245835706238324, 109249385581430991, 109258521203496670, 109245170014905404]	African Studies
keremd	social.anoxinon.de	[1302832, 109212672053987101, 109245911437151830, 109313583679608371, 108197133668596750, 109246120984435842, 109245535247047306, 109374445722711192, 108336957655822167, 109241995804981879, 109256346112601960, 109258586002396811, 109285435584908904, 109258907004418374, 108196909860085743, 109246822754893722, 109258790469333671, 108194111349566214, 109244709534183199, 109255827296489530, 109252756442536786, 905915]	African Studies
azelin	sciences.social	[1302832, 110075902464431935, 32434, 108234620769239752, 109248303740591380, 107859558492679183, 108192887917202306, 106656309733844853, 109520816026207509, 109297777870396943, 109521131560181096, 109492973922435235, 109244300415875978, 109521063474981007, 109324842172513148, 109510409661959267, 9921, 109331259766231589, 109237595786922100, 775601, 109244618707098765, 109372400000776778, 108075103300773430, 109246159225902452, 228566, 8285, 33836, 109259214349691844, 108197133668596750, 108195733058795277, 94236, 262304, 109287496675080773, 109215806011730188, 109320355743048440, 109224330128538059, 109303307095540856, 109253905507477419, 109328740157682021, 511395, 109246197839851254, 109362016457444396, 109255787879117425, 435333, 109251033000952691, 109355527546878524, 109362169824836084, 317886, 107025067733417666, 109246969584879525, 109355363615545275, 109356696470273097, 790144, 109364452833455753, 109248034789692853, 109256906323204875, 684537, 109256546091505201, 108194171731228243, 109309504886369476, 109259855425926327, 109245981843893237, 108192772946992118, 109337283812265216, 108302713870184209, 109300279601206304, 15528, 109238454469552745, 109247382595921892, 109362000601128355, 276461, 1078388, 109252516991630751, 108193063374255309, 109243906466726967, 109246001228212073, 108195820311427327, 109256375187750284, 109360551905195520, 109257731157047384, 109362504779641043, 109303069206627969, 109247712952305913, 109259484073296381, 109257843026382031, 109245527560742749, 109246239156432493, 109247230490635927, 1111051, 109248488707173074, 109246308036614816, 39470, 109247542811601435, 109248266731467212, 109258863561229510, 109301262692464064, 108217694293498330, 109257623256642703, 109247415904490337, 109258604305063434, 109360129161686635, 109247219736728009, 266675, 109257662322353566, 109241866428787386, 109236932607257137, 109253794537020425, 108197938909482044, 109245566046911456, 108198431626726139, 109242851122517994, 109243653517008528, 109258697141354217, 109249204867127529, 109255792204921699, 586131, 109286669584107905, 109257491240083118, 109251909812136049, 107909616669852316, 109247986221663266, 109257362865470161, 109242872651792271, 109258763241148870, 841596, 109361958725570037, 152037, 447049, 109243962459916070, 109257573104742409, 109299143930913195, 108354298200655695, 108780761998491404, 109290802278036102, 109258522013148702, 26367, 109327169607932430, 109257738369168248, 109258502249565572, 109222288597535410, 108220332282760969, 1150722, 27494, 109243398881221149, 109245241662522796, 319715, 109238292704795570, 26730, 464278, 229909, 108193427589742112, 534853, 108228513830587471, 860038, 109248566173872562, 239873, 108136684485738909, 34064, 397903, 146989, 41229, 109250886685497074, 108192775634622702]	African Studies
mrofheart	zirk.us	[1302832, 109258839101999913, 109245685922602604, 108197133668596750, 109251599635255546, 28059, 109247037866901789, 108220201136577999]	African Studies
JochenLingelba1	h-net.social	[109258636566275551, 110255065972553983, 1302832, 108283317532422786, 559242, 1094823, 63926, 109360129161686635, 109245535247047306, 109354371689219957, 108194111349566214, 109246120984435842, 109257922433548796, 109255868754875614, 109244749378649207, 107588422908027127, 108147087055662876, 109241964949327801, 109244709534183199, 108197133668596750, 109258927642428017, 109241995804981879, 108198921112183684, 109258839101999913, 109247370879012616, 109245911437151830, 109255827296489530]	African Studies
djneill	mas.to	[110149979465086052, 1302832, 110103751115323798, 109845298550366701, 109894204866182245, 109313583679608371, 109246554904857531, 109368779687740629, 109249727689978662, 108197133668596750, 109245715105751572, 109353932748293185, 109256906323204875, 109337283812265216, 1150722, 109240990170827357, 109246432678838036, 108198921112183684, 108136736278147518, 108195998494935366, 109309504886369476, 109286669584107905, 109237570604493475, 108195508102465480, 109247219736728009, 109243600528842282, 109245484809412850, 267215, 109258696454625120, 436195, 109252756442536786, 109257575955293667, 109252582983569792, 109258708476117795, 108193042389450713, 109266309007958757, 450895, 36272, 109259484073296381, 109281624831792274, 109258769813704960, 109245541094634872, 109245911437151830, 109257718036848710, 108197873928425950, 108217761178377225, 109241995804981879, 109247712952305913, 109245897932437462, 109290863468520688, 109251556044783486, 108222296027205265, 130933, 109242076377424783, 108221323475274795, 109255827296489530, 109259055667399940, 239825, 109258246663810633, 109259855425926327, 109217424275177536, 109258586002396811, 108194111349566214, 109243488853574031, 109257516259131952, 109245064282981274]	African Studies
AnkeFK	mastodon.social	[109346748972408191, 110255114024079669, 110231109976274880, 110149979465086052, 109270681501379306, 1302832, 109417046183293288, 109363932112704766, 110073850102842279, 109294485741287201, 109845298550366701, 109256417199380390, 109868402655994547, 109849222976846597, 109846611029614584, 109563066137226137, 109783285175241008, 109313583679608371, 109734506473674772, 109721997523016038, 108076799681772489, 109711040013012215, 109682571143980911, 109492441165882037, 109402302975594935, 109256243499071669, 109299056153189018, 109286358919610438, 1094823, 109315042926813417, 109639321305112518, 109622290758419458, 109522786676814314, 109600565098282268, 109404137493463340, 109604271355483389, 109590805565560633, 109562928577185095, 109557887135788433, 109369969033744521, 193113, 109354362463937444, 109354347431127324, 109432689618634170, 109292600013314214, 109547984187027845, 109301898101940762, 109546306424858159, 109325584628072635, 109536360769348002, 109523649257591936, 109246554904857531, 109250675238046514, 109343691534856321, 109368779687740629, 109530918373613182, 109529874762988796, 109245541094634872, 109523957038243207, 109421889108442222, 53443, 109366877281524422, 109339060678868439, 109323478154989138, 109520864869627565, 109302521484618267, 109301174412388602, 109503289406273285, 109410496002694420, 109490902679521545, 109367257095417707, 109484797688092728, 109473039820672756, 109482038056792468, 109472293858590094, 109458528257499254, 109307174770702554, 109432868088125059, 109256288710936152, 109433929132573200, 108210426054342642, 109427933020834538, 109426652727124211, 109389005758513564, 109417054578792091, 109389471687194920, 109423257969229361, 109422033545212354, 109421661903243418, 109318457375797561, 108219153777910954, 109417532846861253, 109417620197042788, 109416995230489319, 109417278700385087, 109247019547619419, 109387697384367593, 109403874801648103, 109405279712808943, 109322605890720041, 108221818435278143, 109249727689978662, 109363326466124557, 109395005276231496, 109394871941696410, 109389016142738504, 109376369163459436, 109329125617503195, 108197133668596750, 109387818894818221, 109390133898208853, 109389525051408840, 109389037347847106, 109297287266272851, 109388572243098212, 109381420711854627, 109386707328703398, 109298237092347729, 109385016916786722, 109299120958519175, 108194838166318357, 109372836995224153, 109377536289047409, 109384084727246371, 109292371357770905, 109383787409042718, 109372188390943723, 109341138126664018, 109382054615909828, 109380068073497693, 109267473918022687, 109315342402688457, 109374209247175102, 109338300033903334, 109367770167351310, 109376784945923099, 109372087598901758, 109375601719331815, 109365016703534252, 109365500554663358, 109258031326769655, 109365725337134076, 109259158337937838, 109287491759504629, 109286124529132087, 109331833931457587, 109365147372867712, 109245911437151830, 109260243736902558, 109365128995470336, 109305675240268612, 109365591430264032, 109365296493868454, 109364705477317783, 109364545672007096, 109364295265086335, 109363440988576336, 109362998887648626, 109335066016278324, 109316980081915650, 234515, 1126835, 109315883272526643, 109352944675561581, 109353932748293185, 109263360816418704, 109351073690127019, 109350790599711233, 109328167511463452, 526965, 109321298473012026, 109344770271462448, 109338066092122608, 109342188358884900, 109256347811741945, 109341595245656592, 109285501874274204, 109310690686139505, 108279191224841744, 109337894013751043, 109309258549689109, 107639544306208866, 109321838999166022, 109337283812265216, 109334306745411162, 109299357375421064, 109264017897885447, 109331370460342365, 109317708729955833, 109331824165088412, 109331938761376378, 109325487533549368, 109310343946712641, 109258275920521194, 109296800548773822, 109280165336883575, 109327558521375316, 109311581255582542, 109269961391300472, 109324164984463183]	African Studies
