acorsin	mastodon.social	[110274703201844286, 110298565370478343, 110293477871969985, 109280868166970729, 109330704582548664, 110239615861219838, 110226952334976654, 109525178185782529, 109307042557370025, 109245413456050702, 110173335703448754, 109245792245962039, 109245996633387829, 110114460431342141, 110149979465086052, 108096914931537631, 1302832, 109332513809006449, 109812498212333265, 109339173329004095, 109984662746534969, 109253724041748262, 109436269017289064, 109258023740471414, 109326480938960986, 109327759731825082, 109294964899133606, 109327119888812477, 109306757939022074, 109259688295233329, 386294, 109300023291041161, 109864607146664400, 109383760608933049, 109331817500461142, 109244582805510434, 109727883339218958, 109832622933190048, 109832366929703253, 109296583170635557, 109541879509849004, 995191, 109805048655578755, 107712252308675587, 109303125227572940, 109309901786424525, 109788785619225120, 109763190647615776, 109748015595637204, 109549548389468921, 109712374686083016, 109554008057681856, 109364321104851315, 109546554371432688, 109734506473674772, 109726829608502319, 109294973775122852, 108201606392045324, 109319222797528777, 109297837411098483, 109302931616695808, 465322, 108137954257579251, 109626079032988882, 109405338501102317, 109243668825210826, 870017, 109429106882847775, 109643494589008575, 109366619151450429, 109273659333945010, 109293749548615407, 109260701440902608, 109321090423200001, 109279673452579767, 109395271302164695, 109598270096713400, 109596971495224967, 558732, 109389824102915770, 108203563357788946, 109371156678349255, 109536841323555367, 109341712573065033, 109299409676616440, 109552991704842704, 109372839488919121, 109557332207245042, 109233257627916890, 108239566613007853, 109554547226911165, 109551388589118832, 109541114825432121, 109370570612983541, 109311672382264745, 109365314921684344, 109543436668788576, 109530239216474763, 109472410292288231, 109539228774344041, 109450523239240964, 109540378796666195, 109535283671592879, 109246554904857531, 109320987478798229, 109383312401806235, 109537090445855455, 109383768355060486, 109329395470644202, 109319159179080738, 109257102805420845, 109535920705454439, 109535899174718255, 109245541094634872, 109293279600849695, 109534038248055014, 109368779687740629, 109465031268885039, 109532610184698618, 109527309337702315, 109477587525660013, 109529703669812652, 109527129264310621, 109523957038243207, 109270220339960752, 109523997858307411, 109268328241505575, 109524076776291317, 109316182479318805, 109523405818483667, 109382318685947458, 109523159854126404, 109323478154989138, 109299841343484335, 109512699766042510, 309470, 109513581859215932, 109511317975306184, 109423202832058919, 109301174412388602, 109435234315803220, 109501607561835509, 109501188249816806, 107192220324249637, 109490294692396013, 109485284679532372, 109379591059720153, 109315818798942659, 1386937, 109365414338529550, 109423257969229361, 109466202617028190, 109355526679906887, 581514, 109349135439175318, 109421678219273788, 109246537530292465, 108219153777910954, 109249643504294545, 109362820375368941, 596933, 109455019977144627, 109271269371918097, 109338750228545130, 109379534913085785, 109443166960130289, 109437632794832211, 109433579338263485, 109421092152740926, 109428454223925056, 109426825114268157, 109303456601429990, 109420091606147388, 109337382546250214, 109307163400309405, 109377516049423072, 109370616604109273, 108197182010956405, 109308033752611052, 1349107, 109328986309426941, 109382749724275646, 109413678660870414, 109413484153293689, 109411070101760933, 109407148029692285, 109363760039758561, 109287769382705969, 109399857549187640, 109398417079116315, 109296046670778490, 16618, 108176559827658279, 109395229251494935, 109264238760340805, 109369763778394957, 109325934856655883, 109371440379867805, 109322310425509534, 109389347062872779]	Anthropology
Alex_Golub	scholar.social	[109257554026516761, 110149979465086052, 109245996633387829, 110173335703448754, 109836902244063015, 109514148741088784, 674539, 109960502700228426, 109864607146664400, 108197092546215626, 369163, 109256733511513584, 109366901060362601, 108239566613007853, 109244380110092638, 109354727947155822, 165277, 109259266434887630, 109368779687740629, 410797, 109517841264138383, 583586, 407180, 109243848690887334, 7298, 109367799858652076, 109501188249816806, 109248022493147843, 109292147921875411, 109244473119372960, 108219153777910954, 596933, 109250351542632555, 109221192702463357, 108194496431864939, 109257600686377639, 17099, 109244649251416505, 109259609140213501, 1053872, 108198853497517029, 108194429161495315, 109245699897413848, 109257280804404132, 109249913230461651, 313313, 10843, 34975]	Anthropology
anaivas	mastodon.ie	[108298930795617807, 110173335703448754, 110149979465086052, 110028801912920415, 109751906862069452, 108282607750436432, 109368779687740629, 502809, 109501188249816806, 109245788561042077, 108219153777910954, 531544, 108449440111950170, 109244473119372960, 108193939879221766, 109326453014450111, 109246216106838026, 109251948580616657, 109259023455887185, 109251977827472443, 28059, 109247179587242124, 109302944806405775, 109320503363255974, 109247805320099680, 109301984334577886, 109257831816892583, 109266159716446846, 109259033090580220, 109242706648658635, 661960, 109299735004020556, 109313583679608371, 109246459043892380, 109245996633387829, 109257433599958564, 109245062935801881, 1053872, 109245896155043487, 109294351078803102, 109246044479113652, 508274, 108197092546215626, 109252764439919085, 109259136277468768, 109246559767800960, 109257253844317086, 109259107886860679]	Anthropology
Anarchopology	kolektiva.social	[110068921406778348, 109245996633387829, 110165384068996384, 110149979465086052, 109514148741088784, 109897846085648291, 109864607146664400, 109851096867440581, 109247508336384451, 108198434953594999, 149055, 109244386588396115, 170358, 109368779687740629, 109258424055953334, 109242955070279485, 108194692499964138, 519371, 109501607561835509, 109501188249816806, 108279810475169760, 11015, 613571, 109253785681886189, 405401, 108198686345369997, 108219153777910954, 107215301464188384, 942428, 108196046730915275, 1134133, 36238, 289688, 1076181, 109354190263014482, 109246492110629307, 531544, 108449440111950170, 109244473119372960, 109258175820083512, 38282, 108197357722354949, 424786, 109245022840771133, 31926, 16860, 248163, 109258470820783970, 856380, 109261577414253733, 109243720706275645, 948421]	Anthropology
anibalarregui	mastodon.world	[110173335703448754, 109245996633387829, 110149979465086052, 109368779687740629, 109501188249816806, 109257831816892583, 108219153777910954, 531544, 108449440111950170, 109244473119372960]	Anthropology
annetpauwelussen	akademienl.social	[110173335703448754, 109245996633387829, 110149979465086052, 108193728680158903, 109248152768065493, 109217424275177536, 109368779687740629, 109243388372609150, 109501188249816806, 109244473119372960, 109257831816892583, 108219153777910954, 531544, 109253454541948422, 109250911258520633, 109363860687474679, 109245230504067316, 109259110506817351, 109246606087015830]	Anthropology
anthrobirder	mstdn.social	[109251928870576161, 110173335703448754, 109245996633387829, 37740, 110149979465086052, 109893062787703479, 110114113189796956, 109244724490716252, 559242, 1144750, 568848, 109245430690291505, 108198020205435477, 109501188249816806, 480681, 1038413, 109257831816892583, 108219153777910954, 108231613738040511, 109246056319799027, 531544, 108449440111950170, 109250467311834639, 109246068888059341, 109247219036984246, 109248022493147843, 234486, 109246844030200842, 109259795154475256, 109251778964510854, 109245413456050702, 109244473119372960, 24735, 109251948580616657, 108197252618444551]	Anthropology
anthroetc	fediscience.org	[109245996633387829, 110149979465086052, 109845298550366701, 109864607146664400, 109313583679608371, 1138668, 108221818435278143, 108196970515775571, 29256, 109246554904857531, 109368779687740629, 474896, 109245541094634872, 109258175820083512, 109501188249816806, 108194307694818557, 109249727689978662, 481112, 108219153777910954, 109245531519879403, 531544, 108195747080357170, 109365613920001319, 109114279696571359, 109244473119372960, 108449440111950170, 1150722, 109257280804404132, 109238087107823537, 109353932748293185, 27883, 109260056494008986, 109337283812265216, 109256906323204875, 109246439898736261, 109259983708062082, 476510, 109286669584107905, 109241995804981879, 109309504886369476, 109247219736728009, 109259855425926327, 109257516259131952, 109258290022860732, 109244024207420544]	Anthropology
anthropam	climatejustice.social	[110173335703448754, 110149979465086052, 109960502700228426, 109888650658368283, 109864607146664400, 109751906862069452, 457992, 426447, 109368779687740629, 109243388372609150, 109236501730211262, 109501188249816806, 417596, 109249727689978662, 108449440111950170, 109244473119372960, 109363327419977475, 109251948580616657, 823888, 451416, 109248339052688924, 109247712952305913, 109303680880410212, 43658, 108284727777074058, 109245996633387829, 109301246859668859, 661960, 109326226877642771, 109258700025626017, 109261276383970214, 837944, 109294044587722399, 109215316069825663, 109244873849193955, 109245178847511690, 109249464059149617, 1148958, 109243603598068113, 109266309007958757, 108266134751872554, 109246641461495488, 109243600528842282, 161994, 109247030674015302, 108254504018816288, 278539, 109258189725755127, 109244670153924858, 109259795154475256, 109257280804404132, 108193939879221766, 109244386588396115, 109243832599298649, 291255, 19930, 108194496431864939, 109242006039281674, 109288028149333461, 231321, 109259988180115814, 109250717304805292, 109245413456050702, 108138192930105044, 109249566608216087, 109250308700635838, 108196435944879672, 598189, 109245783259211107]	Anthropology
anthropomonde	mastodon.social	[110039673781491167, 110298565370478343, 110068921406778348, 110251954520027164, 109287404708135353, 110239615861219838, 109285026162229618, 109293198423339637, 109247179587242124, 109304826456885661, 109315453597241000, 110173335703448754, 109309481659485136, 109328254670674784, 109316268633951069, 109587010798726922, 108197092546215626, 109364040102070913, 109261593365882774, 109316681744743868, 109332296137305847, 109360120713449135, 110101872491992972, 110149979465086052, 110140922368317368, 311045, 109300023291041161, 109960502700228426, 109542370062445386, 109436269017289064, 109914647146396842, 109350790599711233, 109304736857570572, 109306757939022074, 109869475818573851, 109864607146664400, 109727883339218958, 109541879509849004, 109273104339691981, 109302670514118437, 109290377918064083, 109373626401718661, 109788785619225120, 64646, 109263777987306770, 109290379500766277, 109734506473674772, 109319222797528777, 109302931616695808, 109663556026698031, 109244801119214509, 109649673036904314, 109273659333945010, 1135406, 109258542507076443, 1135434, 394522, 109377536289047409, 109376163199046155, 108192747145713001, 1062516, 109586866053945333, 109315813317031754, 108194720527529503, 109431840434226377, 109384217213052434, 109248046146781381, 109383627591888975, 109244768001202510, 108467444194712685, 109332942920946627, 315549, 109291668113706107, 109360189468010259, 109370143144474371, 109314185686407355, 109382749724275646, 109543076022473466, 109482493613606133, 109325675675563739, 108237422009364973, 109412436434552305, 109287731025051818, 109287923030341656, 109365725411653983, 108199682391061598, 109333267224337948, 109248146149272677, 109368779687740629, 109251614231484126, 108282449809967508, 109265643223577055, 109523957038243207, 109311724428845303, 109523997858307411, 109524076776291317, 109523159854126404, 109366865889042184, 109323478154989138, 109512581719670342, 109511317975306184, 109423202832058919, 109301174412388602, 109501607561835509, 109501188249816806, 109494650224578198, 109362913730396600, 21165, 109477507709786420, 109316380427799954, 109389947526121836, 108198799780351729, 109466202617028190, 1206289, 109405747224242700, 109458713082634659, 109301533425444058, 109453379546200686, 109450511859004072, 109389429652936410, 109443620989192901, 109443166960130289, 108210426054342642, 109433315163241122, 109432534672829700, 109429186159586358, 108194252873473095, 109420636483806718, 109389471687194920, 407808, 109423257969229361, 109328986309426941, 109418422033491321, 108219153777910954, 109370616604109273, 109379591059720153, 109257280804404132, 108197703434005294, 109411325250695323, 109405004142762528, 109246411400138051, 109320681408432563, 109382863856564190, 531544, 109304832445741079, 109372635381006256, 109390974363946367, 109371757416120267, 108449440111950170, 108197133668596750, 109344185422324147, 109387387084741066, 109246202582264591, 109244473119372960, 109294012729875408, 109382692083221894, 109299602152467648, 109383747302349205, 109376009284420501, 109365842597479481, 109370062707716250, 109382002285549180, 42440, 109381664467199980, 109380069483084642, 109380003862053402, 109253724041748262, 109379638434692879, 109351532545334100, 109331903415234258, 109379534913085785, 109361601834687455, 109376909811362512, 109291324110558303, 109251948580616657, 109329125617503195, 109328802300125162, 109248296849602898, 109375218302807220, 109368659291564990, 108213487792835996, 109343881141470861, 109362820375368941, 109372872717344322, 109349135439175318, 109309901786424525, 109372124731171287, 109371732859824504, 109371666486787832, 109371606050119977, 109341367566120226, 109276345180234294, 109371364230720110, 109371251646996844, 109315729310055638, 109369763778394957, 109366175489480083, 109368429500332925, 109368370049491147, 109344341241815712]	Anthropology
