aap_saaorg	fediscience.org	[477704, 131133, 109960864029101035, 109845298550366701, 109892197815958742, 109876005506658313, 20036, 108397580520145044, 108220495214878931, 109501188249816806, 33713, 108219153777910954, 109253457082215248, 109249727689978662, 108176559827658279, 531544, 36929, 109256855046103541, 108234400165905182, 108242829904257492, 109253288928798071, 109258473366688594, 108294915508654083, 286791, 109244081326433869, 108196797719751974, 109247219736728009, 108376030071975169, 109256427157763504, 108196751488624389, 109244878628435597, 977869, 195323]	Archaeology
Fornvannen	archaeo.social	[110227049749070979, 109845298550366701, 109876005506658313, 20036, 109262742346304145, 108397580520145044, 108280109550578797, 108220495214878931, 109501188249816806, 33713, 108219153777910954, 109253457082215248, 109249727689978662, 531544, 505326]	Archaeology
frontiere_s_	mastodon.social	[109031146802443750]	Archaeology
landscaperesearch	mas.to	[110173335703448754, 110003857581112008, 109845298550366701, 109876005506658313, 20036, 109505910880296135, 109255969345398096, 109501188249816806, 109247092537307748, 109360158594064602, 33713, 108219153777910954, 108254997398859615, 109253457082215248, 109249727689978662, 108176559827658279, 531544, 109259107886860679, 108195170222352023, 109256855046103541, 108239746867401422, 109244536989247997, 108257564715800528, 109250351542632555, 109258039221388521, 1051181, 491049, 109215753148920379, 109245932305095850, 1057924, 964461, 108196797719751974, 452399]	Archaeology
PCI_Archaeology	archaeo.social	[108233203435889659, 131133, 110149979465086052, 110157193294586877, 110142331597888894, 110056377017461580, 109992827018654862, 109845298550366701, 109892197815958742, 109876005506658313, 20036, 109248391235510402, 286791, 109359336079428421, 109360158594064602, 108220495214878931, 108280329202828411, 109501188249816806, 109298289191496605, 109252584079250366, 33713, 108219153777910954, 109253457082215248, 109249727689978662, 531544, 108194074331963306, 109258473366688594, 947529, 984279, 1077860, 108196656499467491, 109139798935209927, 109256855046103541, 109247712952305913, 479177, 108342008786897922, 109245186382078801, 109250467311834639, 108196388686288012, 108196797719751974, 109252911810618962, 108176559827658279, 109253033678781023, 107829756025381707, 1136667, 108555455114553612, 109114279696571359, 643435, 1279197, 109247873309450775, 109247179587242124, 109252771906793728, 109246107659350184, 109249665842487086, 109254865151680729, 45600, 109252834512379010, 146381, 109256427157763504, 109250590880154689, 195323, 108196751488624389, 324227, 108280109550578797, 108195282525790718, 108147496598130815, 108196970515775571, 108280101708012414, 109245742041888207, 108194698448048379, 109247359032783958, 109244878628435597, 109258685331887056, 109258532584715454, 108131604772356656, 109256227058498371, 108252684234473892, 109253378634190371, 108163322558108163, 977869]	Archaeology
PrehistoricSociety	mastodonapp.uk	[110283364973574989, 109337522439851325, 131133, 108641766975041086, 45668, 109845298550366701, 109312729711928274, 109876005506658313, 109257697805325192, 20036, 1154526, 109542019614232456, 108220495214878931, 109517951139389364, 109354564202240035, 109251809036751357, 109501188249816806, 3385, 109312174079981542, 109247922276295305, 1061708, 109256855046103541, 109236400208258951, 109362008366495855, 405401, 108198133470919747, 488140, 33713, 108197026756328612, 108193987656838977, 246348, 263431, 108219153777910954, 108234400165905182, 109244081326433869, 108194394954847656, 109378174256692597, 108221834061097039, 109253078506160140, 109334922514540659, 1007911, 108280109550578797, 109244732189140891, 109364570567860048, 108555455114553612, 984279, 109112356170405530, 109252649385358241, 109360158594064602, 109246074307310933, 108595284153677186, 109305129069199655, 108222167037371583, 109257642796172142, 109248391235510402, 109245413456050702, 109257667776772001, 42464, 107456432523402275, 109368645919521074, 109256427157763504, 319808, 109363830819987982, 109257664034423957, 109300135787952391]	Archaeology
Antiquity	archaeo.social	[109845298550366701, 108194381707688287, 109246714168320565, 109876005506658313, 20036, 108220495214878931, 109248391235510402, 109501188249816806, 984279]	Archaeology
EAAarchaeology	fediscience.org	[131133, 110149979465086052, 110156409316890091, 109258473366688594, 108198133470919747, 109834962632849120, 109845298550366701, 109892197815958742, 109876005506658313, 109851450593540850, 108439069617263722, 109359336079428421, 109322080296800059, 20036, 45600, 109360158594064602, 109249665842487086, 584372, 109258532584715454, 889116, 108242829904257492, 108234400165905182, 195323, 109256855046103541, 109245244711168592, 108194698448048379, 109291692167290114, 454241, 108195282525790718, 286791, 109575876962418657, 109247092537307748, 109368207621873995, 108226104143662471, 433069, 109362201879573202, 109520972646665950, 255575, 109311794147895132, 405401, 109248391235510402, 109257642796172142, 108196797719751974, 984279, 108196970515775571, 108280109550578797, 109247359032783958, 109247219736728009, 109256427157763504, 109250467311834639, 108252684234473892]	Archaeology
AMPHORA	mas.to	[110149979465086052, 109845298550366701, 20036, 109501188249816806, 108196656499467491, 14838, 33713, 108219153777910954, 109253457082215248, 109249727689978662, 108176559827658279, 531544, 109258473366688594, 109258532584715454, 108252684234473892, 109256601685417588, 109245186382078801, 109247359032783958, 109258685331887056, 109256427157763504, 109256855046103541, 109250467311834639, 109257642796172142, 109257481072829555, 286791]	Archaeology
caanlfl	akademienl.social	[110159834551800566, 109845298550366701, 109876005506658313, 20036, 109501188249816806, 33713, 108219153777910954, 109253457082215248, 109249727689978662, 108176559827658279, 531544, 109247712952305913, 109256855046103541, 286791, 108234400165905182, 108242829904257492, 109244770620585322, 324227]	Archaeology
ScotArchStrat	mastodonapp.uk	[110149979465086052, 109845298550366701, 109876005506658313, 20036, 108220495214878931, 109501188249816806, 33713, 108219153777910954, 109253457082215248, 3385, 109247359032783958, 109257642796172142, 109249727689978662, 108176559827658279, 531544, 109247712952305913, 109256855046103541, 109354251928965476, 286791, 108234400165905182, 108242829904257492]	Archaeology
OperationNightingale	mastodonapp.uk	[109845298550366701, 20036, 109501188249816806, 33713, 108219153777910954, 109253457082215248, 109249727689978662, 108176559827658279, 531544, 109259546291502054, 109247712952305913, 109256855046103541, 109245186382078801, 109257642796172142]	Archaeology
CAA_int	archaeo.social	[109845298550366701, 109876005506658313, 20036, 109244794176747851, 109256427157763504]	Archaeology
RomanArchaeo	archaeology.social	[109374181994390791, 110247908937291389, 108233203435889659, 109353479054062512, 109252235052978846, 131133, 415263, 109984446505647260, 110100878444442877, 107456432523402275, 109302724208330139, 109845298550366701, 239248, 109870038491173080, 109851450593540850, 20036, 109236400208258951, 109253279647946669, 109247359032783958, 109507100313532391, 1068028, 109243832599298649, 365981, 108193475670383931, 802218, 109243706270006429, 109380253804944542, 109295243658274316, 106887462825018571, 108397580520145044, 493991, 108195282525790718, 109246714168320565, 109251809036751357, 300296, 109313583679608371, 109259733959194695, 109520930942179265, 109520600077491547, 38463, 108280109550578797, 108280329202828411]	Archaeology
CANI	archaeo.social	[110221801754464712, 131133, 109845298550366701, 20036, 109250467311834639, 413157, 109360933023231067, 109245413456050702, 109314497321462652, 108198016065682696, 109312389619915760, 108194090256247222]	Archaeology
