dmc	zirk.us	[109845298550366701, 488924, 109243668825210826, 236435, 1062516, 109246554904857531, 109259334169562994, 16163, 109514413321193882, 108255959898753822, 531544, 15626, 109245997633581724, 108245429839955992, 109322656798784265, 109258290907292459, 109246418076603934, 109253107179643850, 170910, 109247219736728009, 109257103186851104, 109244536989247997, 109251993698453396, 18305, 108221814839663429, 109247042758993207, 513607]	Art and Design Teachers
abf1	zirk.us	[45223, 142850, 531544]	Art and Design Teachers
gair	mastodon.scot	[109246331906459330, 109754609688587908, 230114, 408959, 109259988180115814, 109511036022632341, 108282607750436432, 109356466479069314, 679609, 531544, 109248166133209483, 109245997633581724, 657423, 109247129110213883, 108197054685251711, 109253107179643850, 10137, 109259548433179999, 513607]	Art and Design Teachers
evamarie	zirk.us	[531544, 870682, 109210215763716045, 36435, 108194698448048379]	Art and Design Teachers
jasongoroncy	scholar.social	[109847891234423652, 109245996633387829, 110149979465086052, 109965550511212123, 109845298550366701, 109872604724693091, 109859790417901699, 109251841898269891, 108193987656838977, 109259191123726670, 109257637803491914, 109251285538941165, 109259865819282735, 108220903526658305, 109358544043904637, 109255930949131696, 108195046425770204, 109250898531591199, 19311, 109516141129630307, 276474, 109246887265345438, 109507043965874854, 109246554904857531, 109368779687740629, 109245541094634872, 109354374783981799, 108346234437516438, 107192220324249637, 109501188249816806, 109481969971041179, 109246461409592036, 225258, 388571, 109240733083948345, 108197873928425950, 109357053635740224, 109246120984435842, 109243388372609150, 1149200, 109252869280635120, 109257839126102333, 109258942277017639, 299282, 108219153777910954, 109257209981799601, 109241631511686363, 109311582723284692, 108221818435278143, 109365716339734102, 108196659293481267, 109249727689978662, 109247714289133250, 412806, 249219, 108195747080357170, 531544, 108194363543185150, 108449440111950170, 109244473119372960, 108199209267286153, 19930, 109259019591013600, 109253792537270451, 109259609140213501, 109362159991402288, 870682, 109251948580616657, 109242134864684061, 109362295015959416, 109247170191697374, 108130623239625260, 161165, 109250467311834639, 108198853497517029, 109353932748293185, 109248152768065493, 109292023046477071, 109256442035667450, 109257682328830943, 108197012196056024, 108240681824852698, 109256906323204875, 109337283812265216, 1280750, 109203796694396501, 109243139631965273, 34236, 109250035718930069, 449705, 109246459043892380, 109313583679608371, 108217295884722939, 109246260857164262, 1150722, 109258296808168417, 964579, 109258061444392664, 109240990170827357, 109309504886369476, 109295870287922654, 238772, 109241995804981879, 1039881, 109258252301002515, 109249252317987436, 574279, 109258462483382711, 108193887890976307, 108197353164429563, 109244081326433869, 109247219736728009, 109246822754893722, 107549859711203986, 109251019025295792, 34547, 108192770083460891, 36272, 109258769813704960, 108194205679876182, 109258350837587662, 109259385958532278, 109246085727937996, 109251556044783486, 108222296027205265, 109257945507422703, 130933, 109289665522756887, 109238958365441047, 109250875383964242, 109258727697841135, 109245332094566989, 108220028913379754, 109286669584107905, 519909, 109257931628327527, 109250642895732370, 465909, 29692, 109243488853574031, 455467, 109257732868056458, 1138668, 109247778364294890, 109257663224816187, 107548813599546917, 109259370571543393, 109259243526675777, 109249503444447029, 186913, 310400]	Art and Design Teachers
culagovski	wandering.shop	[109410638069258293, 531544, 870682, 238156, 108194491584944031, 109297522213229693, 108192797933782593, 609637, 109246204355437995]	Art and Design Teachers
jonippolito	digipres.club	[]	Art and Design Teachers
Creativity	fediscience.org	[110188569422671073, 282411, 110045112965022035, 109370056838805593, 109982908539283035, 109494998606938792, 109507131739410804, 109257209981799601, 109511036022632341, 109518911446134873, 109245841657140692, 109492800746378242, 109508786115599779, 109344929926223185, 18667, 94970, 109512631184547880, 108217439974865383, 109259821905398738, 109507492279379069, 109353502730604772, 109501188249816806, 109498515217753548, 109247595520532416, 109357169266169661, 109355011250234393, 44998, 973304, 8817, 108221818435278143, 249219, 109360987680533694, 108176559827658279, 109249727689978662, 109251380693050237, 108449440111950170, 531544, 109354189168063415, 109366854785058167, 109258550215514313, 109358460754282404, 325469, 109343636993806037, 109246298896374050, 109248116063480592, 109252529079697943, 109246203830224088, 109246459043892380, 109247928625335719, 1150722, 109257743235227749, 109248320320276845, 109252166303957311, 109207707082497159, 508947, 109244426587899179, 109257023563767118, 108369498063051845, 109246632288844654, 1076441, 109294044587722399, 109259578307578057, 109258733090629381, 109249252317987436, 109252975695909094, 109258225646662568, 109268717706305461, 774057, 109244874022289579, 109259188976521298, 228172, 407913, 109257042449907047, 109246751840691174, 108194696022637590, 109244446668161567, 109248825065140785, 109245866506876088, 109243603598068113]	Art and Design Teachers
visualdoc	mas.to	[108233704218995403, 109244536989247997, 109245305625236805, 531544, 455467, 147044, 370321]	Art and Design Teachers
Fragiledevices	mastodon.social	[110156474743664338, 7474, 109311617756986357, 109373042125462846, 109297589383413019, 109273659333945010, 156899, 109372145626259690, 109366638351966432, 109496213842739521, 109366431048869471, 109287892265844520, 57296, 108221818435278143, 109290643875752409, 108197703434005294, 109252203817338661, 109265701430053931, 531544, 109334043167717995]	Art and Design Teachers
