qiao_j	mastodon.online	[]	Asian Studies
sfern	mastodon.social	[]	Asian Studies
sudasana	mastodon.social	[109346748972408191, 110231109976274880, 110225638740002977, 109366854785058167, 110149979465086052, 110121023203837484, 110073850102842279, 107073643636987210, 109845298550366701, 109531475515777352, 109914895314826652, 257931, 109862761525521618, 109283132487477889, 109846611029614584, 109832892271565989, 109255699057820988, 109283444258683118, 108194786249483970, 109297947618189334, 109419622460346114, 109291636535372560, 109563066137226137, 109538167734129815, 109313583679608371, 109257217587012070, 109734506473674772, 109707923318127783, 109711040013012215, 109415187211495836, 109286358919610438, 109421661903243418, 109247633292553376, 109639321305112518, 109622290758419458, 109600565098282268, 109590805565560633, 109562928577185095, 109557887135788433, 109385144838880724, 109292600013314214, 109548521484239692, 109547984187027845, 109390588794660495, 109361776823625337, 109546306424858159, 109545283340817491, 109542050946750289, 109325584628072635, 109541320861563910, 109461909006162760, 109523649257591936, 109246554904857531, 109536546160800872, 109294362349150414, 109536321445701861, 109338516875491718, 109534813562335976, 109534126754212735, 109368779687740629, 109311751966542905, 109529874762988796, 109527013546866453, 109527588049603765, 109245541094634872, 109421889108442222, 109525465841841230, 109524263077158981, 109524093893353631, 109366877281524422, 109412442987811318, 109520844466755171, 109419599287317133, 109323478154989138, 109520864869627565, 109301174412388602, 109503289406273285, 109496074874520028, 109490902679521545, 109293236370854590, 109484361906242338, 109482038056792468, 109472293858590094, 109373550865965259, 109459444579993488, 109463787710920612, 109357358493781165, 109349176824515659, 109455381317864682, 109377536289047409, 109389471687194920, 109427021351466568, 657423, 109422033545212354, 109318457375797561, 109419497890995951, 109418422033491321, 108219153777910954, 109417532846861253, 109370177673130484, 109241995804981879, 109322605890720041, 109302061672052555, 109257766257940825, 109249727689978662, 109363326466124557, 109398219432471182, 109377488165056984, 109398136046759203, 109395005276231496, 109394871941696410, 109389016142738504, 531544, 108200086566381895, 109291121292066611, 109373983317322624, 109390133898208853, 109363440988576336, 109389525051408840, 109293936645784923, 109389037347847106, 109297287266272851, 108449440111950170, 109388572243098212, 1005051, 109370773136549019, 109386707328703398, 109384961747674392, 109298237092347729, 109385016916786722, 109383134796645963, 108194838166318357, 109384084727246371, 109288432330896335, 109295476431445838, 109294333443870589, 109315261758573156, 109382054615909828, 109380068073497693, 109379638434692879, 109331903415234258, 109291909186833105, 109267473918022687, 109362780194307953, 109292371357770905, 109317615783242682, 109374209247175102, 109362575082529119, 109377121067075870, 147113, 108232418032407230, 109367770167351310, 109341573024951348, 109376784945923099, 109329125617503195, 109375601719331815, 109375142402261398, 109250491811974923, 109293392971456859, 109365016703534252, 109365500554663358, 109371781090255524, 109258031326769655, 109365725337134076, 109332433441568008, 109287491759504629, 109263230162257666, 109286124529132087, 109331833931457587, 109370709592007440, 109370507921974557, 109365296493868454, 109365147372867712, 107430228515917931, 109315258902441384, 961429, 109369244199532922, 109368818243040129, 109331690829445141, 109301584869186133, 108266250863627745, 109293358253543494, 109366956160436203, 109260243736902558, 109305675240268612, 109366051225818409, 109297883615332264, 109285014939037954, 109366163762581182, 109289639465240945, 109295238552923394, 109365602275676707, 109321254909025326, 109302261582169512, 1084403, 240571, 109363348026709002, 109365591430264032, 109365453933093470, 109248587194780462]	Asian Studies
AniketAlam	scholar.social	[109245541094634872, 322079, 108658332533434071, 108219153777910954, 109249727689978662, 531544, 108449440111950170, 109369526967858347, 964692, 983178, 983375, 109248587194780462, 109353932748293185, 109337283812265216, 109256906323204875, 964461, 1297504, 1150722, 108294915508654083, 109309504886369476, 23645, 109290863468520688, 109244081326433869, 109247219736728009, 108198853497517029, 109256667908415139, 406433, 18305, 274713, 964265, 36272, 109257641935194132, 109258769813704960, 966061, 476510, 109259385958532278, 109251556044783486, 130933, 109258727697841135, 109257931628327527, 109286669584107905, 108220028913379754, 109245332094566989, 108196945492568976, 465909, 109241995804981879, 1138668, 109245840377785041, 961522, 108234400165905182, 109237932196142664, 963798, 990574, 989589, 559242, 958212, 968869, 984445, 410337, 108217761178377225]	Asian Studies
franciscao	mastodon.social	[109373857575281722, 109346748972408191, 110255114024079669, 110199612261132066, 110231109976274880, 110149979465086052, 109423449754707498, 110073850102842279, 107073643636987210, 109845298550366701, 109930984016325938, 109854169847907308, 109365502554329985, 109846611029614584, 109604732421650330, 109563066137226137, 109363921972074927, 109313583679608371, 109554008057681856, 109744238795322782, 109707923318127783, 109379567997657990, 109256259726091929, 109734506473674772, 109711040013012215, 109690583746082936, 109649791258321079, 109286358919610438, 109326089248813292, 109421661903243418, 109308643906038151, 109639321305112518, 109622290758419458, 109626270071030684, 109610201726261822, 109600565098282268, 109610758105984362, 109604271355483389, 109590805565560633, 109585864742231693, 109401301596871347, 109562928577185095, 109557887135788433, 109560684794147242, 109292600013314214, 109312577409460691, 109547984187027845, 109497980652516449, 109546306424858159, 109285573580064473, 109325584628072635, 109523649257591936, 109524282637945180, 109418550808887631, 109303954636715928, 109527013546866453, 109368779687740629, 109522347130681261, 109245541094634872, 109421889108442222, 109319384825081622, 109524366808959766, 109314506659787077, 109366877281524422, 109412442987811318, 109321932335159127, 109323478154989138, 109521086822654351, 109520864869627565, 109520664638524498, 109308585038491704, 109360656335970952, 109499760176570139, 109498843329780926, 109296860577667746, 109297570585990997, 109325293894812040, 109242306384117869, 109301174412388602, 109503289406273285, 109503268649010475, 109363418827971183, 109366233772575549, 1070626, 109315354460026620, 109367067127248188, 109490902679521545, 109484361906242338, 109482038056792468, 109467800043758406, 109374262355340052, 109463787710920612, 109303863771176735, 109455381317864682, 109444731100939261, 109288869840756582, 109377536289047409, 109297598798890881, 109257260550197096, 109305339913990680, 109414399675175714, 109429207112875417, 109331684542364870, 109428728625179559, 109389471687194920, 109396263712646112, 109294447558611781, 109422033545212354, 109318457375797561, 109418422033491321, 108219153777910954, 109417790376849161, 109417532846861253, 109416995230489319, 109257728998280735, 109300001660294126, 107909616669852316, 109322605890720041, 109399982992743176, 109249727689978662, 109363326466124557, 109395005276231496, 109394871941696410, 109382723629580197, 531544, 109393883638599069, 109373983317322624, 109362277487200078, 109390133898208853, 109389525051408840, 109389037347847106, 109297287266272851, 108449440111950170, 109311567001461609, 109388572243098212, 109303234774272741, 109387939423583230, 109386707328703398, 109342711727073259, 109298237092347729, 109385016916786722, 108689728366977524, 109383214782155927, 1350479, 108194838166318357, 109384084727246371, 109348932573102393, 109364965705250296, 109320967837394931, 109382278167137374, 108250971583399810, 109382054615909828, 109380068073497693, 109381000830335699, 109380597568707709, 109379638434692879, 109331903415234258, 109363200036367512, 109378156615374318, 109331711437325578, 109292371357770905, 109317615783242682, 109367770167351310, 108439118612564774, 109376784945923099, 109291324110558303, 109329125617503195, 109375601719331815, 109309469699843077, 109291468696019199, 109374209247175102, 109374019527340200, 109278204949699170, 109365016703534252, 109365500554663358, 497820, 109258031326769655, 109287491759504629, 109286124529132087, 109331833931457587, 109365296493868454, 109260243736902558, 109365147372867712, 107430228515917931, 109359738394051173, 109367954655935091, 109293358253543494, 109305675240268612, 109366217608970827, 109365602275676707, 109365591430264032, 109248587194780462, 109310224267796157, 109363440988576336, 109362998887648626, 109318097450140694, 109355414015718850, 109291909186833105, 109353932748293185, 109351073690127019]	Asian Studies
WellingtonChineseHistory	cloudisland.nz	[110149979465086052, 109845298550366701, 454392, 109246554904857531, 109368779687740629, 109245541094634872, 108219153777910954, 109241995804981879, 109249727689978662, 531544, 108449440111950170, 476510, 109256906323204875, 109337283812265216, 109247712952305913, 109313583679608371, 1297504, 1150722, 108294915508654083, 109309504886369476, 109244081326433869, 109247219736728009, 109256667908415139, 18305, 109257371613025382, 274713, 36272, 109258769813704960, 109249211988195964, 109259385958532278, 109251556044783486, 108222296027205265, 109258727697841135, 108198224171449087, 109257931628327527, 109286669584107905, 108220028913379754, 109245332094566989, 465909, 109246418148596330, 109259855425926327, 1136667, 109249913230461651, 109245782700037331, 109219506776078221, 109244383531280744, 109248853218492686, 108385860548050317, 156604, 109243603041816929, 108197044430561246, 108241118137867179, 107548813599546917, 37899, 230989, 1169380]	Asian Studies
chuckwooldridge	mastodon.online	[110149979465086052, 109845298550366701, 109516141129630307, 109243388372609150, 108198704692509177, 109246554904857531, 109368779687740629, 109245541094634872, 108219153777910954, 109203796694396501, 28144, 109249727689978662, 531544, 108449440111950170, 109248587194780462, 109353932748293185, 109256906323204875, 109337283812265216, 109259931564212295, 109313583679608371, 1297504, 1150722, 108294915508654083, 109309504886369476, 109244081326433869, 109247219736728009, 170910, 109256667908415139, 18305, 109246065490728736, 109265141024413681, 108192920246015674, 36272, 109258769813704960, 107834641082422192, 109259385958532278, 109245484809412850, 109245911437151830, 109251556044783486, 130933, 108222296027205265, 109257189852046750, 108196436316165669, 109258727697841135, 109245398752701778, 108193670344520821, 109258683284460813, 109243488853574031, 109257931628327527, 109286669584107905, 109256905705003727, 108220028913379754, 108194111349566214, 109245332094566989, 465909, 274713, 109241995804981879, 109259855425926327, 21495]	Asian Studies
cameroncampbell	mstdn.social	[]	Asian Studies
howard	mastodon.lol	[110149979465086052, 109845298550366701, 109313583679608371, 109368779687740629, 109245541094634872, 108219153777910954, 109241995804981879, 109249727689978662, 531544, 108449440111950170, 107834641082422192, 28144, 109248587194780462, 108196945492568976, 109353932748293185, 108249106013752343, 109256906323204875, 109337283812265216, 108322205459293013, 109256905705003727, 1297504, 109259055667399940, 108294915508654083, 109309504886369476, 109244081326433869, 109247219736728009, 109256667908415139, 109255418512267572, 18305, 109265141024413681, 36272, 109258769813704960, 109257931628327527, 109259385958532278, 109251556044783486, 109257662400042733, 109245140107250294, 108222296027205265, 109258727697841135, 130933, 109286669584107905, 108220028913379754, 109245332094566989, 109259296765475584, 239825, 465909]	Asian Studies
jagevans	c.im	[110149979465086052, 109845298550366701, 188669, 109313583679608371, 1138668, 108221818435278143, 109258696454625120, 109368779687740629, 109245541094634872, 109259679422576127, 109521080053828825, 109257816647054745, 109496074874520028, 246162, 109312339243698365, 108219153777910954, 109241995804981879, 109249727689978662, 109253654307358400, 531544, 108449440111950170, 970654, 109248587194780462, 108196945492568976, 109265141024413681, 109353932748293185, 109257694014005772, 109337283812265216, 1297504, 1150722, 108294915508654083, 109309504886369476, 108177765731866576, 109286669584107905, 109256906323204875, 109244081326433869, 109256667908415139, 109259263930506189, 18305, 274713, 36272, 109258769813704960, 109251556044783486, 130933, 108222296027205265, 109257189852046750]	Asian Studies
