mcastel	vivaldi.net	[110050772058725656, 43008, 106228335549883394, 109845298550366701, 109236538921218149, 108194890571976856, 109257458420206299, 108131899908535411]	Astrophysicists
vicgrinberg	mastodon.social	[108262377508893463, 110311238205166221, 109336851987706232, 109260205229131105, 109945590786258252, 108315834447031518, 109659984463651796, 110306612302450008, 110306534362401017, 110296891815390063, 110305562218997769, 109267823454013016, 109533333637366955, 109876150544544941, 1292764, 109361730293434063, 107537000312971849, 109299536341422844, 109410379170607687, 110300503332300679, 109332664830182124, 109364514023213998, 109451189310338438, 109324888767189312, 109592963935569822, 372655, 109515200977088501, 108262921470955929, 110296951707897949, 107049877473504289, 538896, 110292508138777124, 110287185520501953, 197543, 109530389722683711, 109525996942131302, 110283319608451523, 110279577422010508, 1205724, 109909242502234772, 109319815049248267, 1307747, 110278609141598882, 108130371603477611, 110258748472578010, 475880, 109372310275637389, 109253287426932325, 109560165247895416, 109348039343104811, 109291233772826575, 108439069617263722, 109313485286196471, 110029685998921029, 432377, 109258314949005776, 109433623051281024, 782304, 109356328593089718, 110272719119163613, 669584, 109303993509252253, 110269244112665665, 110265548537601107, 109257697805325192, 109386336007955740, 109300641731932089, 110260460489032248, 110254380240227944, 110194217114108584, 109978049397898987, 109294964899133606, 110136854990411670, 1371573, 109244306728191147, 110243568764523628, 109289889234080648, 110242451221008105, 108618770527769993, 109740626135107735, 1369091, 109395709598268469, 109331415169966565, 241499, 109423446966261805, 110033004621303452, 109429220820261108, 109365299269225982, 109432916645339725, 109474559662063385, 109247790874948047, 109403773025293309, 110225230267881813, 110235159320527186, 109454234194448568, 373459, 109509613756744581, 108222937271251085, 109295078426359052, 109316681744743868, 108194890308088987, 109257374601163508, 109417719197961130, 109383589852598449, 110225931584093643, 110216918429707365, 110216727607525917, 110216554654708827, 108196825937239733, 108209878018759152, 107880553072227993, 110203738236436569, 109276644798716027, 109545666953341800, 108276471528035348, 109336336376557361, 108197008808650806, 108198238120025057, 109294794353600679, 109995308025666250, 110188209515199938, 110196803244370844, 110103218157729413, 110158024634660584, 109398879121206134, 109231624990964794, 109381200111998958, 109560183291910589, 109299943347786322, 109540441975647904, 108228796735866969, 109340469475669318, 110173835391798753, 109506628150559666, 109288930952898735, 109721938884646705, 107645770444760218, 109521008939225627, 109801455612811931, 110165205475653493, 110013073120718206, 109264689169880806, 109581651445353087, 109258149718863806, 1012482, 110158394281402538, 109318587877120750, 109370997192790929, 109367709213664848, 109379525885356646, 110156474743664338, 108096914931537631, 109331733381013834, 110148731201183811, 110147770452129268, 110138651946655738, 109658530367094001, 505775, 110137275006739317, 108280232464985411, 109293130800424194, 110136339810340336, 110134527054633068, 51903, 110132186102582806, 110128543818838346, 110113886805311441, 317879, 109304164524381371, 109501714309922705, 110055883103514756, 109559744714139880, 109313901000775011, 109321695868622376, 110115008366972576, 109356832670895554, 1331224, 109501225134137976, 109236534062341860, 109372306238243805, 109461569630659427, 109367919444048964, 271028, 108226433878668498, 109850907299063346, 109441396861709629, 109799642141317127, 109299613595089165, 110103593215280199, 108259130117654498, 108131228612778218, 110073329847276601, 108199081121116306, 110087771878194103, 109790181191997167, 109286087955283481, 109309608701655202, 109449998590035255, 110085065837278755, 108082596805143189]	Astrophysicists
imprs_solar	social.mpdl.mpg.de	[109258819310618748, 1302832, 961187, 110050772058725656, 109845298550366701, 109869281139801490, 108238282984143523, 156316, 576400, 109516141129630307, 109240815222967721, 109244391680705843]	Astrophysicists
darren	astrodon.social	[109760075045504831, 108194890308088987, 109257458420206299, 110128543818838346, 109242018903457783, 109367919444048964, 961187, 110050772058725656, 109845298550366701, 109258865018489432, 109244566360072139, 588690, 109191448552044151, 156316, 576400, 109516141129630307, 109520600077491547, 109501188249816806, 109253288464043190, 109311590740099820, 559242, 109245061413598929, 109248207518940576, 109246329917074307, 108219153777910954, 109359456607544242, 109239429409630219]	Astrophysicists
esrabulbul	astrodon.social	[108194890308088987, 110197819225764338, 110174898712782710, 110128543818838346, 109367919444048964, 110050772058725656, 109845298550366701, 109248858103673300, 109257872212613962, 109259163902933965, 1205752, 156316, 576400, 109516141129630307, 496532, 109254527992886666, 7313, 109250229775078628, 109517922427121300, 109243932282177536, 109355094619217807, 109248519300289831, 109501188249816806, 109245356158845984, 109257458420206299, 1135273, 108219153777910954, 109244391680705843, 109245061413598929, 109258754451069494, 109257957418165533, 109245151139506014]	Astrophysicists
StellarAlchemist	astrodon.social	[961187, 110050772058725656, 109845298550366701, 156316, 576400, 109516141129630307, 109362124788112578, 109501188249816806, 481112, 108219153777910954, 108253220912704035]	Astrophysicists
mmontarges	mastodon.obspm.fr	[110248719932043327, 108133927535576701, 108194890308088987, 109257458420206299, 110128543818838346, 109367919444048964, 21165, 110050772058725656, 109845298550366701, 156316, 576400, 109516141129630307, 109250249754224023, 109258113559263722, 108193466169422663, 109240815222967721, 109501188249816806, 109259149248256689, 108219153777910954, 108216837411498328, 108141852945473920, 46100, 109247778044013939, 38103, 1095020, 109255250769100353, 251936, 43324, 33921]	Astrophysicists
AIP_Potsdam	astrodon.social	[109760075045504831, 110243196918280958, 961187, 110050772058725656, 109845298550366701, 321642, 423357, 108196653422011279, 156316, 576400, 106472025781397782, 109516141129630307, 882457, 108736664903517452, 298583, 109506073464277428, 109501188249816806, 109495173144337925, 493847, 109353138276799276, 109314521452243514, 108219153777910954, 109245320518756460, 381498, 108233849199017520, 108176559827658279, 109246231739569724, 109246500222476918, 109252350143243926, 109259683482371111, 109248843241268906, 109316328176131126, 109244391680705843, 42534, 109244081326433869, 108194517328875592, 672306, 109258865018489432, 109247092574464200, 108194890571976856, 574279]	Astrophysicists
robizzard	scientificnetwork.de	[961187, 19199, 110050772058725656, 109845298550366701, 156316, 576400, 109516141129630307, 108194791493448408, 109501188249816806, 108219153777910954, 109399538435830688, 108176559827658279, 531544, 108199143624564242, 109246940818242856, 109244790537181372]	Astrophysicists
hcottin	piaille.fr	[108194890308088987, 109257458420206299, 110128543818838346, 109367919444048964, 961187, 110050772058725656, 110009992431275556, 43839, 109845298550366701, 156316, 576400, 109516141129630307, 42266, 1135394, 109258113559263722, 109244720449000869, 109366665264741327, 28251, 108194322008899107, 109240815222967721, 108245194310443068, 109501188249816806, 108141852945473920, 109247712952305913, 405401, 108196653422011279, 43546, 109256395491427688, 108219153777910954, 108176559827658279, 559242, 531544, 109383674344015592, 109247571810718456, 108198346521338325, 44793, 108198768058516060, 109257136077135818, 42655, 109358307437793286, 109252522925716027, 109258145722280831, 109250438196428923]	Astrophysicists
