rachelOB1	mastodon.social	[110068921406778348, 110298565370478343, 110156777251808500, 110149979465086052, 108096914931537631, 1302832, 110077751539998047, 1190257, 110061724344117288, 109300023291041161, 109328452883553276, 109914895314826652, 109961078089097272, 109931121606763190, 109285302642769321, 109306757939022074, 109896231528359108, 109875865053887506, 109834317953230710, 109562095261559953, 109835548183020781, 109565396361434878, 109631654116498436, 109778893492138704, 109765130523403470, 109554008057681856, 109364321104851315, 109720889917685530, 109710506159156904, 109670385807430068, 109700474122301022, 109270947265558573, 109516141129630307, 109655404706941517, 108238282984143523, 109519285253645938, 109338503838201605, 109429106882847775, 109273659333945010, 109632508459662185, 109409486027360092, 109530696006057985, 109610414460298147, 109321270008672540, 109364679545825991, 109382122299197952, 109554412280816654, 109525401916062535, 109588291290542000, 481112, 109575787353540144, 109577018855106115, 109552679382173805, 109305724003593184, 109248148822501517, 109296438044962486, 109559815792927643, 109402364664408972, 109306079899353238, 109552991704842704, 109558448469707740, 109558386707015417, 109268599729335122, 109536372642283278, 109383213496638341, 109370570612983541, 109547680207413519, 109376724763110657, 109301898101940762, 109545967108336363, 109545732705333806, 109368123868832592, 109543705281147782, 109296884803667792, 109264989011633615, 109540669388779399, 109524282123164971, 109540158977566945, 109298905273631445, 109535052550294721, 108080487681172690, 109537213382236493, 109378618661133830, 109244603127757769, 109536027217721960, 109259840191896360, 109536568368377205, 109536226757469844, 109245541094634872, 109252049444705834, 109519926673298578, 109485878767582664, 109353833784705443, 109244591420919489, 109252853984981700, 109245115417764584, 109498068372362606, 109294964899133606, 109370971931209375, 109522375010057275, 109364595428687206, 109427065223863737, 109354038868949549, 109417064932612206, 109513542102779638, 109512965542821295, 109507328729396453, 109349834823114740, 109128697539919370, 109303824828433431, 109503378930246269, 109503384300115399, 109395824810608989, 109502143906400930, 109243737687279360, 109498514431654633, 109497983677093307, 109491201631434343, 109440890257414976, 109496508241248504, 109373724834717749, 109491819469263952, 109302522727695292, 109488431857050096, 109291906390090639, 109470335710094955, 109368029957317926, 109331998857841203, 109468540282136931, 109259774550317149, 7326, 108216327969720493, 109447431682236337, 109421678219273788, 109281997682486806, 109443620989192901, 109308547472647422, 109294718514769628, 109373892044406074, 109379424111573058, 109333323156541963, 109288742473530101, 109435563617505168, 109336172411754325, 109433747338134398, 109433726758042815, 109432941870624399, 109432247172014710, 109431780853765532, 109430527362072465, 109382109892073387, 109424476216045742, 109294644929971630, 326055, 109422734919865816, 109243446835972373, 109297680477936374, 108219153777910954, 109364509060984720, 109417674599717393, 109394303513819120, 109416774639621481, 109416241934475440, 109396521051492802, 109304561832125939, 109406637065678840, 109395662293361888, 109336897834217286, 109297486519835647, 109315903101247391, 109386409919625136, 109307929402202787, 109291974901915217, 109395582000381648, 109250750978069349, 109392086296775115, 109291831029255270, 109391057124979071, 109319492708080588, 109389926374520959, 109299938727698981, 109285485084839831, 109388761949680476, 109298494413764845, 109366721297695043, 109388507938198684, 109388491016728192, 109387999095947339, 109388019960115021, 109387586537865837, 109387306258685950, 109386248055342086, 531544, 109385922254342349, 109385575131352881, 109377870090143853, 109362771548557193, 109301982954585802, 109384182503440380, 109377536289047409]	Atmospheric science and air quality
subu_caps	airpollution.science	[110286353661124045, 110271482630407979, 110201628673618349, 373459, 465718, 1302832, 110047677867914249, 109893062787703479, 109896231528359108, 109124513607277209, 239549, 216387, 109516141129630307, 108238282984143523, 109247913618813992, 252488, 108198148424799836, 967607, 109498448185502107, 109290839478262454, 409685, 109251277683604189, 244891, 109243456233729087, 109245973249877235, 108197634993900256, 109498068372362606, 108074175128813052, 505182, 109242814939596194, 109259067481210195, 109362039774066111, 109514800160043545, 109510223699248801, 109354136597148165, 109246669305475081, 109259715560480271, 535690, 109497679316944767, 109353919249842743, 109248946783782537, 109247447988676889, 109245409174906070, 109243328718022482, 109242898655084411, 109258070537538220, 326055, 405401, 960525, 109241009733510564, 108219153777910954, 149267, 264203, 108142481850239084, 531544, 109243572799266690, 661696, 109249233874343984, 189039, 1012497, 109249566608216087, 109247142687663334, 109246451896427091, 108198710061854940, 109354484276141909, 109246547130255354, 109246863215824010, 109257336401153654, 497778, 109332173854504671, 109290802278036102, 109245932305095850, 109246449908583747, 109250784497130744, 109204195208038648, 108193978111323036, 109313583679608371, 288600, 1150722, 109290541312687529, 109254044001680383, 109251711103144876, 109256995332417343]	Atmospheric science and air quality
pHrozenChemGeek	mas.to	[]	Atmospheric science and air quality
H_Herrmann24	mastodon.social	[109285087566122906, 110303836103075705, 110298565370478343, 110068921406778348, 109953808562338759, 109287594174107215, 110214955548317694, 109336487384455564, 110217477936629041, 110197310587710024, 110103218157729413, 110149979465086052, 465718, 110147572900636958, 109698436254241937, 109984190960994281, 109375750627614931, 109261908147421975, 109257019015927299, 109480066205823705, 109976589863572137, 109295481915455854, 109363072020264919, 109306757939022074, 109506491967908320, 109499922749339411, 109896231528359108, 109372010439116982, 109887369537929054, 109852760857640702, 1078390, 109384182503440380, 109305055659406784, 109305055019260731, 109364314097346778, 109365839948055077, 109280588424719744, 109373385590373904, 108197561865957785, 109748740272958959, 109554008057681856, 109370891142878151, 109311729219895876, 109670385807430068, 109703289852374389, 109700474122301022, 109367257095417707, 109501398588025154, 109333012756699355, 109429106882847775, 109253659321939098, 109632508459662185, 109308552227217475, 109542019546216458, 109516849716854649, 109575787353540144, 109247620992852814, 109396521051492802, 109618072313709429, 109615850160748614, 109274344185225273, 109241244188066551, 109246362891393060, 109439720555654227, 109365868759693347, 109294964899133606, 109249908514012148, 109559815792927643, 109534460485792109, 109393375454710007, 109254552314364352, 109264840294737179, 109536568368377205, 109554738433269425, 109365871030541959, 109240473356108402, 108198192344049544, 109545124509396493, 109540669388779399, 109540158977566945, 109245662937354573, 109259164704846904, 109368358241696265, 109433726758042815, 109460241702291604, 516986, 109325113477251057, 109383472960754823, 109371392097424361, 109252872785107771, 109294718514769628, 109294073013338892, 109370971931209375, 109327341147562391, 109364595428687206, 109288286897489974, 109519698487975519, 109247737780123998, 109486961997979994, 109395824810608989, 109502143906400930, 109259715560480271, 109340358664932224, 109252853984981700, 109345240248146423, 109490862453760846, 108194698448048379, 109389503049821609, 109470335710094955, 109331998857841203, 109259774550317149, 109377823965483993, 109291177555187796, 109447431682236337, 109366201275773681, 109272129373672223, 109298884888541673, 109258175019292909, 109336894443221198, 109364122359525401, 109276462425262815, 109373892044406074, 108194660440392188, 108200919720950061, 109302411508195275, 109247712952305913, 109313019714034398, 109385222588275734, 109435563617505168, 109293084480204223, 109246122477531879, 109293906223311602, 109382109892073387, 109246412292589428, 109428748541613074, 108550014029103974, 107956988322022133, 109362591655397168, 108143407642974326, 109420957159690959, 109297790477347619, 109306712904220949, 108219153777910954, 109337578604181828, 109416755250695799, 109115846061778729, 109294644929971630, 109288554410033427, 109257376553865900, 109416241934475440, 109259103818935036, 109314749859844889, 109405343413957170, 109382587973585114, 109395582000381648, 109272063560524715, 109321413435291710, 109291141931645586, 109308462132308127, 109333251116185116, 109407076266604314, 109316088699825164, 109330576243808327, 108345781050254327, 109305054238285176, 109301636129994179, 109322725867462381, 109274329733480175, 109381891458758235, 109300892064993756, 326055, 109288742473530101, 288600, 109373700175059991, 109295874167701809, 109297542455472506, 109247439942974462, 1246042, 109391158368364256, 109308137647717193, 109375627748905312, 109242391821775087, 109390006721974138, 109379712422565893, 109365717715630828, 109411670505977055, 109403412784609833, 109246382700016844, 109366505541100261, 109315875729274343, 109246669305475081, 109363092706634413, 109245074061458810, 109343267323143284, 109299235376371743, 109333202552130264, 109255097003720165, 109292384349725655, 108236289702056871, 109309461131365383]	Atmospheric science and air quality
FlorentLouis59	mastodon.online	[109988897163025767, 109295310801202954, 110149979465086052, 107990518454921286, 109246669305475081, 108219153777910954, 531544, 109243695651522323, 109246018784846168, 109213377166929725, 42604, 109256713489381935, 109253673198150755, 109313583679608371, 1150722, 109256995332417343, 109290541312687529, 109259518584381895, 108198025077401110, 109251872024627632, 109257934119070850, 109243766396642934, 109259386082959184, 108243856535856081, 109256906323204875, 380885, 108197198493223887, 109257880280153444, 109259820908614914, 109250386931270967, 109254500824171874, 109246239156432493, 109241992397126854, 109273804282374194, 109247389689187568, 108194660440392188, 109288383846795296, 109246153972116586, 108137062828210459, 109211540291348951, 109257348977605586, 109251686068231815, 109257336401153654, 109245579674157990, 109242963889148246, 109251711103144876, 109250432982702689]	Atmospheric science and air quality
DeitschHaLevi	mstdn.social	[]	Atmospheric science and air quality
leanhealth	medibubble.org	[108193138671891771, 110208777419741423, 107610851002132625, 108197095005161104, 109250686010861100, 108243556863643000, 109354657172324961, 109250677234268035, 109252685874108527, 108274507108313061, 109360050679674157, 109244737388317898, 109242132901229652, 109245595775812353, 109247167897757971, 108198277024453709, 109510960317642522, 108192864173606699, 109247403173159203, 109244802293803834, 580786, 107817498104069021, 404312, 109248557476665065, 109238958365441047, 109257147332415393, 108226446526067311, 109248391861957550, 109355370723401614, 109120156312539516, 109245227401408553, 109246851522411639, 108079759900770582, 109259048497061697, 108227012523105737, 109494812114111624, 109245244711168592, 109241887121605003, 109311564260654938, 109244783974890421, 108197487741105250, 108568022177094048, 108233220966919549, 109245928860944598, 108250321458883024, 108197061738258514, 288600, 109356075650188254, 108194458089687281, 108219153777910954, 109238561618665920, 109247244987378063, 531544, 108198002860188750, 109244753368177551, 420026, 109245511971376476, 109245835020797720, 109259474726531087, 108197067153594220, 109240008699743780, 109253711775998581, 109354467257179944, 41496, 109358436833181302, 109246974137914528, 109239951772853156, 109247215539021164, 109246808431774761, 108267533573029091, 109247851253855682, 108194039038479831, 108195117669618765, 109245548670363424, 109246486184638919, 109246382700016844, 109244548704617835, 109253296809111096, 108136113722321792, 39111, 107116674911656929, 42604, 109259140652282320, 109116366084508654, 109256995332417343, 109244761199837956, 64005, 109249973150508075, 109313583679608371, 108197847215045986, 109244359919703950, 109248983655702188, 109247443688596623, 108231716901424888, 108196968458156966, 1150722, 109257514701867031, 108198025077401110, 108228419243224458, 109245836954218164, 109301505480879834, 109240457280547207, 109242007634228236, 109251080306385011, 109242019898546517, 109244294736134796, 108198338423122129, 108239346098119722, 109250113414800647, 152037, 109258337355034898, 109246474638347584, 997744, 1142721, 109245637344841478, 109246257626878254, 109246344796849650, 109245832671388414, 109244978188687234, 108198192344049544, 317084, 109245673297793722, 109112913351065305, 108196971848009706, 108194496253515032, 529782, 109244232900926874, 109247328623356972, 108131485697083627, 109247242786817103, 109247787185324134, 109244976338812998, 108137269120563831, 458946, 109245672464012451, 108402473156558112, 109249931981482708, 109241709560560261, 109250105414829833, 109246098692285427, 109238950410739987, 108239380071829992, 109239416039624078, 109245277037252063, 109246885301827574, 109253548603924605, 109251405286653432, 108220879027912116, 109241964949327801, 1020567, 108404609976890327, 108220532174839326, 109138409959002167, 109246139768762327, 109247504396509931, 109244203562691388, 109257664194828678, 109240905200570188, 108192245383965109, 109252425985167656, 109245698318156232, 109251628927842911, 109246771108863918, 109245865614168739, 108197315132728802, 108194466611762479, 109255607480655807, 109244920057797334, 108193464692560003, 108197042083578171, 108217308150727922, 109245173499580504, 109239671293601142, 109240666801794207, 108220586226957254, 109247333031079464, 109246172275313584, 108306274301833643, 108259930999984486, 108267527587092135, 109246305638110060, 109121292218155495, 109251531976163805, 109242500062788633, 109246491906779897, 1038950, 108196660181666443, 108194226902493992, 109250774267480622, 109244697525244372, 109247707025178200, 109250484010541791, 109250729564260918, 466669, 108197432612936229, 108220786500754116, 109244727092225630, 768911, 108197012526431063, 109239598196773644]	Atmospheric science and air quality
Juan_Antonio	mastodon.online	[108219153777910954, 531544, 108247529199810573, 1051331, 42604, 109256995332417343, 109313583679608371, 1150722, 109257669248545923, 108198025077401110, 109259820908614914, 544082]	Atmospheric science and air quality
embfranks	qoto.org	[108219153777910954, 109246669305475081, 531544, 109248537697496312, 42604, 109256995332417343, 109313583679608371, 1150722, 109290541312687529, 108198025077401110, 109251872024627632, 109245832817664306, 109259820908614914, 109248897805189259, 109245783259211107, 108197271326739904, 109288028149333461, 108141048066048270, 109257669248545923, 109250432982702689, 109251711103144876]	Atmospheric science and air quality
jljcolorado	qoto.org	[110271482630407979, 109998626709004213, 109205963723515372, 263423, 110191588609718107, 109375072506610249, 110098313099721512, 109859086586434540, 109246823249940290, 109297868177550177, 106887462825018571, 13327, 109357459634993324, 109353721851504842, 109242875206644932, 109331988308488695, 109250677234268035, 109367795837192183, 109256115874030121, 35982, 109249005072701059, 109508695544667259, 64121, 245594, 109248933770569949, 109515215538763628, 109520847954706206, 109257669248545923, 109498068372362606, 306048, 109239907773964459, 108199005031226769, 109240869840732269, 109498400264324973, 109490639256829817, 109355993817153773, 108477260267373920, 109241705170364513, 956578, 109246008986732099, 109362038651799701, 109249060740837040, 108195697225925385, 1134133, 109245416160611971, 109112377222113340, 109357219056707574, 108306244535060125, 109258325796016673, 109252350143243926, 531544, 109376806243133864, 109245735020568227, 465718, 108219153777910954, 108195640655083651, 109260059307683091, 267735, 35582, 109257957418165533, 14601, 109117813724729237, 109261577414253733, 109248537697496312, 109246321919348605, 109246547130255354, 42440, 109245605332189037, 109361343764708030, 109245453515311893, 109314908702735273, 109363276823166563, 108368749354925296, 109257503889965807, 109249941316630982, 1055273, 109244548704617835, 108550014029103974, 109257336401153654, 109252948248051660, 109312909146220777, 109298738384926040, 268978, 109243393564916106, 109362902335809561, 109362228327340735, 110355, 109362156761816739, 109357956517931163, 513224, 109344937831932020, 109251907807190353, 109248655249416471, 550335, 109324383908362631, 109249572761165915, 109251202208890442, 42604, 108137860777205404, 109246265859217658, 395917, 109313583679608371, 109249067191039814, 109291120872588739, 109243328718022482, 109251606283749643, 109248237125912907, 1150722, 109246411556825916, 109290541312687529, 109249255222921910, 108198025077401110, 109251872024627632, 108197012526431063, 109244586384945837, 109257865665221058, 109249148109684962, 109248597880754588, 109245409174906070, 109256995332417343, 109258135263518759, 109258897947760041, 109253675516033588, 108194765445889612, 109259715560480271, 109250271226511338, 109249599339128258, 109258563051216879, 109247242786817103, 109249086667480896, 155732, 109246043034170937, 109258110552362706, 109245631192496345, 109251628927842911, 109259820908614914, 108253853886310148, 109251379934438353, 109251609392606708, 660832, 109245604719274864, 108195801930159612, 109255579079108676, 109253468172621220, 109248897805189259, 109215806011730188, 109252105584777970, 108250420674532081, 109247393350717484, 109246039769118046, 109253788960268740, 542347, 234453, 10137, 109252806395658912, 109247447988676889, 108198719170517347, 109245306552513101, 109244789157683001, 109278638811328154, 109244873849193955, 109251277683604189, 108285135942581758, 109257014390152009, 283182, 857572, 1080517, 109295596000870732, 109208452247321378, 109259654553414331, 108196954780354041, 109248411734698442, 1038413, 108192632586589170, 109246257626878254, 109246144756219368, 33371, 109245901952601288, 109248566173872562, 300475, 109250015563677888, 109249320123158155, 109253091211790903, 109215572459818657, 108195741285464174, 109249698186883251, 109247154288140193, 109246959063015253, 109246127135375415, 109245314736462852, 109246905790138063, 109250432982702689, 109241589676573249, 109258656608370660, 108198681837143789, 109246493122475207, 109251711103144876, 109249184587449048]	Atmospheric science and air quality
