tony	hcommons.social	[109930984016325938, 501751, 109248152768065493, 109518690896487012, 1295601, 109481969971041179, 109246308036614816, 109355526679906887, 28059, 1136667, 464393, 109354787096456222, 109313010717732138, 109245239794809872, 982376, 487104, 979873]	Biblical Studies
pmphillips	amastodon.uk	[110238362372589361, 110106604540818222, 17716, 109930984016325938, 109852041031725331, 109516141129630307, 109243388372609150, 108198704692509177, 109249727689978662, 109497273217114941, 109481969971041179, 109357053635740224, 109247874123622902, 559242, 109354600268066616, 109244355608618266, 450972, 109354787096456222, 109362295015959416, 238772, 573016, 109248152768065493, 38818, 109257682328830943, 109258557773710232, 338275, 109330463858194472, 109113053657889770, 137024, 19614, 109245062935801881, 109253013345809268, 108197353164429563, 109203796694396501, 109251263166933851, 109244610888648684, 108217295884722939, 409710, 108196752465494622, 109259743076912247, 109112810904673656, 109248539386398771, 29828, 186913, 109249447597925115, 109250358725951700]	Biblical Studies
giacbelloli	ohai.social	[109481969971041179, 109362295015959416, 108197550408617964]	Biblical Studies
tyndalehouse	mas.to	[109248152768065493, 63868]	Biblical Studies
praxeas	ohai.social	[110002500700527208, 109941021932547079, 109965550511212123, 45415, 108196752465494622, 109226412636014421, 108193385994125194, 286791, 109520852433950308, 109251019025295792, 109245686536259999, 109481969971041179, 109248152768065493, 109247011969679276, 108240681824852698, 109252869280635120, 109113053657889770, 256423, 109112810904673656]	Biblical Studies
mariefrb	sciences.re	[109845298550366701, 109243139631965273, 531544, 108221818435278143, 186913, 109257050230682455, 107588925506974839, 109362205003410002, 33976]	Biblical Studies
rwallace	mastodon.social	[110304401993449153, 110216373806168588, 110164224660541094, 109256527084357192, 110034515060437565, 109363072604388999, 109383504833205000, 109089940763033471, 109377787785576134, 109375102130812388, 109637358873165057, 109258417922841270, 109501222601845151, 109536165054434631, 109320599446452174, 109356543768653642, 109327429024133969, 109383948413702289, 109294485544942706, 109367464644694919, 109363577964376388, 109291815204438590, 109284924938170237, 109368341464971255, 109248152768065493, 244580, 109337845923992497, 109241807318559712, 109304045829055046, 108195640655083651, 109251317121850852, 109243329645790227, 109279021897234545, 109258697141354217, 108225675103584097, 109255535007684853, 108280434766735785, 109258345591321292, 109252303098458657, 109245290840125572, 108353070297262661, 108279921775330710, 108230421129359145, 119096, 566969, 108199796452209277, 182856, 107073591748367925, 300525, 139944, 917220, 910646, 827498, 814224, 279296, 253816, 210795, 15337, 154609, 7209, 163469, 15620, 121411, 60175, 153256, 14140, 14916, 13744]	Biblical Studies
JosBernaer	mastodon.vlaanderen	[109845298550366701, 109243139631965273, 531544, 109257050230682455]	Biblical Studies
tjhayes	deacon.social	[982376]	Biblical Studies
BibleUnboxed	mstdn.social	[97645]	Biblical Studies
RevEricBurrowsStone	deacon.social	[109965550511212123, 109258417922841270, 109516141129630307, 109243388372609150, 109248152768065493, 109249727689978662, 109481969971041179, 108220881967979002, 982376, 531866]	Biblical Studies
egwalsh	mastodon.world	[109516141129630307, 109243388372609150, 238772]	Biblical Studies
joseph	bibly.com	[107619210314635080, 109516141129630307, 109253488199007546, 109248152768065493, 109249727689978662, 923813, 95788, 982376]	Biblical Studies
acevedo	dizl.de	[110050772058725656, 109845298550366701, 109930984016325938, 109832992281914534, 109243668825210826, 109516141129630307, 107192220324249637, 109243388372609150, 109246554904857531, 109368779687740629, 16163, 16554, 109246085727937996, 108197092546215626, 531544, 108219153777910954, 109249727689978662, 15626, 109246120984435842, 109313583679608371, 108402588773468248, 109249252317987436, 109247219736728009, 109251993698453396]	Biblical Studies
FireAndWater	techhub.social	[]	Biblical Studies
JFSlicer	deacon.social	[240549, 109259733959194695, 109520189049138124, 108081649391041202, 109248152768065493, 109246789371093439, 109353238460046585]	Biblical Studies
AKMA	religion.masto.host	[109842486319167890, 110173335703448754, 465718, 110123977780289807, 312088, 40520, 40242, 109297500981599578, 41825, 233513, 109857402965573951, 109838099541871656, 418051, 108216972189391481, 109516141129630307, 109243388372609150, 109242979479899029, 165277, 236435, 109365564251042230, 7298, 18881, 139490, 109481969971041179, 109471433863974942, 109208442152198181, 108240681824852698, 480653, 109251196738685843, 16145, 109247619573708468, 109196062781967761, 449342, 108195046425770204, 109246606745043883, 109247712952305913, 109251105352188165, 109243139631965273, 109254806128910653, 38224, 108197353164429563, 109252869280635120, 109226412636014421, 108193330630985077, 42515, 260525, 20210, 109258619110170081, 20400, 109257506250047616, 109243146710778562, 29828, 14185]	Biblical Studies
rickbrannan	hcommons.social	[78354, 109362205003410002, 107151167950408440, 108197353164429563, 109249447597925115, 108240681824852698, 109248152768065493, 108197873928425950, 982376]	Biblical Studies
YaleDivinitySchool	mstdn.social	[108149535270263068, 27938, 391386, 17716, 110033157664429344, 110033437886967602, 109946173585204448, 197139, 662143, 109841710926341409, 109357053635740224, 109838356117230415, 109249447597925115, 108398076672283697, 338275, 36325, 109361306264413907, 109313583679608371, 109520852433950308, 109519342296546119, 109250799177483008, 982376, 108196752465494622, 109514226811239792, 45415, 109246530404595912, 109258445187528226, 624137, 109246823249940290, 109248152768065493, 109356340976702084, 109246452340438312, 108217031099672934, 498202, 109481969971041179, 109507426698700178, 108193124327407121, 109254594005340924, 109258632819802451, 109519657928772133, 109510102197546057, 109361875355309061, 109251019025295792, 108240681824852698, 109519409444805055, 514792, 109362295015959416, 336325, 108225147589334308, 109258834639858924, 20435, 109253481359454535, 1123780, 1295601, 108321484221617744, 375055]	Biblical Studies
Ian_BTurner	mastodon.social	[109377787785576134, 109248152768065493, 109429597874085678]	Biblical Studies
jamesmacknight	mstdn.ca	[238772]	Biblical Studies
berglund	mastodon.world	[]	Biblical Studies
profchrismjones	sotl.social	[14140, 109244998519030923, 16163, 28059, 510374, 249219, 596933, 109257682328830943, 108194363543185150]	Biblical Studies
thepunkmystic	thegreendragon.online	[109481969971041179]	Biblical Studies
pauldavidson	mas.to	[110149979465086052, 109845298550366701, 109313583679608371, 109312233612712931, 322477, 1138668, 109248152768065493, 559242, 108221818435278143, 248715, 109246554904857531, 109368779687740629, 109512125780215404, 109245541094634872, 109243729427183229, 109481969971041179, 109355633517168541, 108219153777910954, 109249727689978662, 109354600268066616, 109255406191199919, 109353932748293185, 108222167037371583, 109256906323204875, 109337283812265216, 109311796597263002, 1150722, 108197353164429563, 242541, 109309504886369476, 109140788257465131, 19975, 109247219736728009, 108177765731866576, 251129, 36272, 109258769813704960, 109114279696571359, 476510, 109251556044783486, 109259385958532278, 108081360384668638, 108222296027205265, 130933, 108252684234473892, 109258782157110936, 72373, 109258727697841135, 109257931628327527, 109286669584107905, 108220028913379754, 16776, 109245332094566989, 470782, 465909, 109245413456050702, 109241995804981879, 427636]	Biblical Studies
86ul	vivaldi.net	[110106604540818222, 109872307124464426, 109481969971041179, 427636]	Biblical Studies
richard	cylon.space	[110068921406778348, 110222542023575291, 109245799585295737, 110192908506089827, 110254685949844009, 109258768109778160, 109247179587242124, 109243706270006429, 661960, 834875, 108197092546215626, 109245466443145826, 109357053635740224, 110105158000876255, 109246120984435842, 108176559827658279, 110111215829480126, 109203796694396501, 110045112965022035, 110067152528947898, 110039398963295853, 16163, 19311, 109259738495981019, 293603, 109354368521171141, 23439, 966734, 109252862737557192, 109837834317374255, 7343, 109214557059952029, 107192220324249637, 329087, 36106, 107900439610011585, 109246557070683003, 108277881690305459, 109250654645486476, 109259198766719598, 109253160378020836, 109257280804404132, 109257209981799601, 109371156678349255, 109245430593163172, 109252975695909094, 109310238010975029, 109246085727937996, 109259046480446043, 108254504018816288, 109260050935712967, 109377204846469219, 109244649251416505, 109259772431535046, 1013548, 109297974658719522, 559242, 109258644818464289, 109245927055418203]	Biblical Studies
