jocelyn_etienne	scicomm.xyz	[109506468176586107, 109500119933996819, 109516141129630307, 108231001443953984, 109259305273231461, 109245776896650457, 109246074400028847, 109331776093990272, 107805478326922078, 109247621717718142, 38103, 109257143813191096, 109303354121715560, 109248048124057135, 109300420274055412, 109249212442662341, 109248350877345699, 109287979666235020, 302372, 109258454358818614, 518651, 109258520134686662, 471838, 109256160698592646, 109245783259211107, 109244634226674137, 109251364677092787, 109252897411732917, 109245538719694783, 109255667727382595, 109251757655353910, 1278165, 108083644122837944]	Biophysicists
quasifrodo	qoto.org	[109516141129630307, 107805478326922078, 109242787308819526]	Biophysicists
JulienDelpierre	qoto.org	[109331776093990272, 109516141129630307, 109259305273231461, 109500119933996819, 109256994015489611, 107805478326922078, 109248178378226165, 106670616993517249, 109250438196428923, 109247712952305913, 378377, 108346141895885183, 109247621717718142, 94970, 109258454358818614, 109246059349034462, 109245538719694783, 109269307006469251, 109291778342663619, 672306]	Biophysicists
MatthRef	piaille.fr	[109258567966220167, 109516141129630307, 109246018784846168, 109258018676849983]	Biophysicists
askennard	qoto.org	[109514047461796269, 109516141129630307, 109521384437603528, 109495819903268857, 109269307006469251, 481112, 323365, 109358360455215547, 108197873928425950, 109247288577137500, 467027, 109256547971087195, 108294260946444668, 108277694041961072, 109251257488427834, 109245783259211107, 109248178378226165, 7462, 109252853984981700, 109252603191613691, 109245538719694783, 378377]	Biophysicists
maguilera	mastodon.lol	[109853600524506799, 1144750, 109516141129630307, 109518911446134873, 109492800746378242, 109508786115599779, 109244417040649963, 94970, 109512631184547880, 108217439974865383, 109258225646662568, 109259821905398738, 109507492279379069, 109353502730604772, 44998, 108176559827658279, 109249727689978662, 254213, 134070, 531544, 109246325828395599, 1084942, 563489, 835901, 576400, 1075582, 7749, 1053382, 109207707082497159, 1077888, 582639, 109246939871074414, 109248313209346436, 1038476, 108194409233820666, 108639830628997156, 109238792868412834, 109246203830224088, 108221814839663429, 107593230484420651, 109258693108953224, 109246594782285905, 109258018676849983, 108130936746018069, 108374291831271942, 108146646974280552, 1097534, 108194135973183030, 1060015, 108090141451192168, 108197517254054442, 1055850, 1057924, 1027883, 108142603493060428, 569138, 1197713, 1044393, 109249526276537136, 918521, 1417122, 1059025, 108131704610727904, 1048580, 108132114619397423, 657986]	Biophysicists
lewlab	fediscience.org	[109506468176586107, 109516141129630307, 109498538148430787, 109364963757540824, 154181, 109240201676345494]	Biophysicists
babagley	sfba.social	[]	Biophysicists
martinvoegele	fediscience.org	[110136198944723870, 110149979465086052, 109909642125992389, 108231708836017205, 109249424889135853, 559242, 109258018676849983, 109516141129630307, 467027, 109259106770656681, 109507248448403738, 109258567966220167, 109247242786817103, 109251453944116762, 109249601036290848, 109246382700016844, 109256995332417343, 108133312197922519, 109371592500828513, 109248651832553870, 109249953659133159, 109248398516324797, 109259382262082696, 109248578108503061, 108137062828210459, 109290698173503397, 109360967904347811, 109249096570694910, 109248005919031367, 108217621113663787, 109257951989027134, 109213377166929725, 109246018784846168, 109257487168627188, 785845, 109246153972116586, 109246899042996047, 109254865151680729, 109257941536351247, 108255036824909071, 414371, 109291778342663619, 109257851215221327, 109258936946672096, 108132610055024720, 108194660440392188]	Biophysicists
dtl	mastodon.social	[110309320171052433, 110004176613439718, 109840438341062109, 110286469598340623, 109251515401187185, 109847070264636922, 109378182229492389, 108131441648871216, 1064208, 109859767900728689, 109322421438911582, 109677091091118731, 644533, 108251780235767234, 110103218157729413, 109250435823482584, 109308967155776487, 109419358829265256, 108196221088372004, 110166989114230064, 109364625216406301, 110156474743664338, 109283047057849912, 109330009168560461, 109252072242781385, 108096914931537631, 597894, 110113935839242794, 109364421578717119, 109550042436983481, 108198032084592827, 109270184947098523, 109291864404595413, 110118250900084088, 110049512375598555, 109386768643434797, 110111545384122180, 109324099758638992, 109299179217276100, 110034484360895187, 109603124598724613, 1284391, 109027396626450931, 510714, 109298108852631113, 109984190960994281, 109254179693731699, 109824850164971498, 110046343236738828, 109537653496583123, 109432643096639059, 109353223768352826, 109243548225279468, 109721572696924872, 109293230094055773, 109264693261771122, 109613632680380896, 109355899877261046, 109389735432382294, 109773935449158248, 109684850845850561, 106111245630414931, 109281011736144070, 109375549933895968, 109288953940108880, 107609073827437491, 109632924400266088, 109876923399574271, 109526523821989236, 109812827401696011, 108201118407594617, 109315587124768980, 109540379293562791, 109265277788769753, 109348204862012272, 109381418440742878, 109573787777318747, 109873400085815546, 109305030507590431, 109257971674343622, 109937425305738372, 109321973532318075, 109300470525999518, 109528632346207454, 109348152087410691, 109288335968691257, 109304324481630013, 109874306583413222, 108141825245563643, 109873751818137037, 1230935, 109420771717593341, 109389096038907486, 215357, 109830644191210221, 109566018021543111, 109704831158081426, 109306645580844494, 109824167118689219, 109271046519275926, 109387728259039667, 109298788771650040, 109326476137142602, 109803598617184343, 108217661718174629, 109801575055795445, 109801567458065996, 109378424223502669, 109395271302164695, 108193897525562716, 64675, 109304267051959571, 539396, 109387656458250890, 109792534061320992, 109298484791510413, 109325900045950695, 109734730655443810, 109381908797947151, 109260114928455167, 109289324054501375, 109276007211588752, 109751614859307780, 109298145055345803, 859347, 109306761941559516, 109302362827874228, 109307005540531785, 109276316188858570, 109740703120802275, 109481703677631926, 109454865810158710, 109368768591089543, 109701158075267038, 109374728273027433, 109268169875198066, 109291237437775567, 108554444486245752, 109281754940414252, 108279052952186091, 109336695050428922, 109291796580846736, 109327386634717635, 13958, 109354643080970666, 109354597088013029, 109364043009343142, 109352642404859262, 109354597651363273, 109354596879825194, 109354597908805811, 109553984800085037, 109336271803114282, 108204437657177985, 109672104613663321, 109562737871367759, 109373414060722555, 109350819005651090, 109395213324300332, 109529241974513093, 109435762767845402, 109656100070011771, 109503975025314422, 109502609253882878, 109360632400966968, 109261305012793624, 109405424875874956, 109378293127181528, 109338514093594701, 109293037247449928, 259792, 302867, 109603938806074277, 109383728738037339, 108226716278186625, 109253341885961479, 109256025005381716, 109630170620299382, 109262912116170601, 109243438268562893, 109366252171380975, 109352802018980382, 109352805413905436, 109575787353540144, 109625492505377106, 108131420726034757, 109384380611472994, 109205518627408172, 108373033366655140, 109328065411314334, 109247268345059717, 109378626566939074, 109411657625347342, 109377536289047409, 109536819785109071, 459987, 179726, 287381, 109311678958401815, 28029]	Biophysicists
