SJLahey	mastodon.social 	[109675877561435991, 109338232845672203, 110228249184488883, 109625891189371860, 110232270809415920, 109332726889083041, 109295595524289727, 110206615099604822, 109319364968317084, 109433623051281024, 109313616138759217, 149178, 110081005694678436, 108199374483370995, 109559655484540989, 110272163293403891, 109268477684569816, 109847070264636922, 110261201439161901, 110260101270265633, 109346748972408191, 110255114024079669, 409660, 19522, 110250324725303428, 109251636239901728, 109926953746983391, 110241687084908112, 109293845387517352, 110231109976274880, 110140720648703656, 109257019015927299, 109626275433252185, 109371189645004442, 110196803244370844, 108194513977756967, 108207609497733939, 109349921724720328, 109909782922629175, 131133, 109383760608933049, 109327428941964211, 109413534912589392, 110149979465086052, 109609784186687639, 109798025259458777, 109374386366115755, 109734441305082970, 109361983014602343, 110128881170754187, 216387, 109893799225362211, 110134261697242826, 109379686398710153, 109445791705967413, 109666231289219728, 109677182366492929, 109245952657890340, 109414033960333763, 110100787344493802, 109953960240450963, 109891715087206901, 17373, 110118540315783195, 110111958056697630, 109310197576599674, 109905899825873505, 109939952408806346, 109676928051118971, 110075920545593764, 110073850102842279, 109349303219266656, 109292459181214431, 109276275346806337, 109316080617170622, 109309579282278287, 109327750932635521, 107322277174062140, 109367045853975554, 110008214059436244, 109526995082125085, 109326843932464624, 109797487503734710, 109533165455685302, 108201118407594617, 109364862073330814, 109303839112485682, 110003953555492038, 1217069, 109324608804215469, 109992029058130424, 109906378552437952, 109332551197526882, 109987577129194628, 109786367697575917, 109982571724585962, 109977666643219232, 109509471155165535, 109281156925686001, 109257671407320300, 455321, 109860928719442092, 109362483818304505, 109965731878096697, 109927584088404957, 109372040503818758, 109312582618562080, 109842670944308763, 109845298550366701, 109921891316957661, 109443945720423620, 106221397423636497, 109882635881198737, 109868402655994547, 109419970456362863, 109428410624209952, 109246217288487125, 108194334941087561, 109846611029614584, 109846281060378041, 109841814080826930, 109841372620724201, 109837239342281704, 109661684968371603, 109340583873707622, 109808507900395258, 109563066137226137, 109348704445864910, 109302959116030660, 109677091091118731, 109313583679608371, 109757042555290035, 109754470722708398, 109549548389468921, 109750963968967984, 109734506473674772, 109372145626259690, 109419757705962474, 109711040013012215, 109291353168974536, 396284, 109690906109453862, 109620219645948620, 109292236172055483, 109367301648927736, 109649791258321079, 109677092420757563, 109522817926849927, 109286358919610438, 109659158914143674, 109603689534298210, 109654683868650074, 109421661903243418, 109304683962915778, 109650239837848334, 109264025189368306, 109264316744043476, 109454865810158710, 109639321305112518, 109381418440742878, 109375608330320624, 107192220324249637, 109622290758419458, 485033, 109600565098282268, 109608647651775226, 109258830135627621, 109350896507703492, 109593015299512354, 109325841933678630, 109261052783268079, 109598624198226702, 109292969058639546, 109535759255741876, 109417824890291127, 109590805565560633, 109589369246884307, 109587289491774606, 109286298842720336, 109298038538967678, 109487440441789938, 109326089248813292, 109294327528520933, 109291142164225873, 109530718949027812, 109337071735704255, 109337012059510614, 109580633685139762, 109321408323156336, 109562928577185095, 109294820168945522, 109288835241836804, 109258859281981837, 109326615367095084, 109254794072240383, 92831, 64675, 483685, 109260159993322204, 109540441975647904]	Book History (BookHistodons)
RareBookLibAntw	mastodon.social	[109297212758094009, 110260101270265633, 110255114024079669, 110098523946534892, 109403232005745718, 109336021613182786, 109845298550366701, 109914895314826652, 109267762437069122, 109832892271565989, 109826298710147677, 109273624930629233, 109267801177392775, 109754470722708398, 109710358978118039, 109258155870052352, 109241538732270049, 109642772836945472, 109631467372306834, 109297874290055442, 109365705459289108, 109533165455685302, 109285079085936598, 109530718949027812, 109520685179430433, 109372273062636255, 109376692465141429, 109562746543322121, 109296446065430798, 109553390891585689, 109528813657451614, 109243569099988188, 109541710411919272, 109546887690082643, 109545307216165294, 109419757705962474, 109285761795008706, 109540009225261203, 109364874231588424, 109538614961498482, 109538351177712369, 109537646265444290, 109302452049063962, 240848, 109522300148298044, 109526732351532724, 109303562621806411, 109298072204860974, 109528806601442014, 109480158581433198, 109522848703843537, 46100, 109290244622413538, 109366005772133115, 109247819385807515, 774161, 633918, 58132, 109266278795729527, 109515431341226125, 109514039456555808, 109301174412388602, 109500480465983230, 109303767265248160, 109278783051778128, 109384336686489395, 109329401963110447, 109413859674444649, 109377536289047409, 109264670212557618, 109439174015740341, 109439194620356728, 109275782702845738, 109427016647967316, 109437654801159157, 19522, 109366124119121257, 109374288102947195, 109252578714128328, 109365113670189514, 109365445605205244, 109364930355906307, 109292165114567592, 109292675623545057, 109298996818591151, 109316980081915650, 109308831037806649, 109432060164843384, 109426352965113258, 109040850957660069, 109325843877264503, 109306500177311139, 109312660291087546, 109294318913248989, 109305036062403676, 109296647984701649, 675173, 109336839484349196, 109372087185494149, 109249491009998215, 109361649022937374, 109284378160561934, 109362451641723385, 109307042557370025, 109430301809181120, 109294888491522296, 109347364271987808, 109357889723847883, 109299158875999041, 109410830005833307, 109417759770544573, 109412403671781087, 109321670875516494, 109335499201461917, 109365340177970370, 107560118220270926, 109427835112514580, 109426889444404909, 109424153559984215, 531544, 109421523112445687, 478928, 109417532846861253, 109417535736555107, 109416995230489319, 109416884141100224, 109406153620643868, 109413485562967705, 109373831298296445, 109376280006418594, 109247019547619419, 109383833002609463, 109405357714662882, 109403634150131050, 109312700040421034, 109374940255048997, 109384625191614330, 109269517239826671, 109389050195014403, 109390133898208853, 109387543338151508, 109388433426972778, 455359, 109246387075014738, 109249972094911371, 109387124857437132, 109360501421577558, 109362711094392564, 109363041392925258, 109384071471025121, 109290448501943156, 109247712952305913, 109383307908287156, 109381203117534286, 109348603403775471, 109381114933077392, 109295234030636264, 109329125617503195, 109293831132362118, 109378508566076677, 109378342295344972, 109378005060967735, 109378104061192489, 109377763210488923, 109372124731171287, 109259210608578587, 109376126055541562, 109328324307897807, 109376451228945955, 108193931816925454, 109365764847671575, 109374386962997839, 3258, 109253981389795714, 109367826005335079, 109371271627568016, 108194324873513848, 109331979724722502, 109244592723055225, 109368414286309172, 109368213383664091, 109367515856015441, 109365602275676707, 109322917057112641, 109364830548489173, 109362925052940618, 109364948968848374, 109292431918223031, 109364780815484514, 109331137238817583, 109364584388229000, 108205774572842080, 109364325933906828, 109313782487732248, 109307855080197405, 109363710943847342, 109362291449839509, 109359506666990249, 109354220510010391, 109331306544862241]	Book History (BookHistodons)
phil_lol_ogist	mstdn.social	[]	Book History (BookHistodons)
SegoleneG	fosstodon.org	[110213710556934957, 131133, 109845298550366701, 109269307006469251, 531544, 109246120984435842, 109245742041888207, 109243139631965273, 109313583679608371, 109258474789793517, 109319830301938729, 36272, 109257945507422703, 109245477152851767, 109247219736728009, 457890, 109241995804981879, 109256288710936152, 248501, 109246308036614816, 28059, 109244878628435597, 109253123235743333, 109246929382991865, 234887, 109253102434044247, 109250414750522060, 109250467311834639, 30628, 109250394036663027, 107966264337857281, 109243734632223154, 109257839126102333, 108194334941087561, 109257050230682455]	Book History (BookHistodons)
zanna_vl	mastodon.online	[110149979465086052, 110015220655457205, 109845298550366701, 109259550481575707, 478928, 109813298659827987, 109313583679608371, 106936218823990250, 107151298171517073, 109360473432334702, 109246554904857531, 109368779687740629, 109246308036614816, 109250167864758635, 109245541094634872, 109491819469263952, 109253147880628784, 109367045853975554, 109252414900847516, 108265975511035401, 109362231369783970, 531544, 108219153777910954, 109247019547619419, 109355002504438403, 109355508012214482, 109249727689978662, 109258561958613202, 109253210750673263, 109282547949998510, 109240835082812321, 109247463429694374, 109246716101630124, 109246548591018015, 109360043505506587, 109219111203750403, 511497, 109360501421577558, 109259107886860679, 109257067274306771, 109353932748293185, 248501, 595671, 108197301884278299, 109256906323204875, 109337283812265216, 109243139631965273, 1150722, 109247829295773323, 109309504886369476, 109259237230900720, 108194657848839308, 109245356175019424, 108137385050689627, 109257510672001367, 109245344908479361, 960887, 109245315627109899, 108197679983522147, 1093849, 1200654, 108203544573254475, 109253010298236054, 109257169134091662, 109259255038992780, 109255827296489530, 109247731622251011, 109247435278417605, 109253005010515849, 109268406823374089, 36272, 109258769813704960, 109250414750522060, 109257050230682455, 109243734632223154, 109259385958532278, 109251556044783486, 130933, 108222296027205265, 109258039221388521, 109223848918067806, 109250477015172152, 109258727697841135, 109252062231695350, 109257931628327527, 108196887204460905, 109259210608578587, 109286669584107905, 991524, 109256243499071669, 108220028913379754, 109245332094566989, 108196945492568976, 465909, 109246418148596330, 109241995804981879, 109256905705003727, 109259055667399940, 109259855425926327, 109246120984435842]	Book History (BookHistodons)
Friede	mastodon.online	[109258768109778160, 16861, 110187853628614752, 109258830135627621, 465718, 109257667776772001, 108083644122837944, 110123904828169905, 235380, 239442, 109298403917943278, 110091848955355009, 110042899183808491, 450829, 109246085727937996, 23439, 109243221612903701, 109845298550366701, 158789, 109508078346414689, 109242018903457783, 109857402965573951, 109508687565513444, 257226, 598061, 108307888724454370, 229034, 478928, 229856, 38463, 109258155870052352, 108193887890976307, 109256214902879153, 109243668825210826, 409660, 109490125598521417, 895130, 109252437565720554, 16106, 109290863468520688, 109243842251256809, 109254020385210132, 109246554904857531, 109524086609326636, 109242481896345605, 109536766992354281, 960887, 109234840206704865, 414412, 109259334169562994, 109361835410847539, 16163, 109332813027684885, 109257143813191096, 109361982771892231, 534197, 109512487300271613, 109511736285672088, 109365800997420385, 109356557857014145, 514368, 108147087055662876, 166618, 28059, 14771, 109257823609144517, 109394770510287303, 109298142640774056, 109281604552407359, 109245694840710956, 109257681802414496, 109256632647177191, 109246120984435842, 109243402418151851, 109245531519879403, 531544, 108330217668217748, 480900, 109238454469552745, 109378428934099428, 109252797841667882, 109246748281377829, 109252360582880815, 108226536413627514, 239106, 109258795057181397, 109248142058234254, 108195262731141362, 109358167458996240, 857177, 109207984213832322, 108197136753973121, 109258311992013090, 247423, 109244584031391932, 109283048126538366, 108370184432496491, 423701, 109243139631965273, 109311562852597588, 109258494512630142, 109326707200652796, 109248215481615061, 109241462721783852, 109259055667399940, 522618, 109313583679608371, 109259896717311576, 248215, 146274, 235229, 109254033777225389, 109247219736728009, 763917, 26226, 234265, 268557, 109241376407846725, 248501, 109246308036614816, 109257957418165533, 18305, 486730, 109242493568189137, 108266134751872554, 109253005010515849, 109237932196142664, 109257910094329763, 109258708476117795, 274713, 109243981752712277, 109243734632223154, 109259927125464714, 109246929382991865, 109259352950684401, 108194334941087561, 109260025077216209, 109241965172656503, 109257662400042733, 109258581065110986, 109259503476689020, 14611, 109244300532873030, 109259210608578587, 109253105455714837, 109259797244452860, 109241472157380740, 109246106881028624, 109251239581812712, 9231, 109248313832390197, 109259286583303023, 463414, 109243910059916180, 109258810846098563, 109252945843052446, 109252936148133494, 109241910741651422]	Book History (BookHistodons)
dr_pangallo	mastodon.social	[110260101270265633, 110055883103514756, 109313901000775011, 109845298550366701, 109754470722708398, 109377581697860317, 109269517239826671, 109522848703843537, 109341634157321804, 108195624185916571, 292203, 109427021351466568, 109598994029362629, 109263065910279151, 109469383899343840, 109297137803045589, 109301567255901378, 109562293237077887, 109321505405087963, 109317550255835747, 109304428785078158, 109553494155074151, 109263476494275924, 109302138200277720, 109526732351532724, 109552318579842352, 109345480193620572, 109416889743255875, 109497334683383192, 109246120984435842, 109298996412550540, 109538947634400530, 109419757705962474, 109541710411919272, 109544436705599441, 109507426698700178, 109288878242769071, 1186778, 109221355840788554, 109337341298553736, 109338697817371373, 109288271615255330, 109542276049738492, 109345807835218676, 109537517333765047, 109371895203734275, 109540647448160847, 109429247541384698, 109537844902287426, 109525517913465016, 109531736143811033, 109528806601442014, 109291872480008515, 109524581776683012, 109301174412388602, 109258735833887530, 108196880985645678, 109426889444404909, 109452798944666027, 109377536289047409, 109355195523540353, 109427016647967316, 108221818435278143, 109425031253418231, 109263080487028742, 109291574660017487, 531544, 109421523112445687, 109416884141100224, 109413485562967705, 109373831298296445, 109399940363553973, 109383833002609463, 109322026036231534, 109400740593077738, 109395082096388804, 109371112426916895, 109390133898208853, 109258204617796429, 109387428902771921, 109319175050318444, 109288281993248887, 109377090273308882, 109243991844650634, 109362711094392564, 109363041392925258, 109247712952305913, 109307402668729998, 109329125617503195, 109378005060967735, 109372124731171287, 109374499840119587, 109373853961124299, 109297212758094009, 109307582015371945, 109365602275676707, 109322917057112641, 109243686265573730, 109293576544386045, 109310197576599674, 109308612670857863, 109332958990623713, 109292896554621508, 109319748295356680, 109304710944769471, 109334956421910505, 108205608326692796, 109326308756490988, 109248244947972491, 66865, 109327626886327943, 109326252393503633, 109325939107143853, 109303302727495814, 109325831616147995, 109325821307282435, 109302542283572710, 109267801177392775, 109304381601244764, 109323179956328655, 109259055667399940, 109320599446452174, 109256288710936152, 109315663467005317, 109314960473287526, 109313636411148635, 109303395403717224, 109308116438028427, 109298799543916298, 109297873774123063, 107639753228729647, 109303940786725239, 109243870395880877, 109303562621806411, 109302521484618267, 109302421400663101, 109246308036614816, 109263395086901989, 109298556198050626, 109006968340940970, 109293576934326762, 109281579749233302, 109297073704300203, 109293656573319564, 109293531098767384, 108204681067247119, 109291776282819295, 109291791521138124, 109296425307930661, 109288243420218859, 109295871508353313, 109295327188621514, 109263313298002714, 109292754036871119, 109288166782449392, 109243734632223154, 109290848879251806, 109261400909862323, 109288792422739448, 109246748281377829, 108196887204460905, 109258311992013090, 14611, 109243139631965273, 109259286583303023, 109264355334993527, 109253123235743333, 109252756442536786, 109219111203750403, 109257910094329763, 19522]	Book History (BookHistodons)
wynkenhimself	glammr.us	[]	Book History (BookHistodons)
sitasteckel	mastodon.online	[]	Book History (BookHistodons)
BiblioWingate	mstdn.social	[]	Book History (BookHistodons)
