stuartcantrill	mastodon.social	[109508749101551287, 109816514200479053, 110238121308020452, 110187211912970195, 110158263451229421, 109486532047047494, 110166989114230064, 110149979465086052, 110156474743664338, 716624, 108096914931537631, 110141174297864811, 107192220324249637, 109833708612048246, 110106510354985975, 109299787231601183, 110094152148735010, 109285920025620508, 110015350407560779, 109988570479574639, 110077240400281342, 110067152528947898, 109262912116170601, 110046343236738828, 110019128285173424, 109310701034380566, 109971738563309437, 109931121606763190, 109917224673747268, 109632508459662185, 109891065261613174, 109307485240962198, 109864061403027485, 109858539512237475, 109454865810158710, 109831785633487145, 109832490721593259, 109803031902225141, 109326866245454143, 109259971799637065, 109385589120582808, 109365718111675568, 109751092091579995, 109241992397126854, 109743169638537040, 109337384331524503, 109717567938898828, 109330323524272947, 109710935181628234, 109703289852374389, 109330823936135794, 109694670981520325, 109521263701657877, 109439720555654227, 109670948600226975, 109668433609851767, 109662621366314877, 109660574425668193, 109321612875399218, 109558378544331349, 109296162951571678, 109641425792857880, 109628395193676255, 109265588098637432, 109525365711350753, 109246717125681299, 109247242786817103, 109450207592928836, 109297099488323579, 109621817448182196, 109306251134129438, 109521719040530911, 109616284163904431, 109292481313362044, 109615850160748614, 109285867923449015, 109293588680870672, 109613795180281985, 109333494515476077, 109602904444997801, 109535856311388437, 109462011241883267, 109542593932227510, 109344851348971254, 109563466510689342, 109589354065409739, 109586731210783745, 109294964899133606, 109260447219323527, 109580658170445783, 109325836162021403, 109578983826176951, 109398702718929323, 109524822679042373, 108198738538867621, 109572011667496797, 109376067555703818, 109528156809201770, 109563682061678457, 109540531908826358, 109441396861709629, 109568747290803848, 107990518454921286, 109559815792927643, 109534699912452052, 109505622825547111, 109561255123509335, 109523792249807775, 109244878628435597, 109555642089755627, 109307217758200584, 109551822967619222, 109547516931501127, 109524199096125141, 109365543692707316, 109324881858001754, 109548204520206306, 109540235133226278, 109309234858494847, 109547405943821409, 109547064730224437, 109437688468885437, 109545967108336363, 109545918472347312, 109364239538387542, 109395020629425863, 109537809737750512, 109366798458611718, 109293380303618333, 109314341245497510, 109539188003646990, 109362715386652152, 109297010573484979, 109389219305199452, 109541805360821370, 109336647989288682, 109541102172909657, 109296071760685233, 109540989790871851, 109540836597421217, 109540845684680291, 109540698836328918, 109540669388779399, 109362128725119638, 109540377510531772, 109537511945670515, 109314522673026528, 109537904091134529, 109252880783720451, 109521363339518054, 109375222296232799, 108204266700081665, 109299780018298510, 109379099473396278, 109537118319938269, 109433726758042815, 109381260366718720, 109536726996898358, 109536663498207352, 109536257560210163, 109260703007739764, 109535018227346229, 109531146611202837, 109303913005488485, 109304110742414453, 109519538008210748, 109507328729396453, 109325766950095717, 109531090717739345, 109513724491101894, 520704, 109530260067957304, 109527547937670968, 109388996651983724, 109528628469646041, 109525135872646463, 109399284326803953, 109365620216136757, 109396252701438397, 109374708978288516, 109523718432030724, 109509744840781098, 109303223203074008, 109503384300115399, 109525235166173818, 109287186306015169, 109290911254961861, 109524931041860341, 109524859327557221, 109524703536539969, 109508448903078942, 109363013003696348, 109472982338567296, 109300123298101231, 109507303027553564, 109391569430198299, 109523647405155495, 109292176251500396, 109254644121547821, 109523334829325799]	Chemistry
Jarvist	mastodon.social	[109816514200479053, 110103218157729413, 110162608545097074, 109538052670259697, 110149979465086052, 110156474743664338, 108096914931537631, 109993478111176525, 109972006275966968, 109957829733710050, 109891065261613174, 109805872988050069, 108217661718174629, 109264158555174168, 109783246512856349, 109328992330088982, 109534699912452052, 109385589120582808, 109293738869470997, 701065, 17373, 109536936205644965, 109280569545879190, 109704660108841516, 109306906288072433, 109683566770292618, 109302950565146428, 109534224472026125, 109613734891947246, 109300252610825345, 109561676157607470, 109294964899133606, 109362968929589293, 109559815792927643, 109402364664408972, 109559518845464307, 109296030357432592, 109332354643440461, 108198432032087335, 109544089107140117, 109540669388779399, 109504731929239750, 108130456342199993, 1022665, 109303913005488485, 109529928278920952, 109367041763702617, 109524674807855586, 108198346781750541, 109251716106943694, 109327298768886331, 109380117622266582, 109301824768072755, 109354962990042017, 109246154115209261, 109507345069522002, 108177013618688604, 109472982338567296, 109502152110345160, 109466485361631048, 109305110316712430, 109447918010721795, 109360967904347811, 109431739882472385, 109116848652095375, 109415850993786674, 109440775691217173, 109402392639738878, 109439720555654227, 109293906223311602, 109292133197281738, 109426614052376699, 109425182091319274, 109245531519879403, 109422576325348885, 109416755250695799, 109303251328520614, 109366670931804400, 109341370040656082, 109377217202389993, 109247181066023361, 109281297280024432, 109301935446835925, 109264857133613470, 109290549013660197, 109366767465755767, 109259507197160459, 63617, 109302463487059631, 109295867963438951, 109247085172314108, 248185, 109394705608961970, 108133312197922519, 109394077932108872, 109350098444208708, 109371800718582712, 109326094578243747, 481637, 109364615936758486, 109377870090143853, 109301982954585802, 109246248582379644, 109383848724343249, 109381040041447983, 109381260366718720, 109287249244405493, 109377581831106486, 108300258276168424, 109376260664165194, 109375600585567609, 109347844898880137, 109249539927383454, 109343744809984602, 109372510300859797, 109371480527382088, 109298459533296719, 1012497, 109348551236468251, 109368362775552355, 109337374709850150, 109335639095482189, 109365246394730971, 109364524175109211, 109364143083669826, 109364322020682517, 109364233472387248, 109363866949542207, 109312197328571262, 109309723865762103, 109333251116185116, 109298925378163700, 109354035555452762, 109293760618884040, 109345240248146423, 109270857569351737, 109259302664852644, 109253223073597615, 109329756932762871, 109336162786080759, 109335938026375533, 109292779829143500, 109329633156848424, 109330235546121187, 109326364739324332, 109332013382439107, 109293203272851014, 109329756875442290, 1304527, 212792, 109307193459215904, 109251644975419997, 109326088833342541, 109326819346311547, 109326527869565337, 109304132747315112, 109271555086834189, 109294136675534352, 109325499057892877, 578833, 109324342945361651, 109284403397153192, 109291376262598035, 109317959879123746, 109269609754780612, 109309540146054101, 109317745229027588, 109246018784846168, 109259518584381895, 109262853965631947, 109318752941996649, 109301708401356121, 109285448664697611, 109297718163003665, 109259632962679641, 109306119244218591, 109247712952305913, 106781849439478492, 109293295976956529, 584372, 109297623092996497, 109309010011595592, 109268521575696614, 109299735738304599, 109270193432541737, 109268940473800272, 108578060324677438, 109315875519840791, 109246750567712454, 109268502133869231, 109291390314054220, 109309505022068993, 109298205078313928, 109245093117943701, 109310438745672785, 109308164439976091, 109287357246699869, 109302102731212390, 109291201051989533, 109313428620907311]	Chemistry
MolecularXtal	mastodon.social	[110298565370478343, 110288862409242785, 109256225644714892, 110290661421085402, 110272765807497344, 110213200853345590, 110210205997616333, 110201970864219016, 109291496046277760, 109282008063495952, 110188569422671073, 109393316527564277, 110166989114230064, 110149979465086052, 110156474743664338, 108096914931537631, 42515, 110094152148735010, 110051830951015017, 110050772058725656, 110047481036015157, 110046343236738828, 110026814896554654, 109310701034380566, 109533928377602895, 107073643636987210, 109970129706726671, 109945447678635359, 109944752257857613, 109931121606763190, 109926718040580692, 109306757939022074, 109869077362653095, 109511033645508444, 109840329027832108, 108197456037905814, 109341617990444320, 109848142231174817, 108230989312606388, 109310113412728535, 109840107043946100, 109387961488292321, 109816514200479053, 109815243276409601, 109367157413943295, 109801575055795445, 109375388652575302, 108193897525562716, 109795321142684810, 109778630652537539, 109405628286594829, 109750969357938877, 109749531595916162, 109273406446285754, 109746753925678194, 109291562723174501, 108131420726034757, 109279346218275170, 109247459279095464, 109333200559374497, 109236841333737896, 107840808588585528, 109715026326844502, 109712942946613730, 109712809006394671, 109704660108841516, 109292236172055483, 1043417, 109667848299437395, 109313059382848355, 109264870817152777, 109630995343184000, 109659644038576814, 109603383920824527, 106976992891005759, 109376869870947292, 109637286639557800, 72915, 108194848373928426, 109636160221034034, 108201606392045324, 109626215431426213, 109327263286907094, 109359703167212307, 109362112343781537, 109586731210783745, 109615850160748614, 109256991300870236, 109274344185225273, 109366638351966432, 108109313415044733, 109377536289047409, 109354711819144044, 109598159174726691, 109541352287506557, 108199413824397198, 109327846045604049, 109296283364877991, 109295323031061796, 109595548766133097, 109315742821565755, 109589354065409739, 109580658170445783, 109291920281393820, 510714, 109300908296580551, 108210361772341925, 108198738538867621, 109301824768072755, 109364143083669826, 193113, 109309619722586025, 109402364664408972, 109562664974425735, 109561677275925057, 109561676157607470, 109534699912452052, 109552991704842704, 109521719040530911, 109520146042800733, 109525235166173818, 109559815792927643, 60567, 109288677508651226, 964180, 107990518454921286, 109302751815953103, 109337912919630470, 109394469457307806, 109296030357432592, 109370570612983541, 109547516931501127, 109547306565107679, 109433989561671115, 109386087631713389, 108131604772356656, 109546070837616437, 109545967108336363, 109545918472347312, 109311316727258397, 109541777234213308, 109302011626344529, 109479687942787068, 109541102172909657, 109536497826489371, 109540669388779399, 109540531908826358, 109540449266727238, 109450523239240964, 109512943843764183, 109460958402143323, 109539188003646990, 109505764863823442, 109246554904857531, 109539239213152294, 109343267323143284, 109363718146136631, 109380273850684962, 109538052670259697, 109383358345134084, 109375222296232799, 109537095790005507, 109293278819106489, 109525135872646463, 109529789045129531, 109530783072608265, 109256823152272864, 109368421365456938, 109535018227346229, 109290862563692062, 109270768661452337, 109366740309804603, 109463313532001121, 109258567966220167, 109264293753810204, 109522568251794184, 109366900553738516, 108195603193367950, 109324951059805514, 109362150860974394, 108588578057661334, 109330877773621844, 109294964899133606, 109525291582145190, 109529928278920952, 109287240123066902, 109479771497788281, 109528628469646041, 109323478154989138, 109526086785195678, 109525424959382721, 109525401916062535, 109524674807855586, 109364356197585401, 109426716596178033, 109362033840898533, 109286518633111850, 109523709061877528, 109523078893251463, 109439662445566365]	Chemistry
piquemal	mastodon-pa.sorbonne-universite.fr	[109988897163025767, 110241474190928264, 110149979465086052, 110049418854991216, 109246076234998789, 1278165, 109864061403027485, 109258567966220167, 109348892727714287, 109252870234375433, 109501248356311852, 109502349866550029, 109245531519879403, 1139601, 109241992397126854, 109383674344015592, 109384002144551712, 109258509622220652, 109354958047460296, 109360967904347811, 109358679942561578, 109249601036290848, 109313359019526482, 109259045958503776, 109258113559263722, 996302, 109241807318559712, 109259518584381895, 273993, 254001, 109246018784846168, 147044, 109248398516324797, 109241585169823017, 108180291058621363, 109244410421482037, 380885, 109279163038286946, 109257957418165533, 108194786055257254, 109248259280842953, 45805, 109251453944116762, 109208579863927966, 109258239736216110, 109248578108503061, 109256467278784057, 108133312197922519, 63617, 109251910862937504, 108179992550351395, 108179980009987439, 108194660440392188, 108197191014843939, 109254865151680729, 109258516604270947, 109290698173503397, 109246447619689725, 414371, 109288383846795296, 109246750567712454, 109246239156432493, 109250718884653006, 109256782396630543, 109253223073597615, 109247393350717484, 109258667587517080, 109244876734214846, 109246815375952438, 1119537, 108136313644156324, 109257348977605586, 109259143530209912, 109247538985628631, 109257540752413794, 109257438071865861, 109242963889148246, 108179134864020516, 109249348013409446, 109246899042996047, 395704, 109250349026571158, 109258131945249111, 109256427258647455, 109246222794491702, 462222, 109257880280153444, 109256974137976834, 109250642895732370, 109255148338864173, 109255552660345151, 109213377166929725, 109247122604978152, 109249454503327661, 109257327720783152, 109250620413595418, 109246923209291084, 109257911351727178, 108176962146415127, 109245440539977744, 108217621113663787, 109245579674157990, 109259106770656681, 109248005919031367, 108197198493223887, 109256823152272864, 109256713489381935, 109208967420498202, 109247762867842589, 485398, 109246153972116586, 109248475897820761, 109249539927383454, 109253234043133581, 109243837738957217, 109251686068231815, 109259507197160459, 108196596971402807, 109256735456023309, 109191189677729889, 108137062828210459, 108193827266546898, 109259349636889317, 108522127562254974, 108136407590158184, 108150642470501950, 109255066950685233, 109256715193265869, 109248071367023099, 109257033279305607, 109250386931270967, 785845, 480252, 109257870290883574, 109252350711854872, 108136862577370883, 109248403930970323, 108194521925377979, 109244238517918257, 108132610055024720]	Chemistry
oferkedem	fediscience.org	[110149979465086052, 109246750567712454, 109259518584381895, 109247762867842589, 109249454503327661, 108132610055024720]	Chemistry
davidlmobley	mstdn.science	[110149979465086052, 109956808328479014, 108133312197922519, 301705, 108243856535856081, 109503217915247284, 424807, 519858, 109243637248204289, 109504710144171282, 109254608522242733, 109251453944116762, 109248398516324797, 109246815375952438, 108197191014843939, 1119537, 109241585169823017, 109248578108503061, 1012497, 108197198493223887, 109249601036290848, 108194660440392188, 109256713489381935, 108194307694818557, 109213377166929725, 108176962146415127, 109245579674157990, 109255066950685233, 108130769549430985, 109256823152272864, 108132610055024720, 108136313644156324]	Chemistry
scburdet	mas.to	[110149979465086052, 109503378930246269, 559242, 268969, 108133312197922519, 1012497, 108197198493223887, 109245767030171009, 109246018784846168, 109246899042996047, 109243877210727391, 108199369635905314, 109301576856994656, 109245093117943701, 109255024315962244, 108136313644156324, 129510, 108132610055024720, 109250349026571158, 109259632962679641, 109245579674157990]	Chemistry
FGloecklhofer	fediscience.org	[110149979465086052, 108133312197922519, 109513724491101894, 109245531519879403, 481637, 109360967904347811, 108194307694818557, 109246750567712454, 109256225644714892, 109313099447550430, 109259632962679641, 108176962146415127, 109243679539546367, 109245579674157990, 380885, 109245783259211107, 109250349026571158, 108197198493223887, 108132610055024720, 109258667587517080, 108194660440392188]	Chemistry
samiammikes	mastodon.online	[110149979465086052, 109362034808919063, 109240189157378750, 107031]	Chemistry
fxcoudert	mastodon.social	[108772405993602191, 187906, 110267413843461405, 110068921406778348, 109535822593274112, 110242458287436571, 109353175911526739, 109895996761515328, 109262317201103305, 109264852417880029, 110187211912970195, 109304173994355526, 109291912396441373, 106127109326945195, 109330323524272947, 110149979465086052, 108096914931537631, 109833708612048246, 110094152148735010, 108198471045632162, 798513, 110077240400281342, 109976435758966971, 109269182066916341, 110047481036015157, 109310701034380566, 109999792761445556, 109361122319779659, 109971738563309437, 109264158555174168, 109309710781925613, 109540990659508416, 109293447219016774, 108289791688821000, 109864061403027485, 109366156411095229, 109794778534398023, 109277251405244047, 109783246512856349, 109764975593128221, 107990518454921286, 109293738869470997, 109613795180281985, 109301824768072755, 109263569423407373, 109671465387661098, 109668142216183184, 109423619142107718, 109273191149133294, 109249096570694910, 38175, 109540531843790436, 109535942513508448, 109256991300870236, 109377536289047409, 108132610055024720, 109299947106102036, 109366901409502499, 109294964899133606, 109541531829524807, 193113, 109309619722586025, 109559815792927643, 109562312910682637, 109561677275925057, 109561255123509335, 109253040665539888, 38838, 109558069092729627, 109296048417638600, 109394469457307806, 109264989011633615, 109540669388779399, 109366740309804603, 109540449266727238, 109504731929239750, 44698, 109539419908428149, 109539263744991103, 109537095790005507, 109251910862937504, 109396252701438397, 109525398807960365, 108198293909184454, 109523237318137275, 109517746837666763, 109510705371755438, 109301224016773231, 109508749101551287, 109256916876947257, 109500135467564797, 109497158520585041, 109355215873516539, 109465361333962810, 109371659722970533, 109456972011214468, 109457064596747958, 44998, 109381563035813155, 1139601, 109426614052376699, 109245531519879403, 109389270872623013, 109314989941570927, 109420848341483421, 109420754859006392, 109246003251800877, 109416755250695799, 109409726932287636, 109406327104465858, 109403076460477448, 109402364664408972, 109394684110668322, 109297935715864184, 109387741210568293, 109386793512646787, 109314539907916235, 531544, 109377870090143853, 109301982954585802, 109383848724343249, 107961983154644221, 109382273917967694, 109369372729006455, 109381260366718720, 109302385932691534, 109381040041447983, 109269604826024697, 109332191530367308, 109329125617503195, 109380117622266582, 109333714218070499, 109355762319022617, 109331903415234258, 109379350866651987, 109326267989692284, 108193860525826771, 109305449444314706, 109376876983407791, 109377581831106486, 109306549759230870, 109364515578120356, 109376605560354701, 109366494237909988, 109246154115209261, 331451, 109375851499236748, 109344008925927558, 109362685299998035, 109344544961345645, 109292589182579153, 109376541139818209, 109374853282901614, 109374592809419047, 109376260664165194, 109376143232753545, 109374750572257370, 109290984734676495, 109309006978973955, 109248296849602898, 109363866949542207, 109375388525180194, 379751, 109297408564339883, 109257870290883574, 109375208616742663, 109296602594474741, 109375098592919378, 109371315912144371, 109347844898880137, 109306251134129438, 109364175032779950, 109372124731171287, 109372429489301989, 109285936143718649, 109370576656578645, 109371495841988054, 109370800711259088, 109281929179881869, 109303095162400125, 109267391612446886, 109370204009123016, 109369057461113640, 109319869451392656, 109368421365456938, 109368930506919130, 109337374709850150, 109367840814186150, 109291831029255270, 109304545734181661, 109265176178917740, 109259045958503776, 109284837466633762, 109362249772763382, 109366497228740002, 62170, 109258509622220652, 109365767331564100, 109293274942595635, 109364382059997738]	Chemistry
