Andy8chi	mastodon.scot	[110264319712080353, 109353323195380249, 109245318521378527, 109292742831139872, 109259988180115814, 108236587692833307, 109367395913814820, 108198627977822476, 109248215481615061, 109357180460371461, 109252171146589130, 109260047320962654, 109324985289833907, 109258841967260524, 109214557059952029, 109257212341793878, 109259931564212295, 109358741962340252, 109256740996573917, 109258795057181397, 109246963493225492, 109259111007178293, 109259369718299225, 109248526312770186, 109378312032932960, 109257738369168248, 109259210608578587, 109309877422524657, 108249106013752343, 109325233112055380, 109353295691561782, 109258735960942520, 109257038659332983, 108198824044371698, 109356093024913413, 109362171487423993, 108283915819757421, 109258696454625120, 19311, 109256346112601960, 109258673989107494, 109245524418706192, 108240129342347705, 109246120984435842, 109239974424064157, 108143820858606330, 109244709534183199, 109251583590414987, 109252435280464791, 109258571714213615, 109322458851383484, 108704986534725922, 478964, 109259743076912247, 195032, 396605, 109259019591013600, 109326549894118842, 109256235698218043, 109362220056686649, 109246432678838036, 109258586002396811, 109252154496342326, 109349303219266656, 109249658402510624, 109258687622267268, 109243388372609150, 109256325783998026, 303085, 109302671565626784, 109257371613025382, 109258437635685537, 109253170726430981, 108287386827767308, 108232022161908124, 109357053635740224, 109258901835274844, 109251763096137550, 109326112085605683, 109246246484464691, 109250597888383818, 109255827296489530, 109238958365441047, 109252174589596169, 16393, 109240867858535299, 109280715316295106, 109258782157110936, 109251430952100595, 109258780710235774, 109245064282981274, 108176559827658279, 109259018291542809, 108196909860085743, 109308337530120878, 154181, 108283317532422786, 109246822754893722, 109373905073606750, 108195946556804099, 109250654645486476, 109245283970420552, 108198921112183684, 109259672990739273, 109251393392481830, 108219153777910954, 109242306384117869, 109244763905926880, 109258550215514313, 109251960372834707, 109256906323204875, 109364727038592815, 108197927396383890, 108198620944845727, 109253030849652168, 109245911437151830, 109241995804981879, 109259131421844727, 42693, 109355453264625349, 109311597243745160, 109361958725570037, 109354839320768352, 109252476320238996, 109261276383970214, 109258778104003397, 109298536721243555, 109248956105341562, 109299017580929103, 109252988768729543, 109257950832515604, 109257280890536421, 109258047865946178, 109257398709831872, 109257532556156800, 109248273958507104, 109246236248805470, 109244640929063637, 109244818092577956, 109303166228152834, 108197193330324044, 109257497458719622, 109255677802234737, 109257209981799601, 109257934367592536, 109257054288870860, 109247775481263315, 109255959196622341, 109257427614108788, 109257243832374177, 109258203779753232, 109259005140460288, 109287473404984240, 109258075592675176, 109244351160611036, 109259103818935036, 109246140989667435, 109258469724261534, 109264555419910620, 19614, 109247219736728009, 108197398336702592, 109247759903318695, 108198337836017616, 109294351078803102, 10909, 109297746519185245, 109258266443133959, 109258713442012497, 109257875045661901, 109246960082801304, 193782, 109305240876332145, 109246308036614816, 1304743, 109246139811937809, 108318983636879278, 108197466376538585, 109253792537270451, 109240698997843925, 109256631480180973, 34236, 109252447469676899, 109256288073558171, 109243118156218972, 236466, 109253026173335942, 241701, 109248877176691433, 535690, 108190488368547572, 109244081326433869, 915659, 109256694169874354, 108132567728005345, 109258790469333671, 522148, 109250231871991871, 106473671148541506, 109249372234658271]	Criminology
DrHannahGraham	mastodon.scot	[109246959063015253, 109248256421082688, 109508875315020113, 109501966843491341, 29396, 108198918715093132, 109246246484464691, 109295462762088730, 109244351160611036, 109355689615913403, 109362128710969713, 1126835, 109313583679608371, 109258790469333671, 1036809, 109245460448537757, 109252447469676899, 109258473366688594, 108217805023412430, 109246236248805470, 109256288073558171, 109244778483296415, 109246140989667435, 109256752376569880, 109258223301602393, 109256853569031316, 109250231871991871, 109241622871464397, 19614]	Criminology
JPinaSanchez	sciences.social	[110068921406778348, 110188569422671073, 110149979465086052, 109837745980618799, 109982908539283035, 109979589361770487, 109845298550366701, 109854169847907308, 559242, 109507131739410804, 108130046645090018, 109252254096672165, 109246266954831389, 109250560463783825, 107192220324249637, 109245841657140692, 109513179235616713, 109305595080879355, 109368779687740629, 109258863561229510, 109344929926223185, 109314506659787077, 109360656335970952, 109498843329780926, 109297570585990997, 109242306384117869, 109501029614599008, 108277881690305459, 109501188249816806, 109498515217753548, 109247595520532416, 108236707517081998, 109243388372609150, 2500, 109257209981799601, 109258423972158505, 109240181848353779, 109258817901103477, 131198, 108176559827658279, 108272327741203227, 109259672990739273, 108449440111950170, 109246202582264591, 531544, 109297091167724869, 109354839320768352, 109358460754282404, 109353295691561782, 109353323195380249, 109353217182102064, 109298536721243555, 109343636993806037, 109252232206592120, 109251583590414987, 109245170014905404, 1304743, 109246298896374050, 34236, 108219153777910954, 109254419064546940, 109252988768729543, 109246203830224088, 109258047865946178, 991524, 109246236248805470, 109240698997843925, 109246459043892380, 1297504, 108520790687531828, 109247759903318695, 108197466376538585, 109245805948286226, 109311597243745160, 36272, 522148, 109258225646662568, 476510, 109252166303957311, 106777611362144303, 108193339180264129, 109249014792189110, 107139089286180088, 109246140989667435, 109243118156218972, 109254540612303481, 109247775481263315, 109249252317987436, 109257633330516465, 942813, 43077, 109256853569031316, 108240129342347705, 109244081326433869, 109246653934045448, 1148958, 108279093042991984, 107765603629666621, 109305240876332145, 109212996286987167, 10909, 241701, 109247219736728009, 109248171198599960, 109258365870305449, 109244763905926880, 109257743235227749, 109245897932437462, 109258612801269356, 135824, 109248273958507104, 109244426587899179, 109252975695909094, 109115247953517608]	Criminology
HarrietSalem	mastodon.social	[110300692930375662, 110286613322229789, 110103218157729413, 109848565082632555, 109257554026516761, 109423449754707498, 110105460638135628, 110020964923155487, 109472415211531324, 109947934795022430, 109845298550366701, 109854169847907308, 109848217179203604, 108246045862532777, 109843060546863070, 109804699284056557, 109604732421650330, 109363921972074927, 109446905362709182, 109554008057681856, 109456919109546853, 109744238795322782, 109379567997657990, 109734506473674772, 109717774995392763, 109690583746082936, 109681645725015187, 109584181922450778, 109473770715041768, 108080487681172690, 109377845040967409, 109429106882847775, 109293037247449928, 109349332368928721, 109308643906038151, 109638735442419749, 72915, 109526644905655510, 109622290758419458, 109626270071030684, 109626218115383751, 109626230431949550, 109621542593534683, 109299124436772951, 109351084907249140, 109620926310135001, 109529722587144256, 109610201726261822, 109363624640049129, 109600565098282268, 109610758105984362, 109604837751720127, 109355114773234029, 109308611368268290, 109593643743332985, 109373983487929905, 109566868557789168, 109575787353540144, 109585864742231693, 109402620922923002, 109362917959569479, 109333088960140345, 109580540731164555, 109291920281393820, 108234433653605009, 109562928577185095, 109575662916374186, 109295266952053614, 109508615220064721, 109560684794147242, 109556897727603570, 504630, 109297721989370754, 107430752186866724, 109456898482089205, 109381135678095347, 109381696696522245, 109548195893176184, 109547984187027845, 492366, 109247252693018834, 109363586806124150, 109324512359797510, 109419010860806042, 109541915865796920, 109541226435838224, 109285573580064473, 109540999638082192, 109363684127587768, 109461382540986617, 108193854466564928, 108195688151224488, 109493379781712399, 109247907404881062, 109524282637945180, 109316445733314651, 109537815764434850, 109536217353897121, 109363190744973455, 109418550808887631, 109305087677712649, 109362877528008998, 109287850661886839, 109303954636715928, 109332853359419591, 109536553353143209, 109536547126514079, 109371956394098858, 109519284198698245, 109500102044672346, 109529317275052666, 109325113477251057, 109294202150564140, 109523718360565788, 109535332962919627, 109533627451862051, 109304174012218240, 109297217297440272, 109517255790088547, 109258299252027548, 109352120477442186, 109352133836565094, 109299857953796840, 109532482924067845, 109532380134454776, 109258632819802451, 109529872261682780, 109530341710833128, 109277624645041078, 109368268943488320, 109530192496360967, 109377983637964393, 109520738206839480, 109529318802923352, 109335326018370885, 109502345647775447, 109325288085833368, 109526403269846696, 109524212782417188, 109319384825081622, 109324696297893650, 109410299768676547, 109524581776683012, 109378257526335067, 109256437813403876, 109522849156969782, 109365747229210431, 109314506659787077, 109298274954708908, 109518681275206009, 109317086489562295, 109379119812955737, 109422278607446515, 109364897803391784, 107139921516148767, 109518104658189070, 109317357778136017, 108196878078799907, 109522259887675199, 109521723881048742, 109520896747571065, 225258, 109285359434211371, 109504721305048079, 109321932335159127, 109297508108791746, 109520280671180856, 109308585038491704, 109360656335970952, 109304634310269171, 109499760176570139, 109498843329780926, 109296860577667746, 109297570585990997, 109325293894812040, 109242306384117869, 109505915232266676, 109503268649010475, 109363418827971183, 109366233772575549, 109315354460026620, 109314884288251952, 109499327139391572, 108280959531290778, 109497179251241591, 109367067127248188, 109390015063811082, 109450459831547510, 109472234127099128, 109305465515949084, 109472697469336793, 109295608857373695, 1069349, 109393485154777754, 109469052052980640, 109462557401641095, 109374262355340052, 109303863771176735, 109303315606507119, 8032]	Criminology
annakotova	c.im	[109361958725570037, 108193778939547556, 109244818092577956, 109252447469676899, 109246236248805470, 109244649251416505, 109250231871991871, 109256853569031316]	Criminology
TimNewburn	Mastodonapp.uk	[109354839320768352, 109355453264625349, 109246139811937809, 108132567728005345, 109245652366156270, 109246236248805470, 109256853569031316, 109259313319442482]	Criminology
aluscombe	sciences.social	[109244649251416505, 110173335703448754, 109258696454625120, 109242686077392817, 109244351160611036, 109225469568049107, 109245788561042077, 405401, 109263701278705021, 109253393796182319, 109218961822877246, 109258203779753232, 317733, 108195046425770204, 109258780710235774, 108094093597597134, 109248905913071774, 559242, 109247712952305913, 109240863816811248, 109252435280464791, 109254487310570620, 109253701563497329, 109258942277017639, 109244818092577956, 109251866762664076, 109258365870305449, 109248273958507104, 108131452649184578, 109258074818096550, 109248956105341562, 109258673989107494, 109246236248805470, 109245222500936715, 108193337793952508, 109246139811937809, 109248266731467212, 109254419064546940, 109245062935801881, 109234504724446886, 109243118156218972, 109256853569031316]	Criminology
purplepadma	mas.to	[109259103818935036, 110297860211560728, 109245013840781703, 110264319712080353, 110208783144818767, 373459, 110186589593588700, 109251628927842911, 110163309410913891, 108197328563535091, 108277499957776668, 110145045627082260, 110123977780289807, 110103141446285214, 109878474102216399, 433723, 109921535427112027, 394074, 110028877668363595, 109365852847978141, 110027927932127281, 109995707199905204, 110015350407560779, 109335572632178842, 109358544043904637, 109885392474961234, 109259514487812699, 109941021932547079, 478928, 109382823180908731, 109897951549644550, 109496612625840109, 425635, 41825, 109334977103603698, 109245686536259999, 109834069894154836, 108191474906970104, 319808, 109248945403729531, 108131617169764742, 109423191072807394, 109491505987552890, 108295039666879620, 109202537356386082, 108233523862426941, 109514481698547701, 109366595839601021, 109256243499071669, 109366105847037101, 109358839020741631, 413843, 109250232667562970, 109595027531764263, 601884, 109371010876960470, 109497228497031257, 109258795057181397, 109258557773710232, 23439, 109247359494254195, 409194, 109248022493147843, 109246018860303483, 109513835945975736, 109256675485367367, 109497652566622708, 109327401834986925, 239153, 979873, 109349303219266656, 109304543307372303, 239171, 109361956668100892, 282146, 109238559354189443, 109366429117039856, 109250642895732370, 109245032026360579, 109366355876244350, 109312049068449162, 108130135932042555, 108195046425770204, 109243603041816929, 108197183030016778, 109250129498746056, 109375072506610249, 109369245762601351, 109253867982927788, 496937, 109359511311847489, 109355945210402990, 109356120842880185, 109355837287160638, 409660, 109355092413693282, 558183, 458001, 109297091167724869, 109258548579539386, 109344179713650479, 109312476472693223, 109258727697841135, 235579, 453984, 108198100498725688, 108198348542931174, 109244210721350199, 293824, 45861, 109258843386778282, 233113, 109246686112319005, 78354, 39869, 454375, 108197207154964632, 457711, 108249805261718732, 109259606747232923, 109313583679608371, 109245459220441280, 13114, 109244818092577956, 256581, 108192639221200394, 228348, 109252245063170970, 109252447469676899, 231848, 109256451898779795, 108197584124412662, 493826, 109212996286987167, 239322, 109252526303025159, 215060, 109246083883991240, 108232022161908124, 109252002157493887, 432287, 109250231871991871, 504685, 109259738495981019, 227695, 409533, 481602, 109244330311593524, 471878, 1273603, 108293040853970281, 40089, 109238588522031140, 109256853569031316, 109258910262135762]	Criminology
jwilenmann	wien.rocks	[109845298550366701, 109854169847907308, 109314506659787077, 109360656335970952, 109498843329780926, 109297570585990997, 109242306384117869, 531544, 109251186009771062, 109298536721243555, 34236, 1304743, 109252988768729543, 109258047865946178, 991524, 109259943589851136, 109247759903318695, 108197466376538585, 109311597243745160, 522148, 109257633330516465, 109256853569031316, 109244081326433869, 109305240876332145, 10909, 109247219736728009, 42693, 109254419064546940, 109251583590414987, 109249974693228246, 234226, 109243743889590647, 109243118156218972, 236466, 109252154496342326, 241701, 109256288073558171, 109251430952100595, 109257950832515604, 109240698997843925, 109252476320238996, 109258673989107494, 109264555419910620, 108233084207704793, 109259103818935036, 109294351078803102, 19614, 109257532556156800, 193782, 108190488368547572]	Criminology
AllanTMoore	glasgow.social	[]	Criminology
