mia	hcommons.social	[479177, 110229976503942138, 131133, 38621, 110128881170754187, 109259767263382301, 109115729770864468, 110055902064135403, 333637, 108136452136240694, 110032463500202228, 31104, 109994215431894244, 34541, 109960502700228426, 109950874350510725, 490445, 109845298550366701, 109259250400315879, 158789, 109858469575989189, 109875423861040803, 109511033645508444, 109842130230222234, 418391, 109806656259798342, 27378, 109247819385807515, 17568, 109360043505506587, 108245723457268935, 7011, 109367247342771576, 109514468038986333, 109504304569167871, 109258155870052352, 13867, 109243668825210826, 41825, 299638, 7651, 108197443916963681, 896389, 106930336998831130, 151177, 293267, 19320, 109245987551645813, 109244846768576496, 109251841864031096, 109251624347269044, 109241397693917395, 109245520670797642, 108515646794296124, 16106, 42825, 109246563882110627, 109245642682736670, 109502029654951912, 22743, 109244694042267180, 8604, 599559, 15602, 108193254639199580, 108193931816925454, 109355689615913403, 396605, 14915, 109246554904857531, 414324, 108131604772356656, 109382760086590972, 408959, 108194791493448408, 109497032329893013, 17576, 109259334169562994, 15751, 16554, 109359284802822351, 108198421805945111, 109386419741079896, 109354614709841195, 109247712952305913, 109259110378575854, 109508339717887147, 16163, 108195282525790718, 2500, 39511, 109355573557983000, 108193039453440669, 26699, 109259634045087300, 528723, 109208627247067190, 109242713911758871, 109356586414850685, 14838, 1072884, 19522, 109252580992154839, 108195046425770204, 109245531519879403, 19311, 531544, 478928, 44606, 109257608615179911, 109246806152038849, 15626, 16393, 214232, 109256504965010875, 108197550408617964, 109353628752098901, 109247849475109101, 109243139631965273, 35611, 109352917123724649, 109244794176747851, 108279780058040080, 109352898803555942, 36568, 299464, 109270948508912311, 19361, 108194751059611267, 407913, 108138192930105044, 109250712401769167, 595671, 20157, 109337283812265216, 108197951076579152, 109331788576285441, 45861, 107639544306208866, 109247411153111818, 109254492774120659, 216919, 108131303002922302, 515251, 109259055667399940, 109258175802958946, 1015, 109255792204921699, 109258042641030432, 109313136369105797, 848514, 419738, 108405028215495798, 464081, 109262577591821394, 109309504886369476, 108623610470514994, 464233, 109245571512940777, 109259927125464714, 18305, 356453, 19159, 13043, 108193378367391467, 319396, 98310, 108196907964717079, 108199224197627587, 7053, 109236594899686546, 109237932196142664, 436195, 109245476923789907, 554558, 109244211489275386, 189853, 1148031, 465026, 108288941830082495, 109257544186297356, 28059, 109244787663655386, 109228566177480948, 109247219736728009, 393184, 109240836903731386, 38154, 109242493568189137, 109251993698453396, 109251556044783486, 365981, 108194334941087561, 109241450002149226, 46007, 108719691186145846, 109286669584107905, 18274, 109259855425926327, 108193519544324091]	Crowdsourcing in Cultural Heritage Citizen Science
siobhan_leachman	mastodon.nz	[109994215431894244, 109990698497157881, 109950874350510725, 109909652311794361, 109842716903527427, 337157, 109251809036751357, 109257855856437543, 109358544043904637, 1061708, 364042, 1007891, 599559, 109358126007126327, 108195282525790718, 221914, 32696, 107173968727704627, 109259658853432393, 109246637102926698, 108239116287333845, 109331776093990272, 15751, 108194041137471139, 109520977302259721, 109243329645790227, 12171, 108081813552823517, 417096, 108249558143368583, 19652, 478928, 109252506776622818, 559242, 107308443140421509, 109252580992154839, 20157, 107215301464188384, 893654, 108247263421188775, 17568, 478044, 108193931816925454, 108163375349078422, 108198620944845727, 505775, 109360473432334702, 14838, 19930, 109355943162567640, 502408]	Crowdsourcing in Cultural Heritage Citizen Science
julsraemy	hcommons.social	[397903, 110053142446766691, 110188569422671073, 110050772058725656, 333637, 109259767263382301, 109845298550366701, 109840329027832108, 109834069894154836, 109832992281914534, 109405628286594829, 1139739, 108131420726034757, 109247459279095464, 107840808588585528, 109243668825210826, 72915, 109516141129630307, 208399, 109246554904857531, 109259334169562994, 16163, 109386419741079896, 109504317977438816, 109501188249816806, 109252880783720451, 2500, 109246203830224088, 109359456607544242, 109296856285484828, 19930, 108195046425770204, 108222579241579049, 109245531519879403, 848514, 531544, 19525, 108219153777910954, 109244586809421959, 108515646794296124, 15626, 109246179318293109, 214232, 109245667171379232, 478928, 368878, 109246537530292465, 19361, 293267, 108163375349078422, 109245987551645813, 1121133, 108131899908535411, 109247849475109101, 109246298896374050, 282326, 108197873928425950, 34236, 109246563882110627, 108199281502070458, 35799, 863777, 1148031, 108193378367391467, 109251993698453396, 108279780058040080, 109247708861591038, 1023173, 109247681754066994, 1138668, 109247219736728009, 393184, 18305]	Crowdsourcing in Cultural Heritage Citizen Science
claire_boardman	mstdn.science	[]	Crowdsourcing in Cultural Heritage Citizen Science
benwbrum	hcommons.social	[158789, 16106, 109845298550366701, 489213, 599559, 109378122797027347, 109243668825210826, 109380429389445795, 109292742831139872, 109256325783998026, 108198704692509177, 109246554904857531, 16163, 109240376837119749, 109252580992154839, 109241538732270049, 109246538520131012, 38621, 109503033521006033, 109268406823374089, 109259447006808831, 449705, 109358155987942909, 582135, 521140, 109349303219266656, 109247712952305913, 109255230879063178, 109246963493225492, 108176559827658279, 109365613920001319, 1072884, 109247819385807515, 34868, 109258175802958946, 109385144361053887, 531544, 72430, 109258150625978994, 16393, 108221818435278143, 109244787663655386, 109257823609144517, 108222579241579049, 109359173981794042, 15626, 109247849475109101, 109337283812265216, 109258162182375282, 108249106013752343, 108195998494935366, 108195946556804099, 109246246484464691, 108403940379538442, 109245550009131137, 332561, 109259522841545413, 109259931564212295, 109244878628435597, 109246120984435842, 109258700025626017, 28059, 108196945492568976, 109256917380465819, 109258841967260524, 236466, 109252701444943265, 436195, 478928, 109259131421844727, 109255827296489530, 109291481390147996, 109251573357720776, 109258782157110936, 109241995804981879, 108197214758969294, 109245535247047306, 108197550408617964, 483885, 109249658402510624, 109258586002396811, 109256288710936152, 109258735960942520, 109257050230682455, 478964, 109253792537270451, 108199281502070458, 109246929382991865, 108198620944845727, 109259055667399940, 109259111007178293, 109259567968547686, 109250467311834639, 19311, 109259743076912247, 396605, 146021, 109256906323204875, 108194111349566214, 109252174589596169, 109246336754006585, 109253005010515849, 109259738495981019, 109259927125464714, 46007, 108194365870640555, 108227814837493933, 1138668]	Crowdsourcing in Cultural Heritage Citizen Science
cogries	sueden.social	[110178884997343888, 333637, 109978261704996014, 108239349117560863, 332621, 108196965407361484, 1078390, 107585911261542651, 643099, 109246903518810180, 109246794984203739, 109252572109794962, 109252529191709032, 109525244154824918, 109244541611212393, 109244717797639501, 109246554904857531, 466081, 109251251457549307, 109253830749202754, 109247712952305913, 109499356486987813, 109245460401089108, 109502298630305508, 8001, 109491327846870518, 108197106201101224, 108198407156769366, 109259110378575854, 108283358437275989, 108198620944845727, 108147087055662876, 108515646794296124, 109246806152038849, 109257724390007889, 479679, 109251329915822803, 109256546398017985, 108233299823492864, 109252199215914762, 108196967936934397, 1093699, 109253654307358400, 108236448510401627, 109358343475325940, 108196706676050344, 1137475, 528723, 109313583679608371, 109355943162567640, 109358170050668899, 109358652426199307, 476801, 160976, 108260733248465479, 109251982776645859, 332620, 109252737171869062, 109250712401769167, 500134, 108271861421668562, 109246432678838036, 1007156, 109337283812265216, 507177, 109257542135853175, 109245075171162375, 108083772128836742, 109244857520291781, 108225028615911779, 108345531394969657, 108555934102615464, 108197443916963681, 107814265411104997, 107798738831987889, 108452481990002195, 504685, 479388, 108131303002922302, 6422, 1093091, 109242938066235229, 483885, 848514, 1069483, 109251624347269044, 108196625173491078, 109315522159207059, 34236, 109244884782512655, 109290738792896257, 109245375103612131, 107807548305575477, 10766, 1004551, 471016, 108197016015204711, 36556, 108199391558391617, 858751, 109247754371125281, 109243814585687683, 109244340888630282, 108337165669155760]	Crowdsourcing in Cultural Heritage Citizen Science
Jason	toot.wales	[333637, 17568, 32696, 844812, 108193378367391467, 19652, 109245531519879403, 478928, 20157, 19930, 108194363543185150, 108131604772356656, 109247849475109101, 108195282525790718, 18643, 108193931816925454, 319396, 14838]	Crowdsourcing in Cultural Heritage Citizen Science
OpenEd	mastodon.bida.im	[1302832, 109244582805510434, 108229787629437338, 109500528637205046, 109243668825210826, 109250090525195177, 107192220324249637, 842638, 109246554904857531, 109245541094634872, 108192817874598997, 109368779687740629, 109512367451443054, 109352965488059299, 109240835082812321, 109246537530292465, 109246002554047816, 109221192702463357, 109246507854283151, 109257608615179911, 109245531519879403, 108197182010956405, 599559, 108176559827658279, 108194363543185150, 109246044479113652, 109361223428157656, 109243139631965273, 531544, 108192885358232475, 109369766994062360, 108140462489609682, 108227841695564409, 559242, 109248003234389722, 590937, 109237462758978702, 109245608243045661, 106974359153541901]	Crowdsourcing in Cultural Heritage Citizen Science
eltonteb	hcommons.social	[110149979465086052, 109359284802822351, 478928, 109845298550366701, 109313583679608371, 108280109550578797, 109246554904857531, 109368779687740629, 109245541094634872, 109241538732270049, 108219153777910954, 109241995804981879, 109249727689978662, 109337283812265216, 1088696, 109365332724429455, 108197550408617964, 17545, 109256905705003727, 109258473366688594, 365981, 18305, 109251993698453396, 109247219736728009, 108194751059611267, 109244770620585322, 108131627816506626, 476510, 1114680, 107588925506974839]	Crowdsourcing in Cultural Heritage Citizen Science
workergnome	hcommons.social	[109296856285484828, 109893625945393189, 109247306261584569, 1193818, 109253040665539888, 109552182421675286, 293267, 766, 404520, 109507130187624394, 13043, 7133, 108193378367391467, 591234, 109243182753615231, 109241523162841286, 109241538732270049, 109386419741079896, 25688, 109357459634993324, 521716, 156899, 416767, 108198620944845727, 108195688151224488, 7053, 109245520670797642, 19311, 108130622523276051, 109246806152038849, 35611, 109247849475109101, 109259110378575854, 108195717427105265]	Crowdsourcing in Cultural Heritage Citizen Science
