quinnanya	mstdn.social	[848514, 110039769566546092, 110110405637274512, 189853, 110124830701821801, 110107851540673310, 109999233331982263, 109836107389306606, 31175, 19733, 109247819385807515, 109243252732161962, 109236292997846726, 109255169651546057, 324112, 109950874350510725, 109258432519347631, 109845298550366701, 109930984016325938, 109897947502838274, 109863806758558518, 476510, 818465, 38585, 995191, 643099, 109520820945304260, 16368, 109246893548283179, 883350, 14915, 109513386978611419, 109243668825210826, 213567, 109238321019123799, 299638, 109243139631965273, 109243388372609150, 16106, 109256905705003727, 323614, 108197092546215626, 16163, 396605, 108196970515775571, 14771, 109251914643641521, 109259334169562994, 109246554904857531, 109386419741079896, 429696, 16554, 109503033521006033, 249219, 108323888872826382, 109378122797027347, 109355573557983000, 109296856285484828, 7343, 109245531519879403, 531544, 109258042641030432, 478928, 2927, 189258, 1034756, 15626, 421687, 248185, 9295, 109246120984435842, 452442, 7011, 109372805338540548, 643070, 16336, 109244592723055225, 109243441939544916, 239106, 109359518303651183, 109245987551645813, 662667, 109247585637899552, 109352917123724649, 1088696, 362128, 299464, 1077947, 108317677060087664, 108194751059611267, 158789, 109244485340672070, 20157, 2500, 108236707517081998, 423701, 108198162248850537, 107639544306208866, 109256917380465819, 109246137215051968, 109258697141354217, 109255792204921699, 108222579241579049, 109241462721783852, 144048, 109242392931130894, 109248266731467212, 109242799372030919, 419530, 19361, 109256008319994328, 109315752578156367, 391764, 108397580520145044, 109259738495981019, 106359977544356785, 1148031, 109247219736728009, 109243720604242583, 108317827566032057, 19311, 109258901571412353, 36556, 286161, 109208775586520854, 109245550009131137, 146989, 109258311992013090, 109221661297802561, 109251993698453396, 108136452136240694, 18305, 17545, 332561, 239322, 244197, 14487, 109253658378839026, 108193856897420795, 109244740667960829, 109250642955776359, 109257050230682455, 108194205679876182, 109258586002396811, 16393, 109246581345458368, 108266134751872554, 419360, 109259855425926327, 109254182944803922, 109253123235743333, 109248100324988115, 109209976238232616, 109252578714128328, 109247143767146941, 109241397693917395, 436195, 106818691183114221, 109242515216401223, 109220204729362913, 108198620944845727, 109247166398875744, 109243788225253577, 109238309658136824, 109203180809828991, 46007, 17099, 109259156100050538, 109258993549728634, 108199281502070458, 109251768258542458, 109247712952305913, 109259927125464714, 108193987656838977, 109257910094329763, 109250129498746056, 108194426472521758, 308410, 109254210706771510, 109244057590639440, 109246068804934683, 28059, 19522, 109248034789692853, 109213822769588890, 109253105455714837, 109258170098626882, 109265141024413681, 109257532556156800, 109248313832390197, 109259033090580220, 109259767263382301, 109247411153111818, 108198519286183280, 274360, 229877, 109259118836487663, 109248797007949548, 109259055667399940, 109258916068949950]	Digital Humanities
corsent	mastodon.social	[109348717572393194, 109288337839888338, 109488080739334989, 110290584187882541, 109413635884747306, 110136331010043575, 1295250, 110011527264607362, 110100878444442877, 109564444068763628, 109842351148066022, 109650322850932136, 110250579034734213, 110289196341476859, 109801970990446793, 109502098237682037, 109371966995192427, 465718, 110272765807497344, 109243902422545443, 110254070268094571, 110186079295548872, 109325904495140828, 110201970864219016, 110200582739594758, 109373362828105939, 110160291218331045, 109606725144966722, 109374135442244043, 109847070264636922, 110098454784526129, 109845130288691878, 108201118407594617, 109264457411405352, 109362564034624216, 109961562673112875, 109950506332269567, 109845298550366701, 109915572441536486, 109852574899228233, 109848690304372575, 109843548273781628, 109837356999067326, 109322470201771547, 109496249799691785, 109316437607392799, 109808246759996932, 109619206252344330, 109796371975028022, 109784837658374339, 109326223046365878, 109540605095239472, 109748015595637204, 109745095464825041, 322103, 109734506473674772, 254877, 1043417, 109286358919610438, 109243668825210826, 109348476933846346, 16029, 109530500948967870, 108201606392045324, 109607163015384538, 109594321821279305, 109594026628644248, 109361944639645822, 109587115313917319, 109582361586870061, 109581503554889819, 109298750684121238, 109270709417681776, 109529997309644224, 109361023069729587, 109570348999577092, 109363703416065159, 109562928577185095, 109558554916996850, 109554255198672768, 109319111463742026, 109325549874158786, 109377107967559700, 109547461320535723, 109536190718288424, 109305237687824032, 109547376889372489, 109545967108336363, 109352965488059299, 109542144614185260, 109365479009752133, 109524124863414727, 109364804661048886, 109329385661617567, 109246554904857531, 109361056024056045, 109293496480354734, 109537363580645423, 109536926437042950, 396605, 109537154832653010, 109401312959073137, 109537155090694982, 109532380521441541, 109292720354522901, 109536573056562731, 109536358404497769, 11722, 109535933964749511, 109497032329893013, 109529303937962076, 109400315710834650, 109352067095113262, 109259334169562994, 16163, 109496273991338454, 109528766586503527, 109209509151119913, 109527351082091334, 109526772332008582, 109526370796736801, 109436826735022875, 109526347543588267, 53443, 657584, 109515000161530508, 109524740508849739, 109524461165123824, 109309649044454439, 109524468039421085, 109517981651361530, 109509861124365708, 109524192443909672, 109373796113611061, 109507330033224576, 109523749204613826, 109374112192118628, 109298734143003500, 109521358894942154, 109412442987811318, 109521918045854022, 109521282362575137, 109266278795729527, 109355162485950886, 109298426354779236, 109468529554414192, 109512448180084458, 107192220324249637, 109501996509100036, 109301174412388602, 109501647958685199, 109498850388873697, 108280959531290778, 109497447393320132, 109497109316730210, 109495207856468732, 109338819225697230, 109395271302164695, 109367257095417707, 109287448653836008, 109303692338301747, 109469741507542597, 109372529616284246, 109278783051778128, 109450454995787421, 108239414579720095, 109339669091690805, 109374579436293034, 109305244262134285, 109357460310101428, 109299120958519175, 109327194755263994, 109452696755774030, 109451900351757462, 108197263090250502, 109355526679906887, 109363188568542564, 109302130736716087, 109440007720097546, 109443088052755586, 109241134324599389, 108203096627695478, 109440227220045377, 109396012009858817, 109440002424757461, 109436420164024970, 109421047139315502, 107909616669852316, 109298172866753044, 109404602231492876, 109285806403264443, 109355208435539134, 19218, 108283274649226967, 109424228927427558, 109344014141131292, 109366678317420319, 531544, 109246335075010082, 109417942654109955]	Digital Humanities
meg_smith0913	mstdn.social	[110149979465086052, 109845298550366701, 158789, 109257697805325192, 109313583679608371, 109243668825210826, 108221818435278143, 109243388372609150, 109368779687740629, 109259334169562994, 16163, 109245541094634872, 107192220324249637, 108080394552499469, 109312476472693223, 531544, 108219153777910954, 15626, 109249727689978662, 109382339716209931, 321631, 108198853497517029, 107397376814330259, 109353932748293185, 109256906323204875, 109337283812265216, 109258782157110936, 109259931564212295, 109258893350009645, 410317, 107639544306208866, 1150722, 109309504886369476, 109259503476689020, 478928, 109247219736728009, 108177765731866576, 109243600528842282, 109251993698453396, 146021, 109259927125464714, 436195, 109245987551645813, 18305, 36272, 109258769813704960, 476510, 217302, 109259385958532278, 109251556044783486, 108222296027205265, 130933, 108194365870640555, 109257050230682455, 109244878628435597, 108786781742483114, 109258727697841135, 28059, 109237570604493475, 109257931628327527, 108260713736880170, 109258708476117795, 109286669584107905, 109217424275177536, 108220028913379754, 109245332094566989, 108147167710220427, 108234400165905182, 109258516178022567, 465909, 518651, 620986, 108194840393990175, 109259855425926327, 109258042641030432, 109241995804981879, 109253105455714837, 109253123235743333, 109258586002396811, 109250467311834639, 109254778913855830, 109241263613242341, 109259210608578587, 109257838307322172, 109246757955923998, 109258505015183873, 108197550408617964, 109258311992013090, 109246120984435842, 109241589676573249, 109252756442536786, 109247914735862717, 109245318521378527, 109252329101028706, 19522, 109258727989241569, 109258170098626882, 109259055667399940, 109237932196142664, 109259685464048180, 450895, 109243252732161962, 109247712952305913, 21495, 109259797244452860, 109258336891205303, 109257945507422703, 109258370813451820, 109246467149778023, 1138668, 109245840377785041, 109258735960942520, 463414, 109258201095348198, 109258916068949950, 109258638682930165, 109259243526675777, 109257624697860825, 109243488853574031]	Digital Humanities
jwyg	post.lurk.org	[110236911451713872, 110267650415239959, 109259021840449625, 313900, 109490178978723269, 110173335703448754, 108192817874598997, 110149979465086052, 1302832, 110039459617247133, 940140, 109987597969600760, 109250658798084622, 333637, 110017898554652538, 109514148741088784, 109258242383488369, 1095020, 253704, 109914709712399816, 109845298550366701, 109930400655432322, 15930, 109865025092396275, 109882229106249502, 109842716903527427, 109507426698700178, 20036, 109245956027557264, 109246331906459330, 109839586362761513, 499605, 109362126143947628, 109521092989314286, 109246085727937996, 828948, 109751906862069452, 108193987656838977, 109211766751665040, 1052082, 109259339853748981, 109243927539707152, 491898, 3704, 1002, 109257335681136178, 109243668825210826, 158789, 988989, 109255952136093302, 109257697591040668, 109369965130795830, 107192220324249637, 109496213842739521, 276474, 109259927125464714, 951438, 109240439506330657, 396605, 109258462483382711, 596292, 7113, 906047, 34743, 524702, 109246554904857531, 304507, 109301365624091626, 109253326847407538, 109257545725095912, 109245541094634872, 109368779687740629, 19793, 109243587256770875, 16163, 109259334169562994, 109244327316272942, 108193931674630050, 109243595083419533, 109360098771597576, 109497122157126212, 109241538732270049, 27938, 109245078365320623, 385610, 499480, 109520780227764514, 109515193008025311, 109359184261362634, 109243174139996587, 109514093864100121, 109517303630152255, 109352965488059299, 505934, 451079, 109501828738617190, 109246391217564257, 109507296390414128, 108277881690305459, 42321, 109236501730211262, 109259988180115814, 109236614680696547, 109497273217114941, 109496766684408996, 108236707517081998, 396054, 280780, 109246666645125863, 109225988206200004, 2500, 501240, 109246537530292465, 109258600535182001, 282127, 109207220144916413, 23128, 109362823238423363, 35598, 44998, 272054, 108219701350333003, 803502, 478928, 109246089306940110, 108199284242066658, 109393862585144607, 109245531519879403, 14722, 109259098579598671, 109292147921875411, 109241425198555601, 149267, 109394770510287303, 109357780591124089, 109253393796182319, 15626, 109208008086317816, 635734, 41566, 44060, 109240835082812321, 131782, 108176559827658279, 1032873, 108148604410652542, 466532, 109246575298759213, 108449440111950170, 109243139631965273, 570582, 109371132803202301, 531544, 109245909098292340, 323614, 109250821236105565, 109251424163099665, 108239349117560863, 109240181848353779, 109247222862939141, 319396, 14838, 109369766994062360, 39541, 109247672526588556, 109366323990631501, 109364259768232698, 1128372, 109355943162567640, 107397376814330259, 37919, 390842, 109356697228074889, 107173968727704627, 109207984213832322, 472777, 109353323195380249, 109353611836028314, 299464, 32927, 109242292246443166, 143672, 109248729062078595, 681723, 108227841695564409, 109246216106838026, 109246333868969486, 109245702201551783, 108140462489609682, 448196, 20157, 34846, 108219153777910954, 254702, 479177, 109245932305095850, 661960, 108233304862913956, 109207631914083691, 109148763874903531]	Digital Humanities
peterwebster	mastodon.social	[110298565370478343, 110272765807497344, 109320603125374838, 109483291773422081, 110260101270265633, 109350896507703492, 109346748972408191, 110255114024079669, 109672734118975314, 110186079295548872, 110231109976274880, 313900, 109604392733413181, 110200582739594758, 109380729433897368, 110192043234029584, 110149979465086052, 109302452555541585, 109383494370764668, 109296794890974232, 110073850102842279, 109290130540014129, 109203796694396501, 109273928512474303, 109542770237359706, 110005536294601750, 109999536602071900, 109300023291041161, 371942, 109803750861504419, 109788229312195841, 109942543815365630, 109379172456560336, 109845298550366701, 109930400655432322, 109921891316957661, 109913663969072345, 109306757939022074, 109367750307043287, 109899194501162350, 109305552389327406, 109276916250860683, 109369766994062360, 109392207216122762, 109244727323831450, 109868402655994547, 109511033645508444, 108239349117560863, 109852760857640702, 109846611029614584, 109841814080826930, 109310330303534836, 109364945516372924, 109834257778896791, 109832622933190048, 109832366929703253, 109829930239623061, 109246331906459330, 109813922707334804, 109302511974475090, 109303052738545989, 109818973722314057, 109818942226131115, 109290707027457058, 109362126143947628, 109810704355542800, 109419622460346114, 109324563405317265, 109563066137226137, 109309779932441402, 109768155899761558, 109313583679608371, 109246650362344536, 109593389810533647, 108337165669155760, 109755092954566607, 109754470722708398, 109748015595637204, 109745710946447377, 109704240921755125, 109297941834306817, 109379567997657990, 109337341298553736, 109734506473674772, 109256378531828188, 109331817500461142, 109712604954422141, 109711040013012215, 109377787785576134, 109705101609540369, 109699318660705198, 109348603367589399, 281171, 109248152768065493, 286981, 109258155870052352, 109318165332440881, 109286358919610438, 109304944621388843, 109339852573379604, 109243668825210826, 109620232754101021, 109263982229594362, 109643844083756193, 50855, 109292236172055483, 109639321305112518, 109433425758769306, 109297442906322647, 109418023470733364, 109268477684569816, 109305562656283981, 61711, 109299062499472735, 109622290758419458, 109600565098282268, 109325511738658916, 109275298283152128, 109323042336397323, 109296718169771112, 109604271355483389, 760814, 109291048546178827, 109309432135767897, 67598, 109592741021447617, 109519173719503570, 109294569068870265, 109590805565560633, 109564973181522736, 109585176795565918, 109516141129630307, 109562928577185095, 109333768784003010, 109557887135788433, 1387341, 109243388372609150, 109331605601367158, 109564936229120587, 109259732146659770, 109262642098867518, 109243139631965273, 109525552781246313, 109557181210470736, 109389271940317021, 109376919938322478, 109393163298582523, 109556198425099122, 108239839289792915, 109366203270917597, 109292600013314214, 109497980652516449, 109548364350315071, 109547984187027845, 109547811979674777, 109296856285484828, 109546306424858159, 109545967108336363, 109352965488059299, 109541639514701010, 109325584628072635, 963980, 109541710411919272, 109378422337754104, 109540192808241221, 109348741708735228, 109364804661048886, 109246554904857531, 109323397752216254, 109503664583817445, 109311551078220061, 109386527977832351, 109531736143811033, 109293038113258495, 109531161429297865, 109306309237682058, 109368779687740629, 109259334169562994, 109271531049730807, 109529266196529694, 108193378367391467, 109522347130681261, 109245541094634872, 109421889108442222, 15751, 109310312725867443, 109524581776683012, 109509861124365708, 109315974311509768, 109524344568717188, 109377574204904855, 109524192443909672, 109373796113611061, 109292626488187833, 109518492758963150, 109366877281524422, 109385285522584185, 109373187475976804, 109366852421364883, 109437591459932391]	Digital Humanities
anindita	mastodon.xyz	[449342, 110213710556934957, 110173335703448754, 109845298550366701, 109363032144336598, 109369706110799653, 408444, 109243668825210826, 109243388372609150, 109246554904857531, 109259334169562994, 16163, 37949, 109208800820694912, 531544, 15626, 456471, 109246451896427091, 108266134751872554, 418111, 109243441939544916, 409660, 108196883952012745, 108240181602727391, 452399, 228420, 478928, 476510, 109247219736728009, 213600, 109251993698453396, 18305, 108193987656838977, 499570, 109250642955776359, 26898, 23234, 298256, 484143, 232626, 28059, 109247275038964141, 452622, 109280340460044093, 28485, 109258950199384400, 35611, 109247528659890454, 34731, 109237932196142664, 109244809258039076, 109246001228212073, 109245312400396545, 407180, 414401, 108269301093121738, 108197671360161877, 15113, 7353, 443308, 20210, 27242, 45276, 31592, 38968, 5113, 44606, 44002]	Digital Humanities
hepplerj	mastodon.social	[109282551358157472, 109259047972719721, 109283698957584454, 109293956169849621, 108198921112183684, 109293641995678193, 109251993698453396, 109300620290317763, 18305, 109298996412550540, 109299657750179271, 109259209223612664, 108080487681172690, 109006968340940970, 36272, 109268412321376075, 109296677810818799, 109258769813704960, 109258255444146324, 109295711806899092, 109292502369890276, 109259743076912247, 109243734632223154, 109265497505368169, 109293337734488189, 109268275970466361, 109259385958532278, 109292795322402376, 109251556044783486, 109292480635626825, 108222296027205265, 130933, 109264689180637678, 109291495320106556, 109263924253308053, 109259134233455836, 109259927125464714, 16336, 109289219149458752, 109288498011089112, 109289047301219262, 107533935579621134, 109258727697841135, 109258061251045567, 109257931628327527, 109286977929577969, 969010, 109286254252774966, 109286669584107905, 109257674895018171, 28059, 109258916068949950, 109286335002076946, 108220028913379754, 109263084644711370, 991524, 106818691183114221, 15751, 465909, 109260142561315668, 109268931479324679, 109248085421188270, 109242935787543744, 109247650885245652, 109259174496810108, 109265689539718616, 109245318521378527, 109252232206592120, 109243720604242583, 109265923184959000, 109264234254028967, 109258976515118449, 109258522808283791, 109257945507422703, 108137068582298268, 109242617515162035, 108196207071084134, 109258885000722009, 108195295952973460, 108197550408617964, 109257516259131952, 109252558216654349, 109259756831793334, 109253030849652168, 109258528504921542, 109259855425926327, 109258584951311009, 109252622063389319, 109259567968547686, 109260163344574162, 108196352932813362, 109259702664867774, 109258170098626882, 109259383114252277, 109252335909344940, 109247819385807515, 109258893350009645, 109258586002396811, 109245332094566989, 109259158337937838, 111137, 109252329101028706, 109247778364294890, 109258941990093124, 109258862134828890, 109237570604493475, 109258753389405580, 109237932196142664, 109258226229268504, 458877, 109258473366688594, 109257624697860825, 109243488853574031, 109248334904812768, 109245840377785041, 109245064282981274, 109257663224816187]	Digital Humanities
naudgnit	toot.io	[]	Digital Humanities
fpianz	mstdn.social	[110185759920607843, 1033812, 109988162219048306, 109845298550366701, 158789, 995191, 109243668825210826, 299638, 109259927125464714, 109246554904857531, 108198202246608840, 109259334169562994, 16163, 109257554755533846, 109244618707098765, 531544, 109215564672345722, 478928, 109357780591124089, 109246078557797517, 109256917380465819, 15626, 109248602786095806, 109358162494256795, 107215301464188384, 109244485340672070, 109247411153111818, 109245970928678805, 28059, 16822, 109242201619845224, 108217725522358140, 109247248306940605, 109247219736728009, 14818, 109251993698453396, 18305, 109245550009131137, 109248034789692853, 109259767263382301, 111137, 109245743696236501, 109237932196142664]	Digital Humanities
BridgetAlmas	mstdn.social	[108298930795617807, 109845298550366701, 109243668825210826, 109243388372609150, 109246554904857531, 109259334169562994, 16163, 531544, 108221818435278143, 15626, 109259018291542809, 108245723457268935, 961058, 476510, 109247219736728009, 109251993698453396, 18305, 107588925506974839, 109248877176691433, 109258042641030432, 1049632, 109246308036614816, 109243603041816929, 109251624347269044, 109256227058498371, 108197550408617964, 109256427157763504, 109253123235743333, 109241263613242341, 109258170098626882]	Digital Humanities
