edtech	chirp.social	[110235594660612306, 109847891234423652, 110138780944062902, 110101282631305546, 109840142676968604, 109951571177975525, 109845298550366701, 109930984016325938, 146071, 109685182953639488, 109356910954325855, 15930, 37871, 510329, 325469, 586448, 108194363543185150]	Education
mguhlin	mastodon.education	[110267650415239959, 110213823877865885, 109847891234423652, 110149091077669772, 110138780944062902, 110091234145442962, 110101282631305546, 109984190960994281, 109997955878555519, 109297500981599578, 109937802195035568, 109845298550366701, 109926534067620785, 109903403716456733, 109685182953639488, 109249128734016128, 15930, 305584, 16163, 109316032065410241, 567323, 311923, 559242, 109257023563767118, 109247546055461252, 955325, 15528, 14915, 109259218155934942, 109258795057181397, 109355546469434362, 18230, 109333381606625702, 109257349041764638, 109257641653033413, 109258851094565762, 109249658402510624, 107990518454921286, 109253160378020836, 109354063135548754, 109366187621124414, 108345781050254327, 510329, 109362020603014416, 109245133386119610, 109354564202240035, 128153, 109248022493147843, 108221818435278143, 109258864000226941, 109259554603116793, 109259699902239080, 14140, 254328, 108194180697683822, 109259514903428675, 109303122135136177, 109386108348048022, 942813, 109326018408306218, 677591, 109250037671050284, 109253075745809751, 149988, 17655, 270534, 109244973784842919, 412474, 109257209981799601, 109246308036614816, 1197713, 109259836305699100, 109245650194154145, 108218031741587739, 109248554302027183, 109210140369054781, 109243566917618744, 108195046425770204, 108194363543185150, 108209928128783787, 109371010876960470, 596933, 156899, 109288310644346928, 1185, 109253638035386529, 1053261, 109293190141265941, 109366355876244350, 586448, 109305595080879355, 109257637803491914, 325469]	Education
schooldaves	mstdn.social	[109847891234423652, 109845298550366701, 16435, 109246666645125863, 109361795341073869, 109246257825919486, 188669, 109258901835274844, 109259836305699100, 109338838824348594, 109362175649749184, 109343636993806037, 109258327903917139, 28059, 109257074628808887, 108277881690305459, 1281493, 109245650194154145, 108194363543185150, 109243252732161962, 109246035497434890, 109257637803491914, 109255236136277095, 109258358172984516, 109250327227341178, 109281624831792274, 109257599065567016, 109257331268736246]	Education
danwuori	mas.to	[109847891234423652, 110055883103514756, 109845298550366701, 109257637803491914, 109293190141265941, 109520691802069083, 109305595080879355, 109501227939770429, 109258327903917139, 109246045575602212, 109520972646665950, 109514110925735528, 109313901000775011, 156899, 109317080141307092, 109259284008950173, 109257641653033413, 109253673198150755, 109257209981799601, 596933, 240906, 109362277689420135, 109245069125063379, 109314643864942270, 109259637546771335, 109298972442586599, 109245927055418203, 109258225646662568, 109343636993806037, 109352898803555942, 109236322017836179, 17655, 108194363543185150, 108195797158357755, 109252026199846503, 108249910595945775, 15626, 109254604838765068, 109238942979036414]	Education
RossA	mastodon.me.uk	[109847891234423652, 824488, 109845298550366701, 108251207681323471, 108194698448048379, 109251135815690138, 109257637803491914, 109258065459448314, 109343636993806037, 109257761444455016, 108194363543185150, 109248209236370641]	Education
Joeohara	fediscience.org	[109847891234423652, 110111958056697630, 109845298550366701, 109930984016325938, 109251416977762353, 109343636993806037, 108197416610174430, 108198524837994441, 108194698448048379, 109301823763349559, 108196834675898876, 108194363543185150, 108199473757359312, 108194414564017573, 108198484012546610, 109253673198150755, 1104801, 109246997771289654, 14623, 13727, 109212996286987167, 109257637803491914, 109248825065140785]	Education
MrTomKoenig	mstdn.social	[109847891234423652, 109845298550366701, 15930, 109257637803491914, 109511285693487728, 109354063135548754, 108221818435278143, 109356318026329388, 109343636993806037, 108194363543185150, 239322, 109258307874683106, 462745, 109258237557517213, 109257985270065811, 109258065459448314, 109257672348492004, 108197596540157924, 109257697345668883]	Education
chrisbennett	mastodon.social	[110284256838102170, 110141172424536208, 110070803284871424, 110205140786548661, 109847891234423652, 109322636364755570, 108096914931537631, 110101282631305546, 110094504627527716, 110051830951015017, 109305334295876701, 109947934795022430, 109845298550366701, 109930984016325938, 109900378750602096, 109363050234961216, 109241921552934423, 109882229149582053, 109407683838581885, 109342589828104940, 109540763266051135, 109869569628498486, 109862705521737076, 109252496278310308, 109325109543416150, 107025067733417666, 109288442191053388, 109804216844342562, 65158, 109795954268436892, 109795887132372246, 109795652200340368, 109428223955122337, 109323478154989138, 109305595080879355, 109734506473674772, 109551560654429859, 109666946564913295, 109583798806813839, 109366060660907662, 109642835269569611, 109247633292553376, 109385828336765950, 725448, 109513302503933536, 109632907700401759, 109257637803491914, 109573482879069939, 109592840219036532, 109565261638120214, 109549816401009455, 109326697543406733, 109562928577185095, 109580633685139762, 109570760259806897, 109330698676552001, 109332717252301229, 109326918164957380, 108193034952613223, 109562664974425735, 109559473747434367, 109448482817647182, 109557743255242226, 109300539846332325, 109552089829728822, 109292625712534115, 109337348500761872, 109259271706012009, 109542442211918041, 109248956105341562, 109302616886616990, 109537721892520739, 109538318117602191, 109523589690209281, 109272143653111848, 109537119799842240, 109298716644421701, 109531201495063527, 109327809737708648, 109382902050829590, 109305935998233498, 109268328241505575, 109338633892387395, 109252628166585689, 109327538227767883, 109365220643456926, 109299628632634060, 109363418827971183, 109496495991875075, 109470699300221337, 109302343452928688, 109329180826474967, 109244763905926880, 109393461704332860, 109469134747500857, 109291711469057575, 108218493968022378, 109377703883670605, 108195046425770204, 109272755703515132, 108199829141343620, 109451515099679510, 109299265718704106, 109441092050244392, 109441064396377848, 109438832597727094, 109304415634112299, 109418691959272247, 109245384185915042, 109430867454938473, 109429881977373889, 60768, 109246865231083964, 109428365730216281, 109365906827015626, 109424381399891441, 109319492708080588, 109365048720472784, 109423091016643487, 109299876230318065, 109391023741926006, 109367179846257118, 109370616604109273, 109304116839424313, 42515, 107909616669852316, 109307157768812934, 109374098876099586, 28646, 109344758686403474, 109398031784763945, 109310205634813402, 109309053391560539, 790089, 108079544837604412, 109365092617554385, 109362472100058175, 109386084892977232, 109332639339769740, 109405028214462099, 109399736606635292, 109405279764928927, 109292675837526599, 109400690132813414, 109400224702921395, 109393634096305140, 109327984626519225, 109288078745273072, 109390133898208853, 109389854335950159, 109378622706867279, 109326225277748103, 109309436536890590, 109361352917849864, 109387728823564354, 109329125617503195, 109321534984318558, 109366746265634622, 109329624608216905, 109382128774851551, 109329229785018261, 842727, 109362574458551698, 109374209247175102, 109362865577965717, 109377354064123790, 109372124731171287, 109364036608099210, 109255677802234737, 109376311211423636, 109301517535091295, 109368538735264447, 109327429024133969, 109370102390898033, 109298758962927523, 109371546134030724, 109304375060277711, 109288764342463308, 109293393629255597, 109284325363101724, 109365602275676707, 109344274268643398, 109365372476647668, 109296358538131690, 109334438449794400, 109300023291041161, 109290703637931645, 109322787831903060, 109354783360325942, 109361261472052491, 109343689264479323, 109291091705595222, 109259496158933298, 109321936296786615, 109355880008889605, 109286375113848605, 109343636993806037, 109354305550301633, 156899, 109344929926223185]	Education
rebeccanatow	mastodon.social	[110298565370478343, 109354606217297653, 110278492123335458, 110156474743664338, 110010961466059033, 109847891234423652, 108096914931537631, 109423449754707498, 109943389434941463, 110101282631305546, 110094504627527716, 109300565142442999, 32434, 110051830951015017, 109364988687754845, 110005350574304431, 109300023291041161, 109853216950865486, 109947934795022430, 109294614937878078, 109376119804856292, 109845298550366701, 109930984016325938, 109306757939022074, 109900378750602096, 109895999317663441, 109886630118386804, 109882229149582053, 109521040564771632, 109854169847907308, 107192220324249637, 109841489888458661, 109824850164971498, 108282607750436432, 109815091926182491, 109795954268436892, 109795887132372246, 109795652200340368, 109541364681717628, 109428223955122337, 109363921972074927, 109775519928684985, 109345818384630585, 109303828980413265, 109771974210790705, 109323478154989138, 109353783235261653, 109554008057681856, 109744238795322782, 109379567997657990, 109734506473674772, 109460641085982962, 109472415211531324, 109390750089501944, 109690583746082936, 109667527387171728, 109296123233975726, 109366060660907662, 109642835269569611, 109247633292553376, 109385828336765950, 725448, 109308643906038151, 109484878726620890, 109513302503933536, 109632907700401759, 109637654959699186, 109257637803491914, 109573482879069939, 109267333202607455, 109622290758419458, 109626270071030684, 109592840219036532, 109397016447376688, 109549816401009455, 109610758105984362, 109326697543406733, 109463395758326141, 109600565098282268, 109401627318972160, 109355114773234029, 109400595650651936, 109601320790394124, 109525090469616110, 109562928577185095, 109585864742231693, 109401301596871347, 109337341298553736, 109580633685139762, 109580130692913149, 109242900938345669, 109570760259806897, 109295266952053614, 109366632752119878, 109560684794147242, 109448482817647182, 109297721989370754, 109557743255242226, 109300539846332325, 109552089829728822, 109548975892505007, 109292600013314214, 109312577409460691, 109547984187027845, 109309972314504325, 109529997309644224, 109542442211918041, 109545967108336363, 109543373539589668, 109285573580064473, 109337470469861432, 109541866246648880, 109361352917849864, 109377260905920232, 15688, 109524282637945180, 109538329351814685, 108195046425770204, 109524731479852926, 109530882807504050, 109537822935461767, 109418550808887631, 109537100909571454, 109528527527610952, 109303954636715928, 109536541313536996, 109536566321078973, 109293700842612686, 109292166742818833, 983348, 230110, 109532481501350139, 109362828964092988, 109293139933513329, 108194261852176923, 109371505674831548, 109474526042969559, 109254594005340924, 109276884864749682, 109307628243749312, 109319384825081622, 109292521600093141, 109338633892387395, 109520809923726305, 109524366808959766, 109524344568717188, 109404391139730048, 109524028851575569, 109314506659787077, 109523895483019553, 109518250554707134, 109377764827241405, 502809, 109382731725969418, 109274387556259937, 109365076743687387, 108615018005073926, 109299628632634060, 109321932335159127, 109308585038491704, 109360656335970952, 109499760176570139, 109498843329780926, 109296860577667746, 109297570585990997, 109374473121806277, 109325293894812040, 109501994296954769, 109353722554384005, 109242306384117869, 109242875206644932, 109378581079293955, 109503268649010475, 109363418827971183, 108206398760969277, 510714, 109366233772575549, 109315354460026620, 109498925088307081, 109430710362955119, 109379525600292804, 109311585920344762, 687863, 109298083248861920, 109367067127248188, 109379692559310390, 109329180826474967, 2500, 109319340827962487, 109287151579611756, 108199829141343620, 109355844953254411, 109469134747500857, 109374386719961923, 109259181227854511, 109379390063793367, 135824, 109374262355340052, 109303863771176735, 109421678219273788]	Education
AlejandraPickett	mas.to	[110267650415239959, 110261563947761832, 110216918429707365, 109847891234423652, 110162176378745758, 110037196686826878, 109997955878555519, 109845298550366701, 109511033645508444, 14408, 109293190141265941, 109835797444540380, 15930, 109291832731354697, 15744, 108282607750436432, 13925, 109520820945304260, 109257637803491914, 109497651143183198, 15599, 14140, 109356108768910477, 109362225279398688, 16163, 326364, 16344, 109240045332800603, 14232, 109254754789507021, 15548, 15688, 1114680, 109508179651844882, 109245063176478371, 14807, 14780, 14838, 109355841439672564, 109360628590934854, 108221818435278143, 109252957570177353, 412474, 876512, 109257532556156800, 108219817067243052, 247306, 109310187625830739, 109245962002344939, 109253342900665384, 109354468502523390, 109343636993806037, 16456, 109307206915079499, 16280, 109333381606625702, 108193778939547556, 156899, 109248417735330753, 109244973784842919, 14601, 109313583679608371, 14915, 109299620695305937, 109247212647180905, 109254604838765068, 7298, 109246697660333815, 251129, 300486, 15528, 109245650194154145, 108194716713382142, 515648, 109228566177480948, 254328, 108623610470514994, 109245498416217369, 14771, 14492, 271311, 14394, 109248825065140785, 109256008319994328, 109257317042236381, 108197933749917494, 596933, 108195801930159612, 15640, 15209, 108194363543185150]	Education
stephstephking	mstdn.social	[110297860211560728, 110232658681233917, 1035816, 110147309638121620, 109990997866084571, 34380, 109847891234423652, 110101255234402293, 109501430442115713, 245733, 109313934429105742, 109979776091427814, 110029446661418379, 239549, 110031396985997701, 108197900630052143, 109845298550366701, 109927465054621721, 109371010876960470, 109315862541029586, 109855519094879965, 109246018860303483, 109241078943366412, 421060, 233513, 213249, 109252002157493887, 109496287057422088, 109257637803491914, 108197092546215626, 18535, 109503509508644691, 109248411734698442, 238304, 108195926010976797, 109359374478078693, 109367045853975554, 109504069402798395, 109502822358134074, 331733, 1281493, 108198704692509177, 109502304132965943, 109362308169992610, 108199239894423352, 109248075113072783, 108223, 109246257825919486, 108141883953368386, 305098, 108192823485674432, 109250616885013942, 109257681802414496, 109365852847978141, 506329, 109246269977492786, 109362126623130736, 109259870160284923, 109361762268312181, 109243775694177255, 109373768684231030, 109112343155007061, 993905, 109366408958883091, 109360686124816513, 109245567469292940, 380777, 108217805023412430, 14408, 109355196319599960, 109343636993806037, 109315720981933762, 1142126, 109253785681886189, 109302003737027730, 109247712952305913, 165668, 108194363543185150, 108194491584944031, 108192757369404122, 109260055941941591, 239153, 235696, 109310961140921130, 109258253079310211, 592862, 109247275038964141, 325469, 109259517477461157, 109302907590937897, 576749, 108199103628154290, 109257653397434069, 108193330630985077, 109247646984582437, 109250898531591199, 109243632893622609, 321766, 108195178475738954, 109248825065140785, 6884, 428815, 109247246920458661, 108167331580418566, 109259797244452860, 109257995821413866, 109254540612303481, 391779, 109256408040239009, 109256471419808460, 109250892143773581, 1010552, 109250129498746056, 109248099493129058, 109250829959480238, 108197326734718170, 16646, 109243468930815798, 109248061568480967, 109246515038176634, 109246357110841623, 109245178847511690, 272135, 109243499067505521, 288805, 109245878506468155, 109245799884183427, 109243462139305771, 109240378144997974, 16641, 108195622715884935, 108187157494820596, 108138539889543467, 108192926896317170, 108198525584455140, 108194365870640555, 95949]	Education
