brimwats	scholar.social	[]	GLAMS
davebrarian	glammr.us 	[]	GLAMS
jveazue	glammr.us	[109845298550366701, 109259658853432393, 17071, 20157, 109386419741079896, 109450435084669030, 481112, 475935, 109252782822761703, 870682, 109368394636087939, 109247712952305913, 239136, 109241462721783852, 109302925272398560, 436195]	GLAMS
bibliophilous	digipres.club	[109845298550366701, 109386419741079896, 109507766952346103, 870682, 109337283812265216, 108194365870640555]	GLAMS
evedazzle	mas.to	[110239896961357732, 883350, 110128881170754187, 109845298550366701, 109253325937471826, 109863806758558518, 559242, 109246554904857531, 323614, 109258938682996118, 109503290628787451, 109361552247558532, 824488, 108198915193621770, 109248908544755177, 510714, 870682, 109254798863763727, 476510, 109248889175991996, 28059, 14487, 108192938054710328, 407770, 109258687622267268, 108194365870640555, 436195]	GLAMS
_sarahannadams	glammr.us	[108198551590756979, 110002333390974341, 109845298550366701, 109113213565322760, 109521109920842772, 109246801680491580, 870682, 109243603041816929, 214232]	GLAMS
hanarchovist	glammr.us	[109845298550366701, 109258863713357844, 108198422347601649, 37400, 109251231206312322, 109249217844212106, 109246554904857531, 109259988180115814, 3385, 870682, 109249354185376970, 109342636478039400, 502566, 109253036370648266, 109258230263477822]	GLAMS
preater	scholar.social	[559138, 110072828757740282, 17568, 15930, 109845298550366701, 109865025092396275, 109359284802822351, 311441, 848514, 109353323195380249, 109643891155199919, 109247712952305913, 988989, 108279780058040080, 109256325783998026, 109246333868969486, 16163, 18230, 159760, 109246454954563935, 7994, 109246554904857531, 109244989340720814, 234425, 7298, 108198570211335925, 109248783602918214, 109259111007178293, 109315119866705044, 325461, 109502630045762893, 109386419741079896, 303481, 109324985289833907, 107192220324249637, 109501828738617190, 109253170726430981, 4176, 109268406823374089, 109502797499152227, 109258663471604134, 109257674895018171, 109248704565619650, 109247132174585568, 109291481390147996, 109287473404984240, 109245909098292340, 109248417735330753, 109252294337269013, 163012, 109258443606320522, 109356318026329388, 109255230879063178, 109259209223612664, 109362126143947628, 109246105140985229, 108199281502070458, 3682, 514368, 582135, 109217424275177536, 109358155987942909, 108249106013752343, 109243456233729087, 109240181848353779, 109244518332956815, 1072884, 236466, 109259653872473793, 34846, 109258841967260524, 108194429161495315, 109244709534183199, 109245178847511690, 109243602517373945, 109285435584908904, 109356093024913413, 109355526679906887, 109252083220218143, 109224722841346353, 109246822754893722, 109258437635685537, 109244689223657889, 109301365624091626, 109258782157110936, 109258901835274844, 478964, 109259743076912247, 305204, 109252529079697943, 109250689359399329, 109365613920001319, 109280715316295106, 108520790687531828, 108231613738040511, 108197873928425950, 108194111349566214, 109259369718299225, 109240867858535299, 109259198766719598, 109242134864684061, 109250573096709413, 109258203779753232, 109252701444943265, 109246001228212073, 109246632288844654, 109252174589596169, 109294044587722399, 109258432519347631, 109292742831139872, 13689, 109259021840449625, 109259877657580880, 109251573357720776, 108195998494935366, 109247928625335719, 109259855425926327, 485949, 109258462483382711, 109258162182375282, 109247179587242124, 661960, 109258713442012497, 109247986221663266, 109337283812265216, 109259131421844727, 109326549894118842, 109256906323204875, 396605, 109257038659332983, 109290863468520688, 109242713911758871, 109259055667399940, 109243388372609150, 109243902422545443, 109254210706771510, 109245996633387829, 109252987244564814, 109251763096137550, 109259019591013600, 109255827296489530, 109385144361053887, 109253792537270451, 109359173981794042, 109246145174386776, 109246216106838026, 109256346112601960, 109242900938345669, 269330, 964265, 109354526528280030, 109245896155043487, 108197214758969294, 108198921112183684, 109353295691561782, 109246260857164262, 1039881, 109250597888383818, 109257335681136178, 109219111203750403, 449705, 109251827142964076, 108197092546215626, 109296856285484828, 109405628286594829, 109241863862502145, 109244383531280744, 109986, 19522, 109240045332800603, 109370669265828834, 109326018408306218, 109251579326419124, 109258253957880303, 109257823609144517, 109246929382991865, 109371648690041299, 109259503476689020, 72430, 109251583590414987, 108221818435278143, 109248050625727456, 108219153777910954, 109247849475109101, 109245667171379232, 109245477152851767, 870682, 109248825065140785, 108198176380165531, 109257706430520304, 109259748883947535, 109258423972158505, 28059, 109257875045661901, 109258571714213615, 109214557059952029, 108232022161908124, 109258759777454434, 109244878628435597, 109256235698218043]	GLAMS
brynolf	mastodon.lol	[]	GLAMS
katykaty	glammr.us	[110156474743664338, 110221249355599738, 108198551590756979, 110050801484425447, 109989085566911091, 109845298550366701, 465322, 292203, 109246554904857531, 80210, 20157, 163292, 109386419741079896, 419365, 18549, 109247919068425402, 559242, 109374270508360155, 870682, 7711, 7363, 109248604148980218, 275407, 244057, 109243896201415718, 252907, 234754, 420282, 592862, 109253288928798071, 108108967491352096, 431837, 109243329645790227, 3385, 17099, 514915, 41337, 424505, 109246901012787693, 324112, 109258368495662848, 108192207755495802, 109259484786417877, 238346, 108192823604732375, 109258228169703245, 108194103906163467, 433141]	GLAMS
