haushoferl	mastodon.social	[110300692930375662, 110298565370478343, 110239314820215147, 109346748972408191, 110255114024079669, 110231109976274880, 110149979465086052, 108096914931537631, 1302832, 110070745350948262, 110107916582837391, 110087162672435104, 110073850102842279, 109838199362506749, 110050772058725656, 109300023291041161, 109258023740471414, 109845298550366701, 109294964899133606, 109521319278893436, 109306757939022074, 109307174770702554, 109244582805510434, 109846611029614584, 109430016744793011, 109814033695659949, 995191, 109291003005021946, 109305248473511930, 109392410660129197, 109314487672877551, 109563066137226137, 109775950552178787, 109677091091118731, 109303383267252819, 109754470722708398, 109748015595637204, 109554008057681856, 109290863468520688, 109546554371432688, 109734506473674772, 109720131600655291, 109711040013012215, 109690671514864440, 1246042, 109302931616695808, 109626244881659130, 109662403111453975, 109634664188011593, 109286358919610438, 108230989312606388, 109654569967281832, 109653908237886178, 109243668825210826, 109429106882847775, 109381914525073843, 109639321305112518, 109273659333945010, 109622290758419458, 109627938281357300, 109600565098282268, 109383554413621939, 109366638351966432, 109243388372609150, 109604271355483389, 109592741021447617, 109590805565560633, 109247839781876129, 109579943550372021, 109562928577185095, 109362828964092988, 109576641261651766, 109339459649900965, 109493753959574026, 109557887135788433, 109291396117488631, 109411332350443035, 109552991704842704, 109520146042800733, 109286541917598124, 109415280635655664, 109364930355906307, 109375695818815680, 109392513745776213, 108207857170534335, 109300496884207985, 109523589690209281, 109363210761952764, 109550826366598651, 109292600013314214, 109370570612983541, 109263581540630795, 109538808723238428, 109547984187027845, 109546306424858159, 109540600698928588, 109546163203650056, 109545967108336363, 109542970715726977, 109216420265250423, 109325584628072635, 109540607033060029, 109539228774344041, 109450523239240964, 113057, 109539768256401987, 109539734522716934, 109521960067326494, 109355114773234029, 109309895691773301, 109523649257591936, 109245087912875867, 109289602174179003, 109287570439219271, 109309004235390953, 109536956448492789, 109293511262836670, 109258632784794361, 109286216150418862, 109536775660864893, 109536665799201599, 486730, 109351084907249140, 109478446002781223, 109535310094333723, 109418115407875627, 109252398061470244, 109534038248055014, 109354439158550135, 109244749378649207, 109368779687740629, 109532610184698618, 108197109753792338, 109270489189288059, 264203, 109291483924999919, 109360616658244435, 109406917543828229, 109501901592410166, 109527129264310621, 109525841642572227, 109421889108442222, 109525440151732093, 109480598397611543, 109417696520708337, 109268328241505575, 109524581776683012, 109364943444172908, 109366877281524422, 109523749204613826, 109521587586738452, 109323478154989138, 109521276463267558, 109520864869627565, 109512699766042510, 109269961391300472, 109286710278021167, 109513581859215932, 109307985480031599, 109429742992387956, 109501407873520130, 109301174412388602, 109503289406273285, 109504346616676144, 107192220324249637, 109496942604085163, 109474133563442180, 109496699680540293, 109496523666509218, 109343695044658524, 109335499201461917, 109490902679521545, 109490294692396013, 109483811858573527, 109246085727937996, 109422048716943472, 109337667551941032, 109482038056792468, 109376455839422168, 109472293858590094, 109365414338529550, 109466079855945575, 109240835082812321, 2500, 109377083209262484, 109458528257499254, 109421678219273788, 109458304125363189, 109444381653941897, 109274389289561747, 109258976515118449, 109371592285218431, 109418324598487599, 109221192702463357, 109258885000722009, 109452696755774030, 109271269371918097, 109389037347847106, 109303692338301747, 109292658153646792]	Historians of Science, Medicine, and Technology
doravargha	mstdn.social	[110149979465086052, 109960502700228426, 109845298550366701, 109313583679608371, 1138668, 108221818435278143, 109368779687740629, 1135351, 109245541094634872, 109255827296489530, 109245911437151830, 108130046645090018, 107192220324249637, 109496942604085163, 109246296127820399, 109354690708413306, 108219153777910954, 108197608673370223, 109215566617508861, 109241995804981879, 109246411400138051, 109249727689978662, 109245414521757687, 109353932748293185, 109244518332956815, 108194467416109173, 109256906323204875, 109337283812265216, 109245932305095850, 109245318521378527, 108198162248850537, 109258700025626017, 108130769549430985, 425791, 410317, 109250550852499943, 108193978111323036, 1150722, 109290863468520688, 109250259524357530, 109259055667399940, 109246120984435842, 109309504886369476, 109286669584107905, 108198921112183684, 109259855425926327, 109247219736728009, 108198033333734789, 109245295244860260, 476510, 109243803422695841, 109258696454625120, 109259645328434371, 109238186959782017, 109259210608578587, 109250798368921858, 109243832599298649, 109202107228190094, 109258769813704960, 109242076377424783]	Historians of Science, Medicine, and Technology
brunostrasser	mstdn.social	[110149979465086052, 1302832, 109845298550366701, 109852981252826428, 109244582805510434, 109313583679608371, 109212672053987101, 109243668825210826, 109495076300462487, 107192220324249637, 599559, 108194791493448408, 109368779687740629, 396605, 109245541094634872, 109332728452299495, 108219153777910954, 108197182010956405, 156899, 109249727689978662, 108176559827658279, 109243139631965273, 531544, 109251473074993281, 109244100699597330, 564080, 109246537530292465, 109245200813585835, 109369766994062360, 109354190205270555, 109353932748293185, 109241995804981879, 109258095318389020, 661960, 109256906323204875, 109337283812265216, 109244791948118013, 7326, 107482686787048098, 109319989923534322, 109247712952305913, 109250550852499943, 109257006799028293, 108198033333734789, 1150722, 109251628927842911, 108133755235690891, 109247757919275627, 109244768001202510, 1066783, 109245805948286226, 34236, 375567, 109259047972719721, 109309504886369476, 109244518332956815, 109259645328434371, 109286669584107905, 574279, 108294915508654083, 1148031, 109247816400835894, 108130769549430985, 108197012196056024, 109259855425926327, 109247219736728009, 109251489631077892, 109251993698453396, 262389, 109245091325840288, 109250798368921858, 109258769813704960, 109257454882211975, 108199281502070458, 130933, 109245771051877337, 109249207100036819, 109249079026406441, 17713, 1049632, 109244473119372960, 109245332094566989, 36272, 109245608243045661, 109254105973251770, 109250875383964242, 108193939879221766, 109221192702463357, 109253123235743333, 109258254425744982, 109252616601114412]	Historians of Science, Medicine, and Technology
nathaliesagepranchere	sciences.re	[109845298550366701, 109212672053987101, 109257870290883574, 109253853711493870, 108197293676347041, 108409107672218732, 109355083749157516, 109251623577854138, 1108085, 109246120984435842, 46100, 109247778044013939, 16393, 108198033333734789, 109337283812265216, 1150722, 38154, 108195998494935366, 109244518332956815, 109253515053537458, 109256325783998026, 109290863468520688, 109245535247047306, 1139739, 30695, 109245295244860260, 565251, 109245544454172818, 298619, 36272, 1136179, 109257171220398737, 109245398752701778, 109245140107250294, 1138642, 109256804735267148, 1136252, 109245042578822462, 1135406, 109279163038286946, 1138681, 1138668, 109241995804981879, 109257601290688639, 109247998585366950, 109244813648198426, 108223263144963950, 109253084994389430, 109256344949245641, 108197313986948610, 109258373362200741, 21165, 108232594654784785]	Historians of Science, Medicine, and Technology
davidfreis	augsburg.social	[110039769566546092, 110149979465086052, 110050772058725656, 109845298550366701, 1138668, 109243388372609150, 107192220324249637, 109354362463937444, 109368779687740629, 109246179318293109, 109246794984203739, 109245541094634872, 109377204846469219, 109353792231637650, 109366408372220519, 109246085727937996, 109258600535182001, 109244689223657889, 108219153777910954, 916966, 109249727689978662, 109313500280995134, 109298142640774056, 109353932748293185, 109256906323204875, 109337283812265216, 109313583679608371, 1150722, 109309504886369476, 108402588773468248, 109249252317987436, 109286669584107905, 108198921112183684, 109247219736728009, 108130046645090018, 109251993698453396, 109258246663810633, 106974359153541901, 109253196587395381, 109202107228190094, 109238186959782017, 109244518332956815, 36272, 108196980178026571, 109247757919275627, 108192740735743549, 107152570609602299, 108198033333734789, 109250308700635838, 109243832599298649, 109251556044783486, 109244081326433869, 108222296027205265, 130933, 108222593188021942, 109250798368921858, 109258769813704960, 109244749378649207, 109250105414829833, 109245140107250294, 109254778913855830, 109259210608578587, 109242076377424783, 109257624697860825, 108194111349566214, 109215806011730188, 109245398752701778, 109241995804981879, 109259855425926327, 109258683284460813, 109243803422695841, 109245295244860260, 109245535247047306, 109256427157763504, 109242938066235229, 108283317532422786, 109258275920521194, 109246120984435842, 265623, 109245064282981274]	Historians of Science, Medicine, and Technology
VicTurk	mastodonapp.uk	[]	Historians of Science, Medicine, and Technology
sarawasson	mstdn.social	[109492049991696800, 110149979465086052, 109845298550366701, 109313583679608371, 109243668825210826, 108197020813180923, 109368779687740629, 16163, 109244950511708272, 109355526679906887, 531544, 108219153777910954, 109241995804981879, 15626, 108221818435278143, 109334977103603698, 109249727689978662, 109299735004020556, 108195747080357170, 109258175820083512, 109354738337913858, 1142126, 1141660, 109353932748293185, 109258242184440906, 109256906323204875, 109337283812265216, 108217683421739204, 109290817650072734, 109258280545717281, 109249897729756947, 109246246484464691, 109322656798784265, 466114, 452399, 1150722, 281309, 109258311992013090, 109248227628831549, 109252312681213528, 108138192930105044, 109256995332417343, 108381373623632940, 109257575955293667, 108197327506794844, 109309504886369476, 481112, 108196751488624389, 109259474726531087, 109286669584107905, 1148031, 109251988738153946, 231321, 109259855425926327, 109249658402510624, 109248402343007565, 109247219736728009, 106244153040625462, 109257143813191096, 109259210608578587, 109246757985609059, 450895, 28059, 109243910059916180, 108193987656838977, 109247712952305913, 321631, 108197974099861612, 248501, 109290863468520688, 109244518332956815, 109253785681886189, 108198553141144336, 109243488853574031, 108080394552499469, 109258446253851000, 109246120984435842, 108192962246913165, 109258077340134060, 109265620504633111, 109247075859401621, 109259194927231805, 109245541094634872, 109257034735020537, 109258275920521194, 109248221787774270, 108433023201089145, 414687]	Historians of Science, Medicine, and Technology
djneill	mas.to	[110149979465086052, 1302832, 110103751115323798, 109845298550366701, 109894204866182245, 109313583679608371, 109246554904857531, 109368779687740629, 109249727689978662, 108197133668596750, 109245715105751572, 109353932748293185, 109256906323204875, 109337283812265216, 1150722, 109240990170827357, 109246432678838036, 108198921112183684, 108136736278147518, 108195998494935366, 109309504886369476, 109286669584107905, 109237570604493475, 108195508102465480, 109247219736728009, 109243600528842282, 109245484809412850, 267215, 109258696454625120, 436195, 109252756442536786, 109257575955293667, 109252582983569792, 109258708476117795, 108193042389450713, 109266309007958757, 450895, 36272, 109259484073296381, 109281624831792274, 109258769813704960, 109245541094634872, 109245911437151830, 109257718036848710, 108197873928425950, 108217761178377225, 109241995804981879, 109247712952305913, 109245897932437462, 109290863468520688, 109251556044783486, 108222296027205265, 130933, 109242076377424783, 108221323475274795, 109255827296489530, 109259055667399940, 239825, 109258246663810633, 109259855425926327, 109217424275177536, 109258586002396811, 108194111349566214, 109243488853574031, 109257516259131952, 109245064282981274]	Historians of Science, Medicine, and Technology
flurin_condrau	swiss.social	[110149979465086052, 109845298550366701, 109313583679608371, 559242, 109520509416765309, 1138668, 108237706921866406, 109529616734810253, 109244761199837956, 108561542164843334, 109246554904857531, 108197575803028685, 109252398061470244, 109368779687740629, 109253323295390005, 109496942604085163, 109247712952305913, 109258841967260524, 108219153777910954, 108337165669155760, 109241995804981879, 108220094526127332, 108221818435278143, 109249727689978662, 109244768001202510, 109313500280995134, 476510, 109259209223612664, 109290863468520688, 109292023046477071, 109116933503948240, 109246120984435842, 109257371613025382, 109258755019162174, 109256346112601960, 109355757672436646, 109244589646193178, 109249658402510624, 109259855425926327, 109258782157110936, 478964, 19311, 109258337355034898, 109259131421844727, 109256243499071669, 109247359032783958, 109258586002396811, 109243456233729087, 109243803422695841, 108283317532422786, 236466, 109252756442536786, 109259645328434371, 109252701444943265, 109242938066235229, 109256288710936152, 108194107178923518, 109259714043981222, 109243502762835025, 109245911437151830, 109246246484464691, 109251573357720776, 109247080432692894, 109245477152851767, 108198620944845727, 108197550408617964, 109258696454625120, 109245255954755006, 16393, 108255342883263292, 109353416589827410, 108198318507881616, 109329198128151826, 109258482445349446, 108197528619732503, 109240457280547207, 109244749378649207, 109245604719274864, 109258590193067111, 109238613210438222, 109337283812265216, 109258769813704960, 108196883952012745, 109245541094634872, 109245297586507646, 109256906323204875, 109246892760912448, 108198162248850537, 109244825049718756, 1150722, 109250667330451800, 109255827296489530, 108192770202567334, 109242076377424783, 109244518332956815, 109253196587395381, 108198921112183684, 109259055667399940, 109257663224816187, 109258469578944231, 109245836954218164]	Historians of Science, Medicine, and Technology
sarahebull	mastodon.social	[109871003412109332, 110260101270265633, 110239314820215147, 109346748972408191, 110255114024079669, 110254685949844009, 110231109976274880, 108221365558429592, 107238213735738785, 110149979465086052, 110073850102842279, 109472415211531324, 109838199362506749, 109841074488454928, 110003953555492038, 109975420323701790, 109288286784760842, 109324331532322761, 109845298550366701, 109294964899133606, 109915456554914300, 109343691534856321, 109846611029614584, 109692856132957344, 109819279078388946, 995191, 109796743042198663, 109331600423486493, 109247526823482367, 109309099933767481, 109563066137226137, 109313583679608371, 109541710411919272, 109759645140254813, 109754470722708398, 109748015595637204, 109734506473674772, 109721567680450978, 109711040013012215, 109426449043060471, 109690671514864440, 109687947539629279, 559242, 109286358919610438, 109651290165194119, 109639321305112518, 109631467372306834, 109622290758419458, 109600565098282268, 109552318579842352, 109590805565560633, 109562928577185095, 109493753959574026, 109557887135788433, 109531202667215982, 109266278795729527, 109564936229120587, 109564177822350569, 109560506034192387, 109364930355906307, 109556368623143612, 109292600013314214, 109497980652516449, 109309836337906887, 109292658153646792, 109547984187027845, 108198853497517029, 108282607750436432, 109545967108336363, 109419757705962474, 109325584628072635, 109434428282575801, 109364235447628769, 109335433379616840, 109536928502983596, 109523649257591936, 109246554904857531, 109309124313103852, 109536929067110499, 109258336891205303, 109531736143811033, 256758, 109307440726874212, 109368779687740629, 109371895203734275, 109298603013896314, 109287726704755448, 109522347130681261, 109527129264310621, 109421889108442222, 109521209589840119, 109523987029142977, 109366877281524422, 109315663467005317, 109323478154989138, 109520901426539376, 109520864869627565, 109323179956328655, 109286710278021167, 109307985480031599, 109259280467682844, 109294560802218054, 109301174412388602, 109503289406273285, 16163, 109301567255901378, 109259411392719860, 109342909610905527, 109496353119624260, 109490902679521545, 109334951872044309, 109465112206920716, 109482038056792468, 1086405, 109423703412571484, 109467800043758406, 109006968340940970, 109454942268951302, 109333395486458279, 109417967576059579, 1149200, 109458304125363189, 109249643504294545, 109363214135976879, 514368, 108210426054342642, 109433734971749510, 109423187149147221, 109349076076416841, 109389471687194920, 109424150312469708, 109423737844030459, 109423182933686465, 109423047827843137, 109394751337360278, 109422033545212354, 109421661903243418, 109368060698345663, 109318457375797561, 109384625191614330, 109418613830934894, 108219153777910954, 109417864363351478, 109417532846861253, 109416995230489319, 109411404834016464, 109403874801648103, 109264204066692446, 109361991776256021, 109322605890720041, 109290549013660197, 109269141822252171, 109304702010444207, 109249727689978662, 109363326466124557, 109395005276231496, 109396015935288982, 1377806, 1246389, 109394871941696410, 109394533737010298, 109383872970098592, 109375972552362621, 109373337775425337, 109393405192247141, 109329125617503195, 1235589, 109373983317322624, 109390133898208853, 109373920336328907, 109389037347847106, 109388984016772839, 109388572243098212, 109388443367329061, 109387151466230338, 109386707328703398, 109386251648751995, 109298237092347729, 109385016916786722, 109366236097118496, 108194838166318357, 109377536289047409, 109384084727246371, 109378508566076677, 109383887442599645, 109382714272932959, 109360757718573207, 109382054615909828, 109380068073497693, 109381896158187191, 109381158110265201, 109115846061778729, 109292371357770905, 109377858856797776, 109374209247175102, 109372124731171287, 109367770167351310, 109376784945923099, 109245694840710956, 109372087598901758]	Historians of Science, Medicine, and Technology
