oliviodare	scholar.social	[]	History and Philosophy of Science
dim	mastodon.sdf.org	[108194890308088987, 110185759920607843, 109245550009131137, 37964, 109236433339564533, 771429, 110147361859854885, 109240835082812321, 110128543818838346, 110045112965022035, 110050772058725656, 478928, 109354423840986198, 109240773415566229, 41825, 109368779687740629, 107192220324249637, 108279213781183306, 109245531519879403, 109244332431164585, 109217753159837412, 108219153777910954, 531544, 1303862, 109256442035667450, 109295870287922654, 34236, 109243388372609150, 449705, 109246405121404084, 109313583679608371, 109294044587722399, 109216601389317009, 109268717706305461, 108193887890976307, 108193536270114883, 109246822754893722, 108197012196056024, 109247219736728009, 109251993698453396, 34547, 108094093597597134, 109259046480446043, 109246223497667477, 109244081326433869, 108199281502070458, 109246085727937996, 130933, 109250875383964242, 109256029036102950, 39448, 109256401370039000, 109245743696236501, 109245332094566989, 36272, 109258300175995150, 109242583863976392, 109247645731263118, 109253779357801336, 109246503500595976, 109257209268175135, 109244689755918926, 109208487501437862, 109251417818943012, 270445, 108193939879221766, 109246672783893910, 109212167910950463, 109207045255793252, 109228056314795782, 109208722156896262]	History and Philosophy of Science
jason_m_kelly	fediscience.org	[131133, 110149979465086052, 109257554026516761, 110050772058725656, 109845298550366701, 582638, 109212672053987101, 109243668825210826, 109243388372609150, 107192220324249637, 109358652426199307, 109246554904857531, 109368779687740629, 16163, 109245541094634872, 109508179651844882, 109520754537483316, 109246085727937996, 481112, 531544, 108219153777910954, 109256628333260427, 15626, 109256288710936152, 109249727689978662, 476510, 108279919557660192, 109313199046549956, 109366871511907931, 109258528504921542, 528723, 109257103186851104, 109353932748293185, 16554, 109246518834219479, 109337283812265216, 109259931564212295, 109258893350009645, 108194491584944031, 1057924, 109247052254201092, 109258700025626017, 109259474726531087, 109247522213686574, 109299735004020556, 109313583679608371, 109248359593296921, 109246808872189733, 109241376407846725, 109259027975039943, 109303418035085586, 1150722, 109291481390147996, 109247733619425967, 109312631954909464, 109258472806310574, 109309504886369476, 108402588773468248, 109258841967260524, 109249252317987436, 1148031, 109258901835274844, 109258443606320522, 109247819385807515, 109259956569125902, 109259111007178293, 108197012196056024, 109251573357720776, 109258584951311009, 109247219736728009, 15751, 505316, 109259209223612664, 109258735960942520, 478964, 109257732868056458, 109253700625044845, 109217424275177536, 109242713911758871, 109256346112601960, 108198337836017616, 236466, 109259941835271053, 109259743076912247, 109259131421844727, 109253546141798209, 14408, 396605, 109258290907292459, 109259019591013600, 28059, 107846563648922409, 109244709534183199, 109243502762835025, 109250467311834639, 109242617515162035, 319396, 109257662400042733, 108222579241579049, 109247037866901789, 109243304884760642, 109259405724027409, 109249658402510624, 108197214758969294, 1138668, 109259047972719721, 109255827296489530, 109247359032783958, 109256906323204875, 109245535247047306, 109290863468520688, 109258727989241569, 109253210750673263, 109259294367129069, 108198921112183684, 109251993698453396, 15216, 109202107228190094, 109259484073296381, 109253792537270451, 38065, 109258769813704960, 109258730380862072, 108221323475274795, 109243734632223154, 109247071816355995, 109252756442536786, 108199281502070458, 109259385958532278, 109251556044783486, 108196751488624389, 109244081326433869, 321631, 130933, 109252701444943265, 109245911437151830, 109256427157763504, 108222296027205265, 108336957655822167, 109258586002396811, 109246336754006585, 109257624697860825, 109248729062078595, 108217761178377225, 109252335909344940, 109243953212557331, 109291495320106556, 998169, 109245484809412850, 107533935579621134, 109258727697841135, 109250875383964242, 504685, 109113316061788777, 108194111349566214, 109257931628327527, 109245398752701778, 109256905705003727, 109286669584107905, 108220028913379754, 108192858366847246, 109245332094566989, 109244747215690395, 109258516178022567, 465909, 109245064282981274, 36272, 109259855425926327, 109258254425744982, 109281624831792274, 109259210608578587, 109247712952305913, 109246120984435842, 109258311992013090, 109245318521378527, 109243364418068606, 109258782157110936, 109253123235743333, 109258708476117795, 109258473366688594, 109257718036848710, 109258505015183873, 109257536895128391, 109248412579221705, 109237932196142664, 109241995804981879, 109219111203750403, 109248334904812768, 108198620944845727, 109243488853574031]	History and Philosophy of Science
dfaria	masto.pt	[109491993676003604, 110281331941985954, 517450, 131133, 109257554026516761, 109864103266687538, 109251145875874199, 109900003376956108, 109883319632508124, 109892270942431822, 276474, 64010, 34236, 109849203121768557, 108197012196056024, 106974359153541901, 109246822754893722, 109245332094566989, 108193887890976307, 109249714226725313, 109836197019093857, 109246459043892380, 34547, 3427, 8307, 109251178489200988, 110058892032153100, 109248072183477903, 109242134864684061, 31048, 109246085727937996, 13645, 109246939871074414, 109248338049833592, 109885473127422122, 109244081326433869, 109251390917417770, 109252312681213528, 63675, 109243140356117545, 109251690372526383, 109251230930161123, 109247219736728009, 108402588773468248, 39907, 108449440111950170, 109246260857164262, 108193987656838977, 109864171385202237, 108410377132370878, 109251928870576161, 109202107228190094, 109252616608780886, 15930, 109240773415566229, 109251993698453396, 355187, 109244426587899179, 109250035718930069, 109246921462121688, 109249506960808151, 108197849766100415, 108279213781183306, 109247645074717097, 109874008438375092, 109877247390098021, 109248441197780038, 109239682052514617, 109361149597566709, 109249252317987436, 109251827142964076, 109885392474961234, 109250427336493954, 108658332533434071, 109250899415564863, 1109112, 964579, 322103, 109223848918067806, 449705, 109212672053987101, 1039881, 109508314644931323, 109370056838805593, 109876753744534056, 109248074889966177, 524647, 108199281502070458, 109295870287922654, 110056940050914173, 109249727689978662, 109253775285436795, 571784, 109285435584908904, 1197208, 109316936143495019, 109879750145211945, 109258693108953224, 109360122524113383, 1090444, 109258462483382711, 109212167910950463, 109314496109123347, 109835239036581541, 958595, 109353830905089509, 109250595789811827, 109240990170827357, 109259738495981019, 109313583679608371, 109258061444392664, 109256442035667450, 794575, 109258252301002515, 496532, 109258530142533008, 1131264, 107192220324249637, 574279, 109895924455399171, 109362000602911113, 109256823390203246, 109520700499266947, 109256506244565292, 109240835082812321, 109245999462848069, 531544, 109258693860223553, 109849856733342478, 109846441425010045, 109868404578816608, 109253196587395381]	History and Philosophy of Science
cepaea	mstdn.social	[108194890308088987, 110147361859854885, 110128543818838346, 311006, 109885392474961234, 110050772058725656, 17745, 109840383322184714, 109354564202240035, 518651, 109855641686800461, 109858781634335049, 109521128819211965, 109246921462121688, 995191, 108194100206452719, 109212672053987101, 107990518454921286, 109243766396642934, 109257934119070850, 109243388372609150, 107192220324249637, 496532, 109245832817664306, 109520104796927683, 109368779687740629, 265758, 109383319065379076, 109299735004020556, 108196506779924437, 109358544043904637, 109248458162535838, 109253279531058930, 28948, 109367671312800441, 108219153777910954, 109249727689978662, 108137664344632992, 107145014200472160, 109362246760779101, 233513, 108132610055024720, 109245571512940777, 326055, 107928619768248139, 109353792231637650, 109259198766719598, 109259493935220666, 109247105033464230, 559242, 109252435280464791, 109313583679608371, 109246844030200842, 108402588773468248, 109249252317987436, 108195926010976797, 109247219736728009, 109246260857164262, 270848, 355459, 109251993698453396, 109257718036848710, 109258458969290378, 109246039769118046, 109202107228190094, 108198176380165531, 109280436300171281, 108199281502070458, 109244081326433869, 508947, 109258605486000180, 130933, 109250798368921858, 109246085727937996, 109250875383964242, 109245783259211107, 109245332094566989, 109244205591770973, 471838, 109255219247679267, 109235779181368353, 109268832027932489, 109212167910950463, 109254188959986716, 109247376079384073]	History and Philosophy of Science
ThierryJoffredo	mamot.fr	[108153761567835867, 110149979465086052, 109246120984435842, 110050772058725656, 109507519541371220, 109256129795362263, 269030, 533572, 109845298550366701, 107826893963329034, 1139739, 109353884484553971, 109212672053987101, 109243388372609150, 109251523440130976, 1062516, 107990518454921286, 109257645786760603, 109634, 30544, 107192220324249637, 109246554904857531, 109368779687740629, 774989, 109245541094634872, 109521820053076529, 109246085727937996, 109250326054305136, 108219153777910954, 38701, 107774025547456891, 37964, 109249727689978662, 109251081726774420, 109259219181198075, 109303680880410212, 109353932748293185, 109245477152851767, 453127, 109263256655392937, 109337283812265216, 109259397485698948, 109258131945249111, 572726, 109313583679608371, 109251865519431382, 1150722, 108216837411498328, 109245544454172818, 108196880985645678, 107966719823776304, 109309504886369476, 43313, 108402588773468248, 109249252317987436, 109286669584107905, 109256621219877176, 108197012196056024, 109247219736728009, 109238069070518161, 109202107228190094, 109255897383633492, 109258769813704960, 42545, 43077, 305144, 109253102434044247, 108380850570672527, 684503, 109241995804981879, 36272, 109251556044783486, 109244081326433869, 108222296027205265, 108199281502070458, 396605, 39050, 109250875383964242, 109245398752701778, 108134564305804738, 109245332094566989, 801140, 268794, 109259690639188761, 145883, 108196994541059138, 1136667, 109251537018863683, 583430, 894367, 109248825065140785, 108651891906568839, 1294500, 107955753436809041, 109279163038286946, 108217330520753622, 109258646322719427, 45912, 109250183797446321, 108197770572709794, 108193525389151928, 31178, 109250742777238212, 107966248176911712, 108068903609830985, 109245866143129707, 38215, 109259246658502458, 109243488853574031, 108198167628793896, 106891141054594111, 109257217215930621, 39448, 21165, 109245576135838184, 109245270586958792, 880548, 108131699421415243, 358199, 1021745, 109256852565806864, 108198855386242858, 109259663143684271, 109257639500250147, 109245648847935044, 109252929107792412, 109258840901387887, 109253570291659954, 109256254853876715, 109250785724696258, 109250638799900166, 109258502226448935, 1197090, 109256906323204875, 109256265744027147, 109250780270680244, 109257013941829240, 108197313986948610, 109256325783998026, 109245866506876088, 108364208469745790, 109251236277021103, 109250789884202515, 108131023616916321, 109244971680924288, 425466, 109248071220807033, 109247220883227697, 109247564390173101, 37895, 109245033603244269, 108228589946882394, 109246569082739836, 108194723166365704, 109245356107336533, 107337400417589606, 109236594899686546, 28386, 290499, 109126728736588944, 108591041270548781, 108584959651340273, 108197966223172485, 108427484551404374, 1138899, 108198952110449336, 107990612893998510, 108242678464236809, 32713, 108270322907219026, 108253681962090348, 108220201136577999, 108162683210082392, 108087238143786322, 107983393737591904, 108193942778543772, 1291925, 108131106464771692, 108058930405155657, 107974233690983601, 107967076573220981, 107961106645345143, 107598822063068199, 106892291110022715, 529495, 107402558708012810, 76100, 1288904, 33216, 692343, 559148, 81192, 1141267, 1135818, 1138651, 1138668, 1031832, 43546, 302036, 8684]	History and Philosophy of Science
pence	scholar.social	[]	History and Philosophy of Science
ivanflis	mastodon.online	[110149979465086052, 110050772058725656, 110023775468549481, 109845298550366701, 109212672053987101, 1138668, 109243388372609150, 108221818435278143, 107192220324249637, 109377941468196529, 109247255923889852, 109246554904857531, 109368779687740629, 109245541094634872, 109258916618280284, 109515544721257247, 109246085727937996, 108219153777910954, 109365716339734102, 109249727689978662, 109259960879305242, 108195747080357170, 109246926606735595, 479177, 109353932748293185, 559242, 108369498063051845, 109256906323204875, 109337283812265216, 108194098778697310, 108198921112183684, 109313583679608371, 1150722, 109244905307403884, 109309504886369476, 108402588773468248, 109249252317987436, 109286669584107905, 109245535247047306, 109258473366688594, 109252718171391012, 108197012196056024, 109247219736728009, 108195704387460300, 109247626204183891, 109251993698453396, 109259033090580220, 109202107228190094, 36272, 108266134751872554, 109253792537270451, 28029, 109241995804981879, 109245824485515075, 109244081326433869, 108199281502070458, 109246632288844654, 109251556044783486, 130933, 108222296027205265, 462985, 109247816400835894, 108786781742483114, 109258769813704960, 109253006605560074, 109288889426147912, 109250875383964242, 262096, 109259855425926327, 109245398752701778, 375567, 108130046645090018, 109245332094566989, 109245648720795442, 109259210608578587, 109244642882507497, 19621, 15751, 867925, 434841, 1296320, 109258725653195017, 109247933270986451, 109244763905926880, 109252952318643427, 108131604772356656, 108332558784094058, 109256131633589875, 508947, 109252229648540664, 109258266443133959, 109248133085582948, 109245140107250294]	History and Philosophy of Science
cruwell	nerdculture.de	[108194890308088987, 110188569422671073, 110180594779363456, 110141247593703490, 110111958056697630, 961187, 110050772058725656, 110023775468549481, 109982908539283035, 109910209673681653, 109859501007583927, 109833806992250531, 109311327831842654, 107572277891683065, 109511036022632341, 109507131739410804, 109212672053987101, 109243388372609150, 109500667661266664, 107192220324249637, 109252880783720451, 276474, 496532, 109245841657140692, 109258462483382711, 109248741161249010, 109368779687740629, 109344929926223185, 109501188249816806, 109498515217753548, 109247595520532416, 109246085727937996, 109240835082812321, 454374, 108219153777910954, 109253279531058930, 109249727689978662, 108176559827658279, 109257143813191096, 108449440111950170, 531544, 109387470526069308, 109387629514287045, 109358460754282404, 109244822725965644, 109256442035667450, 974027, 109295870287922654, 108369498063051845, 109247746261842243, 34236, 449705, 109250127189342915, 109313583679608371, 109246459043892380, 109246260857164262, 109298036583530755, 109258061444392664, 109240990170827357, 109246298896374050, 109252166303957311, 1039881, 108402588773468248, 109249252317987436, 109258225646662568, 108197012196056024, 109247219736728009, 109268717706305461, 109251563298098846, 109246029640551764, 109251125365965959, 109251993698453396, 462985, 106974359153541901, 109202107228190094, 1076441, 109252614982770138, 109259492437116563, 109245824485515075, 240401, 109252718171391012, 35017, 108199281502070458, 109259988180115814, 109280761878849829, 109244081326433869, 109248320320276845, 130933, 109250490700902475, 109259690370599542, 109247242786817103, 109250461690291826, 578833, 109259278083054896, 109258454358818614, 109244426587899179, 109245783259211107, 31190, 109253006605560074, 109258408905282925, 109253019616943594, 109254540612303481, 907035, 109254273101558243, 109257743235227749, 109243648122700212, 108222579241579049, 109252235052978846, 109258018676849983, 108131604772356656, 109246632288844654, 109252987244564814, 109251491010550075, 270445, 109253573203528596, 109248133085582948, 109251417818943012, 262096, 109247772382140748, 109245332094566989, 109245835706238324, 109248219490492095, 109246920412223781, 109252229648540664, 109258725653195017, 109257122448549420, 109248139002764218, 109258733090629381, 109258916618280284, 109245702141099726, 109246203830224088, 109246638703316482, 109245799585295737, 508947]	History and Philosophy of Science
jpjjr1961	scholar.social	[474896, 110136198944723870, 110149979465086052, 465718, 110050772058725656, 110023631275744313, 109520509416765309, 109845298550366701, 109521092989314286, 109258397576793343, 465909, 109245064282981274, 109212672053987101, 109243388372609150, 107192220324249637, 108079759900770582, 109308139938082988, 109246554904857531, 396605, 109368779687740629, 109361931043644593, 228161, 109245541094634872, 108196477011328059, 109242955070279485, 109512498698626394, 109246469007802254, 109259107886860679, 109246085727937996, 109244505666233213, 108219153777910954, 109249727689978662, 109241995804981879, 109365613920001319, 108195747080357170, 109353792231637650, 34854, 109285435584908904, 108158406019899020, 109337283812265216, 109256906323204875, 109306596384279686, 109313583679608371, 1150722, 108194041137471139, 109249252317987436, 108402588773468248, 109256186700231764, 109309504886369476, 108198853497517029, 834244, 109247219736728009, 108197012196056024, 9099, 109252718171391012, 109242617515162035, 36272, 109202107228190094, 106974359153541901, 109251993698453396, 130933, 108222296027205265, 109257682328830943, 109244081326433869, 108199281502070458, 109251556044783486, 109259385958532278, 109258769813704960, 109256346112601960, 109245332094566989, 108220028913379754, 109286669584107905, 109257931628327527, 109259855425926327, 109250875383964242, 109260024776568696, 109258727697841135, 109268832027932489, 109248334904812768, 109252429304169047, 109245863395035259, 108193987656838977, 490651, 109259174496810108, 109259484073296381, 109245840377785041, 109256235698218043, 109240045332800603, 109249468161381303, 377521, 109127226175460199, 109243488853574031, 17100, 109247376079384073, 109248133085582948, 108196250347937199, 21495, 109253195031339219, 109251084561165488, 109235779181368353, 108195046425770204, 108222382050068039, 462540, 108217761178377225, 108083644122837944]	History and Philosophy of Science
