thegrugq	infosec.exchange 	[110226810540059094, 110287052419796961, 108195600809174834, 110280527663278335, 110281331941985954, 28686, 110052825044666938, 110269545840456858, 109249134694316769, 405828, 108192885617153596, 37161, 110276096075373292, 8029, 110255340645580613, 548482, 110245983732404430, 27360, 110227647168021054, 28837, 366866, 110218596313438736, 32844, 926874, 110198197524031540, 39444, 109315493702719334, 110009816237308399, 110173509262061675, 109509206309816436, 109537038336538069, 109358987454688437, 109240900293793942, 108308636378804670, 108195637910426915, 833408, 38312, 858483, 38621, 110149979465086052, 110161489674452390, 110157876548564371, 109244970103959894, 110123904828169905, 110114640143373046, 109258460266717593, 110112560387170875, 110102152361797920, 108199237185405987, 110089246270263136, 292334, 270044, 37647, 109325425869558496, 37807, 109503604344379830, 109996205389040937, 109964943657620612, 109490423407685259, 109841343651885588, 110036844381252163, 109752206076160826, 958522, 109242250659303819, 110023396309810801, 110022880727099862, 192838, 110006365071849470, 109994961060530301, 862206, 109985022582639945, 108198225009424833, 109983374584713571, 109977975767360610, 109977364431336824, 109972387808193733, 109503417496523796, 109963129647357987, 109960974973729425, 109955833063725114, 109950604182715951, 109940129441964493, 1068148, 109938692251417304, 42612, 1281493, 109930878591187019, 109889780090736405, 109919272694941570, 135824, 109913306935781074, 109912702952685226, 109844839487415874, 21054, 109892530471525983, 109876282598703703, 43776, 109362005030322850, 109837379913180589, 109505439628800793, 7436, 108125744425682467, 771271, 109855809378994678, 152572, 109852906356159275, 108104168783705442, 109851098959310359, 109848553175682058, 109847886516083111, 34136, 109842665112291135, 109835509603152220, 39680, 109507506733766069, 30995, 691426, 7672, 29693, 108181470300255333, 302372, 818465, 887193, 108194064043949362, 108194339435895354, 408571, 109495286440167840, 109258025387991967, 108278133330045243, 45075, 917512, 109767878718878980, 4372, 109239579977519756, 311054, 324317, 478928, 38933, 919171, 270019, 109509858006430020, 421026, 362369, 109247508698455601, 109798087509793604, 36852, 467446, 1278165, 109251159994977165, 108075078066062867, 258022, 39819, 19511, 109521104462412898, 32953, 108161076574955811, 109242269963108251, 109326862466729902, 257741, 240135, 462758, 109244977046038034, 106675239445301590, 34588, 109493381015465315, 109767939748387659, 109245305353363812, 10891, 109762704483457658, 109376756730327488, 109750634162310572, 976725, 109752188475627671, 355187, 156850, 109750878141682342, 109249292926520346, 451364, 109229062211916921, 219530, 109359637674738457, 109446819722830315, 109745371708969743, 109258619110170081, 28430, 319041, 34920, 866438, 109354420722512800, 109246183165680451, 108193795861091123, 36089, 109243802944991083, 109344152508191697, 945880, 596172, 109327597749224752, 109726087932371287, 1183253, 109723448136178038]	Information Security
kravietz	agora.echelon.pl	[109318606153098344, 110248473269955339, 110146776969606252, 108196903836067427, 110136951483925229, 150883, 42693, 953654, 109891435054715003, 109210811773790433, 108237792214975459, 110137755408054645, 17745, 109303724854427935, 107594319691835656, 109258636566275551, 109990997866084571, 109287256771218831, 31293, 887629, 449342, 109304115270903243, 108192187216884527, 108197900630052143, 108194807513335162, 109853794237383156, 42209, 107660959467759203, 358734, 109451540563837002, 109505791503585838, 108083644122837944, 109245568105268972, 420037, 770307, 109244194749389054, 1278165, 510714, 7298, 109507484578644292, 109354564202240035, 109542872924454684, 109236614680696547, 888273, 109259609317188015, 833408, 108254595650470132, 63926, 109244155732005259, 108196445450650327, 109246201417847184, 109481703677631926, 2500, 1090444, 43056, 108217404989020191, 375055, 109247336756346659, 109246193455307541, 658971, 790041, 192039, 109375950600642500, 663530, 108249382239649295, 7322, 108128406652830159, 883350, 568966, 108194692499964138, 960613, 109170580256447424, 107956062631226207, 108240181602727391, 108232281049230170, 108116990725247731, 1150722, 919905, 109181697557795298, 569137, 106672573730068960, 531360, 109245596184376690, 929154, 109247219736728009, 107529330703970516, 43008, 34662, 108243776760260921, 109257412467831304, 109259672509010482, 109213728675880753, 109244562005029602, 411101, 34868, 109286399689090572, 109284545275673428, 109246991401460257, 109251364677092787, 109253304107575485, 108226212999522094, 109244191438363451, 109229158945475892, 107215537614029802, 107534180190866708, 109130992215002535, 108195046425770204, 307793, 107554192136520619, 107240826903355542, 107266647162401648, 107734771569447192, 108338211324706167, 108000048892477978, 587566, 108290967059613694, 106324702125075271, 33251, 108197132694319977, 107096212168878304, 769951, 891961, 449871, 1189496, 789777, 1002786, 568129, 108043915448061758, 1019390, 1067091, 773451, 1098373, 107769192700478467, 274360, 107429208923009497, 107342159924028406, 107351405879995249, 107308443140421509, 947570, 227313, 41844, 38754, 107106330283640443, 18021]	Information Security
sirdarckcat	infosec.exchange	[110220363362527732, 108195637910426915, 1021901, 110149979465086052, 109893625945393189, 465322, 109503045515710087, 40848, 109257892300837408, 34064, 306787, 517410, 16915, 109236614680696547, 285676, 404520, 851238, 109537316588945140, 271447, 109249672517361187, 37135, 108289257262986243, 109516365309359250, 268802, 45636, 27061, 109385427158836033, 109497770068395474, 109360596418972383, 43056, 108195900124970809, 108197008442640857, 26730, 108726558055123287, 32870, 7220, 1044606, 1032991, 268592, 109170580256447424, 30658, 109327954849190843, 496518, 109323936263962987, 109246339133834530, 36786, 41834, 1150722, 625315, 33569, 36536, 36070, 531284, 109247219736728009, 109245023380078877, 33465, 108243776760260921, 536214, 107270142894006692, 109257957418165533, 109243454492194203, 38006, 38686, 1026793, 145998, 42534, 43080, 108729222194496362, 109245596184376690, 44353, 1044273, 1070122, 34121, 107903633525059498, 109258456953765721, 197920, 41665, 43252, 109253703765230187, 108798285390102118, 109243268710187996, 9496, 109254728887916923, 37017, 109259105295089597, 108194978271977130, 516686, 108197323206636720, 236958, 29846, 39680, 40797, 109244562005029602, 108216931564957365, 27076, 107843021099248889, 108193390875437558, 109249897391337540, 32316]	Information Security
DJWhite	mastodon.world	[108772405993602191, 110068921406778348, 110149979465086052, 110112532515180387, 110111958056697630, 109975632067117038, 109902186146956236, 109845634799766701, 109251628927842911, 18535, 109236614680696547, 109520804922755033, 109354564202240035, 108081813552823517, 43056, 107139089286180088, 108198188883285134, 108756043911495313, 18790, 108282607750436432, 970654, 109252279522651283, 17745, 108549654677933374, 108197417075084268, 109359150879837714, 108194549983680128, 109250015563677888, 109260062310587230, 109354528162923354, 478928, 857177, 98677, 108196191037267107, 108198524837994441, 109325845854279706, 156604, 109244210721350199, 1142728, 109245781884779418, 109259595198672988, 108193373379281432, 109117813724729237, 109253969526908369, 139450, 109247029846218436, 109327845482957292, 109254492774120659, 109245719549901001, 109244649237162244, 109314497321462652, 109301823763349559, 108199005031226769, 260886, 109292312451389263, 109251784676395801, 214444, 109311604497434004, 109244560026829386, 412750, 109113229874252617, 108194761859599348, 1150722, 108549341831468649, 109244505666233213, 109304441345426591, 108199300472109106, 108198640357114972, 109113245601271718, 108197416610174430, 109113493036508709, 108197280776713756, 108198484012546610, 109252641004817428, 108197888989773489, 109250400933838279, 109115011219258977, 108196834675898876, 108198694414677465, 108199473757359312, 109245046434653682, 108567701098092523, 108196584525555335, 1104801, 109248022493147843, 107564749515794560, 109251965182256719, 108222245374823036, 108194890308088987, 109313968178003812, 108195603263580905, 109297547181795054, 108197776012046787, 109256906323204875, 967915, 109246822754893722, 109256331768678775, 109248587194780462, 241835, 108176559827658279, 109247219736728009, 531544, 107529330703970516, 109248756292738135, 958184, 108194698448048379, 109258131912710244, 109246188837636636, 108243776760260921, 109250417315531263, 108198938747680906, 109245511995597694, 108198374559802294, 108356498558534447, 109246997771289654, 109257358694234436, 109244562005029602]	Information Security
yeswehack	infosec.exchange	[]	Information Security
percepticon	ioc.exchange	[110287954131405918, 110149979465086052, 1302832, 110079444233948107, 109955833063725114, 465322, 332621, 29693, 1295119, 108161076574955811, 34064, 109354941450990518, 107192220324249637, 109512890118213607, 543120, 274542, 109236614680696547, 106956254683846049, 109245458754807423, 109242553890407670, 109245382748929012, 109292781128041141, 109247696525489899, 108194060643092258, 108687099115504953, 109258568280787097, 109520874014687592, 109244351160611036, 109242872651792271, 109512060391297060, 109506732919720845, 489628, 108216832829606792, 109501188249816806, 108217261189458465, 2500, 109258334228557590, 109245848184503517, 108298707997381186, 312924, 43056, 108219153777910954, 109256633133899218, 108033475209073709, 690092, 109253654307358400, 109247059223549576, 108286719626990337, 108270627905106629, 580786, 109361957651581784, 108197938909482044, 108449440111950170, 531544, 109250272471055276, 581317, 109245460401089108, 849852, 109321732642469995, 462534, 383993, 109363632309981942, 571232, 1140564, 109359934052416747, 109356321572517156, 109346928715651572, 109356542772511153, 109356093024913413, 109354312254479826, 109353932748293185, 109253147134125075, 109295196256318138, 332620, 109258095318389020, 108197331404713529, 681723, 108238659101481513, 108198431626726139, 109170580256447424, 109246223497667477, 109280715316295106, 63903, 108143820858606330, 109257006799028293, 923833, 499225, 109259567310690326, 42534, 109255677802234737, 1150722, 1069483, 109246103503611303, 109240990170827357, 261558, 109258597913768998, 33569, 109311681383409521, 109305048025663850, 109259660353165738, 109246822754893722, 109309058631349679, 109247521250892503, 109258663471604134, 108194776732130447, 109251866762664076, 109256493058546428, 1148031, 109245851928352826, 109256853569031316, 109244081326433869, 109243937416530949, 109303171741092080, 109247219736728009, 109289199783405108, 107529330703970516, 109301857709176551, 109244526571188344, 34202, 35709, 108243776760260921, 109285079259530282, 779990, 485466, 109245981843893237, 109244829327925348, 109257412467831304, 109249427364454547, 109257547902820433, 108197949561540788, 107283275937201612, 1036386, 109251537213359110, 1078345, 108131720928204295, 108231807944081197, 109247090528390132, 109258013505564190, 109244562005029602, 479679, 524746, 108646674891804452, 584194, 109257385425190792, 109250240406624574, 1067347, 109255959196622341, 63732, 109250477612762796, 29846, 109248463692991460, 108228584817471926, 109258273135933643, 308410, 95400, 107045029553233236, 421058, 108195688151224488, 596933, 1069280, 1078388, 266675, 39111, 678699, 108222356641025713, 376897]	Information Security
0xmachos	chaos.social	[]	Information Security
jimmychappell	infosec.exchange	[110220363362527732, 110149979465086052, 109236614680696547, 43056, 109170580256447424, 1150722, 33569, 109247219736728009, 108243776760260921, 109244562005029602]	Information Security
davidstalane	mastodon.social	[]	Information Security
_coeus	ioc.exchange	[110254458244794518, 110149979465086052, 109236614680696547, 43056, 109170580256447424, 109254282819066970, 35711, 108195040307698081, 109254375162403979, 1150722, 109247219736728009, 108243776760260921, 109244562005029602]	Information Security
