smaran	hcommons.social	[109257839126102333, 109259359892291765, 110215697475697870, 110052497709908857, 189853, 109247919068425402, 109852282888939666, 109837403650391293, 109319694637379001, 135824, 109258108678885543, 109250017755660461, 108227814837493933, 7098, 108266134751872554, 109244376367137536, 960887, 20015, 465026, 109255827296489530, 108193931674630050, 109259643609822732, 964646, 109360274283721663, 109515438375300284, 230429, 109255912875531967, 109259280467682844, 109244081326433869, 128153, 109221355840788554, 248501, 108196561614508706, 109298444858001288, 405401, 109258275920521194, 109370861633895693, 109359162696974770, 109248729062078595, 109332253697580014, 109331315804840775, 1005051, 972913, 109245911437151830, 960032, 109259294367129069, 109318053024235947, 1127951, 109411693146573857, 109259855425926327, 109253785681886189, 109245929681480145, 109249354185376970, 109355468894372106, 109259964079578060, 109339355007254193, 109353792231637650, 109245788206362619, 448633, 34682, 478555, 476510, 299464, 16300, 109258232736471703, 108227841695564409, 109258561845610464, 109243396214648292, 535690, 108193960512743068, 21034, 109249909192166010, 7326, 109258755019162174, 109249666394328180, 108196250347937199, 109243160346690305, 152467, 109244761199837956, 109242076377424783, 109299735004020556, 109243563633385646, 109254686327236079, 450503, 108197873928425950, 109248313832390197, 109257575955293667, 109254492774120659, 965852, 109245496593687040, 14623, 109259194927231805, 109258336891205303, 109247714289133250, 311441, 965185, 109258769813704960, 109257536895128391, 109254711371052067, 108194205679876182, 108130769549430985, 108194111349566214, 408552, 109245974419057881, 109243847811539378, 109249464059149617, 109246312573755926, 109298142640774056, 109246492841740989, 109240548236268344, 108197263090250502, 108293465794507687, 109259217394012839, 109299120932367395, 109257253844317086, 321631, 108192810069976527, 109256008319994328, 109259003774633591, 109243794142085739, 37622, 311770, 109252756442536786, 109242134864684061, 108192770083460891, 109247179587242124, 108574063930932639, 109248825065140785, 466202, 19930, 109241298782627140, 109259405724027409, 109288889426147912, 109257476876744227, 109259503476689020, 109250327227341178, 109256346112601960, 109257932755572602, 109260017918843893, 109258311992013090, 109257103186851104, 109258810846098563, 109258523990311499, 109259286583303023, 109253948074115321, 109258581065110986, 109259484073296381, 109259714043981222, 109259797244452860, 109259033090580220, 109258683284460813, 109257624697860825, 109259840053445510, 109250844390842474, 109261276383970214, 109251047058990417, 109249897729756947, 109253020852368796, 109259474726531087, 109254540612303481, 109254419064546940, 109251778964510854, 109251239581812712, 109257662400042733, 109258358172984516, 109247370879012616, 109246705924548170, 109258424944119344, 109259156100050538, 109252945843052446, 109258505015183873, 109261102060889446, 109258853182180230, 109252287760896047, 109254985185113382, 109249913230461651, 109258446253851000, 109259210608578587, 109246835767118768, 41804, 109292023046477071, 109290863468520688, 109240378144997974, 109246929382991865, 109253792537270451, 109246039769118046, 109244789157683001, 109246748281377829, 109245631192496345, 109246757985609059, 109241964949327801, 109245694840710956, 109245414521757687, 109249658402510624, 109199259133260275, 109247037866901789, 108226318059549217, 109248444582252734, 109247712952305913, 109115247953517608]	Literary Studies
Pocodoc	mastodon.social	[110239314820215147, 110255114024079669, 109850907299063346, 110015350407560779, 110077837912508522, 961187, 109988174765947746, 109942819703986434, 109909319263081743, 109852343259315199, 109307404811078300, 109800512444208531, 109364922912035375, 107407014325491060, 109628631504472723, 236880, 109494807031667260, 109291207520632142, 109326542564346174, 416785, 109255169651546057, 109294815671597830, 109374731835789812, 476510, 109536453708832051, 109530039935737182, 109493753959574026, 109268328241505575, 109523755970647597, 109516807825766340, 109374595049947429, 109502547946601682, 109502825399638527, 109502830691356535, 109287469750175852, 109432975151868184, 980355, 109425031253418231, 109364132772329612, 109398031784763945, 109411693146573857, 109310968336007068, 109408050611638820, 109374940255048997, 109405028214462099, 109374664190189148, 109329125617503195, 109362649223088234, 109387292475156300, 109296328898367285, 109374283259011289, 109247370879012616, 109300327549840791, 108199682391061598, 109380703083523256, 109374450111952114, 109305675240268612, 109344997901794600, 109369776177102522, 109243817027672757, 109364870446398918, 109292383280900699, 109364846236566332, 837944, 109363778922845333, 109337071735704255, 109354072660309230, 109351225721574104, 109328853742420897, 109328167511463452, 109345452989280837, 109258204617796429, 109342628313594465, 109341037845916570, 661960, 109275529567401135, 109308946108593896, 109256347811741945, 109337775381158798, 109252756442536786, 109333881444761055, 769698, 109269856263113563, 528559, 109291564531704299, 250057, 92397, 108217756098282546, 109334065252285274, 109334123363416860, 109318732307083870, 109325939107143853, 109337131473366895, 109334418328282187, 109334346529355612, 109303773239778090, 109268931479324679, 109310070090037115, 109321936296786615, 109302138200277720, 109274355346709403, 109308389180030997, 109268287954985780, 109315867630384397, 109307636619313394, 109246120984435842, 108207326097726852, 109305934804445344, 109289953208544072, 109304381601244764, 109274280780142436, 109302533390072278, 109302778834618712, 109303500791409224, 109302835946570058, 109290863468520688, 109240869840732269, 109257143813191096, 109265576550617130, 108266134751872554, 109286703614018645, 109302813224899288, 108196250347937199, 109262969949081404, 109297628111744879, 109302178372256924, 109290160024266291, 109296450379856112, 109240548236268344, 109274613450730644, 109268943254207577, 109273613828599066, 109301174412388602, 109245414521757687, 109243847811539378, 109256332858721671, 108202785695250858, 109255934923204024, 109300756428397854, 109258418263089872, 109290635134110688, 109299264478797453, 109299142727361700, 109299687787180525, 109299850928313155, 109297123965325536, 109246065490728736, 109299266510766674, 109295719654181171, 109289793744957065, 109293534359433458, 64866, 109260337304375805, 109287932737339690, 109288587674625754, 109299787657348750, 109299666356314441, 109245318521378527, 109259855425926327, 109257662400042733, 466202, 109280756930477399, 109293576544386045, 109299459093733899, 109299183543959252, 109293284260751173, 109292677108171757, 109276016045892306, 109214557059952029, 109297357818896811, 109298051701530307, 109298693184610327, 109297120689578462, 965185, 109287024090408882, 959942, 109296631124608517, 419360, 109244361071698914, 109297285963530243, 109292091556220815, 109263137558911255, 109291109829976006, 109247712952305913, 96348, 109290848879251806, 109290517864712180, 109293639619853190, 109292406355171057, 109293257423003822, 109285511827339349, 109247365848687644, 109265769430689932, 109288166782449392, 109292768632794639, 109291799547080436, 109292536552424411, 109293074756663791, 109292251128770806, 109292320088046925]	Literary Studies
ervinmalakaj	mastodon.online	[110134261697242826, 110090387760555333, 17100, 109508687565513444, 108192746744575947, 432628, 109244376367137536, 109248061475844799, 109290863468520688, 109252202719945219, 109253020852368796, 28059, 108194252873473095, 109247671175978122, 109258919081781755, 109355539787873172, 800071, 109247901948441705, 109214557059952029, 109255827296489530, 109246581345458368, 108198921112183684, 108237393738008627, 109353792231637650, 109246464640438404, 419799, 108395490050172749, 109259055667399940, 109305053047580889, 109238321019123799, 109242515216401223, 109258382035560585, 108192894896748864, 109356937470765700, 108426831108246202, 107378903098473389, 109245929681480145, 109246769250865162, 109292738620889500, 109313583679608371, 109242511732728472, 109256906323204875, 109247830863294872, 109259386082959184, 109256347811741945, 109337283812265216, 109259156100050538, 108225595395472956, 109252373255114685, 109248034789692853, 108221323475274795, 108198407156769366, 108192620641708058, 109246876250196531, 26226, 109302671565626784, 109252734320120049, 214973, 109259033090580220, 109244740667960829, 108197092546215626, 109242134864684061, 109293543859201141, 109250327227341178, 109260025077216209, 109257662400042733, 991524, 108197029392749499, 109258581065110986, 109288889426147912, 1145379, 109258311992013090, 109253792537270451, 109246492841740989, 109243488853574031, 299726, 109258853182180230, 109257932200065320, 109256891345871316]	Literary Studies
seoyoungjchu	mstdn.social	[110090749546250750, 110057714156753378, 108675314451868334, 909889, 109892789645174760, 109508687565513444, 559242, 995191, 109362565071389618, 109252043786856482, 109354565068478131, 109503086986822172, 20015, 109259516346020454, 109258253079310211, 466202, 109520798602836352, 108195178475738954, 109514110925735528, 109503453936246470, 109354709243940476, 34466, 109243986094622774, 6564, 14771, 109218961822877246, 109367210034825786, 108240181602727391, 576097, 108197110059073020, 109246748281377829, 108130135932042555, 374287, 239106, 29583, 109250159043556093, 109257143813191096, 21034, 109248444582252734, 108193859387541882, 107814095714947818, 109260063945245835, 34868, 109247671175978122, 106420561014416542, 109244536989247997, 109257662400042733, 455467, 108217314096204200, 28059, 109259738495981019, 109288429397978266, 109259156100050538, 109258077340134060, 991524, 109211408993855904, 14611, 1145379, 109251239581812712, 109258311992013090, 19522, 109259797244452860, 463414, 109248313832390197, 109259286583303023]	Literary Studies
susannegruss	mastodon.social	[110254685949844009, 110231109976274880, 110255114024079669, 109511377914187363, 109384176664197568, 109505586874208844, 110143263282116557, 110003953555492038, 110098523946534892, 110015350407560779, 427929, 109993130211666597, 109914895314826652, 109524581776683012, 109252388847731305, 109832892271565989, 108239349117560863, 109857402965573951, 109826298710147677, 109841814080826930, 109841204945105458, 109257697805325192, 109840512121530426, 109508687565513444, 109834227518281609, 109293336769004649, 1415427, 108198301734635214, 109721997523016038, 109236841333737896, 109715077303882082, 1099389, 109541780689306742, 109677364563813594, 109299062499472735, 109286710278021167, 109292236172055483, 109604271355483389, 109598817573290656, 109590422713516705, 109343745845460593, 109538808723238428, 109530500948967870, 109402877527264370, 109528813657451614, 109380772343205589, 109545967108336363, 108193302952227054, 109540352602521178, 109537167081766408, 108447411460100814, 109539188003646990, 109528867805043596, 109531736143811033, 109330295865479861, 315076, 109534072602786800, 109289626518093156, 109530039935737182, 109367682610018176, 109293059987946456, 109529266196529694, 109528806601442014, 109363932112704766, 774161, 109291872480008515, 109524868883585005, 109268328241505575, 109294568736934075, 109523078893251463, 109523053578034891, 109439662445566365, 1111511, 109522344800186870, 109283248959592854, 109519584192094572, 109516807825766340, 109354721292508700, 109290863468520688, 109253020852368796, 109327870407318444, 109483811858573527, 109308386795332491, 109458528257499254, 109458304125363189, 109355195523540353, 109455533235637366, 109330449839946316, 109436255583494992, 109434584721226790, 109358593207924769, 109433245865920687, 109431525285992400, 108194252873473095, 109424153559984215, 109423048592630495, 109344163522101823, 109422178638314455, 109422033545212354, 109368060698345663, 109373897416664051, 109378195434221002, 109421523112445687, 109362476539850088, 109418696777979158, 109367210034825786, 109417532846861253, 109416995230489319, 109417278700385087, 109417054578792091, 109413678660870414, 109416941959401564, 109415004919878093, 109246478208502925, 109308289170330223, 109298681772420328, 109411693146573857, 109408655269100305, 109286248101102194, 109405279712808943, 109245911437151830, 109309738940343629, 109405028214462099, 108194587854673026, 109303409953244791, 109114071865926073, 635734, 109399680501347804, 109250635021086578, 109395308460594869, 109397574525449201, 109329125617503195, 109358162494256795, 109393737005665719, 109388181695189053, 109253440614673129, 109387292475156300, 109242553890407670, 109386807577757817, 109386326997279765, 109386251648751995, 109298556198050626, 108555934102615464, 109383780243732545, 108279919557660192, 109366408372220519, 109286703614018645, 109362112343781537, 109348603403775471, 109330496556623068, 109289047719196172, 109335479432156327, 109380853081627143, 109378059146994018, 109377685322992719, 109377626030587624, 108203979981125061, 109377168729901545, 109261820959044094, 109332432315570514, 108313360669759135, 109376614795820240, 109242900938345669, 109305675240268612, 109373853961124299, 109344997901794600, 109371048106088904, 109370790472600662, 109369995073294164, 108200335332012338, 109258472806310574, 109302095769902434, 109325774306252891, 109324481498856366, 109364315285071262, 109366191808120682, 109366116144110978, 109364682203536283, 109363910238587105, 109365554064702230, 109292431918223031, 109364780815484514, 109364800740473775, 109364691695285830, 109363959218503828, 109290627421937799, 109364191404830223, 109364059431136091, 109363973333310436, 109325822571843501, 109363867760937738, 109362291449839509, 109362511989317899, 109327634168660688, 109355689615913403, 109289702813940711, 109299850928313155, 109359518352503282, 109358753587964327, 109320266313539129]	Literary Studies
Spencro	mastodon.social	[109390709230475831, 108197900630052143, 110045898829925143, 110015350407560779, 109362554054472567, 109852760857640702, 109316078523940602, 109303170538417810, 109309939534794894, 109541710411919272, 109548280109006688, 108282607750436432, 109352516206106272, 109530039935737182, 109525024248509793, 109524581776683012, 109298570238412931, 109501443306193933, 109294072666823891, 109355526679906887, 109381362757326381, 156899, 109458304125363189, 109308413479281232, 109289766777727840, 109368060698345663, 109337818458776781, 109359178967689343, 109296980894610164, 109301598311939300, 109450259991207492, 109355494992975005, 109251628927842911, 109378108142233588, 109293487681734577, 109356704120262678, 109293259565763328, 109365171868477968, 109289331511331993, 109291533767176657, 109421523112445687, 109418008638915853, 109417532846861253, 109398031784763945, 109407195143571238, 109299590316290463, 109299080227299691, 109405028214462099, 109366431048869471, 109368506613263942, 109403412784609833, 109329125617503195, 109349127254444502, 109275924769462602, 289487, 109292619528308177, 108192922247613323, 109324774912182892, 109363823101097917, 109361855467762084, 109388298150882220, 109354841839150810, 109386251648751995, 109312476472693223, 109379132677428789, 109257376553865900, 109297456972991511, 109376890343775903, 109345682193090626, 109315267590565094, 109322053820134808, 109377089637109191, 109337283812265216, 108210426054342642, 109316995136860277, 109374534249740646, 109373853961124299, 109305675240268612, 109245997633581724, 109262019486844371, 108192735917635368, 109347489927479656, 109302172722228863, 109296449919156901, 109349687008506960, 109364088872525886, 109362291449839509, 109247043497646173, 109306510333296626, 109315651197955273, 109337071735704255, 109319394857619536, 109328167511463452, 109345452989280837, 109348220251960984, 109292897699185568, 109342628313594465, 109275529567401135, 109292172922330029, 109331558536116049, 109269655845969956, 109310584375394128, 109301823763349559, 109307502730009694, 109240536477437828, 109256504965010875, 109326713575923362, 109293778469905761, 109301139388986664, 109320372699498172, 109321584129172574, 109314569808892054, 109260025077216209, 109310070090037115, 109259286583303023, 109304445036577175, 109320625946662532, 109292474339814087, 108197195157271896, 109274355346709403, 109303468944330161, 109308389180030997, 109313511665043464, 109308696498320813, 109268328241505575, 109253422093045978, 109246106357433171, 109312413261593177, 109245832446461712, 108204354427073565, 109214557059952029, 109313234926483209, 109292366113054444, 109264524215940282, 109298556198050626, 109310438356774538, 109294201888623040, 109294277531674325, 108382580254496652, 109292165114567592, 108208966437477158, 108193288542860033, 109308746293984847, 109307068363529159, 109307440726874212, 109288792422739448, 109301900599146170, 109301115656693240, 109305281768392459, 298256, 109303371551617888, 109302622848321478, 109293672305089207, 109296363178729476, 109302421400663101, 109302138200277720, 109292053660411582, 109250556239128804, 108293465794507687, 109290711582854879, 109253785681886189, 109297873774123063, 109291377057638594, 109293444823519808, 109265769430689932, 109288166782449392, 109245541094634872, 109291657651567238, 109296211448672976, 1200654, 109259194927231805, 109295860123773235, 109293417125393358, 109269723159793651, 109291474189706639, 109293639619853190, 109292406355171057, 109282022675279535, 109285866969102420, 109293257423003822, 108195998494935366, 109287568000492405, 109292514032471289, 109272088145999650, 109262814607804526, 109287439884839934, 109253792537270451, 109291913368129747, 109288658096333068, 109291102308943832, 109291769463783242, 991524, 979873, 109258581065110986, 14830, 109288778490435307, 109287984769827673, 109285002809406804, 108193719172969204, 109259103818935036]	Literary Studies
qiao_j	fediscience.org	[110121023203837484, 109930984016325938, 1005051, 109318908637687716, 109247323245717851, 106754702931545394, 109292023046477071, 109258897947760041, 108249106013752343, 109290863468520688, 325081, 108198736799459711, 109252054729156803, 991524, 109258581065110986, 109221661297802561, 109288889426147912, 109249658402510624, 109257662400042733, 108287386827767308, 108220028913379754, 109246358483604416, 109258311992013090, 109250642895732370, 109253948074115321, 109249897729756947, 773451, 109281624831792274, 109259756469400211, 1135818, 109257932755572602, 109243396214648292, 109246055576800741, 109258170098626882, 109256905705003727, 109259484073296381, 109251778964510854, 109257042449907047, 109245840377785041, 109255827296489530, 109259019591013600, 109256519447071866, 109250539543265282, 109247794675008963, 109257353607282629, 109252945843052446, 109256346112601960, 109252329101028706, 109246120984435842, 109219506776078221, 109245694840710956, 108559599871406954, 109245414521757687, 109245576135838184, 109244413571415728, 109245356107336533, 109245318521378527, 109245863352603810, 109245413456050702, 109243488853574031, 109243958337008015, 109243364418068606, 396016, 108196945492568976, 108283317532422786, 108194111349566214, 109243720604242583, 515229, 109244709534183199, 36272, 974350, 11962, 19522, 274713, 81192, 245200, 1021745, 21495, 109245064282981274, 109250731001374272]	Literary Studies
shakespeerie	mstdn.social	[109245662937354573, 109251239581812712, 991524, 109258581065110986, 109247037866901789, 109258204617796429, 14611, 109258311992013090, 109259286583303023]	Literary Studies
CristinaLAlfar	mastodon.social	[109310343946712641, 109241995804981879, 109310297553633512, 108382580254496652, 108177765731866576, 108194459276622562, 109286669584107905, 241071, 109301000136965899, 109290027116720144, 109265492396427110, 109292140611363931, 109296758440959757, 109292165114567592, 109303288726367594, 109274601177531429, 109290507327134250, 108208032031209502, 109304445036577175, 109297287266272851, 109307454022235491, 109283994561576741, 109295869342354076, 109291091306332151, 109306891130776577, 109306399565151071, 109306016725879712, 109304381601244764, 109302960749048668, 109305408268961224, 109294614937878078, 109299657750179271, 109247219736728009, 109261302884796654, 109304710944769471, 107639753228729647, 109303562621806411, 109303940786725239, 109303927067340788, 109303171347715841, 109287593005274280, 109302521484618267, 109259156100050538, 109285761795008706, 839106, 109300620290317763, 109297586792373576, 109292971218415832, 109300305246707896, 109299561172388830, 109299459093733899, 109297797740122902, 109299322169878547, 109297873774123063, 109297356148806099, 109298860370185610, 109297803484670023, 109295881376943508, 109297598798890881, 109293733388620293, 109297607374837410, 109287766351054033, 108234295956494513, 109294584610187120, 274713, 109293639619853190, 109296849993662620, 109283844213296684, 109285161115940165, 109259855425926327, 108136519035911783, 109295120240583335, 109297106294707230, 109296677810818799, 109296800548773822, 109291172258982175, 109256332858721671, 109293257423003822, 109295860123773235, 109291801072844014, 109287953662877067, 109294001882121261, 109293937592380871, 109250883582467730, 109294568736934075, 109264813778576141, 109292836765421776, 109247712952305913, 109264690917165971, 109290848879251806, 109288900346441616, 109265806645324091, 109293669370306448, 109292677108171757, 109211408993855904, 109246757955923998, 239322, 109287662677945301, 109291547021739091, 109251508405820932, 900889, 109288610639105217, 109288792422739448, 109247037866901789, 109292251128770806, 109258504728563983, 109255934923204024, 109272088145999650, 109269141822252171, 109291702014711011, 109288243420218859, 109258581065110986, 109259503476689020, 109243488853574031, 109258446253851000, 109269543030052886, 108220028913379754, 991524, 109285940411983086, 108445960703629995, 109264355334993527, 109262807714562010, 109247147723944617, 1226376, 109280786103385091, 109259087000976262, 1145343, 109249897729756947, 109266278795729527, 19522, 109276219291321368, 109274517534382081, 109243720604242583, 109273613828599066, 109272563974911268, 109253123235743333, 109263541945928610, 109253105455714837, 109268419709560416, 109243473315207847, 109253953175706389, 109258782157110936, 109248313832390197, 28059, 109258204617796429, 109264129509031870, 109263032382927009, 109249831177539755, 109263313298002714, 109263476494275924, 109245405325473318, 109254546832276081, 407828, 109259067919316681, 109262236260787963, 109261704150905915, 109258311992013090, 838030, 109246757985609059, 109259286583303023, 496753, 109253948074115321, 109257910094329763, 109257681802414496, 109252756442536786, 109237932196142664, 109245694840710956, 109253700625044845, 108143558042044326, 109252945843052446, 109250129498746056, 14611, 109252936148133494, 20189]	Literary Studies
rmaitzen	mastodon.social	[109285834303539972, 109265090158326532, 109253335240936575, 109262386460945693, 109245981843893237, 109285642497622759, 108143392204626094, 109246431255010330, 109246757955923998, 109281134717673508, 109285479383948603, 109263566531449240, 109263084644711370, 109258311992013090, 109261827679676907, 109283635128865792, 109268287954985780, 184609, 274713, 109271578180481742, 109279827509726168, 109247147723944617, 108195059554998783, 109245413456050702, 109246120984435842, 31159, 522051, 109271138016827019, 109272088145999650, 109280452562187090, 456276, 106802918739252989, 109279808560805218, 109265502344395742, 109258125715542674, 109257043847122955, 109275563881958708, 109257226879214496, 109269248088099049, 319158, 109268672641961249, 109249831177539755, 109247712952305913, 109265620504633111, 109263137558911255, 109272716669747614, 109254292602320137, 109269655845969956, 109271935001733899, 109269141822252171, 109271720519702928, 108197003560951605, 109270965941008840, 109263670484401408, 109269723159793651, 109252722576936942, 109251508405820932, 109266928875225105, 109259483540253777, 109251603600245980, 109268324769420673, 109267519112750040, 109253953175706389, 109266051853307740, 109258077340134060, 109259153881749998, 109259797244452860, 108198480402739117, 109257696300499297, 109263806360987999, 108193410324657592, 109259485210286224, 407504, 109258683284460813, 109257932755572602, 483776, 109259055667399940, 14611, 109259855425926327, 109260145846297434, 109237932196142664, 109259714043981222, 108205608326692796, 109257589892242801, 109243396214648292, 19522, 463414, 109253673198150755, 109258853182180230, 109243488853574031, 109251239581812712, 14075, 109248061475844799, 108193011364498628, 109258711146944552, 109258230263477822, 108131428856235356, 109258363427979843]	Literary Studies
