oseymour	sigmoid.social	[110177811577651257, 110119028080135135, 31078, 5414, 109932022407201709, 1199695, 109291930023043186, 558547, 109513546095078614, 463511, 109247446423921541, 109302363757516489, 399377, 109362068055255027, 568248, 109223926373334598, 427668, 1133820, 108194211505923770, 15305, 109294044587722399, 109216601389317009, 307919, 109251936407138319, 109252084520567369, 109218088624859684]	Medical AI
jmlipman	sigmoid.social	[110177811577651257, 5414, 108194804937262548, 109341824524839054, 109259772431535046, 109345967944488569, 109244754075136162, 109244566360072139, 109216601389317009, 108243532683974949, 1054854, 109244475235496552, 109244337567397464, 395704, 109248920403126766, 109237583825585102, 109250129498746056, 109210185299964648]	Medical AI
wendyfyx	sigmoid.social	[110136198944723870, 110177811577651257, 282411, 5414, 32434, 108216972189391481, 109518911446134873, 109492800746378242, 109508786115599779, 450944, 108130456342199993, 94970, 109512631184547880, 108217439974865383, 109259821905398738, 109507492279379069, 109353502730604772, 109246203830224088, 44998, 109341824524839054, 108176559827658279, 109249727689978662, 531544, 109268717706305461, 109343636993806037, 109247776431936672, 1150722, 109252166303957311, 109207707082497159, 109216601389317009, 307919, 109258225646662568]	Medical AI
afoncubiertar	masto.ai	[110191945327115673, 5414, 109257629538426757, 109341824524839054]	Medical AI
kiran	sigmoid.social	[5414, 109341824524839054, 109253862682075787, 109216601389317009, 1183008, 109245469102340870]	Medical AI
gxr	genomic.social	[5414, 109257554755533846, 661449, 109218961822877246, 109517254422583069, 109514004613574635, 109250766515794611, 109254608522242733, 109258132750797545, 108144044154040123, 405401, 372737, 109341824524839054, 108194660440392188, 109244342687561383, 109247928993048407, 109279163038286946, 325265, 109251170843423599, 109246746196102855, 108132705839150925, 149696, 108232775255820836, 108194659116240848, 109251337212190287, 109244805624994299, 214973, 378377, 109246305868673363, 109259841194488213, 7462, 109249804232531155, 109246661919196348, 108193608645521215, 30000, 109252684650283742, 109250834178198002, 108198702392545095, 109247699745955482, 109259262268438036, 109250390929793788, 109245602070913354]	Medical AI
kaushalya	sigmoid.social	[5414, 109521068457868779, 450944, 109215564672345722, 661449, 109258282287360844, 423137, 109259634045087300, 109341824524839054, 108196960287608392, 530821]	Medical AI
seabbs	fosstodon.org	[110236362949822242, 317084, 5414, 108131420726034757, 109940129441964493, 109360868397990020, 36972, 465718, 109331988308488695, 317733, 584372, 109496809094587990, 108194881981544673, 661449, 109245836954218164, 109258356380166747, 31253, 109249790235540308, 109246683781391886, 109509892430680006, 109246548483392862, 109505049322421226, 109507236375015782, 72646, 109252975695909094, 109258424055953334, 109245531519879403, 109297868177550177, 109258324785589637, 109341824524839054, 108194042486874334, 901247, 109240869840732269, 109245850035316253, 26598, 109259558568073734, 109238942979036414, 109252217506485456, 109259849080962617, 108196536360895953, 109246298896374050, 109311327831842654, 109248171198599960, 108197153950756616, 109243937416530949, 228442, 109257412467831304, 625490, 571181, 109250461690291826, 109128538950344698, 109241246190995006, 109257962575422242, 108194140771125333, 108136968771416517, 109259724012240882, 991524, 427668, 109257264795644923, 109246196699413713, 195323, 109245799585295737, 109258408905282925, 109243735517963011, 109245783259211107, 109240273071387835, 109259569083418808, 109259546883024857, 109253531619634167, 109235337587407257, 109245170014905404, 108196362860414853, 508947, 458063, 109256740520782699, 108106568737853512, 109247562913673272, 109214640101165406, 109244426587899179, 109248539099805812]	Medical AI
DrVeronikaCH	dair-community.social	[109244851022379091, 109243902422545443, 108197900630052143, 147970, 108298930795617807, 110198069784180143, 109970803095558650, 226997, 108197501232148894, 110128881170754187, 109968391142887366, 465718, 109880890875212724, 109354905010457674, 108255959898753822, 109497032329893013, 109361449643655877, 5414, 109942871829416155, 110007374521284542, 109244641226062501, 109247842475611424, 108221293645539654, 109258754451069494, 31374, 109247514295364421, 109258075282771262, 109259278083054896, 109358620258167904, 109247242786817103, 109355487238184455, 109575143716743783, 109251149573261189, 569322, 109258567966220167, 109257209981799601, 109257554755533846, 109244730615950722, 109515271575435417, 109252496278310308, 109244763905926880, 450944, 109245513949528889, 109249252317987436, 661449, 109257286150108849, 109243563463379413, 109257568954156252, 109245948883797924, 425300, 108079759900770582, 109256849808826283, 109254090901110521, 109246683781391886, 108233825406136544, 109240045332800603, 319212, 246123, 109207621076255893, 109520399520974676, 4739, 109355924810865371, 109246762794600441, 109515544721257247, 109511036022632341, 109245541094634872, 109245404549030091, 12171, 109241992397126854, 6564, 108219701350333003, 108194307694818557, 109374219267211500, 109279163038286946, 109246535295120723, 109341824524839054, 108141861268643480, 109254794072240383, 108194491742243957, 109246683928303911, 109245319596193497, 109250595684429457, 109245974419057881, 109207984213832322, 109348898724631723, 109259546883024857, 109246746196102855, 368878, 109312049068449162, 149267, 109246365417627405, 109246298896374050, 109254135842256086, 1031368, 109322080955260878, 848514, 109259463403870378, 109298036583530755, 109257153116322967, 36536, 109244342687561383, 358199, 147044, 109252682023224370, 106963785401479192, 107073325218252109, 109247092574464200, 109256376987802035, 8018, 109248376621115204, 109247333058087007, 8482, 109244822725965644, 109234504724446886, 109253288928798071, 15216, 109252796681787739, 109242267525409934, 109247168049401047, 17545, 109248897805189259, 109248268639005833, 109245981843893237, 976951, 109246203830224088, 109252628166585689, 109243761911800869, 109245544035637343, 108369498063051845, 109117733878890699, 478928, 109245184937775304, 109248565646997396, 109251128062119526, 109246129973955114, 109245932155891881, 109251583590414987, 109216601389317009, 1028041, 109246023121530866, 109256671854096619, 109258223199817608, 109245287093355139, 109246808736828962, 109245654725829065, 109252535878146626, 109252239677296428, 109249875498925140, 108674277470585715, 109252333933689464, 109246119722267320, 109246557070683003, 109221633345795268, 108138192930105044, 109258916618280284, 109250169740102101, 109245630864091812, 109246586792421463, 108198736799459711, 109244990855162846, 109247975585202661, 109243648122700212, 109248660860269435, 109242445286766423, 109251699874918872, 109245093117943701, 109257122448549420, 109245452120174552, 109252799972049048, 109259690209925947, 109247286189883850, 109250834178198002, 109246114043535416, 109246029640551764, 109247482922616819, 109245277329216945, 109245961326640035, 109244144869676232, 108459731591764925, 109247128134765277, 109246751819176952, 109286467022603033, 109250129498746056, 109243521882578794, 108196750148411921, 109252105584777970, 109211099144532651, 108279780058040080, 109246844343628655, 109210844467157452, 109285451274023612, 109250261008632400, 109246632288844654, 109238069070518161, 109258058806253952, 109245261941575606, 109256760053153655, 109238685078021005, 109246526574088818, 109248099381093453]	Medical AI
raghavian	mastodon.social	[108096914931537631, 109318903436207375, 110101140348343091, 110015350407560779, 5414, 109848009535167495, 109554008057681856, 109734506473674772, 109681497861291490, 109318911254746037, 109593172978293253, 109546039335300965, 109539228774344041, 661449, 109294964899133606, 109529721674702398, 109528610567832963, 109490718645915994, 109496283894529314, 109436349074727746, 109311627226035149, 109292810917776234, 109507569943487436, 109483665537419069, 109468009984951362, 109462946334925823, 109427169757647742, 109377516049423072, 109341824524839054, 109329125617503195, 109378235668670457, 1012, 109376584837441446, 109296546011900434, 109371633621970217, 109364772491850874, 109364435325773168, 109365126912285040, 109365114761369200, 109315261675092167, 109361625881093123, 109295186845178828, 109343153096092233, 109338186552370886, 109300524372184246, 109333806924393987, 109301992338605421, 109331850239240634, 109308453941317602, 109324786839730792, 109258550215514313, 476510, 109321620763742289, 161994, 109302240515382605, 109290278549434537, 109288815663766350, 109315233966552668, 109287676348674501, 974895, 109293983318543945, 377027, 109287929860826141, 109267303808684453, 109210844467157452, 109247762867842589, 109256823152272864, 109216601389317009, 109301656816774830, 109297957452136453, 109301182608510961, 109292114233930972, 109302513682861908, 109299231784608296, 109267605803670824, 109240652971215382, 109251390628398764, 109266827000704955, 109241820618730709, 107798070585386470, 109252235052978846, 109211193937983958, 109244060107520876, 109256797465277378, 108239985389244327, 108197953403098330, 1116324, 711648, 1041144, 1029930, 971796, 959872, 961279, 960603, 981010, 965329, 963416, 965131, 406433, 678646]	Medical AI
