SJLahey	mastodon.social	[109675877561435991, 109338232845672203, 110228249184488883, 109625891189371860, 110232270809415920, 109332726889083041, 109295595524289727, 110206615099604822, 109319364968317084, 109433623051281024, 109313616138759217, 149178, 110081005694678436, 108199374483370995, 109559655484540989, 110272163293403891, 109268477684569816, 109847070264636922, 110261201439161901, 110260101270265633, 109346748972408191, 110255114024079669, 409660, 19522, 110250324725303428, 109251636239901728, 109926953746983391, 110241687084908112, 109293845387517352, 110231109976274880, 110140720648703656, 109257019015927299, 109626275433252185, 109371189645004442, 110196803244370844, 108194513977756967, 108207609497733939, 109349921724720328, 109909782922629175, 131133, 109383760608933049, 109327428941964211, 109413534912589392, 110149979465086052, 109609784186687639, 109798025259458777, 109374386366115755, 109734441305082970, 109361983014602343, 110128881170754187, 216387, 109893799225362211, 110134261697242826, 109379686398710153, 109445791705967413, 109666231289219728, 109677182366492929, 109245952657890340, 109414033960333763, 110100787344493802, 109953960240450963, 109891715087206901, 17373, 110118540315783195, 110111958056697630, 109310197576599674, 109905899825873505, 109939952408806346, 109676928051118971, 110075920545593764, 110073850102842279, 109349303219266656, 109292459181214431, 109276275346806337, 109316080617170622, 109309579282278287, 109327750932635521, 107322277174062140, 109367045853975554, 110008214059436244, 109526995082125085, 109326843932464624, 109797487503734710, 109533165455685302, 108201118407594617, 109364862073330814, 109303839112485682, 110003953555492038, 1217069, 109324608804215469, 109992029058130424, 109906378552437952, 109332551197526882, 109987577129194628, 109786367697575917, 109982571724585962, 109977666643219232, 109509471155165535, 109281156925686001, 109257671407320300, 455321, 109860928719442092, 109362483818304505, 109965731878096697, 109927584088404957, 109372040503818758, 109312582618562080, 109842670944308763, 109845298550366701, 109921891316957661, 109443945720423620, 106221397423636497, 109882635881198737, 109868402655994547, 109419970456362863, 109428410624209952, 109246217288487125, 108194334941087561, 109846611029614584, 109846281060378041, 109841814080826930, 109841372620724201, 109837239342281704, 109661684968371603, 109340583873707622, 109808507900395258, 109563066137226137, 109348704445864910, 109302959116030660, 109677091091118731, 109313583679608371, 109757042555290035, 109754470722708398, 109549548389468921, 109750963968967984, 109734506473674772, 109372145626259690, 109419757705962474, 109711040013012215, 109291353168974536, 396284, 109690906109453862, 109620219645948620, 109292236172055483, 109367301648927736, 109649791258321079, 109677092420757563, 109522817926849927, 109286358919610438, 109659158914143674, 109603689534298210, 109654683868650074, 109421661903243418, 109304683962915778, 109650239837848334, 109264025189368306, 109264316744043476, 109454865810158710, 109639321305112518, 109381418440742878, 109375608330320624, 107192220324249637, 109622290758419458, 485033, 109600565098282268, 109608647651775226, 109258830135627621, 109350896507703492, 109593015299512354, 109325841933678630, 109261052783268079, 109598624198226702, 109292969058639546, 109535759255741876, 109417824890291127, 109590805565560633, 109589369246884307, 109587289491774606, 109286298842720336, 109298038538967678, 109487440441789938, 109326089248813292, 109294327528520933, 109291142164225873, 109530718949027812, 109337071735704255, 109337012059510614, 109580633685139762, 109321408323156336, 109562928577185095, 109294820168945522, 109288835241836804, 109258859281981837, 109326615367095084, 109254794072240383, 92831, 64675, 483685, 109260159993322204, 109540441975647904]	Medieval History (Medievodons)
MatthewCollins	mastodon.social	[109288422166040886, 109320590678784069, 267087, 109461909006162760, 110192775647893325, 110168119779449150, 110149979465086052, 110135188583246906, 110015350407560779, 109986799202779132, 109845298550366701, 109862274674973981, 109810334589841350, 109251453944116762, 109392665495062222, 109754470722708398, 1043417, 109500987739068426, 109354017676160983, 109302957977667740, 109294485741287201, 109291587507424639, 109530696006057985, 109498718146874225, 109588291290542000, 109530500948967870, 109571129740187669, 109427065223863737, 109329512032543855, 108132610055024720, 109268599729335122, 109547680207413519, 109312001525436264, 109539188003646990, 109310498910156882, 109519926673298578, 109252853984981700, 109364509060984720, 109338412627653051, 109522848703843537, 109518819407682304, 109514004671598863, 109513542102779638, 109349834823114740, 109301174412388602, 108196388686288012, 109258613137018396, 109434438442741891, 109370751541299922, 109364271915888319, 109424476216045742, 109418310876926875, 109310147756535807, 109412703399466998, 109394303513819120, 109367032878203244, 108136736278147518, 109365156462191007, 109406637065678840, 109400957808931199, 109308457214725914, 109329125617503195, 109396186983950817, 109395101054000676, 109390133898208853, 109363440988576336, 109364030355052859, 108197900630052143, 109387677754458955, 109382754433300587, 109383833002609463, 109365706387378261, 109381761885334134, 109381644603384596, 109296317694340326, 109374306544733697, 109367543883900220, 108210426054342642, 17154, 109331642565879862, 108337165669155760, 454241, 109259510429112832, 109256956154747650, 109374534294929839, 109371320499824328, 109295993016031006, 109370998140659051, 109269549298145444, 109262773212365338, 109321835771196180, 109325552137370647, 109341365989296570, 109367649130682452, 109366701815366807, 109350097996675959, 109366614873656625, 109365388720846100, 109298714812207582, 109365522041638735, 109322917057112641, 109365275731328027, 109364602605430417, 109364697332653498, 109364370572669113, 109295127307751991, 109359747264404744, 109359855144397668, 109301982954585802, 109298996818591151, 109247712952305913, 109319394857619536, 109354414215204840, 109354251928965476, 109353367515927958, 109349407491639322, 109349991559842962, 109349600024566559, 109327442658713130, 109344770271462448, 109310569464622676, 109301705906657790, 109332958990623713, 109342198053289908, 109257143813191096, 109281308153369021, 109305600429585310, 109339805376522974, 109244794176747851, 109325010461910133, 109326932872951642, 109330423379346959, 109336606465772468, 109331991927610494, 109332777820648420, 109322227627117797, 109330437377513454, 109328530757304394, 109330439835376748, 109295898729708063, 109315875255237088, 109330425811562378, 109248164845502818, 109327393717819040, 109292133514221485, 109325345092739432, 109326638724688380, 109298990421519614, 109325403115005582, 109313583679608371, 109257481072829555, 109304577453339324, 109256288710936152, 109266472628479938, 109315930440229972, 109320599446452174, 109321671790197529, 109317051860419000, 108223, 109319969516992588, 109319364968317084, 109319323571753441, 109319278883371898, 109315346311261456, 108280109550578797, 109315588460439607, 109308062419444396, 109315489087969026, 109315273649460693, 109314477396386923, 109313636411148635, 109291482258503843, 109306607597024991, 109262853965631947, 109312930467890017, 109312593620524406, 109310193465726646, 109311906374687340, 109297486519835647, 109295424444240427, 109297941131040019, 26906, 109304555004979547, 109280979244228849, 109308422409219476, 109309614207122413, 109309481659485136, 236672, 109308153236366847, 109304699132501922, 109308088941105263, 286791, 109307858088526623, 109307825053776653, 109307739986702372, 109302026565561265, 109244942591337542, 324227, 109304382240654034, 109276875743564368]	Medieval History (Medievodons)
GJMedieval	toot.community	[110149979465086052, 109845298550366701, 109313583679608371, 109368779687740629, 109245541094634872, 108219153777910954, 109249727689978662, 107805478326922078, 109353932748293185, 109256906323204875, 109337283812265216, 1150722, 108223, 109309504886369476, 109241995804981879, 109286669584107905, 236672, 109247219736728009, 109247423345551086, 109247359032783958, 109250467311834639, 109258976515118449]	Medieval History (Medievodons)
Incunabula	mstdn.social	[110267254340289603, 110234441831324893, 109125249147071539, 109520536375966357, 110013487875520992, 109845298550366701, 108192734611270032, 107363974871719176, 524160, 1082791, 109258384437170955, 339305, 109243706270006429, 109259388206595710, 109319451123345111, 559990, 109536334776276505, 109520781871276360, 109507767787227280, 18187, 437346, 1111511, 109214839501568053, 189853, 675173, 313756, 108209928128783787, 109252542954749652, 108197951076579152, 109246247340047348, 109333464082465539, 531544, 43499, 109315116416036074, 109287650146439578, 453661, 108197679983522147, 109257839126102333, 109246387075014738, 109252626449696461, 107935057647302775, 109372590058361901, 109252660412907439, 559450, 109258136559374008, 234928, 109332115766832228, 109361970087725724, 109245022840771133, 109258561958613202, 109252575071815210, 107760417546275440, 108196081869220237, 109243139631965273, 109252062231695350, 108229789787858955, 109313583679608371, 108195813984792095, 109311989805533045, 109251628927842911, 108221322111838061, 109246120984435842, 109245050073907924, 1111597, 960887, 238053, 109247219736728009, 1119560, 109244547381565555, 459053, 405724, 108305386945568476, 27412, 109257910094329763, 109243832599298649, 108195491008844101, 870682, 109268406823374089, 109297760525386768, 107258, 109296890791923343, 109241040640881928, 507177, 859714, 109243466527635398, 109256459426077089, 107145919435258808, 107151298171517073, 109247463429694374, 508274, 109292389327445163, 109253005010515849, 108194280248235861, 109244878628435597, 109258893989551902, 109247257130427828, 108343663328739322, 108336969273261754, 108222296027205265, 109246155949960615, 491049, 109250414750522060, 393184, 234609, 246842, 109252506522404691, 109252578714128328, 109255135866476871, 108595284153677186, 108142286136028575, 109257050230682455]	Medieval History (Medievodons)
SegoleneG	fosstodon.org	[110213710556934957, 131133, 109845298550366701, 109269307006469251, 531544, 109246120984435842, 109245742041888207, 109243139631965273, 109313583679608371, 109258474789793517, 109319830301938729, 36272, 109257945507422703, 109245477152851767, 109247219736728009, 457890, 109241995804981879, 109256288710936152, 248501, 109246308036614816, 28059, 109244878628435597, 109253123235743333, 109246929382991865, 234887, 109253102434044247, 109250414750522060, 109250467311834639, 30628, 109250394036663027, 107966264337857281, 109243734632223154, 109257839126102333, 108194334941087561, 109257050230682455]	Medieval History (Medievodons)
rkarras	mastodon.ie	[110136198944723870, 110175478005579111, 110134261697242826, 107598338750182530, 109960139706283568, 109845298550366701, 109508687565513444, 109358126007126327, 109519371747295342, 109245087912875867, 108194611266945726, 109257050230682455, 109236371268765623, 109248061475844799, 108192823485674432, 109244678804539346, 405401, 109353195169175121, 109359518303651183, 108193088027052837, 109247819385807515, 500134, 45861, 109313583679608371, 108336957655822167, 109257662322353566, 109290863468520688, 1114680, 109247219736728009, 248501, 108192770083460891, 109249322593625821, 109257663224816187, 109258782157110936, 109244905169927835, 108786781742483114, 109247163999529783, 109257839126102333, 109250467311834639, 109243488853574031, 109245398752701778, 109257947107232027]	Medieval History (Medievodons)
michaelmeckler	mastodonapp.uk	[]	Medieval History (Medievodons)
CordeliaBeattie	mstdn.social	[]	Medieval History (Medievodons)
rotula	social.tchncs.de	[110134261697242826, 109845298550366701, 109246903518810180, 1094823, 109243668825210826, 109243388372609150, 109246554904857531, 16163, 405401, 531544, 34541, 109246179318293109, 109251329915822803, 109253978305604105, 15626, 108270627905106629, 109316174408851752, 109246120984435842, 109358652426199307, 500134, 109244485340672070, 109337283812265216, 109256347811741945, 109313583679608371, 109247188247954257, 109240733083948345, 476510, 109247219736728009, 109251993698453396, 18305, 109245409174906070, 108786781742483114, 109239813916515560, 108131303002922302, 28059, 109245207031341789, 109243720604242583, 109256427157763504, 109245477152851767, 107588925506974839, 109241995804981879, 1138668, 813109, 108232364267904390, 1093699, 109257050230682455, 1278832]	Medieval History (Medievodons)
JubalBarca	Scholar.Social	[110297860211560728, 110146776969606252, 110100707557493905, 37661, 109242900938345669, 109837847597574997, 110137755408054645, 110134261697242826, 109354549340343028, 109845298550366701, 109832992281914534, 108243340664949652, 109352946837763272, 1402, 109313583679608371, 108197550408617964, 109516141129630307, 109243668825210826, 33483, 278549, 109371010876960470, 40107, 109352965488059299, 109256288710936152, 456936, 109246554904857531, 109250467311834639, 109257671407320300, 109368779687740629, 109259334169562994, 109247197678254095, 16163, 109245974419057881, 109245541094634872, 109245820092844036, 109251628927842911, 109246201417847184, 109491900947192190, 109442603277018311, 108192819797424389, 14746, 911403, 1136667, 811924, 1149200, 109355526679906887, 108011128797796416, 28059, 1090444, 531544, 108219153777910954, 109241995804981879, 108772405993602191, 109246997771289654, 15626, 109249727689978662, 109382339716209931, 236466, 109312476472693223, 108198178985462481, 109246179318293109, 1111046, 1075312, 108198860864217728, 16397, 108250719063523693, 942428, 107805478326922078, 109298850409100928, 109246260857164262, 109358921461326257, 108197416610174430, 109245742041888207, 109244210721350199, 109314497321462652, 214821, 269457, 109256906323204875, 108196506779924437, 109337283812265216, 109247336756346659, 108192620641708058, 107639544306208866, 109245064282981274, 1150722, 108223, 109309504886369476, 531360, 106672573730068960, 236672, 109258325796016673, 109258473366688594, 109247219736728009, 109259672509010482, 18305, 109251993698453396, 109257412467831304, 7326, 36272, 109258769813704960, 109259156100050538, 109243659573291461, 108222296027205265, 109251556044783486, 109259385958532278, 411101, 109246557070683003, 109258350837587662, 217302, 130933, 109257050230682455, 109246120984435842, 109258727697841135, 109241913044285011, 477187, 109286669584107905, 109257931628327527, 108220028913379754, 465909, 109245332094566989, 109243488853574031, 109259855425926327, 109253123235743333, 10898, 108196887204460905, 378377, 109243565782581804, 109248713780738980, 108266134751872554, 109245944570691111, 109244333185957778, 109247886810527849, 63926, 109243603041816929, 109244191438363451, 107902419231600856, 109115010552659001, 108453415215315288, 107656823408726934, 208247, 108222382050068039, 108194854177637668, 106963785401479192, 108197252944951264, 108226895626911497, 108194007028420751, 108194573193447048, 108198300861146539, 279483, 108199281502070458, 25385, 30628, 108131166705942379, 108089386293371060, 409788, 108045983795800787, 107169412918517476, 107040843132165621, 355392, 106311930162652251, 259792, 890471, 331490, 1220775, 1155625, 1106889, 1180284, 1200538, 511706, 1196532, 1192432, 1176976, 1034884, 1116324, 1105400, 1101637, 1098986, 19097, 1089738, 1092029, 824639, 926675, 1007043, 1041970, 1003517, 678408, 1009486, 1010154, 1041835, 1074231, 284505, 1004757, 488107, 451912, 232927, 198687, 243361, 633501, 10737, 549586]	Medieval History (Medievodons)
