capitalweather	mstdn.social	[448526, 110278581457909050, 109362228101588713, 109246437846065103, 110240582526056514, 110200320925333019, 110149979465086052, 109257554026516761, 109521029064477723, 109326365949195832, 109259646343383266, 110077535429086934, 110061925951865052, 110059052488873225, 411850, 108192684023596734, 109934191032473898, 109354861481298232, 109950604182715951, 310087, 458936, 421915, 109893274841902092, 109888720359765006, 109362296393483935, 109837847597574997, 572730, 109362066375134739, 492448, 109798633031961584, 150693, 109758375309522084, 109257857976764353, 109557636143699633, 586448, 109506772435220925, 302372, 213908, 443584, 109701986864807256, 109257760789746208, 109685627248131399, 109520812915174233, 109246468079302094, 109241957429385289, 109355337091725433, 109258205921472472, 109509275794223519, 108080487681172690, 109257667776772001, 109242900938345669, 109255522748531274, 107025067733417666, 109503971902826435, 109246243065602380, 194197, 109247166398875744, 45628, 109500788156451858, 109259799447885979, 109257855856437543, 36856, 407905, 109249424889135853, 109366811693140341, 109252990370958330, 241398, 109515751420641733, 109506883905077070, 478722, 109514313029384056, 108193124327407121, 109520873726500735, 410516, 189853, 109356996393397336, 109362788444459572, 109362054225477096, 109361768389086837, 109520689049296309, 109302680249054538, 26657, 109520881701614944, 109247644628579479, 109520789385302256, 135824, 109509588954911432, 109492951043774513, 365934, 109503905169384172, 486324, 409321, 108199078589099202, 109496234469374259, 109253306180601644, 407456, 109490507648092054, 109243834802194919, 109253325937471826, 109323126980398193, 109355589446108220, 463926, 109257536895128391, 464009, 109309994190338674, 109257074522291295, 109362293686157658, 109243362188164489, 109365766050602902, 109292312451389263, 109360376693319907, 109413927364021523, 109241462721783852, 109251652109068394, 109314497321462652, 109298456344040114, 109241133447608618, 109354269513352693, 109259517477461157, 236050, 109244134641674511, 109391116309399376, 109359925352456422, 109245960254534398, 475935, 109248259902439710, 109243756425446670, 109248907757117658, 236466, 107651227006582232, 109362301443416134, 109361212155878949, 109362238387665435, 855056, 109258426446958699, 109361934304519925, 4236, 109354586577121169, 109365596284974184, 382594, 109359472560885729, 109257544952280551, 109243475470058660, 109247913618813992, 109362012958480799, 109354380720419084, 109355698519025313, 96912, 109311859797475645, 109362011704894932, 407479, 414364, 109343839407873448, 528723, 108279810475169760, 109363444188630274, 109363016069515056, 109361935942398040, 109361978994913252, 6827, 677, 109249529232980942, 109293555174597857, 72270, 109362313722009178, 429515, 109362111442452923, 109257402070528132, 109362198145896350, 109362108226535370, 109314639373730738, 109355047902651985, 492922, 237288, 109362296185428565, 109362567142936255, 108762679678964608, 268592, 109362122707507924, 411406, 109359155074379182, 109354516629702481, 109362102339124004, 109303202927541199, 45415, 109362294719476305, 109260634233903114, 109362190351985446, 109362504779641043, 109258327903917139, 109258697141354217, 458883, 109257573104742409, 109251720168296004, 159735, 109246733969549848, 109361907078573630, 109362219074959068, 108218063140213224, 108194937266667234]	Meteorology & Weather
jaredwsmith	mastodon.online	[110149979465086052, 109353871744161531, 109360318254015586, 110109983744184430, 109503217113806211, 110059052488873225, 109904844623515859, 109932712835650966, 109254462641871024, 450829, 109520873726500735, 109835862575129443, 109241231357627189, 109696357844559760, 40324, 1133484, 411877, 108715794084670040, 109361965042846698, 108197798218496226, 109257074522291295, 571880, 414196, 109366355876244350, 40373, 109336965339440871, 109362047388442372, 109245796526603920, 109520880172235380, 1133384, 109259030861394012, 365934, 109514124756246371, 109503626928870362, 44173, 7343, 319427, 43658, 966734, 36278, 36309, 109246039958975220, 109252485686067298, 109362252597641977, 773764, 31422, 855056, 2208, 413873, 28604, 488968, 109361952940149022, 109362132291775672, 109128538950344698, 154660, 109124713334934038, 505354, 485466, 109259213662987717, 109248908544755177, 425005, 109249131120102912, 109237602809603384]	Meteorology & Weather
Austinburkeswx	mastodon.social	[110149979465086052, 109865150265165385, 110069124129586881, 110059052488873225, 249219, 109943117548165753, 109520880172235380, 109385375279652614, 109129217866180316, 109554008057681856, 109734506473674772, 109429106882847775, 109506962892343049, 109538817916631417, 109395824810608989, 109540623524096922, 109315486372034757, 109512943843764183, 109507301443254300, 109536148196136790, 109293621318517787, 412944, 365934, 109294208649402361, 109128697539919370, 109311111625604647, 109297698249519040, 109445957777307901, 109441454109227783, 109377536289047409, 109400798986634464, 109302320164089868, 109317504642545483, 109422554911554780, 109384392208842938, 109300418290525277, 108205221559541570, 109296059911886020, 109280753744863090, 109366055140204628, 109363162276390451, 109321410624565982, 109345052312162518, 109308742057386938, 109362122707507924, 109257074522291295, 109374287543184017, 109365718195119869, 109346985380175868, 109362756966520946, 109292471368711318, 109366174763897549, 109317328521535602, 109316333170175677, 109306071991106173, 109305142790774316, 109243289967310860]	Meteorology & Weather
dkayserwx	mastodon.world	[110149979465086052, 110059052488873225, 109498249431544615, 109520854391173764, 109257074522291295, 109520885315343524, 365934, 108195650827650799, 855056, 109241472157380740, 109362122707507924, 109355698519025313]	Meteorology & Weather
EFisherWX	masto.ai	[110149979465086052, 110059052488873225, 109257074522291295, 109492951043774513, 109506743401273247, 109520880172235380, 365934, 109353938815315764, 109362263205055929, 109361212155878949, 855056, 872918, 42604, 109362010932644403, 109362788444459572, 109355698519025313, 109362215388066346, 109359155074379182, 109362151437315093, 109362133463431509, 109362102339124004, 109362132291775672, 109362011704894932, 10732, 109303956612457476, 583077, 109247085100827063, 108193960512743068]	Meteorology & Weather
jonblatho	mastodon.social	[110149979465086052, 109865150265165385, 110069124129586881, 109385375279652614, 109554008057681856, 109734506473674772, 109429106882847775, 108200094846606526, 109538817916631417, 109395824810608989, 109287485417123940, 109362361076409585, 109374156678551951, 221011, 109523428678582761, 109521562864566553, 109521445646932863, 109520896322166764, 365934, 109128697539919370, 109257074522291295, 109445957777307901, 109441454109227783, 109377536289047409, 109317504642545483, 109292471368711318, 109292402224799754, 109247034305227036, 109344895211306253, 109376655025736900, 109321410624565982, 109376649243168591, 109362122707507924, 109362756966520946, 109366055140204628, 109316333170175677, 109362781085786656, 109363096246070566, 109253498840412531, 28604]	Meteorology & Weather
bryanwx	mastodon.world	[110149979465086052, 110059052488873225, 109950604182715951, 109883193849467808, 109495286440167840, 109520873726500735, 108074175128813052, 109521032931732912, 365934, 109257074522291295, 109500684108743682, 515606, 108080487681172690, 326055, 1133203, 109244134641674511, 109349490225008310, 109362122707507924, 836326, 455059, 109249072414235920, 109359155074379182, 135824, 109243661886801040, 109242006039281674, 109362011704894932]	Meteorology & Weather
willardsharpwx	mastodon.social	[109455774669879221, 110109223805768148, 110200320925333019, 110149979465086052, 109865150265165385, 110069124129586881, 110059052488873225, 109272053660453063, 109385375279652614, 109554008057681856, 109734506473674772, 109309463209309059, 109695383875129201, 109655018599070292, 109429106882847775, 109379185461861988, 109377712892147129, 109393080774689017, 109407683841628264, 109367643696047962, 109539065656957871, 109327495355283761, 109362575198508023, 109378326046515278, 109523096105267177, 109521378350528230, 109377696740092503, 109363024772841090, 109368384201858787, 109538817916631417, 109536148196136790, 109395824810608989, 109536892704555574, 109287567144797815, 109362680526096380, 109393082924113243, 109290524930341921, 109362546116678131, 109388037333832184, 109366538797017179, 109317328521535602, 109298721573109927, 109540623524096922, 109332231925607203, 310191, 109287485417123940, 109337421257062682, 109371088623756051, 109503585404130554, 109307370737599202, 106722140143338945, 109520873726500735, 109271431229195565, 108205221559541570, 109313456028957706, 109492951043774513, 109521445646932863, 109356719396072023, 109521562864566553, 109537096101566574, 109539065836876384, 109526377843742952, 109310003986006041, 109379712422565893, 109523651327595635, 109363162276390451, 109353935737265064, 109257167566231039, 109515578951477352, 109536271482694679, 109520920501528642, 109520896322166764, 135824, 365934, 109498916104536135, 109502452962861745, 109128697539919370, 109445957777307901, 109441454109227783, 109377536289047409, 109317504642545483, 109359155074379182, 109394916198366342, 109317192872030534, 109300418290525277, 109376775825904117, 109376655025736900, 109345052312162518, 109364385670782682, 109308742057386938, 109367864255148083, 107792184742468643, 109374287543184017, 109355698519025313, 109287622391534352, 109376660158807198, 109376649243168591, 109257074522291295, 109362756966520946, 109366055140204628, 109292471368711318, 109302903770603500, 109306071991106173]	Meteorology & Weather
nsj	lothlorien.net	[110200320925333019, 110149979465086052, 110059052488873225, 109950604182715951, 109495286440167840, 4372, 411877, 109257074522291295, 1940, 109245547239717915, 109520873726500735, 16452, 108074175128813052, 488680, 388972, 135824, 365934, 109503442750076956, 515606, 108198117200042547, 109257554026516761, 109362752019399380, 109246973830769067, 107215301464188384, 405401, 108196155197749659, 128073, 109359155074379182, 109362122707507924, 238912, 109355698519025313, 109362120264673379, 109362011704894932, 109169918203980013, 109349490225008310, 329491, 411692, 109258498807640028, 108080487681172690, 109321698568923680, 109253498840412531, 1019797, 408133]	Meteorology & Weather
stormcoolio	mastodon.social	[110109223805768148, 110149979465086052, 109865150265165385, 110069124129586881, 110059052488873225, 109385375279652614, 109554008057681856, 109734506473674772, 109429106882847775, 109559070550046911, 109258182458216955, 109538817916631417, 109395824810608989, 109540623524096922, 109521602058204307, 109520896322166764, 135824, 365934, 109128697539919370, 109259030861394012, 109445957777307901, 109363439644797862, 109377536289047409, 109327644562666686, 109317504642545483, 109271244040281081, 109365834498539016, 109345914585511535, 109362205014230644, 855056, 109310003986006041, 109388805112873391, 109362263205055929, 109337421257062682, 109395708916469586, 109374422627631182, 109317192872030534, 109287842680411040, 109287844074855927, 109300418290525277, 109293863474959223, 823255, 109363162276390451, 109376655025736900, 109321410624565982, 109308742057386938, 109376649243168591, 109257074522291295, 109374287543184017, 109288400272287595, 109292471368711318, 109368384201858787, 109362158308471550, 107928619768248139, 109362756966520946, 109291401875175702, 109305258423769804, 109362493513906977, 109366055140204628, 109348857888626672, 109316333170175677, 109302568411801473, 109325970566918153, 109357038236642806, 109355698519025313, 109306071991106173, 109362536103898879, 109290106014641425, 109362103466466614, 109349219655494335, 109302715196397124, 109345052312162518, 109362060085490606, 109271431229195565, 109327925160298693, 109287567144797815, 1365765, 109307875183153103, 109313075080967759, 109309399883848707]	Meteorology & Weather
