rmrahal	nerdculture.de	[109244822725965644, 110021740308666610, 110188569422671073, 109258746882008956, 109258408905282925, 109257870290883574, 110046414870178933, 110050772058725656, 109984190960994281, 109303122135136177, 110023775468549481, 109982908539283035, 109970129706726671, 109247656734677617, 109731655749068399, 109899012354623527, 109371156678349255, 109840329027832108, 478928, 109246794984203739, 109405628286594829, 109246598810001164, 108131420726034757, 109247459279095464, 109515544721257247, 109258018676849983, 108198482252447455, 109507131739410804, 107840808588585528, 1076441, 108282607750436432, 108193397826186777, 109358620258167904, 109519173719503570, 72915, 1131906, 109245841657140692, 109246554904857531, 109249633491878113, 109344929926223185, 109245078365320623, 108217439974865383, 109507760362989414, 109501188249816806, 109498515217753548, 109247772382140748, 109247595520532416, 269330, 109250560463783825, 108219153777910954, 1111046, 109377941468196529, 251479, 13724, 108176559827658279, 109331776093990272, 109248320320276845, 109238598666264781, 109244332431164585, 109249284083711078, 259798, 109258454358818614, 108279789548115743, 108131604772356656, 108449440111950170, 109250490700902475, 109258464567851847, 109387470526069308, 109387629514287045, 109258733090629381, 45600, 109253019616943594, 109250498351931248, 531544, 109246537530292465, 109248911196845503, 109245508337104370, 109252614982770138, 109362312084093602, 109256628333260427, 109246155949960615, 876512, 108222579241579049, 1148031, 109247255923889852, 109361396895431140, 42604, 189403, 109252718171391012, 109245064282981274, 109359989853607307, 109246632288844654, 502125, 108132610055024720, 34236, 325265, 109358460754282404, 109358496926828286, 109246120984435842, 109258725653195017, 109244426587899179, 109247219736728009, 109247105033464230, 109311327831842654, 109356227146858598, 129535, 109355943162567640, 4176, 559242, 109247712952305913, 590613, 109244550049974865, 108194100206452719, 109252975695909094, 109246074400028847, 109257851215221327, 109251614458661179, 109252880783720451, 109247371837601891, 109343636993806037, 108369498063051845, 109246298896374050, 411445, 108194660440392188, 108153709028564804, 108220350398798922, 109246459043892380, 109258947432929918, 108748008840168545, 109257743235227749, 109252166303957311, 109249252317987436, 109244081326433869, 109258225646662568, 109246203830224088, 109247517194228428, 109248219490492095, 109252952318643427, 109258916618280284, 508947, 109238685078021005]	Open Science
schultem	scicomm.xyz	[110188569422671073, 110050772058725656, 109982908539283035, 109970129706726671, 109840329027832108, 109405628286594829, 109247459279095464, 109507131739410804, 107840808588585528, 72915, 109245841657140692, 109258874833285451, 109246554904857531, 109247255923889852, 109344929926223185, 109243388372609150, 109507760362989414, 109246212247520610, 109501188249816806, 109498515217753548, 109247595520532416, 108219153777910954, 109258423972158505, 251479, 108176559827658279, 108270627905106629, 108449440111950170, 109250498351931248, 531544, 108194660440392188, 34236, 109358460754282404, 109311327831842654, 590613, 109252880783720451, 109247371837601891, 109343636993806037, 109246298896374050, 109246459043892380, 109257743235227749, 109252166303957311, 109249252317987436, 463511, 109252718171391012, 109244081326433869, 109258225646662568, 109247219736728009, 109246389090070344, 109246203830224088, 109248320320276845, 254465, 109259578307578057, 109252987244564814, 109244426587899179, 108369498063051845, 109247217005508525, 109268717706305461, 109256029036102950, 109246632288844654, 109247928625335719, 109244953455176737, 109258733090629381, 109247772382140748, 108131420726034757, 109252919423301263, 108193026303173894, 109258916618280284, 109257985674361370, 109252229648540664, 508947]	Open Science
epizyklen	nerdculture.de	[110188569422671073, 110050772058725656, 109840329027832108, 109405628286594829, 108131420726034757, 109247459279095464, 107840808588585528, 72915, 109501188249816806, 106915015032627672, 109246203830224088, 108219153777910954, 251479, 109248320320276845, 109250498351931248, 531544, 108194660440392188, 109359989853607307, 34236, 109311327831842654, 590613, 109252880783720451, 109247371837601891]	Open Science
nicebread	scicomm.xyz	[108194776783701347, 110270052564143145, 110199060638241390, 108197961999377164, 110188569422671073, 110185612151138033, 108220442991049032, 110002035540690684, 109833806992250531, 110050772058725656, 110023775468549481, 109970129706726671, 109933049411778786, 109244810332562358, 109246098900849832, 109252119150079742, 109840329027832108, 109859471067794949, 109859190022300039, 109246085727937996, 107572277891683065, 109405628286594829, 108131420726034757, 107840808588585528, 109259278083054896, 514137, 72915, 108226504838172156, 109244494576407970, 109245819569631153, 109511036022632341, 109500902033967581, 109361077775082334, 109373727059006982, 109246554904857531, 109215564672345722, 108284780273749696, 109257286150108849, 109248741161249010, 109253654307358400, 109246683781391886, 109511784481541676, 404393, 109253638035386529, 109507321221235651, 109502687139544673, 109245960923434562, 109258625847441460, 109245841657140692, 109507760362989414, 109503029695143777, 109501188249816806, 109500151780508562, 109491479911767782, 108144044154040123, 109355924810865371, 109258757152861763, 109251125365965959, 596606, 109243174139996587, 108130769549430985, 109246054715449550, 109251660929153701, 109250973136645548, 109248171198599960, 109246203830224088, 109358460754282404, 109246750029921449, 108194307694818557, 109321394134660968, 109245531519879403, 108195059726200380, 108219153777910954, 20157, 109377941468196529, 251479, 109246535295120723, 109252967298752726, 109248320320276845, 109256302677023900, 109250490700902475, 109387470526069308, 109387629514287045, 109252614982770138, 109247105033464230, 531544, 294849, 109257777862801909, 109359989853607307, 34236, 109358019374961554, 109311327831842654, 590613, 109247371837601891, 109353208594510679, 109353091305773746, 109245196799593558, 397610, 967051, 108194660440392188, 109246552694727157, 108136539435153770, 109255947867356178, 109250127189342915, 109258295158680410, 109248034789692853, 109247626204183891, 109247989832544996, 109298036583530755, 109248002862385920, 109246298896374050, 108197935231487069, 109246074400028847, 109248346291207820, 109245513949528889, 109247459279095464, 109252496278310308, 583952, 1036996, 109243735517963011, 109246616244422580, 109251563298098846, 37964, 31190, 109245457461287091, 109250498351931248, 1150722, 109247494745716764, 109247085172314108, 109252880783720451, 109245824485515075, 109257331579612121, 109249643504294545, 109245630864091812, 109246714032388618, 109248219490492095, 109249633491878113, 109253573203528596, 109246865231083964, 427668, 109245423746698811, 109255913829237365, 108220308685768837, 109252341968608954, 109256029036102950, 109244355386289445, 109247562913673272, 109252495890227428, 108723725919401467, 109244752697497676, 109247772382140748, 108730479635244649, 109244704927102872, 109258514936309807, 109247820766440512, 109245042280376838, 109259338536893530, 391764, 109258733090629381, 109246776275103540, 108001042024520302, 109251081047404298, 1076441, 109245486030079895, 109246890020731879, 108197308375944445, 109253325722616883, 109258916618280284, 109262624361428813, 109259978285525993, 109238821428251114, 109216621153328794, 108236138283380928, 109256752501547227, 109240156420435603, 109244822725965644, 109252310717432409, 108193254639199580, 848514, 259798, 396182, 106308672799060335, 108369498063051845, 109251664202690205, 195323, 109257912901871492, 109245959261001941, 109254114112965410, 269330, 109244747283401670, 109245261941575606, 109246632288844654, 109248248921197592, 109259415361168739, 109245835706238324, 108193906594084268, 239947, 109250225431314241, 109258947432929918, 109258639119319894]	Open Science
timolueke	scholar.social	[110050772058725656, 109845298550366701, 109840329027832108, 109405628286594829, 109247459279095464, 108131420726034757, 109511036022632341, 107840808588585528, 72915, 109257637803491914, 109246554904857531, 15626, 109501188249816806, 109246203830224088, 251479, 108219153777910954, 531544, 109250498351931248, 108194363543185150, 109248320320276845, 34236, 108194660440392188, 109246865231083964, 109247371837601891, 109252880783720451, 590613, 109311327831842654, 109257023563767118, 508947, 109252026199846503, 574710, 1138499]	Open Science
MalikaIhle	scicomm.xyz	[109387629514287045, 109247105033464230, 110188569422671073, 110050772058725656, 532991, 109361189719173108, 109841586746961353, 109903348431735612, 109840329027832108, 109833806992250531, 109405628286594829, 108131420726034757, 109247459279095464, 107840808588585528, 72915, 109500667661266664, 108194660440392188, 479177, 109257122448549420, 109245442294209853, 108243207600039266, 109246554904857531, 109399675152989746, 109243388372609150, 109501188249816806, 109252880783720451, 109252235052978846, 108194776783701347, 109250614397421830, 109385941737291213, 109245571512940777, 109361396895431140, 108219153777910954, 251479, 109248320320276845, 109387470526069308, 109250498351931248, 531544, 109244636445546997, 109258916618280284, 590613, 109358460754282404, 109247724907991386, 108245723457268935, 109245133386119610, 109247661988557011, 109303324348189793, 109298036583530755, 109246298896374050, 109297145222387380, 109251125365965959, 109248171198599960, 463511, 108254504018816288, 109246802119228592, 109248273958507104, 109257696021427420, 109251109396304629, 109291778342663619, 14623, 109252628166585689, 108198176380165531, 109245824485515075, 108138192930105044, 325265, 109245783259211107, 109243648122700212, 109248219490492095, 109246714032388618, 109255406191199919, 109257743235227749, 262096, 490788, 417048, 108209928128783787, 109251624347269044, 109252718171391012, 109252042062830578, 195323, 109246632288844654, 42604, 109258725653195017, 1296320, 109251417818943012, 108236138283380928, 109245597488364567, 109244426587899179, 109259415361168739, 108193254639199580, 109246203830224088, 508947, 109245799585295737, 108131604772356656]	Open Science
wendympatterson	mas.to	[109331776093990272, 110136198944723870, 110188569422671073, 110149979465086052, 110050772058725656, 109903348431735612, 109511033645508444, 109863250589713940, 109840329027832108, 323365, 109213377166929725, 108131420726034757, 109247459279095464, 781599, 107840808588585528, 108136313644156324, 108137062828210459, 108132610055024720, 109254865151680729, 109248398516324797, 109246018784846168, 107961983154644221, 109246153972116586, 109405628286594829, 72915, 109246554904857531, 109250349026571158, 108245723457268935, 479177, 108193254639199580, 109501188249816806, 154632, 108219153777910954, 251479, 109248320320276845, 108194396396723939, 109250498351931248, 531544, 109353547793586821, 34236, 109311327831842654, 590613, 109252880783720451, 108194660440392188, 109251609392606708, 109245093117943701, 108723725919401467, 109245579674157990, 109244086251601966, 108131604772356656, 45880, 109247432104710610]	Open Science
cnsyoung	fediscience.org	[109246074400028847, 110188569422671073, 1076441, 109515544721257247, 108083644122837944, 110050772058725656, 72270, 109982908539283035, 109256638254657336, 109965064665444982, 108232281049230170, 109840329027832108, 109362257128139952, 109405628286594829, 109511036022632341, 108131420726034757, 109247459279095464, 109507131739410804, 107840808588585528, 109358544043904637, 72915, 109245841657140692, 109246554904857531, 15528, 109344929926223185, 489081, 109503029695143777, 546771, 109501188249816806, 109498515217753548, 108194363543185150, 1108053, 109279036136486146, 44998, 109253279531058930, 109365716339734102, 108219153777910954, 109377941468196529, 251479, 109387470526069308, 108176559827658279, 108449440111950170, 19968, 109250498351931248, 531544, 34236, 109358460754282404, 109311327831842654, 109355837287160638, 590613, 109252880783720451, 109247712952305913, 109248989253155499, 109245133386119610, 109343636993806037, 108194660440392188, 109245042280376838, 867925, 109258916618280284, 857177, 1002786, 109313583679608371, 109246459043892380, 109298036583530755, 109257743235227749, 109246298896374050, 109252166303957311, 109244905307403884, 109249252317987436, 109252496278310308, 109244081326433869, 109258225646662568, 109247219736728009, 109246203830224088, 12638, 31190, 109252614982770138, 109245824485515075, 109249643504294545, 462985, 109252083220218143, 109246616244422580, 262096, 109246865231083964, 109244565694558814, 109252201925627361, 109248219490492095, 627441, 109254105973251770, 109252341968608954, 109256437390494166, 109247595520532416, 109246492841740989, 270445, 109253123235743333, 109258625847441460, 109246083883991240, 109258733090629381, 109246229896391975, 109245932155891881, 109251417818943012, 109247772382140748, 109247785295131472, 109247820766440512, 109240917482988460, 109244426587899179, 109253276310130545, 109252235052978846, 109248734198675195, 109248320320276845, 225146, 108193906594084268, 109251752440742007, 737544, 109256873872791524, 109249284083711078, 109246901369637788, 109245812461245940, 109247939891597583, 109253006605560074, 109252229648540664, 109252987244564814, 109246976571082957, 109247185181465456, 109246365417627405, 109247286189883850, 109246890020731879, 109215316069825663, 109245350783600258, 109245169835601001, 107572277891683065, 109253614677745032, 109257331579612121, 109258721327914481, 109247105033464230, 109246920412223781, 109257122448549420, 109252718171391012, 109251886904079015, 109250875383964242, 109250248779502232, 109251491010550075, 109257102395976315, 109250461690291826, 109249036425741875, 109252975695909094, 109248791378546596, 109253573203528596, 109245961326640035, 109252070407943194, 109246632288844654, 109245702141099726, 109248139002764218, 109246111844957277, 109248248921197592, 109244060107520876, 109245979872804131, 108369498063051845, 109245835706238324, 109238685078021005, 108198918715093132, 1296320, 391764]	Open Science
clementaubert	lipn.info	[110188569422671073, 14808, 109250027132189018, 109248417735330753, 109250333246320445, 16496, 110050772058725656, 109840329027832108, 109405628286594829, 108131420726034757, 109247459279095464, 107840808588585528, 72915, 109246554904857531, 109501188249816806, 108219153777910954, 251479, 109248320320276845, 109250498351931248, 531544, 107365521101787261, 109252786393804168, 108194660440392188, 34236, 106398550851540418, 109311327831842654, 590613, 109252880783720451, 109170580256447424, 108170454661245987]	Open Science
katiecorker	scholar.social	[107840808588585528, 109247459279095464, 108131420726034757, 109405628286594829, 109840329027832108, 109252119150079742, 109841586746961353, 532991, 110023775468549481, 110050772058725656, 110002035540690684, 110188569422671073, 229774, 109362257128139952, 109358620258167904, 1136667, 72915, 109247085172314108, 109511036022632341, 109247004457335002, 109259960879305242, 109252702081999110, 109248741161249010, 109520104796927683, 404520, 109502577272251184, 109215564672345722, 109246554904857531, 1076441, 109245799585295737, 109248133085582948, 109507610191425722, 109501188249816806, 109249079981432118, 109246203830224088, 109246029640551764, 109358019374961554, 108194307694818557, 531544, 109250498351931248, 109387629514287045, 109387470526069308, 109248320320276845, 109399538435830688, 109262624361428813, 109252404319138792, 109377941468196529, 251479, 109245824485515075, 109259208556421618, 108219153777910954, 109245439068200472, 109257777862801909, 108194660440392188, 109252235650656795, 109356227146858598, 109244822725965644, 109258070537538220, 109241992397126854, 109252880783720451, 109353592286155989, 590613, 109311327831842654, 109356797116891821, 109358460754282404, 34236, 108131604772356656, 108193906594084268, 109253701563497329, 109259558568073734, 108369498063051845, 109245630864091812, 109250127189342915, 107572277891683065, 109251886904079015, 109299816797016235, 109257642984347249, 109249633491878113, 109257102395976315, 109246656407129669, 109288720283514931, 109246298896374050, 109245073360018788, 109253325722616883, 109249284083711078, 109245702141099726, 109247772382140748, 109257331579612121, 109256029036102950, 109245350783600258, 109245423746698811, 109245007084969978, 109248219490492095, 109253614677745032, 262096, 109251417818943012, 109247626204183891, 109258250884451927, 109249654182455567, 109253573203528596, 109252718171391012, 109246632288844654, 109247595520532416, 109246389090070344, 109259690370599542, 109249014792189110, 109257122448549420, 109251491010550075, 109247928625335719, 462985, 109246616244422580, 109244426587899179, 109246453230342849, 109245961326640035, 109252614982770138, 427668, 108193397826186777, 109255913829237365, 109298036583530755, 109258916618280284, 109245513949528889, 109250730900888410, 106308672799060335, 109248734198675195, 109248383687906271, 109252987244564814, 109245979872804131, 867925, 109252229648540664, 109247538985628631, 109248791378546596, 109258266443133959, 109246920412223781, 109247019091365420, 508947]	Open Science
