gabrieledragotto	mas.to	[465718, 109362128629797319, 109359319754506432, 109363234799029630, 109207711143531346, 109251187722844374, 109272194279829351]	Operations research
mervenoyan	mastodon.social	[109353460110088808, 108194263399877342, 109294938275342885]	Operations research
jfpuget	sigmoid.social	[109946235996337966, 110235430929336355, 110190323536608938, 110185759920607843, 110177684274718537, 110103652873156999, 109932022407201709, 1199695, 109956808328479014, 109939740855980209, 109794437356059412, 109832630637997409, 109823978126712779, 109253823809476849, 413580, 42163, 109259546883024857, 109358402584277179, 108130586178716841, 109490718645915994, 109493864970994532, 109246470743894178, 109257286150108849, 563072, 232912, 108197423116502373, 109248333057943587, 109246683781391886, 108338655108179037, 233440, 27421, 109520915676346932, 569322, 109501683562274592, 109214618317337869, 109520913534400224, 109514110925735528, 132898, 109509790428189475, 825054, 109257474234642185, 109247024640736383, 109244642882507497, 108136407590158184, 405401, 319212, 109255557435137995, 108279780058040080, 37964, 108194042486874334, 109245566863027288, 109374370319208862, 108196960287608392, 1221963, 109248593374660612, 109246016050591518, 109359319754506432, 109247542811601435, 1037652, 109315656382630523, 531721, 465718, 459375, 500532, 109243726003215311, 109245414074418267, 109315766265006565, 109247814692772292, 109247242786817103, 109257926750442148, 109255541358900740, 109257595999048999, 109257941536351247, 109235131685878419, 109257957418165533, 109257737660094284, 107333680244390743, 109250315150307496, 109243871205506341, 109246840762974969, 1058557, 109298160658734496, 109251446593177285, 109257691712522612, 109256863998356457, 109250461690291826, 109279163038286946, 109247561800167205, 109245662892477301, 109212863110711318, 109258087518618080, 109257382783246846, 109245799309260963, 109221633345795268, 109246761596608618, 109211099144532651, 109257444047908858, 109257673993166761, 109257412467831304, 109246305868673363, 109245522369684143, 109272194279829351, 109255985498064046, 109251187722844374, 109252372961253005, 106573954654362345, 109256682212403131, 109251896869099686, 109258739523218107, 109259777940089000, 109247021099028147, 109253721339730619, 109247026094694754, 109257432515090807, 586291, 463127, 242113, 516815, 108305609155936170, 109207939815537439, 395704, 462985, 108197382886404904, 463511, 106775122499473411, 38629, 106873032258335837, 378719]	Operations research
larrysnyder	mstdn.social	[559242, 109243668825210826, 465718, 109248526312770186, 109363234799029630, 109359319754506432, 159855, 109207711143531346, 562255, 1007891, 109243306709506307, 516815, 109272194279829351, 109251187722844374]	Operations research
gglockner	social.seattle.wa.us	[423210, 108051043066980603, 109297500981599578, 109366595839601021, 34538, 109272194279829351, 465718, 109263857911088961, 109256376987802035, 109251187722844374, 109257280801540782]	Operations research
opsprof	mastodon.online	[109984551744117682, 988989, 109501344201887494, 109264348284598050, 108254123272743620, 109519414354735341, 109513904773209057, 159855, 109357251271383739, 1141551, 422556, 109248956105341562, 109496273991338454, 109354573298236971, 109353527707943372, 109355162272348458, 468860, 108199300472109106, 109259960879305242, 465718, 109245118230650187, 109355127672141545, 108193397826186777, 109250144817967384, 41825, 109298036583530755, 109244322914841851, 107025067733417666, 109258808336425585, 108199209267286153, 109243140356117545, 109247080573435109, 108198176380165531, 109246453230342849, 109262637788490140, 109250457259524134, 109252918964682655, 109244987088215216, 269330, 17673, 109245238944524122]	Operations research
vanparys	mathstodon.xyz	[465718, 109210185299964648, 109207711143531346, 109272194279829351, 109251187722844374]	Operations research
mluebbecke	mas.to	[110022586888675085, 110068889685486450, 110128543818838346, 109367919444048964, 109259103818935036, 109507284486803165, 109246921462121688, 414057, 108368361962877146, 486615, 109259546883024857, 109354958047460296, 107365521101787261, 559322, 470928, 496532, 109505764863823442, 109215564672345722, 109258811727126035, 271447, 40435, 109245182383704919, 455885, 109514608337560327, 559242, 109245584928383092, 109493095064043238, 405401, 109353499219755509, 109409310375133214, 109251178489200988, 63903, 108197215433922825, 109238561618665920, 304122, 109245726649111192, 108270627905106629, 108243468552807531, 109358170050668899, 109359319754506432, 109358351919503881, 109251794257460090, 585860, 109353444018216264, 928913, 108231742126190001, 465718, 281671, 109244426587899179, 108310574895933150, 531721, 108194660440392188, 513441, 159855, 25491, 108194319991385740, 108282633411334803, 109245508337104370, 109247494745716764, 108506072478040398, 108198759177203030, 109279163038286946, 1306783, 108130769549430985, 109252244038959490, 562255, 109242102926588092, 109245854856578390, 109254361200715617, 109258739523218107, 37964, 109251187722844374, 109272194279829351, 109252372961253005, 358271, 108131321387917950, 109256401370039000, 109244684846097752, 72817, 479679, 109258043217819245, 109248351112630994, 109243306709506307]	Operations research
AustinLBuchanan	mas.to	[110022586888675085, 109243306709506307, 109252786393804168, 465718, 109359319754506432, 109254116379235344, 109247692738579263, 109251187722844374, 562255, 109254361200715617]	Operations research
thyunes	mastodon.uno	[110057745131469702, 109359319754506432, 109243306709506307, 159855, 465718, 109252244038959490, 109272194279829351, 516815, 109258739523218107, 109251187722844374]	Operations research
