eyssette	scholar.social	[110272163293403891, 110238232539692416, 108194890308088987, 109866193503936095, 109847891234423652, 108153761567835867, 110157473074776763, 110147361859854885, 109258693108953224, 109247085172314108, 110137755408054645, 110128543818838346, 110071315423518264, 107990518454921286, 109243957829941076, 109845298550366701, 15930, 108222787344386984, 109259198766719598, 109865025092396275, 109246921462121688, 258522, 109256051999839463, 109353884484553971, 109358544043904637, 108193987656838977, 108193856897420795, 7298, 450312, 109212672053987101, 109239682052514617, 109257637803491914, 108230934872651604, 109251691994739784, 187383, 276474, 496532, 1126835, 109515819521527882, 1026414, 109303428246018000, 109521820053076529, 107192220324249637, 109243388372609150, 109248417735330753, 109248071639129391, 107990612893998510, 108219153777910954, 109249727689978662, 109354975015851564, 531544, 826669, 109255940688705778, 108449440111950170, 108220442991049032, 106543926675554654, 109250780270680244, 109258693860223553, 109249274714621223, 1135448, 109247376079384073, 109355083749157516, 109259097207573279, 109279163038286946, 459987, 109245777816853177, 109362274983247394, 942428, 1138679, 109343636993806037, 108198155765935686, 109257694014005772, 109258609786706695, 39050, 109285435584908904, 109256442035667450, 109249658402510624, 108240129342347705, 109253047767839166, 156899, 109252975695909094, 325469, 108196352932813362, 109244720449000869, 463757, 108251259104842764, 34236, 402129, 109246926606735595, 109250035718930069, 37964, 229909, 108194363543185150, 109245544454172818, 449705, 109313583679608371, 109244560026829386, 109245596698178154, 38154, 193579, 109246260857164262, 109246459043892380, 109240990170827357, 108279213781183306, 109258061444392664, 109244426587899179, 109246757955923998, 109313837131331153, 108423029983611429, 109250703056579851, 11188, 109259255038992780, 109251827142964076, 574279, 108193887890976307, 109237570604493475, 109249252317987436, 109259428970903579, 108193787646770977, 109258462483382711, 109258252301002515, 109256186700231764, 1039881, 109242134864684061, 109244081326433869, 108197012196056024, 1108085, 109246638703316482, 109247219736728009, 109245788561042077, 109249506960808151, 109250167804295023, 109255677802234737, 108140462489609682, 109259797244452860, 109259544287520448, 106974359153541901, 109295870287922654, 34547, 109246822754893722, 109209976238232616, 109258790469333671, 109257391803442151, 1138642, 108196880985645678, 108197313986948610, 109258673989107494, 1200654, 109257209981799601, 109257013941829240, 109254492774120659, 109257697805325192, 109253170726430981, 109255959196622341, 109251583590414987, 108380850570672527, 109252025888526501, 109246085727937996, 964579, 109245398752701778, 109244989340720814, 109244417040649963, 573138, 109240773415566229, 108198374559802294, 109240835082812321, 98677, 43077, 109257932755572602, 109215806011730188, 109246308036614816, 36272, 108196443375449084, 109245981843893237, 109258530142533008, 109245743319666505, 109258521203496670, 880548, 109257599065567016, 109247571016142398, 109259877657580880, 109252312681213528, 109258713442012497, 109258907004418374, 109248116937552783, 109256235698218043, 109248793113455368, 109258203779753232, 109247804185637491, 109248564599701054, 109256823390203246, 108220221849087546, 109212167910950463, 109247724390998873, 109245458979343233, 109242956558036893, 109250654645486476, 463414, 109250731001374272, 109254540612303481]	Philosophers and Philosophy Teachers
gprimiero	scholar.social	[109239682052514617, 496532, 276474, 107192220324249637, 268592, 109243388372609150, 109490818700975658, 109512110781152129, 236435, 109207795840385081, 531544, 109249727689978662, 108219153777910954, 108449440111950170, 109256442035667450, 109295870287922654, 282127, 108447557020799687, 109244426587899179, 449705, 34236, 109248034789692853, 109246459043892380, 109313583679608371, 109240990170827357, 109258061444392664, 109313837131331153, 109246260857164262, 109243276553364986, 1039881, 109247219736728009, 574279, 109246822754893722, 109258462483382711, 108193887890976307, 109249252317987436, 109258252301002515, 514666, 108170454661245987, 106974359153541901, 34547, 109251794257460090, 109246085727937996, 36272, 109250875383964242, 109244417040649963, 108220980547659678, 109246044479113652, 108130046645090018, 109207045255793252, 109252341754783953, 109245170812496700, 109207631914083691, 39825, 454831]	Philosophers and Philosophy Teachers
twsh	scholar.social	[]	Philosophers and Philosophy Teachers
philippsteinkrueger	zirk.us	[110272163293403891, 110261369002390050, 39869, 108194890308088987, 110185759920607843, 110147361859854885, 109247085172314108, 110128543818838346, 108232373553818750, 109897951549644550, 109253675516033588, 109245063176478371, 478928, 109241246190995006, 109516392354548270, 109872604724693091, 108220746382713279, 109246921462121688, 108193987656838977, 109357884592272465, 108217295884722939, 109212672053987101, 454368, 109246450276143016, 1094823, 107192220324249637, 109240835082812321, 276474, 108221051481019671, 108198938724833836, 108194692499964138, 108196880985645678, 109250686010861100, 109353220138620086, 109245333386770478, 109247167897757971, 109208895825477011, 1303968, 109295991837551289, 28948, 109256994015489611, 1111046, 109245662937354573, 109244567958125184, 1172, 63916, 109245909098292340, 109244081326433869, 109256186700231764, 449705, 108197399389099143, 108194002258085502, 553425, 109250875383964242, 108217761178377225, 109244417040649963, 109247219736728009, 109268832027932489, 34236, 108386619383148858, 109359937911662690, 108163743165313477, 7098, 109256442035667450, 109246459043892380, 109246085727937996, 106097714708947608, 109253030849652168, 1039881, 109258252301002515, 108187896026560968, 108130769549430985, 108220442991049032, 109246260857164262, 318545, 109251697146271427, 108194205679876182, 109253803920789184, 109240990170827357, 109313583679608371, 109258061444392664, 109249252317987436, 109258462483382711, 108197012196056024, 108449440111950170, 109246822754893722, 36272, 504314, 108193887890976307, 109240999723390090, 34547, 109250167804295023, 574279, 109295870287922654, 109223848918067806, 108279213781183306]	Philosophers and Philosophy Teachers
chendricks	scholar.social	[]	Philosophers and Philosophy Teachers
_RachelHandley	eldritch.cafe	[373459, 109252689146669118, 108194890308088987, 109312476472693223, 110134261697242826, 109909002817012413, 109253345966328707, 109942871829416155, 109245769856113803, 109894495273337560, 109891435054715003, 109313317632229092, 109852282888939666, 108246045862532777, 38393, 108193987656838977, 109212672053987101, 234451, 106960429817399177, 109114452186768478, 109245417878260261, 109259988180115814, 466202, 109248411734698442, 312042, 1011200, 109332012194693192, 107192220324249637, 276474, 243058, 109376987148344030, 108199239894423352, 109515193008025311, 109246257825919486, 108219153777910954, 405401, 109249727689978662, 531544, 109362044800300632, 106722140143338945, 108449440111950170, 478082, 109361723961643387, 109287763020769188, 109371010876960470, 109247246920458661, 109364253873336789, 21050, 109365629272009019, 29172, 239517, 256581, 109256442035667450, 1139189, 1135634, 108194311368207171, 109295870287922654, 109245013840781703, 109337283812265216, 1111046, 238906, 108194491584944031, 109316368431698899, 109259595518315041, 431516, 109245064282981274, 108130769549430985, 34236, 109259927125464714, 478928, 109246421220847033, 421035, 108193670344520821, 890773, 109314534685398767, 108567701098092523, 418151, 109322656798784265, 449705, 109313583679608371, 229875, 109301863187932509, 470604, 109246459043892380, 14859, 109294182316890970, 109246260857164262, 109252235052978846, 109223848918067806, 109258061444392664, 109240990170827357, 109313837131331153, 109312329816268216, 109249918135821026, 384347, 1039881, 109258252301002515, 108193887890976307, 574279, 109253626626121970, 108241013152788224, 109244081326433869, 108197012196056024, 108592423716131612, 109247219736728009, 108192819890249498, 108192770083460891, 108254504018816288, 108198553141144336, 109245631585752755, 1307553, 1287023, 306820, 34547, 108197810797977260, 109259156100050538, 332561, 109251988738153946, 109254492774120659, 109244967975340858, 108309488905635611, 108194205679876182, 109249252317987436, 109246275539572634, 454003, 109247326254730843, 109245981843893237, 462745, 109252641004817428, 108130046645090018, 1200654, 108424572538283773, 109255711980176370, 154502, 109244426587899179, 276336, 857177, 109245739658238765, 109243624877957068, 109246494255809972, 109238958365441047, 109247909340638027, 109258683284460813, 108193385721077982, 109244609604502342, 109246822754893722, 109252002157493887, 109246085727937996, 109251920019273726, 109256008778270209, 106963785401479192, 109243902422545443, 466114, 109246751819176952, 109259743076912247, 322617, 37021, 108198295148201643, 109251239581812712, 109238069070518161, 218729, 1134674, 108197271326739904, 38996, 109259118923452512, 109246298646033037, 109246281601412170, 455467, 1195829, 45861, 109247179587242124, 109246638703316482, 109244417040649963, 108193859387541882, 109250875383964242, 109258857020199119, 13440, 109244057590639440, 24318, 109240835082812321, 109257932755572602, 109243491882662962, 108195262731141362, 109246308036614816, 109259194927231805, 108199103628154290, 504314, 36272, 109212167910950463, 109247376079384073, 109253123235743333, 880548, 108220201136577999, 518651, 109253948074115321, 108193963422911194, 108196352932813362, 109245878506468155, 109254292602320137, 109257696300499297]	Philosophers and Philosophy Teachers
consequently	scholar.social	[110270617501126822, 108194890308088987, 110147361859854885, 110128543818838346, 94970, 109860568764976266, 109246921462121688, 109244312739228432, 332561, 108193987656838977, 109259546883024857, 109212672053987101, 108224370842188305, 109362295015959416, 109491993676003604, 255736, 30540, 107192220324249637, 276474, 496532, 109223848918067806, 109513321541572798, 108414431482367434, 11878, 109215564672345722, 41521, 109245087912875867, 109246450276143016, 291621, 1150683, 20015, 109285435584908904, 109323387430379893, 109248142320449852, 109247004371697575, 1047328, 109251019025295792, 109250245052418708, 109520618053684935, 109514869210871564, 109512110781152129, 109246178336249926, 109364536357416224, 109245417878260261, 109245531519879403, 108219153777910954, 405401, 109249727689978662, 531544, 109361807417678899, 108231613738040511, 42515, 108449440111950170, 109370157627942862, 109354447785613680, 109244539138620290, 109258693860223553, 109323349038366660, 107837477106033186, 109354301390413462, 472777, 109247331757904472, 109256442035667450, 161399, 108197012196056024, 478555, 34236, 449705, 109313583679608371, 109246459043892380, 109246260857164262, 109258061444392664, 109240990170827357, 109249252317987436, 109258252301002515, 1039881, 574279, 108193887890976307, 109244081326433869, 109252718171391012, 109246822754893722, 109247219736728009, 19159, 108170454661245987, 108192770083460891, 109295870287922654, 34547, 106974359153541901, 27745, 108194205679876182, 109244422988370653, 108198048299065854, 109243624877957068, 109250206987487593, 109268832027932489, 40322, 109246085727937996, 108217295884722939, 109258462483382711, 109244417040649963, 964579, 109250047118630802, 109250875383964242, 109240773415566229, 109240835082812321, 109243491882662962, 109246308036614816, 504314, 108196443375449084, 36272, 109245981843893237, 108143068023444779, 18832, 109258643039621284, 109252312681213528, 109237583132426483, 109259738495981019, 109246557070683003, 109212167910950463, 108140723646034987, 221330, 610560, 236435, 18998, 520276, 452653]	Philosophers and Philosophy Teachers
MathildeTahar	scholar.social	[109251827142964076, 108197012196056024, 34236, 109246260857164262, 462755, 377521, 1036386, 250913, 109240990170827357, 108447557020799687, 109310238010975029, 109295870287922654, 109313583679608371, 449705, 109256442035667450, 108449440111950170, 109249727689978662, 108219153777910954, 109243388372609150, 108225995472276130, 276474, 108193987656838977, 107192220324249637, 109247219736728009, 109253168207040205, 108696985981964979, 109244081326433869, 109246822754893722, 109258462483382711, 574279, 108193887890976307, 109249252317987436, 109256186700231764, 109258252301002515, 108198374559802294, 1039881, 34547, 109115247953517608, 108227250164226760, 504314, 109253123235743333, 108137385050689627, 108220201136577999, 36272, 109240773415566229, 109253803920789184, 109281624831792274, 109215806011730188, 109246308036614816, 109240835082812321, 109246085727937996, 109250875383964242, 109244417040649963, 108194205679876182]	Philosophers and Philosophy Teachers
johnbasl	fediphilosophy.org	[108194890308088987, 110136198944723870, 110147361859854885, 110128543818838346, 109246921462121688, 109362257128139952, 156899, 109249506960808151, 109207590412508952, 109207599306718945, 109257023279228366, 109247219736728009, 109511497663215278, 109243465201478885, 109520695865300649, 109248565646997396, 531544, 16452, 109362291449839509, 109208487501437862, 34236, 109247803961038777, 109207520642028304, 109249727689978662, 109249252317987436, 109244417040649963, 108197012196056024, 271311, 109244081326433869, 109243624877957068, 109513321541572798, 109211805402347107, 108219153777910954, 418269, 109221695011923662, 109246269943967629, 109253310941781137, 109208864689604784, 449705, 109240773415566229, 109246459043892380, 214221, 109246757955923998, 109246822754893722, 109207281529494910, 109258150477003866, 36272, 109256442035667450, 108193887890976307, 109249643504294545, 108196443375449084, 109246223497667477, 265745, 109258061444392664, 496532, 109218088624859684, 109242494137478793, 34547, 276474, 108193397826186777, 109268832027932489, 109215927537619436, 109247376079384073, 34697, 109240990170827357, 109207045255793252, 109258252301002515, 109246308036614816, 106974359153541901, 109258462483382711, 109295870287922654, 109258222978707995, 109246175391111003, 109208008086317816, 109313583679608371, 109246085727937996, 108449440111950170, 109250875383964242, 109370157627942862, 109258693860223553, 109246260857164262, 109242956558036893, 109208005717781669, 109245981843893237, 504314, 1039881, 108220980547659678, 109218861526850063, 574279, 108080057135563752, 107192220324249637, 34846]	Philosophers and Philosophy Teachers
thehangedman	mastodon.social	[110298565370478343, 110256634710738318, 109346748972408191, 109294964899133606, 109269303528888282, 110156474743664338, 108194890308088987, 302853, 108166855487712957, 109540441975647904, 109340469475669318, 110150711776230430, 109381351749855096, 109856702951802897, 110147361859854885, 468854, 110124729529967391, 109386807577757817, 108194315915150009, 109560906714052934, 109328762912063005, 109362445444779488, 110128543818838346, 110113886805311441, 110038328604200802, 110088511300615044, 108427228198499983, 109615716229968291, 109963279702315424, 109269993637023817, 109799369920135315, 109306757939022074, 109903374485114815, 109291245912826796, 109279808433491287, 109383494370764668, 109852760857640702, 109454865810158710, 109253422611032941, 109246921462121688, 109819109350546743, 109664329456225415, 109806427757396700, 109286162143067119, 109245883102309612, 109796275397070485, 109304633917923581, 108208032031209502, 109388187372240096, 109363624640049129, 109754470722708398, 108193987656838977, 109333749374956120, 109379567997657990, 109267680712374423, 109736066244241692, 109715026326844502, 109711198470613854, 109712194834732097, 109633122118329787, 109373857575281722, 108220980547659678, 109265944580226772, 109302931616695808, 109663095200367788, 109661225358380771, 109366632752119878, 109296767988735964, 1135270, 109400595650651936, 109366902601212886, 109326776881564203, 109273659333945010, 109315901819487141, 109400740593077738, 109370777465666493, 109613080236614622, 109615086969395077, 510867, 511686, 109555475596398774, 108138361220334376, 109550936134689631, 109579569305789047, 109563794501917205, 276474, 496532, 109293228708394257, 109513797349383010, 109547348320798129, 109548975892505007, 109549432479793506, 109548248773236139, 109532394329845834, 109546754480855083, 109324402247957564, 109539228774344041, 109524301130722726, 109537142983768118, 109287731025051818, 109362617016705530, 109297511608399936, 109308792478073180, 109354439158550135, 109248146149272677, 109531032783172357, 109435208488254252, 109526012890279884, 109378610310829065, 109360792918813590, 109524465987298129, 109268328241505575, 109507541631629847, 108805090609483391, 109523852579983083, 108194041137471139, 236435, 109513321541572798, 109291525863039604, 109478070418641096, 109505231092332033, 109503547696228534, 109365523076333474, 108280959531290778, 107192220324249637, 109317139199907559, 109362819420136355, 109463133773952500, 109448234282170890, 109459220309456098, 109421678219273788, 109299456684585301, 109309597861758925, 109308347678956590, 109446134238005252, 109445821774444243, 109443620989192901, 109440002424757461, 1394450, 109341994213513871, 109389162477600641, 109421688223088045, 109434390820971293, 109432858678873369, 109300678744522898, 41825, 109368521622913653, 109291338568453013, 109418422033491321, 108219153777910954, 109286300625529981, 109399594603554110, 108192877884661719, 109413059188461728, 109376118203224968, 407079, 109411620041141838, 109406333681396019, 109411389724058335, 109410381490326167, 109388824970030366, 107540623773362381, 109406568510476725, 109249727689978662, 109406342016073411, 109333130583915111, 531544, 108483285231266401, 109403168591445722, 109402483752036866, 109322227627117797, 109365273701710961, 108194252873473095, 109400708901330881, 109336544675656588, 109400138261795434, 109400066975173826, 109399898155577357, 107909616669852316, 109299860752005842, 109314129400777582, 109398678482657792, 109249714226725313, 109396123538162696, 109267760245237525, 109316247328502095, 109384465264921383, 109209573031106828, 109301532605911349, 109335499201461917, 109245478319943818, 109283904860590347, 109264204843133196, 109387115290959817, 109257023279228366, 108449440111950170, 109388996238622630, 109370554247994915, 109388523312073888, 109330624522147299]	Philosophers and Philosophy Teachers
