CarlisleRainey	sciences.social	[517450, 108197574360960988, 1302832, 109930984016325938, 109325268431513004, 229856, 109501287518312231, 109246960082801304, 109258725680441107, 109354941450990518, 107192220324249637, 109244426587899179, 109259960879305242, 109512890118213607, 7462, 109355114773234029, 109258568280787097, 108238248582469975, 109521132107212918, 109520790808461038, 109324985289833907, 109253170726430981, 109214618317337869, 109258663471604134, 109259807472089978, 489628, 109501188249816806, 109257140465283903, 109357671122335449, 109243388372609150, 109240867858535299, 109246822754893722, 109253006605560074, 109259005140460288, 109356093024913413, 109326549894118842, 109258950822786346, 109325783072531114, 109253123235743333, 109287473404984240, 109236932607257137, 109246074400028847, 109253496475348680, 109257917109551497, 109280715316295106, 109257816647054745, 109259018291542809, 109323255334677613, 510714, 109259818587559733, 109258503666529775, 108194660440392188, 109259369718299225, 109322458851383484, 109258697260665465, 109257038659332983, 109236847288987039, 109243589886841502, 109243635592905873, 109365588539003343, 154181, 109259756469400211, 108286719626990337, 109353295691561782, 109326655279476643, 109259877657580880, 109245513936356341, 109255874741253613, 109308337530120878, 109258180872218201, 109374445722711192, 109258203779753232, 108143820858606330, 109258713442012497, 108198747876507671, 109251492179459364, 108199209267286153, 109259547225712172, 109251432986671944]	Political Scientists
pedrobarbabela	mastodon.world	[108197574360960988, 1302832, 109354941450990518, 107192220324249637, 109512890118213607, 109355114773234029, 109258568280787097, 109324985289833907, 109243388372609150, 489628, 109257816647054745, 109501188249816806]	Political Scientists
Jurgen	mastodon.world	[108197574360960988, 1302832, 110099614763453657, 110116811883427078, 110002500700527208, 109930984016325938, 109354941450990518, 107192220324249637, 109324985289833907, 109512890118213607, 559242, 109355114773234029, 109258568280787097, 109253170726430981, 311896, 489628, 109356093024913413, 109501188249816806, 109280715316295106, 109448089836304316, 109249658402510624, 2500, 109258334228557590, 109245974419057881, 109257038659332983, 109353295691561782, 108219153777910954, 109357671122335449, 109243388372609150, 109247179587242124, 109251827142964076, 109326549894118842, 109248046146781381, 109319492708080588, 108197092546215626, 1039881, 109242134864684061, 109246822754893722]	Political Scientists
michaelrubin	sciences.social	[1302832, 109307283870503455, 109501287518312231, 109354941450990518, 107192220324249637, 109541382756383410, 109512890118213607, 109258325309513452, 109355114773234029, 109258568280787097, 109520874014687592, 109257038659332983, 489628, 109501188249816806, 2500, 109258334228557590, 109251537213359110, 109365588539003343, 109289732162285804, 109303547133038555, 109259960879305242, 109387679530863124, 109326453014450111, 109378264702032791, 109257968246457114, 109374445722711192, 109251208068530425, 109247775481263315, 109242104635490763, 109294351078803102, 109257656628119537, 109236932607257137, 266675, 109258697260665465]	Political Scientists
ced3rico	econtwitter.net	[110242098856483494, 108197574360960988, 1302832, 109880373948317190, 109354941450990518, 107192220324249637, 109512890118213607, 109253307206912282, 109247403173159203, 109248956105341562, 109258568280787097, 109246103503611303, 109506732919720845, 489628, 109501188249816806, 109497558938320231, 2500, 109258334228557590, 109251537213359110, 109244629292457346, 291802, 109361177702060591, 109309058631349679, 109360595944479126, 109246074400028847, 109257140465283903, 108147087055662876, 109260528765625139, 109361383863774837, 109257424478141850, 109240270660115590, 109253654307358400]	Political Scientists
lucian_ashworth	sciences.social	[1302832, 109354941450990518, 107192220324249637, 109389596869920704, 109512890118213607, 109258568280787097, 109520874014687592, 108181578127428938, 109372839488919121, 489628, 109257950543909913, 109501188249816806, 109243388372609150, 2500, 109258334228557590, 109251537213359110, 109240743369635389, 108240681824852698, 109247452603588390, 109355057916391618, 109253496475348680, 109245318521378527, 109253585023612914, 109259478728643882, 107025067733417666, 109253953007686939, 109114452186768478, 109305004004187777, 109287330361446532]	Political Scientists
akblum	mstdn.social	[1302832, 109930984016325938, 109246960082801304, 109354941450990518, 107192220324249637, 109547925315270789, 109512890118213607, 109258568280787097, 109324985289833907, 311896, 109258663471604134, 489628, 109501188249816806, 109243388372609150, 109287473404984240, 2500, 109258334228557590, 109251537213359110, 108195930545266052, 109259005140460288, 109258790469333671, 109356093024913413, 109280715316295106, 109253341239429349, 109306232922045499, 109255874741253613, 109257038659332983, 109214618317337869, 108140462489609682, 109259877657580880, 109326549894118842, 109248877176691433, 109249658402510624, 109353295691561782, 109257140465283903, 109246822754893722, 109257424478141850, 109394740405660974, 108196909860085743, 109259018291542809, 108199209267286153, 109259547225712172, 109363870732808103, 109243635592905873, 109259263930506189, 108286719626990337, 109264555419910620, 109326655279476643, 109311181508315289, 109258503666529775, 109323255334677613, 109236932607257137, 109259756469400211, 109257715883151886, 109325783072531114, 109259818587559733, 109247775481263315, 109258076652781924, 109251492179459364, 109240867858535299, 109258697260665465, 109258713442012497, 109259369718299225, 109236614680696547, 109258203779753232, 109251432986671944, 109374445722711192]	Political Scientists
demcintosh	universeodon.com	[108197574360960988, 1302832, 109930984016325938, 109354941450990518, 107192220324249637, 109512890118213607, 109258568280787097, 109520874014687592, 109324985289833907, 311896, 489628, 109501188249816806, 109287473404984240, 2500, 109258334228557590, 108233084207704793, 109251537213359110, 109356093024913413, 109280715316295106, 109245524418706192, 109257038659332983, 109249658402510624, 109259547225712172, 109259369718299225, 109243388372609150, 109253170726430981, 109326549894118842, 109246822754893722, 108286719626990337, 109258203779753232, 109240867858535299, 109259877657580880, 109248587194780462, 109258713442012497, 108199209267286153, 109245571512940777, 109243355530577649, 109355450533836910]	Political Scientists
KaiMThaler	sciences.social	[109261577414253733, 1302832, 109930984016325938, 109246123088278861, 109790444639933581, 109307283870503455, 109509106258771046, 109389596869920704, 109510878094725998, 109354941450990518, 107192220324249637, 109541382756383410, 109372839488919121, 109257038659332983, 109512890118213607, 109259748049362520, 109288192127526124, 109258568280787097, 109305933065559289, 109259187049773740, 109520681465199867, 108198190383120808, 109506732919720845, 109514249597328846, 108240181602727391, 489628, 109501188249816806, 109243388372609150, 2500, 109258334228557590, 109251537213359110, 109263857911088961, 109362792108694380, 109236932607257137, 109247775481263315, 266675, 109245513936356341, 109258325309513452, 109246787093437914, 109363870732808103, 109251492179459364, 109374445722711192, 109258697260665465, 109378264702032791]	Political Scientists
YaelZeira	mastodon.social	[110298565370478343, 109346748972408191, 110185059021947865, 1302832, 110103269821267387, 109658530367094001, 109320560789770568, 110127133893452409, 110036192390851342, 109879085266310171, 109300023291041161, 109294614937878078, 109930984016325938, 109306757939022074, 109893312198708120, 109886630118386804, 109790444639933581, 109354102053654643, 109863399065021397, 109727883339218958, 109841489888458661, 109796950352621577, 109363921972074927, 109554008057681856, 109734506473674772, 892108, 109710011318186524, 109302931616695808, 109479450121092869, 109315883272526643, 109509106258771046, 109649069529771644, 109525334179044272, 109311737347967579, 109273659333945010, 109633467281776376, 109353590847488589, 109595738315605102, 267944, 109445493974514639, 109291550656633604, 108239679986462642, 109296800548773822, 109473975630106436, 109354941450990518, 109579723070429748, 109579569305789047, 107192220324249637, 109566429540296349, 109560533807784134, 109297721989370754, 109548975892505007, 109360186897108218, 109547984187027845, 109262388605035224, 109246716581196966, 109539415615216160, 109536705496769498, 109365837142521115, 109366638351966432, 109512890118213607, 109502851653484160, 109537095790005507, 109304452516662118, 109303651170749296, 109311167831595866, 109306407314598373, 109538276576106053, 109538255019338999, 109523589690209281, 109521151825097132, 109418550808887631, 109252627128391894, 109369941339706271, 109261276383970214, 109367325250415230, 109526796046755373, 109286358919610438, 109346603462549383, 108205947297670969, 109326089248813292, 109314901614489581, 109363932112704766, 109258568280787097, 109521588152165188, 109316517682361936, 109242898655084411, 109518869199771653, 109365074757472399, 109510937047840207, 109511317975306184, 109383983943144090, 109394395402947754, 489628, 109363418827971183, 109502830691356535, 109350538864207318, 109501199581089749, 109380902381218936, 109501188249816806, 109498208389512425, 108280959531290778, 109497558938320231, 109360741863961964, 109391959264080872, 109491059344221371, 109368913769833102, 109383919051798699, 109472354867549202, 109461423838993694, 109305236653638420, 109281680076104990, 109461719079794389, 109329480727352518, 2500, 109258334228557590, 109331684542364870, 109421678219273788, 109379448015813937, 109443620989192901, 109451250261298252, 109251537213359110, 109276044403495460, 109297585338713808, 109374422874301465, 109377536289047409, 109291841081552107, 109362183192060261, 109356947956136573, 109270347070342951, 109323259861170641, 109387058588338069, 109383659774395990, 109259509639073535, 109259960879305242, 109273616027546613, 109363968619715875, 109287358092645543, 109291183580464861, 109344617052485895, 109288230578099729, 109270754812684249, 109399101602325483, 109343420387591359, 109285286043964654, 109303058763951609, 109410449689173437, 109308337530120878, 109285494847988432, 109365648910330810, 109351367917240318, 109247775481263315, 109354661795778302, 109296212916576183, 109362973696976162, 109326868926344996, 109294527821014240, 109260948717859848, 109291640422129081, 109286560411730610, 109307830361692317, 109303328844325024, 109331567638576002, 109292581808537716, 109306042885148040, 109242104635490763, 109270549714826672, 109377080062650048, 109297081301029892, 109322867214746123, 266675, 109264131291508116, 109418630175197616, 108240181602727391, 109316012045477033, 109303169303013866, 109246787093437914, 109323489404459697, 109387679530863124, 109374445722711192, 109327098827336603, 109304418871716120, 109299265718704106, 109294464315736819, 109378212260295896, 109331888809653013, 109303786209010034, 109364641573924703, 109339193327900632, 109259189935040611, 109372633700801780, 109365515749519442, 109310968336007068, 109367658247274616, 109303052738545989, 109361982503473365, 109366836180955141, 109365596662844589, 109258697260665465, 109302754918068129]	Political Scientists
