kaitclark	mastodon.social	[110298565370478343, 109434586087405448, 110274740297690554, 110272765807497344, 110248676676116141, 110039882513807473, 109825677523206359, 109337508579277428, 110201970864219016, 110200582739594758, 110196275139649330, 110192806554177013, 109282008063495952, 110188569422671073, 109393316527564277, 110180594779363456, 109245792245962039, 107192220324249637, 109848565082632555, 109337931247341481, 110175381574924396, 110156474743664338, 110159453323525751, 108096914931537631, 108859097443590495, 110140149337938315, 468854, 110139923469663427, 110130965284165811, 110109178042105615, 109960399601195554, 108092997537038917, 110100786574761439, 110051830951015017, 110050772058725656, 110017867181246565, 109994605463087097, 109425232857218577, 109996067009660857, 109987619478934083, 109964601639376743, 109982908539283035, 109300023291041161, 107073643636987210, 108692129895078598, 109950141631999518, 109389400876103308, 109306757939022074, 109903351780516045, 109899012354623527, 109841586746961353, 109895999317663441, 109842856124169115, 109891443280522423, 109865025092396275, 109511036022632341, 109252119150079742, 109840329027832108, 109852760857640702, 109240045332800603, 109727883339218958, 109846311104132758, 109834555523990380, 109802890262460757, 109832039298055168, 108296538789124852, 109681497861291490, 109620849786040435, 109811379646482452, 109811190752429606, 109802869817254830, 109367157413943295, 109801575055795445, 109796275397070485, 109286086384148384, 109523954924174755, 109405628286594829, 109746753925678194, 109746355358125670, 109554008057681856, 137881, 109291562723174501, 108131420726034757, 109279346218275170, 109247459279095464, 109306861802942969, 109734506473674772, 109349299179377137, 109313622007982794, 109333200559374497, 109718387723983486, 109715860742209723, 109507131739410804, 109717167664257975, 109584761926195586, 109715453634806665, 107840808588585528, 109715026326844502, 109699197353191464, 109696030727022350, 109616547360079430, 109676728083966267, 109439720555654227, 109313059382848355, 109350685632893865, 109656499306682845, 109376869870947292, 109381448981540503, 109614626666370880, 109374876469344201, 109297483614793269, 72915, 109636116620191080, 108194848373928426, 109636160221034034, 109635436061906409, 109547234333776097, 109631077949461091, 109347008011790860, 109291823167123519, 109630373716460471, 109360432546306059, 109366638351966432, 109611249148054219, 15626, 109350276512342152, 108109313415044733, 109608212638888815, 109563682061678457, 109603254860572278, 109599580905833183, 109602969843305248, 511686, 109541352287506557, 109569188214074936, 109377608444105209, 108204364297819536, 107493069829744067, 1208162, 109500667661266664, 109561044354484216, 109580633685139762, 109580776071144218, 109367185102254549, 109579569305789047, 109291920281393820, 109576002547741553, 109570866151598974, 109291822522459976, 109568028180658191, 109363447166624491, 109562664974425735, 109552991704842704, 109559197395652787, 109418090569365313, 109247242786817103, 109373600166758010, 109518911446134873, 109245841657140692, 109298709004783366, 109551070326863532, 109370570612983541, 109547306565107679, 109523565245568943, 109492800746378242, 109546729884810912, 109545642860834962, 1035733, 109540576298412747, 109522854501593596, 109544773332552259, 109320069018039214, 109366063966019479, 109501165636024654, 109508786115599779, 109537100950860033, 109309052671063677, 109274254095841883, 109429014108242753, 109414218918059944, 109541507952603237, 109540917758070240, 109541068502288746, 109498628293220890, 109540563694712998, 109450523239240964, 109537095790005507, 108198794480029108, 109539854206336781, 109539687756735177, 109376438695634429, 109263902532744761, 109336212608799285, 109305755135064577, 109537118145930123, 109248081809995240, 109475075708310391, 109536987936788769, 109536889262293331, 109536815408173240]	Psychology
adanvers	nerdculture.de	[110282800393471665, 109253075745809751, 109355102544449881, 110275400297321322, 110022648012123233, 110188569422671073, 110111958056697630, 109492049991696800, 110063375596765353, 108086782372704587, 1099389, 109854279796893712, 109982908539283035, 109885392474961234, 109297500981599578, 254465, 109515544721257247, 109244324741581256, 109247546055461252, 109507131739410804, 109243572799266690, 109520956263536026, 38881, 109247085172314108, 109354368521171141, 109353871744161531, 109285975223522111, 109248139002764218, 109259485442948421, 109245841657140692, 109360095680531584, 109511606284562441, 109377941468196529, 109253354349114106, 109326453014450111, 109245835706238324, 109223848918067806, 373438, 108199005031226769, 109344929926223185, 311896, 109248945403729531, 109501763807893079, 109501188249816806, 109498515217753548, 109247595520532416, 109258618179672597, 109303643948405269, 109356656202357118, 510714, 109249658402510624, 267944, 108198853497517029, 109248241552104003, 109245824485515075, 37814, 559242, 109281064604601569, 109259278083054896, 108198525584455140, 42163, 109310238010975029, 596933, 109247589721310832, 108176559827658279, 109353792231637650, 108449440111950170, 531544, 109246202582264591, 404393, 109298027848060408, 108193778939547556, 109247772382140748, 109299816797016235, 109249654182455567, 109308904386632305, 109358460754282404, 109240495129582918, 109246298896374050, 109259216996268612, 109252496278310308, 109245927055418203, 109246186541823526, 109246431113804824, 109264885494444201, 109246459043892380, 109252166303957311, 945810, 109246632288844654, 109249252317987436, 109258225646662568, 109247219736728009, 462985, 7524, 108260732372151497, 109258916618280284, 109289078771878457, 109246365417627405, 109254711371052067, 109259492437116563, 240401, 109244426587899179, 109244081326433869, 109248320320276845, 109246203830224088, 1037722, 109257122448549420, 109247242786817103, 109257957418165533, 109252718171391012, 109251491010550075, 109226011749982541, 109244001554992764, 109248022493147843, 109247185181465456, 109250172609506215, 109251886904079015, 109258365870305449, 109238685078021005, 109245979872804131]	Psychology
rdhawkins	mastodon.social	[109383632866952572, 109248296849602898, 109293595459317355]	Psychology
fparente	mstdn.science	[110275400297321322, 110188569422671073, 109982908539283035, 109507131739410804, 109344929926223185, 109501188249816806, 109498515217753548, 109247595520532416, 108176559827658279, 108449440111950170, 531544, 109246202582264591, 109358460754282404, 109246298896374050, 109246459043892380, 109257743235227749, 109310238010975029, 109252166303957311, 109247219736728009, 1076441, 109248320320276845, 109252987244564814, 109258733090629381, 109252975695909094, 109249252317987436, 109244426587899179, 109246632288844654, 108369498063051845, 109258225646662568, 109247217005508525, 109268717706305461, 462985, 109259492437116563, 240401, 109243902422545443, 109244081326433869, 109246203830224088, 109247242786817103, 508947, 109245550009131137]	Psychology
KBhealthmovements	activism.openworlds.info	[110275400297321322, 110188569422671073, 110180594779363456, 108282607750436432, 109982908539283035, 108296538789124852, 109306861802942969, 109507131739410804, 109245841657140692, 109344929926223185, 108369498063051845, 109501188249816806, 109498515217753548, 109247595520532416, 108176559827658279, 108449440111950170, 531544, 108197417075084268, 109358460754282404, 109246298896374050, 109246203830224088, 1002786, 109254292602320137, 109246459043892380, 109257743235227749, 109252166303957311, 109249252317987436, 559242, 109246632288844654, 109258225646662568, 109247219736728009, 462985, 109259492437116563, 240401, 109244081326433869]	Psychology
debruine	tech.lgbt	[109256696113250977, 110276096075373292, 110275400297321322, 109244704927102872, 110219939909399999, 108298930795617807, 110196275139649330, 110188569422671073, 110185612151138033, 110180594779363456, 110141247593703490, 110106828007675127, 110119028080135135, 110002035540690684, 109256730936196812, 110050772058725656, 109982908539283035, 109965064665444982, 1199695, 507526, 109899012354623527, 109893343400557013, 109859190022300039, 109217753159837412, 109841586746961353, 478928, 109840329027832108, 109258047246807872, 109246172243689812, 109405628286594829, 195323, 109246598810001164, 108131420726034757, 109507131739410804, 107840808588585528, 109259278083054896, 109495590629310777, 109244992557480653, 109246717297218004, 109259965631383032, 109208631257697311, 584372, 558547, 109354368521171141, 109251844149184929, 109246367420895393, 109500667661266664, 463757, 109511036022632341, 109245841657140692, 28210, 109244609903554566, 109248741161249010, 109513546095078614, 109246683781391886, 109253279531058930, 109525603753816903, 109252310717432409, 109344929926223185, 109521181496199139, 109515544721257247, 109256304475599925, 109243619078174939, 40435, 109521109119743162, 394515, 109520854362233597, 109356227146858598, 109511999510424753, 109508657930761325, 109508398138584214, 109304934248293023, 109507760362989414, 109358620258167904, 109214617784111522, 109503029695143777, 109502920591100377, 109502577272251184, 109501188249816806, 109498515217753548, 109252496278310308, 12171, 109385941737291213, 109251453944116762, 109256437390494166, 109241992397126854, 108194307694818557, 109245531519879403, 109258625847441460, 109377941468196529, 109365716339734102, 109249014792189110, 131198, 108194042486874334, 108176559827658279, 109242511732728472, 109370157627942862, 108449440111950170, 531544, 15238, 109387470526069308, 109387629514287045, 109240273071387835, 109354243114491588, 590613, 270477, 109246683928303911, 156899, 109259772431535046, 109361968599120387, 294849, 109361396895431140, 109362177870556347, 109259220158333905, 109259290649865464, 109252880783720451, 109360995830823779, 109358460754282404, 108194363543185150, 109355972664560938, 109207984213832322, 109355314588398427, 109353213114686973, 109249633491878113, 109323576714020372, 109348898724631723, 109245133386119610, 108236707517081998, 109343636993806037, 108195046425770204, 109246172157188540, 109252919423301263, 109240863816811248, 108240181602727391, 109249654182455567, 109258580737617925, 109252244038959490, 109244567434522230, 108220442991049032, 109257140465283903, 109245571512940777, 109248642365793707, 109249429569738316, 109256384774535457, 109248756401581240, 109256715075710804, 109245944500576171, 109245970928678805, 109252213608989643, 27421, 109322080955260878, 109250127189342915, 109252710530844493, 109246459043892380, 109248081809995240, 109214754963401550, 848514, 1069483, 109247989832544996, 109298036583530755, 109245271034777847, 29349, 109247459279095464, 109246298896374050, 109252166303957311, 109259394851576600, 109245242911568486, 109246656407129669, 109248346291207820, 109243475470058660, 108193070560795546, 109249252317987436, 463511, 45600, 109244081326433869, 109258225646662568, 109258190781626272, 109257331579612121, 964195, 268937, 109247219736728009, 109243863545065891, 109251563298098846, 109257143813191096, 109251125365965959, 108198918715093132, 109248319863474028, 109245457461287091, 109247561800167205, 171153, 15626, 109247595520532416, 109247781355605091, 109245332140165053, 109250730900888410, 109259046480446043, 109250498351931248, 109252294337269013, 109252614982770138, 109247286189883850]	Psychology
sharoz	scicomm.xyz	[110269536511937910, 109258408905282925, 110234441831324893, 110188569422671073, 109833806992250531, 110180594779363456, 110094152148735010, 110100786574761439, 110070213029889117, 110062088770370617, 109246018813512788, 109259415361168739, 110050772058725656, 109983777732936904, 109243735517963011, 109991783417121403, 110020339389936598, 109982908539283035, 109903814871802264, 109840329027832108, 109243927539707152, 109242504355791153, 109405628286594829, 108131420726034757, 109247459279095464, 109257122448549420, 109507131739410804, 107840808588585528, 109252749919539443, 109259278083054896, 109501287518312231, 72915, 109245841657140692, 109246554904857531, 109257926525173369, 109247590420463182, 232912, 109508846858665050, 109206850229544669, 109246683781391886, 109344929926223185, 109252235052978846, 109501629903234822, 109246748974171362, 109501188249816806, 109498515217753548, 109247595520532416, 109252880783720451, 109245960923434562, 156899, 270595, 109377941468196529, 109245531519879403, 108219153777910954, 131198, 109237962574971017, 109246764289793450, 251479, 109256061375621090, 109399675152989746, 108176559827658279, 109245578443704177, 109259927125464714, 109241992397126854, 108449440111950170, 109246202582264591, 109250498351931248, 531544, 109249633491878113, 109298317305424421, 1121198, 109244462505589321, 109257102395976315, 94970, 275056, 109362234765061755, 108194660440392188, 34236, 109358460754282404, 109311327831842654, 590613, 109353699067603063, 109253078492649795, 109244822725965644, 109343636993806037, 109245630864091812, 108369498063051845, 109212570141044413, 109246298896374050, 17416, 109246459043892380, 109253325722616883, 109298036583530755, 109257962575422242, 108761111258879300, 109257743235227749, 109252166303957311, 109248219490492095, 36536, 109259978285525993, 109236812669565210, 109246648872851415, 109249252317987436, 463511, 109248671966010521, 108239837687022072, 109279163038286946, 109244081326433869, 109258225646662568, 384347, 109243529351590013, 109247219736728009, 44761, 109246774056515530, 109246632288844654, 109253779357801336, 109249506960808151, 109247772382140748, 109246715934099707, 139880, 109247770968971736, 108244481090994353, 109257476876744227, 109245060982872731, 108197854833593570, 108133266699171453, 109259492437116563, 109245824485515075, 240401, 28646, 108198747876507671, 109246004333443292, 109256029036102950, 430460, 108697497280238585, 27421, 109244539138620290, 98677, 109243902422545443, 109259109681360021, 109246145797134951, 109286013792299741, 462985, 109245850035316253, 109245423746698811, 109253342904870161, 109258725653195017, 108088748076350237, 109252718171391012, 109250392838806712, 42387, 108193818365976978, 109258869103601012, 109254006478838377, 109253194715747884, 13867, 109247217005508525, 109258733090629381, 8147, 109246203830224088, 109245585202998132, 109256535372745343, 109248253421012376, 109256376987802035, 109259338536893530, 109247185181465456, 109258503666529775, 109248139002764218, 109248241552104003, 109246267234176623, 109248206089845455, 109258625847441460, 109250875383964242, 109248320320276845, 109247820766440512, 7462, 109247928625335719, 109258069199331437, 108001042024520302, 109246890020731879, 30442, 253014, 109245007084969978, 109258916618280284, 109250248779502232, 108131604772356656, 109247019091365420, 109255933320868343, 508947, 109246976571082957, 109245548542709917, 109258093243027503, 108240129342347705, 109240156420435603, 486441, 109246420257476924, 109258018676849983, 109245979872804131, 109207984213832322, 109238685078021005]	Psychology
erinomarakunz	fediscience.org	[110275400297321322, 110196803244370844, 110188569422671073, 110180594779363456, 109982908539283035, 109306861802942969, 109507131739410804, 109245841657140692, 109508391569981588, 15688, 109520104796927683, 906047, 109216420265250423, 109344929926223185, 109259461805091902, 109515544721257247, 109214617784111522, 109503029695143777, 109501188249816806, 109498515217753548, 109259724178446040, 109247595520532416, 109258863561229510, 109245824485515075, 108176559827658279, 108449440111950170, 531544, 427668, 109249374665225136, 109257934119070850, 109362312084093602, 109251432986671944, 109259978285525993, 109358460754282404, 109356133203302920, 109253354349114106, 109246298896374050, 109252235650656795, 7580, 1002786, 109246459043892380, 109257743235227749, 109252166303957311, 109249252317987436, 109244081326433869, 109258225646662568, 109247219736728009, 108369498063051845, 462985, 109288720283514931, 109259546883024857, 109259492437116563, 109255071047969458, 240401, 109244426587899179, 109253119907629723, 109252083220218143, 109257642984347249, 109245961326640035, 109246632288844654, 109252872287617539, 109258778104003397, 627441, 108193397826186777, 109238692240298392, 109246838780897918, 109252739117200760, 108697497280238585, 109246802119228592, 834115, 109244912255109401, 109253788960268740, 109259980903658609, 108192501178531252, 109254495547708176, 109250766515794611, 109257658377583873, 452352, 109259840053445510, 109259900990396797, 109248248921197592, 109259290649865464, 109250875383964242, 109247185181465456, 109248734198675195, 109257912901871492, 109258290907292459, 109243572799266690, 109252032692951529, 109246890020731879, 109252229648540664, 109245452013550611, 109251886904079015, 109243987728326828, 109246203830224088, 109245183842309470, 109253009240938278, 109251454271845055, 109247772382140748, 109245835706238324, 109245979872804131, 109247871396507232, 109245981843893237, 108193906594084268, 109246170992686723, 109247004457335002, 109245350783600258]	Psychology
ttpphd	mastodon.social	[]	Psychology
srossit	mastodon.social	[110298565370478343, 109434586087405448, 110275400297321322, 110274740297690554, 110039882513807473, 110205140786548661, 110188569422671073, 110180594779363456, 108859097443590495, 110130965284165811, 109368194746156778, 110109178042105615, 109365098056685373, 110100786574761439, 110017867181246565, 109998726727199586, 109987619478934083, 109982908539283035, 109300023291041161, 107073643636987210, 109950141631999518, 109357579186017043, 109388803779719211, 109258408905282925, 109252140799869547, 109306757939022074, 109891443280522423, 109246925364803003, 109852760857640702, 109727883339218958, 109841586746961353, 109620849786040435, 109806427757396700, 109802869817254830, 109796275397070485, 109320253830738906, 108197144446416483, 109274162642689285, 109347658601012062, 109746355358125670, 109306861802942969, 109734506473674772, 109718387723983486, 109715860742209723, 109507131739410804, 109696030727022350, 109659964908135014, 109656499306682845, 109367185102254549, 109273659333945010, 109630454380074836, 109291823167123519, 109627575469235563, 109496757341030201, 109608212638888815, 511686, 109516392091054985, 109580633685139762, 109579569305789047, 109573918020051648, 109293062900461418, 109570866151598974, 109568028180658191, 109562664974425735, 109520146042800733, 109418090569365313, 109484555646246795, 109245841657140692, 109523565245568943, 109545967108336363, 109326647875886414, 109544760429867240, 109539854206336781, 109539708857308954, 109252828013475620, 109537651943284793, 109268999801924676, 109537169544192400, 109537118145930123, 109536889262293331, 109498128153577690, 109315363784888564, 109319873234559418, 109286358919610438, 109490443711550588, 109383782100132942, 109526829536275040, 109526571438355486, 109293289718159977, 109268328241505575, 109344929926223185, 109522252308172322, 109520851608874503, 109523761179024910, 109285512113986253, 109523089695003829, 109413479481223570, 109522178898026532, 109323478154989138, 109519584192094572, 109500655301261135, 53443, 109511540298228746, 109508649522679248, 109344045797021405, 109507715511519614, 109505299381309631, 109507569943487436, 109507037500048939, 109482797020027127, 109503547696228534, 109334807912838443, 109498628293220890, 109501231484969023, 109501188249816806, 109499179422221053, 109498515217753548, 109248110210216416, 109496417668973093, 109299396979821533, 109287306617647596, 109295872875173874, 109246169537795672, 109472415211531324, 109267723838722657, 109274436529451176, 109326738115504713, 480781, 109375388652575302, 109436858909367467, 109427587779035503, 109435158436196121, 109432841945868439, 109402919818181550, 109328046735867212, 109427389426220562, 109425990102445923, 109294367695566532, 109423646356430029, 109355924810865371, 109422309589988597, 109418422033491321, 109370616604109273, 109417647296180919, 1349107, 109318137678425414, 109411932727881074, 109395545364396338, 109405533405030647, 109365245361989741, 109371982266116304, 109400708901330881, 109394518820184472, 109367858418030573, 109399224791535595, 109258423972158505, 7171, 109394395402947754, 109348543364033833, 109397890680135937, 109274495679911358, 109263054648932423, 109320069018039214, 108176559827658279, 109269485020154125, 109283904860590347, 109296724333714132, 109364639781979205, 109383248659759588, 109392116265693313, 109390813514479289, 109390133898208853, 109389238066878267, 108449440111950170, 109388572243098212, 531544, 109371591880022321, 109387287658543773, 109279438306350247, 109264144504126082, 109386448730698226, 109384939188605118, 109359905504632528, 109384090022219111, 109368538735264447, 109377536289047409, 109383904162704136, 109383494370764668, 109383482838301151, 109383341259970095, 109382860428695937, 109382972074134615, 109305670778274999, 109310478455584942, 109302779140454840, 109381736295495071, 109321740080970674, 109352705878321114, 109248056992305241, 109260899411629275]	Psychology
