howlettm	mastodon.social	[110298565370478343, 110293477871969985, 110068921406778348, 109346748972408191, 110231109976274880, 110173335703448754, 109848565082632555, 109364475803356927, 1302832, 109290699994436364, 109658530367094001, 110129348114203092, 109377213778140195, 109309954663452410, 109300023291041161, 109376119804856292, 249219, 109306757939022074, 109886630118386804, 109868402655994547, 109863399065021397, 109727883339218958, 109841489888458661, 109824850164971498, 109818973722314057, 1133857, 109272553849437051, 109363921972074927, 109754470722708398, 109554008057681856, 109734506473674772, 109394562635055849, 109710650614909593, 109710011318186524, 108232022161908124, 109690583746082936, 109302931616695808, 109479450121092869, 109326676343262330, 109643126512213563, 109273659333945010, 109633467281776376, 109622290758419458, 109540337426429504, 109339822789625924, 109600565098282268, 109288544594101875, 109398031784763945, 109593305602952604, 109589601201741766, 109354941450990518, 109474153393027371, 109580084902313186, 109579723070429748, 109579569305789047, 107192220324249637, 109566429540296349, 109297721989370754, 109326216215279618, 109249611439768303, 109548975892505007, 109547984187027845, 109262388605035224, 109539415615216160, 109545967108336363, 109366638351966432, 109512890118213607, 109502851653484160, 109271625412664134, 109366357094612319, 109537095790005507, 109304452516662118, 109418550808887631, 109528527527610952, 109535055857123970, 109309051492254092, 109524635892821256, 109286358919610438, 109244586844973947, 109368947904428358, 108205947297670969, 109264234958212568, 109258568280787097, 109300735013260013, 109521867010122286, 109316517682361936, 109302069920136382, 109360656335970952, 109511317975306184, 109313466435558204, 109508163786400704, 109383983943144090, 109242875206644932, 489628, 109363418827971183, 109503547696228534, 109501188249816806, 109302097716862771, 109369323722576193, 109484681021170156, 108280959531290778, 109255474931721237, 109472354867549202, 109257521797937780, 107909616669852316, 109281680076104990, 109258334228557590, 109331684542364870, 109421678219273788, 109456658787810385, 109379448015813937, 109416799413836613, 109259880587576070, 109443620989192901, 109341883198865973, 109445821774444243, 109333988784575487, 109298241843845417, 109397847191391365, 109265323381645849, 109292745493586312, 109259977671401889, 109259471492184696, 109437356727199159, 109435481626826500, 109435158436196121, 109252987244564814, 109275811772742159, 109422466151578736, 109432498235838072, 109300244143843437, 109429706935573662, 109343160417806356, 109381976442370949, 109425477918151903, 109303396394250212, 109347634135857879, 109425990102445923, 109421417218036877, 109423988929000916, 109423398812486030, 109423341385006542, 109369766994062360, 109221355840788554, 109253393796182319, 109247812990220895, 109374350503186173, 109377046549933696, 109418422033491321, 108219153777910954, 109244618707098765, 109250560463783825, 109364561039573089, 109365771992084930, 109311511728831936, 109412907851434015, 109381891458758235, 109406530420267654, 109410967133097444, 109294964899133606, 109407135698216739, 109380007341366899, 109406551919593378, 109375540754407154, 109395893026722651, 109258780264062465, 109404024048637765, 109363903001902717, 109307412904675255, 109364742715424331, 109258863561229510, 371942, 109320615582819501, 109390330551565240, 109362356552808356, 109246926133189729, 109327529843279248, 109400708901330881, 109399891906981484, 109393883638599069, 109335410506584324, 109399680501347804, 109394395402947754, 107275840815494413, 109342663334332598, 109395229251494935, 109393374041761843, 109394294362927034, 109362615518467864, 109354525297499821, 109393405192247141, 283553, 109366165882115484, 109377975601345969, 109283904860590347, 109259369718299225, 109390634339597647, 109361957651581784, 109367216567210914, 108197938909482044]	Public Policy
amwellstead	mastodon.social	[110298565370478343, 110284256838102170, 517450, 109346748972408191, 110244305458437959, 109848565082632555, 1302832, 109658530367094001, 110129348114203092, 110070803284871424, 109376119804856292, 109926534067620785, 109915572441536486, 109306757939022074, 109886630118386804, 109300023291041161, 109863399065021397, 109727883339218958, 109841489888458661, 109837356999067326, 109824850164971498, 109294973775122852, 109363921972074927, 109754470722708398, 109554008057681856, 109546554371432688, 109734506473674772, 109394562635055849, 109710650614909593, 109710011318186524, 109690583746082936, 109302931616695808, 109479450121092869, 109647686942944699, 109644672684101848, 109273659333945010, 109633467281776376, 109622290758419458, 109600565098282268, 109587384977597149, 109354941450990518, 109580084902313186, 109579723070429748, 109579569305789047, 107192220324249637, 109250650546689967, 109566429540296349, 109297721989370754, 109548975892505007, 109305444772603355, 109547984187027845, 109262388605035224, 109539415615216160, 109366638351966432, 109512890118213607, 109502851653484160, 109537095790005507, 109304452516662118, 109418550808887631, 109536750674815365, 109118102957750817, 109469021458502852, 109378583599538893, 109316408836173783, 109531450691429187, 109286358919610438, 108205947297670969, 109528527527610952, 109526860819614990, 109292018376112278, 109525841642572227, 109525621129903925, 109258568280787097, 109524096157850705, 109523936879835973, 109308989242253853, 109379500725670827, 109316517682361936, 109511317975306184, 109383983943144090, 109242875206644932, 489628, 109363418827971183, 108206398760969277, 109503547696228534, 109492375619806043, 109257950543909913, 109501188249816806, 108280959531290778, 109260191976400729, 109472354867549202, 109257521797937780, 108139129371747359, 109281680076104990, 2500, 109258334228557590, 109331684542364870, 109421678219273788, 109379448015813937, 109443620989192901, 270139, 109286004054825442, 109397847191391365, 109387433524656408, 109440926465699330, 109395893026722651, 109435158436196121, 109432498235838072, 109429706935573662, 109243388372609150, 109381976442370949, 109425477918151903, 109428569199990867, 109425990102445923, 109423988929000916, 109418422033491321, 108219153777910954, 109300801044677167, 109372765073453101, 109364561039573089, 154181, 109412907851434015, 109406530420267654, 109368237361680553, 109407135698216739, 109312577409460691, 109406551919593378, 109404024048637765, 109363903001902717, 109364742715424331, 109390330551565240, 109355057916391618, 109362356552808356, 109245596652247853, 109400708901330881, 109399891906981484, 109393883638599069, 109377231453186081, 109394395402947754, 109369234427384171, 107275840815494413, 109396511256314524, 109395287735554267, 109393374041761843, 108286719626990337, 109365534224882073, 109362615518467864, 109354525297499821, 109377975601345969, 109283904860590347, 109390634339597647, 109361957651581784, 109367216567210914, 108197938909482044, 109254024386699985, 108449440111950170, 109365810816799269, 109377185261534151, 109387984489563213, 109318357953684726, 531544, 109292600013314214, 109360186897108218, 109337115758382806, 109386664926275695, 109250272471055276, 484743, 109380902381218936, 109382936753529580, 109381883478494046, 109321560479048972, 109383557622500284, 109349208382744695, 109376473669284618, 109385031294702237, 109368538735264447, 109367074762927454, 109384084727246371, 109377536289047409, 109363937703002946, 109299410942852924, 109348932573102393, 109383692044250034, 109317026320948197, 109382404819737391, 109305670778274999, 109382054615909828, 109370291228068158, 109377606090074040, 109380767840142911, 109327332630848264, 109380597568707709, 109365529299953378, 109291909186833105, 109259189935040611, 109330794749541295, 109362231463779913, 109378830153970267, 109266001302452742, 109323133477398807]	Public Policy
danimmergluck	mastodon.social	[]	Public Policy
PolicySciences	mastodon.social	[110298565370478343, 109305599524732359, 109848565082632555, 109364988687754845, 109300023291041161, 109294614937878078, 109376119804856292, 109306757939022074, 109904364346388794, 109886630118386804, 109841489888458661, 109538651980609945, 109754470722708398, 109460641085982962, 109734506473674772, 109690583746082936, 107192220324249637, 109295579882944899, 109622290758419458, 109364745940172167, 109600565098282268, 109604600909871217, 109589601201741766, 109564315887438007, 109297721989370754, 109548975892505007, 109292600013314214, 109547984187027845, 109528527527610952, 109524680219562972, 109381858954896833, 109296211937284795, 109306382593170267, 109529575408580267, 109264234958212568, 109258418700926598, 109242875206644932, 109363418827971183, 108206398760969277, 2500, 109468799519679259, 109257521797937780, 109421678219273788, 109271174957543203, 109381990901204761, 109438046715759888, 109259099511925844, 109432498235838072, 109418422033491321, 108219153777910954, 109364561039573089, 109340784962603523, 109412695562539081, 109410967133097444, 109409487471989031, 109406551919593378, 109395893026722651, 109404862014173436, 109363903001902717, 109364742715424331, 109390330551565240, 109316025650469685, 109399940442737417, 109309247748500269, 109274995528235248, 109394395402947754, 109266002508022141, 109354525297499821, 109366165882115484, 109387984489563213, 109377975601345969, 109390634339597647, 109252232206592120, 502893, 108449440111950170, 109291879677403121, 109388009865109192, 531544, 109364944388388079, 109372950304568403, 109367074762927454, 109305670778274999, 109380597568707709, 109380007341366899, 109377242900920591, 109376834271375354, 109307598238143258, 109371378382085121, 109377556232308973, 109263427405001420, 109328802300125162, 109248296849602898, 109332214533801417, 109373727299424892, 109292720985906159, 109254640628058017, 109370644663843038, 109355714762314319, 109366078788450967, 109352648696809926, 109257181521234789, 109369485345633228, 109368277840340477, 108195101947321709, 109309737673277508, 109366760471746294, 109293212203188535, 109365814742632309, 109364609831042356, 109312896795776215, 108208991656075221, 109342151677342518, 109358962350482066, 109307352593296975, 109351075779918999, 109315883272526643, 109315070586353182, 474896, 109248417735330753, 109343993630111269, 109332958990623713, 109342984295490103, 109296800548773822, 109338681438157864, 109336174951577405, 109334095029879284, 109332269868699865, 109305302636666631, 109252035098967537, 109328199998771456, 109245596652247853, 108143820858606330, 109253123235743333, 109325296015564678, 109245413503522020, 109306926017216141, 109309485780624762, 109323708739318543, 109311663801132817, 109252616601114412, 109148536901533166, 109263791046207021, 109259950022801615, 109257103186851104, 109288465118958940, 109290772815875289, 109285048809377305, 109264364664342053, 109280440013565546, 109280295806418171, 109261276383970214, 109247407319797981, 108210576397221804, 109256098961169890, 108208825445736255, 109255918479111957, 109257240742338434, 109256706166176093, 109245931758888489, 109255677802234737, 109245550268383163, 106692909922787023, 109248877176691433, 109254385607607436, 109253496475348680]	Public Policy
nilsbandelow	mastodon.social	[110298565370478343, 109848565082632555, 110057072677175512, 109364988687754845, 109300023291041161, 109294614937878078, 109376119804856292, 109306757939022074, 109886630118386804, 109841489888458661, 109754470722708398, 109734506473674772, 109690583746082936, 109622290758419458, 109339822789625924, 109600565098282268, 109358337915904434, 109297721989370754, 109548975892505007, 109292600013314214, 109547984187027845, 109528527527610952, 109242875206644932, 109363418827971183, 108206398760969277, 2500, 109257521797937780, 109421678219273788, 109375145301415490, 109432498235838072, 109418422033491321, 108219153777910954, 109364561039573089, 109380007341366899, 109406551919593378, 109395893026722651, 109360186897108218, 109363903001902717, 109364742715424331, 109390330551565240, 109274995528235248, 109394395402947754, 109354525297499821, 109387984489563213, 109377975601345969, 109390634339597647, 109252232206592120, 502893, 108449440111950170, 531544, 109364944388388079, 109367074762927454, 109305670778274999, 109380597568707709, 109376834271375354, 109371378382085121, 109328802300125162, 109248296849602898, 109254640628058017, 109285048809377305, 109370644663843038, 109352648696809926, 109369485345633228, 109365814742632309, 109302870417533279, 109263213488109716, 109364609831042356, 109342151677342518, 109307352593296975, 109315883272526643, 109315070586353182, 109332958990623713, 109342984295490103, 109296800548773822, 109338681438157864, 109305302636666631, 109252035098967537, 109294572535786026, 109248877176691433, 109245596652247853, 109327101319353696, 108143820858606330, 109253123235743333, 109245413503522020, 109306926017216141, 109309485780624762, 109323708739318543, 109263791046207021, 109255677802234737, 109255918479111957, 109257240742338434, 109254318294147212, 109253496475348680]	Public Policy
openpolicynz	mastodon.social	[110298565370478343, 110251817974611168, 108197900630052143, 110236821736932404, 110236634543311190, 109848565082632555, 108191938551666911, 89934, 109367321933862362, 110043599521409461, 109364988687754845, 109300023291041161, 109294614937878078, 109376119804856292, 109833957341292248, 109299554154904765, 109374173789420274, 109306757939022074, 109810185795931307, 109886630118386804, 109842716903527427, 109841489888458661, 109833326143950472, 109312437044468919, 109350146302067339, 109767655926116971, 215795, 109734506473674772, 109296053972881068, 109316393598772470, 109690583746082936, 109247555681191758, 109600565098282268, 109379462093888074, 109297721989370754, 109548975892505007, 109292600013314214, 109547984187027845, 109546562595835971, 1209450, 109542088693728422, 300373, 107005394200672598, 109252828013475620, 109362105193474562, 109536750674815365, 109528527527610952, 109536773470388076, 109249438215922885, 109412458616015540, 109526504986920009, 109522407092383709, 109403854078180928, 109301549779424091, 109245397620997165, 109242875206644932, 109363418827971183, 109287591946023467, 108206398760969277, 109499337815218633, 109487334178359990, 2500, 859347, 156899, 109421678219273788, 109374383635723636, 109395893026722651, 109254568220771154, 109432498235838072, 109432106080304436, 109418422033491321, 108219153777910954, 109364561039573089, 109254374777711236, 109401075702898240, 109292907065696982, 109299479910323223, 109406551919593378, 109015001998750699, 109214090443109632, 108094093597597134, 108247263421188775, 109363903001902717, 109373482231375283, 108236995128437981, 109364742715424331, 109253998218956667, 109390330551565240, 109402026458316421, 109245596652247853, 109274995528235248, 109394395402947754, 109394386080480198, 109354525297499821, 109387984489563213, 109377975601345969, 109386689838056694, 109289684783018793, 109390634339597647, 109252232206592120, 109319147095577506, 502893, 108449440111950170, 109366839955122823, 531544, 342721, 109382007426133748, 109367074762927454, 109381607709594878, 109305670778274999, 109380597568707709, 109380572635808716, 109249194943335793, 109371378382085121, 109377233167625565, 109221991526517589, 109328802300125162, 109248296849602898, 109294371365757545, 109374915283726468, 109372696606175099, 109254640628058017, 109248330311602427, 109370644663843038, 109246730618808277, 109341254645907260, 109253306180601644, 109352648696809926, 109366737743719856, 109301644520262882, 109369485345633228, 109302880992235175, 7112, 415205, 109368016404281969, 109363105624035691, 1220708, 109352605169691391, 109365888298201673, 109365814742632309, 109365602275676707, 109363197227132691, 868377, 109364609831042356, 109238178484368190, 109364431804293621, 109342151677342518, 109363654182911711, 109363641493476438, 469207, 109294504783486881, 109345848170050055, 109255571345334986, 109362999210150028, 109249158330701725, 109293613915897347, 108196488108490702, 109358562520167142, 109356620468380829, 109288059755094404, 109352556633243198, 237343, 1226376, 109315883272526643, 109315070586353182, 109293436474543500, 109347246446906877, 893654, 109289038227571366, 109243264758872353, 109286802242280565, 109287695602001366, 106777611362144303, 109299231192875019, 109324609057561181, 109284578076047252, 109254489520264640, 109294249695294977, 995, 533878, 108194761898170955, 109335534373474261, 109262032046834500, 108197298562161592, 109243394679694272, 109345421708298396, 109342984295490103, 109296800548773822, 109335452009877253, 109300690528475297, 109293111316953862, 109324097366323802, 109319850484975384, 109335944793959329, 109333434327480124, 108282273126308372, 109293942009775792, 108237189641498584, 109243464668699806, 109259389059308099]	Public Policy
alasdairroberts	mastodon.social	[110298565370478343, 110293477871969985, 109346748972408191, 109848565082632555, 1302832, 109658530367094001, 110129348114203092, 109307454022235491, 109315453809257745, 110036844381252163, 110033036599157682, 110023631275744313, 110017409457093850, 109333344788036579, 109376119804856292, 109306757939022074, 109886630118386804, 109300023291041161, 109863399065021397, 109727883339218958, 109367407229899494, 109841489888458661, 109824850164971498, 109467425328830607, 109332912574629469, 109497529012529672, 109248061748297814, 109427326290940875, 109363921972074927, 109754470722708398, 109554008057681856, 109364431804293621, 109734506473674772, 109711523902099534, 109710650614909593, 109710011318186524, 1370283, 109690583746082936, 109267376344424947, 109682253949043161, 109302931616695808, 109479450121092869, 109657666139801586, 109248915138089054, 109326676343262330, 109304446675576561, 109273659333945010, 109633467281776376, 109622290758419458, 109339822789625924, 109600565098282268, 109621891378657205, 109355114773234029, 109501344201887494, 109354941450990518, 109580084902313186, 109579723070429748, 109579569305789047, 109566429540296349, 109297721989370754, 109515849628732156, 109286800220604298, 109328490111206141, 109548975892505007, 109551772235486140, 109547984187027845, 109262388605035224, 109326655279476643, 109433652011126547, 109539415615216160, 109545967108336363, 109366638351966432, 107005394200672598, 109512890118213607, 109502851653484160, 109537095790005507, 109383312401806235, 109252828013475620, 109295814311831016, 109537119214247859, 109362934350245645, 109536566321078973, 109535810909862775, 964083, 109360046851451164, 109521584666367961, 109521298993470094, 108205947297670969, 109528527527610952, 109264234958212568, 109520774900548482, 109258568280787097, 109521032613939160, 109524028851575569, 109371828193544416, 109403854078180928, 109520942487211424, 109379500725670827, 109316517682361936, 109521362357201739, 109313668118999929, 109505599781877377, 109295889516873781, 109363215803862460, 109510937047840207, 107192220324249637, 109511317975306184, 109509485059869196, 109508484315617750, 109383983943144090, 109242875206644932, 489628, 109363418827971183, 109248266731467212, 109501188249816806, 108280959531290778, 109260191976400729, 109286313103817053, 109489370992510882, 109346778428534740, 109375540754407154, 109263081902326678, 109388124300294470, 108458645832597788, 109472354867549202, 109349914643336065, 109470223995026275, 109426021434285177, 109374819243515331, 109257521797937780, 109281680076104990, 2500, 109258334228557590, 109331684542364870, 109421678219273788, 109379448015813937, 109379005603696823, 109397847191391365, 108181578127428938, 109441556814990364, 109322244906526076, 109377489095685932, 109395893026722651, 109308807370109367, 109435481626826500, 109432498235838072, 109410586886515927, 109429706935573662, 109381976442370949, 109425477918151903, 109428569199990867, 109428045425133845, 109423988929000916, 109265141024413681, 109418630175197616, 109417962021893782, 109418422033491321, 108219153777910954, 109252025888526501, 109417083314236339, 109364561039573089, 109412907851434015, 109248488707173074, 109406530420267654, 109407135698216739, 109406551919593378, 109355057916391618, 109272553849437051, 109265364805879782, 109404024048637765, 109363903001902717, 109274205773887214, 109364742715424331, 109278345433064306, 109390330551565240, 109362356552808356, 109273682777011230, 109245596652247853, 109399891906981484, 109393883638599069, 109394395402947754, 109307226073480970, 107275840815494413, 109371546134030724, 109396511256314524, 109393374041761843, 109243388372609150, 109364988687754845, 108286719626990337, 109394386080480198, 109394294362927034, 109394104976436948, 109362615518467864, 109354525297499821, 109316012045477033, 109257934119070850, 109377975601345969, 109283904860590347, 109391523608772711, 109258638580475356]	Public Policy
zpneal	mastodon.social	[110298565370478343, 110078752523361566, 110293477871969985, 109262930334390019, 109263724849715254, 109434586087405448, 109245883102309612, 110272765807497344, 109245236719419669, 110262240063077549, 110245957222080067, 108298930795617807, 110231109976274880, 110039882513807473, 110226813747596940, 109291091705595222, 110192806554177013, 110188569422671073, 109293092895875577, 109848565082632555, 109337931247341481, 110045898829925143, 110149979465086052, 110022844464758693, 108215094929699426, 110141174297864811, 109322718249486310, 109368194746156778, 110109178042105615, 110100854497115489, 109378707211971454, 109379525600292804, 109406795892031264, 109251842210716034, 109298074980753161, 109542132910313552, 110050772058725656, 109364988687754845, 110017867181246565, 109982908539283035, 109932419623733160, 109976774100324060, 109479013029998699, 109972491118561515, 107073643636987210, 109967966408603418, 109913119091526485, 109950141631999518, 109376119804856292, 109943182412084844, 109246157105577921, 109291928372593124, 109841915028231422, 109383941874382041, 109306757939022074, 109899012354623527, 109886630118386804, 109294124895362354, 109876633840233863, 109858956737865869, 109840329027832108, 109291016189337397, 109858539512237475, 108209999922743843, 109852760857640702, 109850771047735148, 109850391784667460, 109727883339218958, 109833806992250531, 108198663128119315, 109841489888458661, 109366006248998071, 109281847999777472, 109677822246393830, 109541313393074845, 109325622938527074, 330691, 109328267800723279, 109371403303241109, 109456761439025982, 109785338655942517, 109259278083054896, 109812474625117260, 109802869817254830, 109258424055953334, 109797064475659429, 109304633917923581, 109284198489034336, 109796275397070485, 109287461762290629, 109297749094367244, 109538651980609945, 109405628286594829, 109754470722708398, 109746355358125670, 109247459279095464, 109291629355808668, 109734506473674772, 109337583675643962, 109687650142187408, 109333475731655615, 109507131739410804, 107840808588585528, 109715026326844502, 109711550748218507, 109651330432677928, 109258327903917139, 109699269900774171, 109371075190390987, 109690253036376080, 109690583746082936, 109249072739935201, 109293301145788284, 109676852440562962, 109368052631573424, 109343711679444299, 109451612833540969, 465322, 108199682391061598, 109516141129630307, 109656499306682845, 109251655719222402, 109306761941559516, 109549831396155405, 109247712952305913, 579416, 109372687915415366, 109273659333945010, 109351516981176743, 72915, 109291823167123519, 109365620216136757, 109622290758419458, 109249320369714266, 109626405428545256, 109575787353540144, 109624497536276869, 109600565098282268, 109454865810158710, 109246236248805470, 109611249148054219, 109387821421899395, 109395271302164695, 109446352152874435, 511686, 109251149573261189, 109516392091054985, 109379397018064567, 109582306242853729, 109580633685139762, 109579569305789047, 109407006643404865, 109575020160933061, 109574713657958809, 108256924203387856, 109564945992011927, 109516468154454730, 107192220324249637, 109570021041876132, 109330669077748358, 109529344696514270, 109294072003682715, 109502397714819853, 109568028180658191, 109328615771832884, 109382102442852059, 109362312084093602, 109564390302934219, 108240432204828965, 109562664974425735, 109520146042800733, 109555967070241213, 109297721989370754, 109418090569365313, 249210, 109373600166758010, 109245841657140692, 109552801205798313, 109501792928134188, 109552359299061529, 109548975892505007, 109550936134689631, 109292600013314214, 108205603200676473, 109547984187027845, 109262388605035224, 109286089080638529, 109389262895180544, 109536761534493671, 109523565245568943, 109547258236091711, 109545967108336363, 109347222165275068, 109327497586005998, 109331763522315492, 109537940921698404, 109536936205644965, 109365361275150440, 109530854163570668, 109274384421233213]	Public Policy
mattiaguidi	mastodon.uno	[]	Public Policy
KiraM	someone.elses.computer	[1302832, 109221355840788554, 108199209267286153, 109354941450990518, 107192220324249637, 34846, 109512890118213607, 109258568280787097, 109242875206644932, 489628, 109501188249816806, 109257521797937780, 2500, 109258334228557590, 108219153777910954, 109364561039573089, 290895, 371942, 109245596652247853, 109243572799266690, 108286719626990337, 109259938824034626, 109258638580475356, 109337438264288308, 109252232206592120, 109361957651581784, 108197938909482044, 108449440111950170, 531544, 109250272471055276, 109374445722711192, 109248393575394454, 108150642470501950, 63675, 109251432986671944, 109356093024913413, 109354312254479826, 109353932748293185, 109258345376226393, 109280715316295106, 109243140356117545, 109252035098967537, 109243388372609150, 109253123235743333, 108143820858606330, 923833, 109264701822960524, 109251537213359110, 109304109650563876, 1150722, 109259046018848543, 108230385846199860, 504390, 109244687651421947, 109268749867827341, 109240990170827357, 657474, 261558, 450171, 108197198493223887, 109283403538876178, 380885, 109255677802234737, 109244649251416505, 108196123795834723, 109288563998357265, 502893, 63926, 109258521203496670, 108194881981544673, 109253170726430981, 109258733090629381, 431838, 109247059223549576, 109258027043105017, 109246044479113652, 109254711371052067, 109244427834962768, 109246308036614816, 109248877176691433, 109258612801269356, 108192236879239094, 108194786055257254, 108132610055024720]	Public Policy
