annettamallon	aus.social	[110254685949844009, 110128881170754187, 109520956263536026, 107192220324249637, 109940129441964493, 109244873849193955, 108081813552823517, 109885392474961234, 109517106343029067, 109283966397827884, 109251122382991369, 13327, 15626, 109503083853905664, 109595027531764263, 511137, 109513704169070243, 108096549429858561, 108194698448048379, 109362124788112578, 109203796694396501, 109374422874301465, 109253867982927788, 109253772863362756, 109246751819176952, 559242, 109302425822862098, 109313583679608371, 109318128778429626, 109254292602320137, 109258254425744982, 452582, 109253026173335942, 42693]	Qualitative Researchers
vicki	mastodon.green	[109847891234423652, 110111958056697630, 16496, 110107877918677266, 109845298550366701, 109257637803491914, 16933, 109303680880410212, 230114, 108322205459293013, 109343636993806037, 108194363543185150, 109313583679608371, 109248825065140785, 109249658402510624, 109247176860775352, 109246281601412170, 109255754697219965, 596933, 42693, 109257858190409663, 481602]	Qualitative Researchers
marcscully	mastodon.ie	[109978628250339191, 108193397826186777, 109245578848970967, 109387629514287045, 19968, 108369498063051845, 109313583679608371, 109259341248637306]	Qualitative Researchers
asaxena87	mas.to	[110188569422671073, 110050772058725656, 109840329027832108, 109405628286594829, 108131420726034757, 109247459279095464, 107840808588585528, 72915, 450944, 109501188249816806, 109252880783720451, 108219153777910954, 251479, 109250498351931248, 531544, 109258570658333577, 108194660440392188, 34236, 109313583679608371, 974027, 970055, 959877]	Qualitative Researchers
anniepettit	mas.to	[110010961466059033, 110188569422671073, 110178533793174335, 282411, 110020917951601453, 109982908539283035, 189490, 109362546553162045, 109521092989314286, 487130, 109507131739410804, 108194773355098778, 109359737665741983, 106253002168453310, 298575, 109353865376849541, 559242, 317733, 190884, 109524273939644957, 109518911446134873, 109377000201217764, 292203, 109492800746378242, 109508786115599779, 109520773707046934, 39744, 108195234034001080, 109215564672345722, 109259131421844727, 109254986077840920, 109243364418068606, 109259337946539891, 109243595083419533, 109173562423700449, 109525083950037840, 109362066375134739, 286159, 94970, 109512631184547880, 108217439974865383, 109258225646662568, 109259821905398738, 109507610191425722, 109507492279379069, 109247913618813992, 109501029614599008, 109214617784111522, 109353502730604772, 109501188249816806, 109498515217753548, 109247595520532416, 109490190296248626, 7326, 109251583590414987, 109249212860810246, 44998, 566124, 109248806157325181, 109354227324914296, 565034, 109246089306940110, 109370056838805593, 109241039666237123, 109302987731091517, 38023, 982771, 108198525584455140, 1032527, 109258423972158505, 109248110210216416, 107215301464188384, 109208008086317816, 108176559827658279, 109249727689978662, 859268, 109297974658719522, 108219153777910954, 108492076099741509, 109253443811831462, 109258571714213615, 109242005184684133, 109252946857276543, 109247820766440512, 109258253957880303, 109259401953919732, 108449440111950170, 109250597888383818, 109239974424064157, 109246802119228592, 109252294337269013, 109259578307578057, 109253632453306746, 531544, 109250654645486476, 109247179587242124, 1013548, 108198216134122928, 109259772431535046, 109244763905926880, 109245896155043487, 109246632288844654, 109258733090629381, 108197092546215626, 108369498063051845, 109294044587722399, 109248320320276845, 108194364596271035, 109246683928303911, 109362103024729368, 320239, 109249658402510624, 287051, 265383, 411039, 108080165842505802, 365288, 108194864331082069, 109244890175329568, 109315870932900412, 245829, 109360214715240590, 108277881690305459, 109247085100827063, 109355972664560938, 558183, 109310238010975029, 109257209981799601, 109348898724631723, 109344929926223185, 315957, 156899, 109255250825869101, 108235009051976422, 368878, 1135074, 19361, 108472813915402799, 109256437390494166, 149267, 109246365417627405, 109276143738682781, 109258371047412728, 109251447061657442, 109249405920299892, 109257696300499297, 108255594631751414, 109254135842256086, 109259687410249987, 109322080955260878, 109246439898736261, 109313583679608371, 109240447553945988, 41825, 108345781050254327, 109245218770014116, 109246186541823526, 848514, 109259195121197706, 109298036583530755, 109247035316737509, 235579, 108193026303173894, 109259216996268612, 109258973820740739, 109259343439934411, 37964, 109258917924337567, 109302363757516489, 109252042062830578, 108130498594497040, 109226603930987265, 109254540612303481, 7343, 109246075772379509, 109257367037759392, 109234840206704865, 109244779474103637, 109245974419057881, 106584929847528165, 39061, 7560, 109248266731467212, 256758, 109258203779753232, 109249792432425785, 463511, 109250172191299098, 109252718171391012, 15668, 109245650194154145, 109214640101165406, 109243603598068113, 109254806128910653, 109246172243689812, 109254090901110521, 1041712, 109268237284888304, 109237148859650542, 109246202582264591]	Qualitative Researchers
ChristinaSilver	sciences.social	[109427319421857090, 109496766684408996, 109246009111528536, 109490190296248626, 109456669708475612, 109246865231083964, 109381604483684612, 109248110210216416, 16618, 108220350398798922, 108198918715093132, 109251510108909052, 109313583679608371, 109245650194154145]	Qualitative Researchers
DrHannahGraham	mastodon.scot	[109246959063015253, 109248256421082688, 109508875315020113, 109501966843491341, 29396, 108198918715093132, 109246246484464691, 109295462762088730, 109244351160611036, 109355689615913403, 109362128710969713, 1126835, 109313583679608371, 109258790469333671, 1036809, 109245460448537757, 109252447469676899, 109258473366688594, 108217805023412430, 109246236248805470, 109256288073558171, 109244778483296415, 109246140989667435, 109256752376569880, 109258223301602393, 109256853569031316, 109250231871991871, 109241622871464397, 19614]	Qualitative Researchers
tracyepton	mastodon.green	[110275400297321322, 110188569422671073, 110111958056697630, 110111183611920750, 110030452683230967, 109982908539283035, 109933049411778786, 109306861802942969, 109507131739410804, 109245841657140692, 109344929926223185, 109501188249816806, 109498515217753548, 109247595520532416, 109243720604242583, 109314463178336493, 109363055188418299, 108176559827658279, 109303680880410212, 108449440111950170, 531544, 108198918715093132, 109252294337269013, 109355836085560604, 109358460754282404, 109241858627495830, 109245360235132937, 109246298896374050, 237869, 1002786, 109313583679608371, 109246459043892380, 109257743235227749, 109252166303957311, 109252987244564814, 109249252317987436, 109244081326433869, 109258225646662568, 109247219736728009, 462985, 108369498063051845, 109246203830224088, 109259988180115814, 508947, 109243902422545443, 109246632288844654, 109250307713142158]	Qualitative Researchers
DrRosaleenOBrien	mas.to	[108282607750436432, 110149979465086052, 110111958056697630, 107192220324249637, 109368779687740629, 108277881690305459, 108236707517081998, 109243388372609150, 2500, 108520790687531828, 109357053635740224, 109240181848353779, 34236, 109246411400138051, 109354707398381557, 109355026406957252, 189039, 109247188746203645, 109313583679608371, 108195801930159612, 109264973067202967, 108198918715093132, 109253412928276660, 109246202582264591, 108130855553821775, 109250307713142158, 108198176380165531, 193080, 109245650194154145, 109259210608578587, 109258469663867952]	Qualitative Researchers
Chijindu	aus.social 	[450944, 109313583679608371]	Qualitative Researchers
