amv	religion.masto.host	[110106604540818222, 109296890490493194, 109245013840781703, 109845278314056210, 109516141129630307, 109243388372609150, 109313317632229092, 165277, 108197020813180923, 109247712952305913, 108217295884722939, 15626, 109255259224602747, 109502108540662973, 109481969971041179, 108240681824852698, 244420, 109253673198150755, 108197092546215626, 168622, 108195059977880628, 109337283812265216, 109374445722711192, 109255930949131696, 450503, 109203796694396501, 109257575955293667, 7343, 109245063176478371, 109259198766719598, 109258723557283345, 478555, 109244058989893761, 109259156100050538, 109236050319556174, 109326112085605683, 109247052254201092, 108149535270263068, 109258700025626017, 109215806011730188, 109212385542347474, 109246120984435842, 449705, 109246432678838036, 109250035718930069, 109244610888648684, 248501, 108198853497517029, 109248060461444034, 108194205679876182, 109253886263737570, 267707, 109259785879126017, 109257573104742409, 109258829538477385, 109288889426147912, 109253393389398357, 109258350837587662, 108192770083460891, 253020, 170910, 109113053657889770, 109252701444943265, 109245541094634872, 109257662400042733, 109247365848687644, 109243788225253577, 108217761178377225, 109244905169927835, 109289665522756887, 109256243499071669, 991524, 109257042449907047, 109259855425926327, 109257663224816187, 109245255954755006, 14611, 109248313832390197, 109245897932437462, 109256346112601960, 108220028913379754, 109257681802414496, 109245064282981274, 109245840377785041, 108198704692509177, 109259797244452860, 109257931628327527, 108192501178531252, 109243488853574031, 109258916068949950, 109259484073296381, 109257732868056458, 109258424944119344, 109238958365441047, 109286669584107905, 109259111007178293, 109247325657884008, 1138668, 463414, 109243603041816929, 108197214758969294, 109243803422695841, 108198739521393355]	Religion
themodsisyphus	mastodon.social	[109287770859631076, 110255114024079669, 110153210377443010, 109511033645508444, 109852343259315199, 109796022001213320, 109754470722708398, 109377787785576134, 109355114773234029, 109605698701494643, 109516141129630307, 109243388372609150, 109374419755270276, 109501119829981926, 109320599446452174, 109317139199907559, 989010, 109311430569889295, 109366365994660041, 109418856447600238, 109342058273853021, 109417278700385087, 109320709195472065, 109278662885734809, 109379727374059094, 109359205323924066, 109379013839088340, 109288171804108619, 109309134723669141, 109365267964724157, 109246804673414255, 107805478326922078, 217307, 109247712952305913, 109332958990623713, 109239517154883307, 109318718605763670, 109329481372019494, 109321212186453173, 109323288504612866, 1127201, 109295893489046988, 109315631266211390, 109279021897234545, 109259726463809587, 109311363846041710, 109306941214954598, 109258521203496670, 109303830962787060, 108198224171449087, 109259756469400211, 109299953063331863, 109303924580151981, 109257662400042733, 109300175694457403, 109259855425926327, 109299459093733899, 109297745613516927, 109295482411464696, 109289665522756887, 109288632972443508, 109293941088668936, 108194653222199062, 1233061, 968596, 1001366, 962846, 1136667, 109288587674625754, 109287904230936168, 991524, 109258311992013090, 109283336092518882, 109275619336068903, 108832471188009185, 108336718740622282, 109260159993322204, 109254546832276081, 109271361047987498, 109246305868673363, 109264574602155694, 109207045255793252, 109268711573208798, 109259696315260734, 109249831177539755, 109264300699412493, 427929, 109253788960268740, 111137, 109258638682930165, 109246039769118046, 109244811467843572, 412580, 108087144423776268, 109251722363528842, 964203, 109257518591873633, 109246627613697033, 109246605696319345, 109249468161381303, 109237583132426483, 109250129498746056, 109247080817850388, 133345, 109237932196142664, 109247268801702001, 108195128461297571, 109245148937352011, 109247129637289404, 108199590353004339, 109246172243689812, 109246294502811508, 108245551185365930, 109246310342559447, 608567, 926399, 109114203164338021, 25392, 109244421671878191, 109113118070974293, 109242566442136229, 109239465512603938, 109243264758872353, 1209421, 109243565782581804, 1214337, 966951]	Religion
jasongoroncy	scholar.social	[109847891234423652, 109245996633387829, 110149979465086052, 109965550511212123, 109845298550366701, 109872604724693091, 109859790417901699, 109251841898269891, 108193987656838977, 109259191123726670, 109257637803491914, 109251285538941165, 109259865819282735, 108220903526658305, 109358544043904637, 109255930949131696, 108195046425770204, 109250898531591199, 19311, 109516141129630307, 276474, 109246887265345438, 109507043965874854, 109246554904857531, 109368779687740629, 109245541094634872, 109354374783981799, 108346234437516438, 107192220324249637, 109501188249816806, 109481969971041179, 109246461409592036, 225258, 388571, 109240733083948345, 108197873928425950, 109357053635740224, 109246120984435842, 109243388372609150, 1149200, 109252869280635120, 109257839126102333, 109258942277017639, 299282, 108219153777910954, 109257209981799601, 109241631511686363, 109311582723284692, 108221818435278143, 109365716339734102, 108196659293481267, 109249727689978662, 109247714289133250, 412806, 249219, 108195747080357170, 531544, 108194363543185150, 108449440111950170, 109244473119372960, 108199209267286153, 19930, 109259019591013600, 109253792537270451, 109259609140213501, 109362159991402288, 870682, 109251948580616657, 109242134864684061, 109362295015959416, 109247170191697374, 108130623239625260, 161165, 109250467311834639, 108198853497517029, 109353932748293185, 109248152768065493, 109292023046477071, 109256442035667450, 109257682328830943, 108197012196056024, 108240681824852698, 109256906323204875, 109337283812265216, 1280750, 109203796694396501, 109243139631965273, 34236, 109250035718930069, 449705, 109246459043892380, 109313583679608371, 108217295884722939, 109246260857164262, 1150722, 109258296808168417, 964579, 109258061444392664, 109240990170827357, 109309504886369476, 109295870287922654, 238772, 109241995804981879, 1039881, 109258252301002515, 109249252317987436, 574279, 109258462483382711, 108193887890976307, 108197353164429563, 109244081326433869, 109247219736728009, 109246822754893722, 107549859711203986, 109251019025295792, 34547, 108192770083460891, 36272, 109258769813704960, 108194205679876182, 109258350837587662, 109259385958532278, 109246085727937996, 109251556044783486, 108222296027205265, 109257945507422703, 130933, 109289665522756887, 109238958365441047, 109250875383964242, 109258727697841135, 109245332094566989, 108220028913379754, 109286669584107905, 519909, 109257931628327527, 109250642895732370, 465909, 29692, 109243488853574031, 455467, 109257732868056458, 1138668, 109247778364294890, 109257663224816187, 107548813599546917, 109259370571543393, 109259243526675777, 109249503444447029, 186913, 310400]	Religion
ichatterjea	mstdn.social	[110149979465086052, 109845298550366701, 109313583679608371, 109516141129630307, 109243388372609150, 108198704692509177, 109368779687740629, 109245541094634872, 449337, 108219153777910954, 109249727689978662, 108195747080357170, 109361201611718151, 109353932748293185, 109256906323204875, 109337283812265216, 1150722, 109240990170827357, 109309504886369476, 109247219736728009, 108198853497517029, 36272, 109258769813704960, 109258730380862072, 476510, 109258350837587662, 109259385958532278, 109251556044783486, 109257682328830943, 108222296027205265, 130933, 109258727697841135, 109257931628327527, 109286669584107905, 108220028913379754, 109245332094566989, 465909, 109241995804981879, 109259756469400211, 1138668, 109243488853574031, 109245840377785041, 109247142687663334, 109258581541268499, 109259484073296381, 109258586002396811, 108193987656838977, 109243788225253577]	Religion
naomilawsonjacobs	scholar.social 	[110204849391976417, 109358250487298805, 108130855553821775, 110141688889398313, 110047677867914249, 109203796694396501, 9355, 109252869280635120, 109757885700557725, 109249137283616886, 109243902422545443, 109258595032236317, 109246581345458368, 108232281049230170, 107192220324249637, 17735, 109243388372609150, 109378122797027347, 16163, 109339580759088261, 474896, 109368779687740629, 109249727689978662, 109513815527579454, 108277881690305459, 109481969971041179, 108236707517081998, 2500, 34236, 109240181848353779, 340867, 108220094526127332, 109302680249054538, 405401, 108096549429858561, 531544, 108449440111950170, 109359205323924066, 109325291517017506, 109314301983330292, 109357053635740224, 109353432793074976, 109252957570177353, 109354207949328462, 109353323195380249, 109242255457079307, 457711, 109252025888526501, 108219153777910954, 923833, 108194773355098778, 1297504, 108520790687531828, 109245805948286226, 109140788257465131, 316281, 108623610470514994, 409710, 7343, 109251583590414987, 109252871938321120, 109244609604502342, 108192770083460891, 108289990043895201, 109246044479113652, 109251263166933851, 109249486923146901, 108574063930932639, 17049, 484528, 109243624544711985, 412539, 269065, 109243118156218972, 109248564599701054, 109258571714213615, 108199267206480162, 109258673989107494, 108232022161908124, 109258204617796429, 109252312681213528, 109258176986223232, 109257103186851104, 109244513083867693, 109251529810148738, 109277229778223297, 109247712952305913, 109249464059149617, 108148604410652542, 109258723557283345, 238772]	Religion
ChrisSmithMuso	mastodon.social	[109287770859631076, 109346748972408191, 110255114024079669, 109355603183770679, 110231109976274880, 110149979465086052, 110073850102842279, 109268287954985780, 109845298550366701, 109846611029614584, 109450113180792545, 109563066137226137, 109754470722708398, 109734506473674772, 109711040013012215, 109377787785576134, 109286358919610438, 109639321305112518, 109600565098282268, 109590805565560633, 109568738473142660, 109516141129630307, 109562928577185095, 109557887135788433, 109243388372609150, 109311111719772247, 109292600013314214, 109547984187027845, 109546306424858159, 109325584628072635, 109538615117478936, 109523649257591936, 109246554904857531, 109337108039729400, 109368779687740629, 109332842070803489, 109530261469453864, 109245541094634872, 109385609630662697, 109421889108442222, 109366877281524422, 109246926133189729, 109315863814913052, 109303691460578876, 109323478154989138, 109521086822654351, 109362828964092988, 109424689975205888, 109398196959503483, 109520864869627565, 109383760608933049, 109301174412388602, 109503289406273285, 109317139199907559, 109490902679521545, 109482038056792468, 109377536289047409, 109433929132573200, 109366365994660041, 109389471687194920, 109418856447600238, 109422033545212354, 109421661903243418, 109318457375797561, 108219153777910954, 109416995230489319, 109417278700385087, 109322605890720041, 109249727689978662, 109363326466124557, 109395005276231496, 109329125617503195, 109390133898208853, 109389525051408840, 109389037347847106, 109297287266272851, 109388572243098212, 109287193499965416, 109386707328703398, 109298237092347729, 109385016916786722, 109384858810582810, 108194838166318357, 109384084727246371, 109373320216030568, 109382054615909828, 109380068073497693, 109378992091705887, 109267473918022687, 109292371357770905, 109374209247175102, 109367770167351310, 109373822509781637, 109376784945923099, 109375601719331815, 109365016703534252, 109365725337134076, 109365500554663358, 109258031326769655, 109287491759504629, 109286124529132087, 109331833931457587, 109260243736902558, 109365147372867712, 109313583679608371, 109362426928663966, 109309134723669141, 109305675240268612, 210260, 109365128995470336, 109365591430264032, 109326982747057886, 109363440988576336, 109362998887648626, 109362994199833991, 109315883272526643, 109353932748293185, 109351073690127019, 109328167511463452, 526965, 109321298473012026, 109344770271462448, 109332958990623713, 109301397116135033, 109337720956783584, 109337894013751043, 109256906323204875, 109321838999166022, 109337283812265216, 109334306745411162, 109299357375421064, 109264017897885447, 109331824165088412, 109325732600825125, 109280165336883575, 109295893489046988, 109327558521375316, 109293996764512264, 109322529343120856, 109326775807388032, 109311581255582542, 109324164984463183, 109313726577714904, 109249575836961191, 109320599446452174, 1150722, 1127201, 109299757762737382, 109263711884660500, 109279021897234545, 109314142504909103, 109297733704444685, 109290363011401887, 109312087001106612, 109309504886369476, 109310193465726646, 109311906374687340, 109311363846041710, 109308535113656414, 109310297553633512, 108194459276622562, 109286669584107905, 109301000136965899, 109263213430882529, 109259619439670119, 108208032031209502, 109307454022235491, 109283994561576741, 109295869342354076, 109291091306332151, 109297135610558307, 109294614937878078, 109299657750179271, 1318604, 109247219736728009, 109304981607012679, 19597, 109298759773625888, 109304816485240564, 109297026992291921, 107639753228729647, 109304464842663450, 109303924580151981, 109303171347715841, 109287593005274280, 109300295145026568, 109291574660017487, 109274613450730644, 109247712952305913, 839106, 109300620290317763, 109292971218415832, 109299322169878547, 109293637029026679, 109286710278021167, 109297598798890881, 109293733388620293, 108194657188230978, 109287766351054033, 109294584610187120]	Religion
ymiller419	scholar.social	[]	Religion
douggay	mastodon.scot	[110111215829480126, 109516141129630307, 109243388372609150, 679609, 29828, 409710, 109245332094566989, 108197353164429563, 109258296808168417, 29692]	Religion
thomasrenkert	scholar.social	[1145379, 110239431917963508, 510714, 810572, 108195816983123780, 110128881170754187, 109978261704996014, 109966123352325705, 355645, 596215, 109516141129630307, 109248152768065493, 109244558561990992, 109243388372609150, 109256906323204875, 108198704692509177, 108220839018832639, 108194296859840955, 109249727689978662, 108747501246863258, 109327356820123944, 107192220324249637, 108131420726034757, 109481969971041179, 108198407156769366, 108194307694818557, 108194565091878242, 1039881, 108270627905106629, 109248526312770186, 238772, 109258670747629091, 109242134864684061, 109251827142964076, 109354787096456222, 109250035718930069, 108196926118742118, 109357053635740224, 109248578238524021, 449705, 109250380708183352, 108208823247664505, 239106, 16393, 452864, 530646, 109362295015959416, 108141418618796272, 109257663224816187, 928913, 109245911437151830, 109245625888163613, 109354428293861665, 109256347811741945, 109246464640438404, 14469, 109247331757904472, 109228566177480948, 107588925506974839, 108225595395472956, 384230, 108240681824852698, 42534, 109244586809421959, 109246069806209450, 109258530142533008, 109295870287922654, 486885, 964579, 109256823390203246, 109246822754893722, 109242233908241951, 108130769549430985, 109251313618139359, 109244111167074567, 109240548236268344, 109252755620981416, 108426831108246202, 108196743712833678, 109253803920789184, 106974359153541901, 32440, 109246308036614816, 108222593188021942, 108194365870640555, 487612, 109243803422695841, 621375, 109245743319666505, 109252918964682655, 109241995804981879, 109256235698218043, 109248313832390197, 108130623239625260, 108194329034823490, 108226462308194031, 108196659293481267, 109259797244452860, 109215806011730188, 109246044479113652, 109246638703316482, 34846, 109247609931231234, 109238950410739987, 463414, 106473671148541506, 109244989340720814, 109250654645486476, 108225855351492145, 108232022161908124, 108196887204460905, 109245430593163172, 109247712952305913, 19614, 109258170098626882, 109247342309770799, 108195324866791755, 108194363543185150, 109245183842309470, 109238958365441047, 109241960187037403, 109257896171348579, 109253013345809268, 109258118563337118, 109243140356117545, 109245783259211107, 109245064228909969, 109246120984435842, 109253110870476359, 109253534017639961, 109253030849652168, 109239974424064157, 109252344582209344, 109247724390998873, 109245508337104370, 109244964821239330, 1078345, 109127226175460199, 109244901910237086, 109245343239735522, 109240045332800603, 109245452013550611, 108143392204626094, 109247125825140391, 108137068582298268, 109247747572950109, 109241645729324283, 109250597888383818, 28527, 917261, 472228, 109243118156218972, 107814253040626769, 108148604410652542, 108227219953947974, 108239349117560863, 108232829351713150, 108217295884722939, 108192770083460891, 108197619304007474, 108197353164429563, 108197179738424305, 108193120856673023, 453140, 137024, 189868, 945158, 608266, 293828, 427636, 388999, 478260, 499034, 430527, 166421, 476547, 338437, 475496]	Religion
davidbunce	mastodon.social	[109287770859631076, 109966123352325705, 109952808623453687, 109832026286496022, 109754470722708398, 109377787785576134, 109516141129630307, 109243388372609150, 109292430908499016, 109536576463264039, 109289874844731725, 109524046802585237, 109304010169112862, 109338248402277298, 109507696073488741, 109320599446452174, 109317139199907559, 109280213385652316, 108282633411334803, 109425074299890935, 109112042332176159, 109366365994660041, 109418856447600238, 108204040413327060, 109387826985161301, 109363165526672176, 109372179220131101, 109263981466695268, 109366446139337498, 109309134723669141, 109366341172052146, 109366323735382571, 109324309184444880, 109287464350276206, 109358759249939044, 109332576385768122, 109353553203425057, 109332958990623713, 109332585453848808, 109307693058741935, 109330546680089745, 109245409174906070, 109338365962292365, 109248152768065493, 109314704038075501, 109309432135767897, 109314881605315364, 109292826767066071, 109299539353651352, 109293666047373476, 109324057569327994, 122882, 109291497288954948, 108196659293481267, 109297236391978177, 109290380048863419, 108426831108246202, 108130623239625260, 109290903821280650, 109331476285675924, 109329481372019494, 109295893489046988, 108194414564017573, 1127201, 109312722535648603, 109279021897234545, 109309222645239818, 109267668355846942, 109295858127862261, 109279337920451517, 109303052738545989, 109303924580151981, 109293134625298404, 109293941088668936, 1233061, 109286588363666574, 109291096383265395, 109288587674625754, 108232348089219624, 109258345591321292, 427929, 109246310342559447, 108192770083460891]	Religion
