mikarv	someone.elses.computer	[38312, 110287954131405918, 26462, 110272163293403891, 109258382035560585, 110255340645580613, 110254358021653119, 110173335703448754, 110182373139040079, 108228796735866969, 110149306211201092, 109243932266873834, 109866314848311614, 110023822922164249, 110127046944915391, 110045112965022035, 110111958056697630, 109247153912127740, 110103269821267387, 6877, 110085146559740247, 110079444233948107, 1150138, 110066046876411588, 109970803095558650, 109998009358718426, 109984658838965461, 109958507008349497, 107082937590228026, 109244144514385218, 109240925652328967, 109504802744419847, 109833957341292248, 109845298550366701, 109913306935781074, 109909345145942044, 108192819797424389, 107461335281935530, 109891283186167941, 15930, 37039, 109865025092396275, 109521095167115681, 109875738746471786, 465322, 109854169847907308, 109248412805865436, 108229020229085671, 1183008, 108478157779470335, 109297760525386768, 7672, 29693, 491162, 109258558168841784, 146479, 917512, 1150605, 643099, 7289, 109378534960452741, 491969, 109245295378697252, 108196752465494622, 513731, 109245705015041265, 109439253303313672, 109257652541448007, 341755, 109795180197667817, 108458528889853643, 288600, 239549, 31048, 893373, 108194692499964138, 109253443811831462, 109229574951982601, 194135, 108229710933335289, 109217853241763937, 2135, 310191, 108317827566032057, 109257637803491914, 109246575298759213, 1126835, 109362171487423993, 107990518454921286, 109648744105191077, 106880741183424497, 106777611362144303, 106722140143338945, 109258780710235774, 303481, 1099713, 366382, 109214679310542698, 513542, 109497523612872482, 385747, 486615, 109305165689125251, 1003762, 773451, 423111, 109236212832785386, 415205, 14838, 77919, 883350, 109246823249940290, 109217716203840624, 109208339303298149, 109242048630848015, 32440, 34854, 109501307977302300, 109362295015959416, 107104446232995864, 109348929374002223, 263160, 109490718645915994, 107192220324249637, 973949, 109244294736134796, 15662, 488935, 109258018676849983, 1278165, 108221281877319300, 2868, 109241545464358478, 108197062222203430, 109257697591040668, 109257870290883574, 109251278189971781, 35000, 203916, 109244562005029602, 109540512487475878, 108380166461345327, 18196, 109246331391168008, 681723, 109245673482160290, 252074, 23199, 107215301464188384, 109519371747295342, 692631, 109506003668371422, 109258550747807971, 10301, 109298629289288090, 855, 109243708859283489, 108199052370473764, 109255962566628328, 108169604735013050, 109257005269101562, 109308139938082988, 109503728955782448, 109248671966010521, 109291693145480049, 407180, 457256, 109248404992469893, 109249966054868404, 422556, 109256696113250977, 109243241660510827, 268802, 109359210972036883, 109249018128917101, 109245402301246237, 108197423116502373, 109256849808826283, 109312813560618716, 415017, 534384, 108197222255602291, 109244363859273819, 109352965488059299, 396605, 17591, 38728, 109245444446254730, 109360098771597576, 109253047767839166, 37131, 109245602801289084, 109521053592059471, 108194942817981119, 109520494376671986, 109362231463779913, 34731, 109250658798084622, 458120, 109314506659787077]	Tech Policy
katjamat	mastodon.social	[110300692930375662, 110298565370478343, 110272765807497344, 110255114024079669, 109253194480328017, 110245571292560480, 1134378, 108096914931537631, 1302832, 109302937858846559, 109300023291041161, 109291396117488631, 109258023740471414, 109802350012839484, 109244649251416505, 109294964899133606, 109306757939022074, 109904364346388794, 109511033645508444, 108239349117560863, 109859471067794949, 109279994969856949, 109375997767724171, 109244582805510434, 106691976306381444, 109825525193259835, 109329967988454458, 109802602910063272, 109783673006157090, 109286086384148384, 109240651750188703, 109522196516546844, 1210678, 109759355859044131, 109755092954566607, 109748015595637204, 109554008057681856, 774971, 109258382035560585, 109546554371432688, 109734506473674772, 109323478154989138, 109675516067875465, 109236212832785386, 109680693177471479, 109302931616695808, 109662403111453975, 109422188054952208, 109536252710096897, 109243668825210826, 1355287, 109429106882847775, 109302115678933936, 109292236172055483, 109604271355483389, 109601928095963665, 109374298595280817, 109575787353540144, 109581410875781672, 109580083133444883, 107192220324249637, 109552991704842704, 109557332207245042, 109315418470390757, 108407835132314575, 109370570612983541, 109546177196348277, 109545250315027737, 109538236560170378, 109539228774344041, 109450523239240964, 109246554904857531, 109539684144275170, 109412790510330174, 273736, 109537060712665360, 108252974845998062, 109536858020845128, 109536774275062613, 323614, 109245541094634872, 109248146149272677, 109534038248055014, 109368779687740629, 109532610184698618, 109310109831153612, 108249756583517151, 109527129264310621, 109268328241505575, 109524674814674148, 109524096157850705, 109301999351372284, 499480, 109520977302259721, 109373052314937890, 109512699766042510, 109513581859215932, 108217439974865383, 109511472859805622, 109301174412388602, 109273525248424858, 108280959531290778, 109490294692396013, 65397, 109472922915609994, 109246169537795672, 109365414338529550, 109240835082812321, 2500, 109457868739702551, 109421678219273788, 109264207571969744, 109221192702463357, 109437946213235468, 109271269371918097, 109448805058234491, 109445821774444243, 109431499554800224, 109433345005128649, 109437632794832211, 109395393770308779, 746498, 109416999912144504, 109429330440684806, 778778, 109245531519879403, 109361544921116634, 109291338568453013, 109377516049423072, 109370616604109273, 108197182010956405, 109241425198555601, 1349107, 109328986309426941, 109244893399738559, 109406551919593378, 109405238625810971, 109330631983603538, 109208008086317816, 109369932682248682, 108386856787134357, 109245867923142205, 108200276627948562, 109261496200026542, 109400031618006148, 109399857549187640, 109398802198330133, 109394395402947754, 109253654307358400, 109391735612761840, 108176559827658279, 109371440379867805, 109389347062872779, 134070, 109377920469863698, 109390133898208853, 109299938727698981, 109357872037236482, 109243139631965273, 531544, 109387271609895794, 109371132803202301, 109332282249094352, 109337115758382806, 109377536289047409, 109343453776282154, 109367482074640999, 109383138572280705, 109382417410664167, 109365375796930143, 108200035128498938, 109309258611465765, 109308107334450591, 109377982864212002, 109377530622076740, 109246493498769663, 109377233167625565, 109299002453444338, 109372087598901758, 109298752882188327, 109375601719331815, 109292468496360320, 109374386962997839, 109374513977456140, 109371839203083681, 109373006963491280, 109372025515316562, 109336830926768744, 109366021129907931, 109370887813549388, 109253658378839026, 109264940317405310, 109370800831443843, 109370669004244087, 109315729310055638, 109370074300556652, 109326687458147214, 109369989358717091, 109302067803919978, 109343959773548072]	Tech Policy
kik1	mastodon.online	[]	Tech Policy
CatherineFlick	mastodon.social	[1080913]	Tech Policy
ggrill	mastodon.social	[110298565370478343, 110266328632964447, 109543526411403276, 110231109976274880, 109604392733413181, 110173335703448754, 110168119779449150, 108096914931537631, 110152058037306665, 110151973548498533, 1302832, 109364594325167192, 109952784757270174, 109830233977308034, 110026798430270218, 109976406489375367, 109300023291041161, 371942, 109258023740471414, 109845298550366701, 109930400655432322, 109294964899133606, 109306757939022074, 109852343259315199, 109244582805510434, 109848354340721786, 109820097374667174, 109362126143947628, 109305056593718486, 109593389810533647, 109748015595637204, 109554008057681856, 109379567997657990, 109303466687834728, 109546554371432688, 109734506473674772, 109256378531828188, 109722035992905577, 109291928372593124, 109699809350725155, 109682075969738328, 109302931616695808, 109253288464043190, 109243668825210826, 109429106882847775, 109273659333945010, 108282607750436432, 109302115678933936, 109355114773234029, 109244649251416505, 109575787353540144, 109257697591040668, 109580633685139762, 109552991704842704, 109559473747434367, 109306850733326946, 109370570612983541, 109248920403126766, 109343689264479323, 109366143410902567, 109507262726970353, 109520754136939706, 109389773034249407, 588147, 109524474551080133, 109251505212625301, 109538671918529451, 109308071374710714, 109539228774344041, 109450523239240964, 109540378796666195, 109246554904857531, 108130456342199993, 109537042327337245, 109267347902415120, 109317823395337713, 109326089248813292, 109537237859742993, 109304333680739555, 109537093403151389, 109287071836868864, 109536554466394821, 109245541094634872, 109248146149272677, 109534038248055014, 109368779687740629, 109532610184698618, 109530332201948595, 109527129264310621, 109515490580832544, 109526208263799959, 109525894202057058, 109268328241505575, 109299828982957753, 1109461, 109292149607208489, 317046, 338732, 109522453917658135, 261457, 109521080053828825, 109341404591420828, 109512699766042510, 109513546095078614, 109501828738617190, 109513219270856536, 109509868786093235, 109301174412388602, 109497144777337293, 109352965488059299, 18980, 109246178336249926, 108280959531290778, 107192220324249637, 109287829272233917, 109490294692396013, 109484224126570641, 107520461119906201, 109474434982629772, 109473331508475197, 109472611508264434, 109365414338529550, 2500, 109459666225351186, 109421678219273788, 109246537530292465, 109299370240972106, 109249643504294545, 109395294141523735, 109221192702463357, 109271269371918097, 109445821774444243, 109444784032054817, 405401, 109428921486102953, 109268095962089652, 109265497505368169, 109343413089661757, 109416999912144504, 109429175308688908, 109351391899822231, 109423047827843137, 109377516049423072, 109275309963599784, 109418051179721402, 109370616604109273, 109413678660870414, 108197182010956405, 1349107, 109328986309426941, 108194816968135195, 265987, 109412611689352706, 1227780, 109299229441913390, 109406551919593378, 109405522991579763, 109405548198118295, 109393518308009006, 109400211229387011, 109399857549187640, 109256922784173520, 109244100699597330, 109394395402947754, 109249973187148543, 109391735612761840, 108176559827658279, 109368341464971255, 109387994213101089, 109371440379867805, 109365725337134076, 109389347062872779, 109392410725946568, 109303456601429990, 109390133898208853, 108358934271821753, 109299938727698981, 109243139631965273, 109351532614207153, 1015801, 531544, 465718, 109283458548356923, 108170667683830525, 109353356747223626, 109377536289047409, 109340981581600836, 109288181824834438, 109367482074640999, 109370074300556652, 109320180088934660, 108199682391061598, 109245909098292340, 109377920469863698, 109329125617503195, 108200035128498938, 109293237514551324, 109251432986671944, 109377530622076740, 108377903339852401]	Tech Policy
MariaMichalis	mastodon.social	[109405522991579763, 109552679382173805, 109365314953894050, 110045112965022035, 110093419134477255, 107192220324249637, 110021324794464458, 108238282984143523, 109501973780104369, 109378842367878335, 109973930312660685, 109976406489375367, 109975961383682286, 109958077349092094, 109865025092396275, 1039784, 109303466687834728, 109825850936243932, 109825844393453316, 109283444258683118, 109258198681127215, 109256378531828188, 109811237420547107, 109309867889917274, 109289602174179003, 109774667532213362, 109378186252326780, 109282287308851216, 109350896507703492, 109337341298553736, 109734506473674772, 109269240651519329, 109313622007982794, 109422188054952208, 109429106882847775, 109326708446932196, 109628395193676255, 109305757704916037, 109302115678933936, 109619655779336387, 109587228181179202, 109575787353540144, 109590416271263779, 109546392000743215, 109252828013475620, 109352430071408119, 109539384089625866, 109529824048572691, 109297284094771248, 109490191430788855, 109530332201948595, 109528029248460410, 109411286182792301, 109525894202057058, 109281240401865353, 109405652013160743, 108202076785082997, 109509868786093235, 109505952059643513, 109416999912144504, 108280959531290778, 109497273217114941, 109243388372609150, 109423157225559238, 859347, 109295736192498324, 271083, 109321321714558962, 109377465633587143, 109344259614111428, 109434241985097729, 109445821774444243, 109279593780640673, 109297460647036670, 109365983262721688, 109350566052231062, 109428964523692901, 109347634135857879, 109246335075010082, 109230919022424872, 109374062143857462, 109370616604109273, 109342711727073259, 109332339843542847, 109304143574128751, 109353655851212670, 109325119105046863, 109381064077744014, 109323567663273111, 109415832532772589, 867810, 109357780591124089, 109406551919593378, 109376959667303402, 109398847506601918, 109390322423268598, 109248526312770186, 109331355201450638, 109354147938194536, 109332013312142977, 109383412066112702, 109382299283819878, 109246575298759213, 109370414746607947, 109377920469863698, 109322458701442334, 109377233167625565, 109371839203083681, 1069349, 109298330442785302, 109366619151450429, 109313400365033900, 109355714762314319, 109365444331840797, 109370669004244087, 109370569698461615, 109350522403329977, 109367398091160289, 109368775907618517, 109326342429005451, 109315512992614634, 109251652608721241, 109290889267597841, 962513, 109355689615913403, 109359518352503282, 109259584671243136, 108415007987724843, 109309493159790074, 109350299550714370, 109328167511463452, 109246216106838026, 109332868533118157, 109295580820586387, 109274411225158108, 109263165163024513, 109324034303020735, 1350479, 34846, 596933, 109259021840449625, 109258462527292000, 109338440335864399, 109242292246443166, 109341494655150091, 108227841695564409, 109245377181546895, 109338412237384591, 510395, 281429, 109336001618582539, 109291375732539012, 109332024809118868, 109299247023568930, 34236, 107272198614640371, 109298241843845417, 109246185019682013, 109305302636666631, 108199657962432775, 668440, 109255677802234737, 109270938878267704, 109297659070109772, 109247222862939141, 109251866762664076, 109248084799217870, 109295583105231243, 109319404764758216, 109319084438684767, 109316870139959153, 109316293361563613, 109282398256920661, 109280652451637529, 109300201346262564, 109287517566819300, 109311451536206930, 109309914331768512, 109308902815604745, 109307075605014284, 109301905435083387, 109286113242633307, 109259702289492352, 109259050567021577, 109307075620741183, 308279, 109243937416530949, 109306774854965154, 219049, 109293260161987669, 109303301049823177, 109302059757304224, 109290130540014129, 109258522013148702, 109302421123689442, 109296670048797532, 108447557020799687, 109290867675582746, 109292103320045161, 109301485884830224]	Tech Policy
RobertSeyfert	mastodon.social	[110311238205166221, 1269240, 110298565370478343, 110293477871969985, 517450, 110068921406778348, 110141172424536208, 109558051203927100, 110231109976274880, 110224324027074719, 110205140786548661, 110173335703448754, 110149979465086052, 109422761783889838, 110156115049480803, 108096914931537631, 108215094929699426, 110151973548498533, 1302832, 109261593365882774, 110097268329385154, 110129034509128503, 109302937858846559, 109247411153111818, 110074903713339051, 109992708949273560, 109942143872552342, 109976406489375367, 109300023291041161, 109258418700926598, 109389029643677250, 109953205986035894, 109376119804856292, 109258023740471414, 109826298710147677, 109525228289097115, 109294964899133606, 109306757939022074, 109749036463138663, 109287573679718695, 109727883339218958, 109677822246393830, 109541313393074845, 109325622938527074, 109814033695659949, 108147087055662876, 109621163756599194, 995191, 109553039188483862, 109676654523022538, 109711413948907625, 109748015595637204, 109263777987306770, 109554008057681856, 109739465017369063, 109546554371432688, 109734506473674772, 109703716125900026, 109370800831443843, 109715026326844502, 109323478154989138, 109710314825079112, 109451612833540969, 109250642955776359, 109243668825210826, 109429106882847775, 109273659333945010, 109495076300462487, 109636541971062062, 1137394, 109302115678933936, 109291823167123519, 109519669390034248, 109553742901492243, 109625747958491856, 109620162353816252, 109364040531715523, 108149469967252931, 511686, 109596223751695236, 109593167876161811, 109592189431408593, 109575787353540144, 109586157838585015, 109244541611212393, 108203563357788946, 109250073313715210, 107192220324249637, 108198543265003851, 109291396117488631, 108220716352921998, 108752010582013279, 109552991704842704, 109557723909303868, 109557112223733654, 109552801205798313, 109552508622328644, 109370570612983541, 109547984187027845, 109262388605035224, 109546732882041511, 109293483053418556, 109256003313985859, 109380772343205589, 109262616451618334, 396605, 109541491486196086, 109539228774344041, 109540378796666195, 108193302952227054, 109253307206912282, 109472981031327045, 109535283671592879, 109245804088995446, 109539904870977589, 109539400496074106, 109246554904857531, 109539537077543506, 109437964860172797, 109537060712665360, 109538589471859828, 109529805195125516, 109247813043668573, 109537721892520739, 109528867805043596, 108288806218507272, 109309210220108446, 109245541094634872, 109535199516932191, 109534038248055014, 109248146149272677, 109368779687740629, 109532610184698618, 109527309337702315, 109297659070109772, 109530332201948595, 109348921862032106, 109529618900685184, 109259672990739273, 109527129264310621, 109525894202057058, 109525412438679394, 109523997858307411, 109268328241505575, 109354631491763872, 109523794805418807, 109244351160611036, 109295732399383117, 109521032839662268, 109518932590751556, 109512699766042510, 109352965488059299, 109276069753731563, 109427771109450117, 109511317975306184, 109429742992387956, 109508010905681212, 109270201342137108, 108277881690305459, 109301174412388602, 109498195467163836, 108280959531290778, 109497540614998929, 109491437613444699, 109490943581308385, 108236707517081998, 109457619235922109, 109376549457266451, 109469394771329088, 109460699349117370, 109365414338529550, 109466878525741079, 109243388372609150, 501240, 2500, 109421678219273788, 109457914293904856, 109312431582382622, 109221192702463357, 109369234427384171, 109379834286736073, 109253658378839026, 109369323722576193, 109298585684602815, 109454915022732518, 585860, 109450523239240964, 109250217582652692, 109448569776046848, 109446134238005252, 109445779054528430, 109445821774444243, 109444924658884489, 109377536289047409, 109364001795679390, 109433936876244323, 109433345005128649, 109437632794832211, 291802, 109434409080656480]	Tech Policy
wiebke	mastodon.social	[110235430929336355, 110151973548498533, 110146581348239509, 109940555885849321, 109962353955852806, 107186501259917495, 109371072908279907, 109748015595637204, 109734506473674772, 109718842159046334, 109409853080268060, 109375701901758468, 109429106882847775, 109302115678933936, 109575787353540144, 109353913242187270, 109362085143690829, 109537893449526485, 109365463540667159, 109536197976154793, 109297659070109772, 109432483161060868, 109263688894197677, 404993, 108280959531290778, 109483177478864417, 109445821774444243, 109297686592304716, 109370616604109273, 109406551919593378, 108194042486874334, 109244355556975555, 108194364596271035, 109379306731164459, 109377233167625565, 109263366013936778, 101375, 109370669004244087, 109369282783141172, 109367437435115581, 109251652608721241, 109302710879633632, 962513, 109359518352503282, 109358516942471177, 109328167511463452, 109240045332800603, 108197648500615589, 109264601350083540, 510395, 281429, 108258379878570011, 109333492712421686, 109333089634589430, 109332469073425126, 109299247023568930, 34236, 109298241843845417, 109305302636666631, 109326936119355315, 109297155426480589, 109319331764748283, 774057, 109309778096366045, 109302778225238688, 109308758520538091, 573144, 109308041838196612, 109290243548609238, 109307624584003941, 109307301835800671, 109307352352928263, 109300375561721437, 109305253759351079, 109245085606991000, 109303429554162923, 109290130540014129, 109258522013148702, 109296670048797532, 109301485884830224, 109300955010236531, 109296800548773822, 109262287520240695, 109292771892176378, 109275529567401135, 108199281502070458, 109293941088668936, 109287618748711140, 109246223497667477, 109286635015199211, 109286533213851727, 108198913877839101, 482637, 109245743696236501, 109281638590800517, 109274673513154179, 109250875383964242, 109274666075152887, 109258432519347631, 109246502245218389, 109271342633509539, 64531, 109267472677949083, 109259180531380173, 109251401434523615, 109245381641975565, 109262746972526842, 109246260857164262, 109257172858404443, 1308864, 108204750432213523, 109260197116127787, 109244938544280286, 109256129080334288, 1318478, 109243018036240326, 109242956558036893, 108140462489609682, 109239468882228061, 108197911562201059, 109245413503522020, 109245452013550611, 109218088624859684, 109246526574088818, 109244834135463440, 109218861526850063, 109208722156896262, 109207599306718945, 109209054108244499, 109208487501437862, 109207045255793252, 109211219728336376]	Tech Policy
zukunftsheld	mastodon.social	[109506491967908320, 109499922749339411, 110298565370478343, 110293477871969985, 110231109976274880, 110205140786548661, 110173335703448754, 110149979465086052, 109294602271102242, 108096914931537631, 108215094929699426, 110151973548498533, 1302832, 110146638428070579, 110129034509128503, 109305357973645514, 108337165669155760, 109280241545002456, 109328986309426941, 109976448302004772, 109300023291041161, 109297871624208742, 109368407313299801, 109368084469253967, 109376119804856292, 109258023740471414, 109276271602366120, 680370, 109253260267910767, 109267071649334218, 109880373948317190, 109271269371918097, 109306757939022074, 109364279753190921, 109365251853295574, 109369766994062360, 109293092895875577, 108197182010956405, 109384401088501048, 109316320174323707, 109369234427384171, 109671360957148906, 109290817706419509, 109246537530292465, 109365314921684344, 109256823390203246, 109276627689689858, 109297673435629688, 109281224133317440, 109244100699597330, 109305344957901151, 109309901786424525, 109309733055519880, 109302874220686847, 282127, 109244649251416505, 109274265134083612, 109377459789623494, 109274673513154179, 109208722156896262, 109293279600849695, 109250689359399329, 109299558959141732, 109273219249077446, 109377204846469219, 109249000678757153, 109366721761417105, 109247069384438623, 109246507854283151, 109288048516806618, 109390158195870481, 109279505463148303, 964265, 109309636496811072, 108254504018816288, 109727883339218958, 109677822246393830, 109541313393074845, 109325622938527074, 108209484378752073, 109814033695659949, 38451, 995191, 109308944217913921, 109246794984203739, 1218826, 109307042557370025, 109528867805043596, 109242269963108251, 109734506473674772, 109325333993605172, 109438988764487535, 109715026326844502, 109711413948907625, 109462646536871827, 109451612833540969, 109660065329988770, 109526194936541861, 681723, 109398802198330133, 109429106882847775, 109331817500461142, 109642041400595106, 109273659333945010, 109239682052514617, 109327511969614579, 109302115678933936, 109291823167123519, 109362295015959416, 109246044479113652, 109625110406201814, 109465560341194728, 109369424078663257, 109403924377882369, 511686, 109253160378020836, 109495076300462487, 109592189431408593, 109575787353540144, 109586157838585015, 109369323722576193, 108203563357788946, 683922, 108225880254927224, 107192220324249637, 109378382501948802, 109286486152504704, 109295266230052250, 109446134238005252, 109403042940819469, 109377288962998357, 109313790508467477, 109208796671990028, 109295870287922654, 109358110716401740, 109562165954501580, 109251380693050237, 109354273577255082, 109364814074454351, 108205836703661485, 109522812864961994, 109319952665903467, 109245062935801881, 108430926135435339, 109324518826897478, 109352942801890694, 109377920469863698, 108205495804633724, 109557048766807316, 109380835376299443, 109344596883326802, 109307724734505905, 109281738826629489, 109421325211356166, 109524794440095560, 109304584577176164, 109552801205798313, 109301992338605421, 838323, 108130769549430985, 109547984187027845, 109262388605035224, 109546732882041511, 109285513969818927, 109372145626259690, 1265221, 109263031891575563, 109539880306169813, 109381226882993498, 108193302952227054, 109472981031327045, 109535283671592879, 109245804088995446, 109539904870977589, 109539400496074106, 109539537077543506, 109297615195755722, 109539461818889964, 109537060712665360, 109538589471859828, 109537721892520739, 108130504489324962, 108205529091779988, 109369154979595500, 109246103503611303, 109535199516932191, 109248019041285539, 109368779687740629, 109528758041064222, 109477939754933754, 108249756583517151, 109530332201948595, 109348921862032106, 109528160411432193, 109525894202057058, 109352965488059299, 109523997858307411, 109251624347269044, 109511317975306184, 109508010905681212]	Tech Policy
ProfRanjanaDas	mastodon.online	[109246145174386776, 371942, 109845298550366701, 109930400655432322, 109362126143947628, 109519252604163157, 109257697591040668, 108380166461345327, 109360098771597576, 109352965488059299, 109501828738617190, 109497273217114941, 109243388372609150, 108199284242066658, 109253291748429508, 450972, 842727, 109399538435830688, 531544, 109245909098292340, 109221355840788554, 109244100699597330, 109247672526588556, 109257466958468736, 109245501221011054, 109257875045661901, 109239517154883307, 109248473909855061, 109241525280079609, 109253341239429349, 108197648500615589, 109240181848353779, 108193536270114883, 109246333868969486, 108227841695564409, 109214618317337869, 510395, 109244618707098765, 109253792537270451, 109229062211916921, 975364, 34236, 109252437565720554, 109313583679608371, 311896, 108194435342863190, 109237462758978702, 109250821236105565, 109218838692154427, 109257536895128391, 109247528659890454, 454688, 109247132174585568, 476510, 108199209267286153, 108198739521393355, 109215806011730188, 357745, 109247469682426959, 109249658402510624, 109220204729362913, 109249000678757153, 109244324741581256, 109208754722848494, 109246105140985229, 109257334431060133, 108221814839663429, 109250642955776359, 108199281502070458, 109252054729156803, 109247818764735927, 109258300175995150, 109258446253851000, 109221661297802561, 109246223497667477, 109258432519347631, 109253160378020836, 109257006799028293, 108196250347937199, 259776, 109258013505564190, 108194111349566214, 109240379347570040, 109258406049189936, 108209928128783787, 109234840206704865, 20155, 109245377181546895, 109251271246224930, 109245458979343233, 109246502245218389, 109244189783181308, 109238503518989974, 109258211703541306, 109258735833887530, 300373, 108194391560460263, 308279, 109246044479113652, 109243344043946467, 109256165125765341, 109255677802234737, 109245452013550611, 109248116937552783, 109211382360243814, 109251529810148738, 109246260857164262, 109247222862939141, 109247069384438623, 109239418707859674, 109245908814605856]	Tech Policy
