churchofengland	a.gup.pe	[110238362372589361, 109516141129630307, 109249727689978662, 109358974222696599, 109249447597925115]	Theologidons
pmphillips	amastodon.uk	[110238362372589361, 110106604540818222, 17716, 109930984016325938, 109852041031725331, 109516141129630307, 109243388372609150, 108198704692509177, 109249727689978662, 109497273217114941, 109481969971041179, 109357053635740224, 109247874123622902, 559242, 109354600268066616, 109244355608618266, 450972, 109354787096456222, 109362295015959416, 238772, 573016, 109248152768065493, 38818, 109257682328830943, 109258557773710232, 338275, 109330463858194472, 109113053657889770, 137024, 19614, 109245062935801881, 109253013345809268, 108197353164429563, 109203796694396501, 109251263166933851, 109244610888648684, 108217295884722939, 409710, 108196752465494622, 109259743076912247, 109112810904673656, 109248539386398771, 29828, 186913, 109249447597925115, 109250358725951700]	Theologidons
BassCan	home.social	[110106604540818222, 110106307394836615, 109481969971041179, 109362295015959416, 109516141129630307, 214074, 109249727689978662, 108197951076579152, 109244505666233213, 109251628927842911, 1104801, 109354956978248185, 109371010876960470, 29828, 109358974222696599, 109355092413693282, 109338442784923811, 109245333386770478, 108194761859599348, 108193243518748363, 109250467311834639, 109254292602320137, 109113053657889770, 108197416610174430, 108197870112728613, 109117223294097340]	Theologidons
c_stroebele	mastodon.social	[109287770859631076, 109342853970233567, 107254758235241154, 109558051203927100, 110271252377572916, 109381227004015118, 110151973548498533, 110083120066496744, 109405878513141188, 107214910970472279, 109276499464991991, 109381405778174609, 109248152768065493, 761427, 108584159726755862, 108130623239625260, 109319397723174880, 109851488588875834, 109656701054426213, 109756261958913317, 109321205373778023, 109383395942656868, 109825105536918159, 109712194834732097, 109245883102309612, 109777293259451844, 109432689618634170, 109754470722708398, 109245236719419669, 109284343662276478, 109320580873918495, 109399695653283470, 109497893453466322, 109377787785576134, 109370102251763615, 109675516067875465, 109364283747980529, 109649738046459359, 109682046745529363, 109372145626259690, 109320746115332435, 109629994686554999, 109631893142233969, 109635758981784140, 109621167898313720, 109273728727397696, 771418, 109615716229968291, 109602168189640744, 109288943684644905, 108257505786332390, 109245356565701512, 109585176795565918, 109516141129630307, 109243388372609150, 109480089356015229, 109305040071386358, 109337810611328453, 109536587297833923, 108370074233053557, 109269175562829888, 109423196427661867, 109307590975361247, 109541639514701010, 109399695762966372, 109358759249939044, 109544884132463095, 109536450291346573, 109250380708183352, 109533439804667089, 109369207475520980, 109304794254222700, 109355690565259890, 109245417878260261, 109249727689978662, 109514859624375694, 109366782915608421, 109524465987298129, 109118510604278751, 109249714226725313, 109320599446452174, 107192220324249637, 109317139199907559, 108147087055662876, 109337216796243958, 109463461611495998, 108197272792302221, 108214856333947167, 109382819170883982, 17716, 109444349721894645, 108240681824852698, 109425074299890935, 108201500423540756, 109437655015477183, 108196913733064511, 109388301060302213, 109323926399015351, 109255361166728659, 108198921112183684, 109337127857330134, 108226462308194031, 108226330190772846, 108199035536724029, 109308866528819715, 109301710834629966, 1093674, 109366365994660041, 109347743725527840, 109418856447600238, 109331210054972636, 109325386058100871, 109417481534304007, 109399594603554110, 109372230263542627, 109371058592661853, 109376991477786210, 109247747572950109, 109278662885734809, 109329967988454458, 109274673513154179, 109299062499472735, 109246231739569724, 109246381501652753, 109251360655677773, 109366878899338900, 109388725509919021, 109388367536800355, 109386073706126735, 109371448602896000, 108153709028564804, 1201158, 109251397931956121, 109342706288197303, 108225880254927224, 109383784955692476, 109246120984435842, 108766092938363812, 530646, 109380798017882461, 109373920336328907, 109263250129460944, 109247869536870192, 108220881967979002, 109372179220131101, 109303924580151981, 109369921099628205, 109299413366604131, 109275715725162552, 109343620310234524, 109365938598183376, 109309134723669141, 109358812824566180, 109364159260705560, 109359937911662690, 109359050612759042, 109352238001932814, 109244530359814546, 928913, 108130769549430985, 109344207201785903, 109343777722249684, 109268352125884392, 109297423617522486, 109304017145866392, 109332958990623713, 917882, 108237393738008627, 109245452013550611, 109294258495309344, 109293150505642109, 1295335, 109307214159438265, 1227528, 108197140921242989, 109332647631921101, 1193913, 108193663669774863, 109304216157030571, 109330030503213805, 109326540819205705, 109257412887316860, 109302494047505900, 108194538352629555, 109329714755019999, 109329481372019494, 109244985636266195, 109238958365441047, 109295893489046988, 109259839092156863, 109257952170643583, 109253013345809268, 109246450276143016, 109313790508467477, 109258345591321292, 109311125326578956, 1127201, 109318983999308108, 109314509335963027, 109275328625538402]	Theologidons
neumedier	kirche.social	[110272639668504701, 110162982108991806, 596215, 332621, 109253013345809268, 37254, 317084, 109516141129630307, 108197192922948637, 109249727689978662, 917882, 109245343239735522, 108197669343735673, 108232894179076100, 107860325427745198, 332620, 109247747572950109, 108295318650536952, 1078372, 486818, 108130416522585500, 108413745742887177, 109242233908241951, 109252401357156998, 109251313618139359, 109247956903885679, 137024, 585569]	Theologidons
grahamrkings	toot.community	[110239431917963508, 110106307394836615, 109516141129630307, 109520852433950308, 109359937911662690, 109521022070025686, 109249727689978662, 109354046069365212, 108197311639029812, 109481969971041179, 108772405993602191, 109247874123622902, 109256248680647804, 109245413456050702, 109244505666233213, 108220881967979002, 109250467311834639, 109362295015959416, 409710, 108217295884722939, 109253671816230580, 109259594743684803, 109258782157110936, 109296839378893751, 108240681824852698, 338275, 256434, 109249447597925115, 456560, 412997, 109257050230682455]	Theologidons
MargotHodson	climatejustice.social	[109249727689978662, 109516141129630307, 109357053635740224]	Theologidons
andy	mastnode.faith	[108051043066980603, 110239431917963508, 110113857765937497, 109248152768065493, 109516141129630307, 109249727689978662, 109481969971041179, 231321, 531866, 109249447597925115, 109354205080330688, 109251757878003718, 338275]	Theologidons
hannareichel	hcommons.social	[110239431917963508, 110106604540818222, 110109141891385082, 110077996951021410, 109357843885968037, 559242, 109248152768065493, 108217295884722939, 109247609931231234, 109368089335661067, 109359205323924066, 109250380708183352, 109244111167074567, 107192220324249637, 108153709028564804, 109248578238524021, 109136575868792857, 108240681824852698, 109481969971041179, 108220881967979002, 107860325427745198, 109238958365441047, 109257575955293667, 109244901910237086, 19614, 256423, 109245343239735522, 109516141129630307, 109254651530660388, 109253534017639961, 109249727689978662, 109258336891205303, 108217761178377225, 109357053635740224, 109253013345809268, 109247874123622902, 1295601, 109245062935801881, 109245222500936715, 7343, 109243223760741482, 108130623239625260, 108147087055662876, 596215]	Theologidons
calidachu	mastodonapp.uk	[110106307394836615, 108217295884722939, 109248152768065493, 109516141129630307, 109354600268066616, 109249727689978662, 487104]	Theologidons
