ntoots	mastodon_name
8	DenisDuboule@mas.to
26	rider_jon@zirk.us
42	magnuspalmblad@fediscience.org
63	ohara@hcommons.social
16	neilstats@fediscience.org
366	geomblog@mastodon.social
23	macartan@sciences.social
60	emma_cogdev@fediscience.org
9	crablab@mastodon.world
91	RayGallon@mstdn.social
37	tfc@hcommons.social
40	msevilla00@mastodon.social
39	Andre_Mascar@fediscience.org
18	gabrielamarcu@mastodon.world
92	michellecimoli@fediscience.org
329	pietercolpaert@mastodon.social
2	antonietrebor@fediscience.org
40	ekfletch@mastodon.social
46	solartube@fediscience.org
1	andriestemme@mastodon.social
7	frutag33@fediscience.org
24	MatthiasNau@fediscience.org
103	PaulCross@mas.to
10	annamueller@mastodon.social
287	luxmoore@mastodon.social
3	PhilippMSchmid@sciences.social
197	david@fediscience.org
31	mattlindauer@zirk.us
2	LindaDouw@masto.ai
32	dtubb@masto.ai
1	LysanneSnijders@mas.to
1	MichelleCaplan@mastodon.social
13	marespadafor@sciences.social
9	NiklasJohannes@mastodon.social
389	pietrobiroli@mastodon.social
24	ProfKRC@mastodon.scot
23	AndreasPeschel1@mas.to
1	recklesscoding@fediscience.org
11	martin_giesel@mastodon.social
17	wolfgang8741@mastodon.social
25	SlangeLab@mas.to
10	pwkraft@fediscience.org
533	cfbolz@mastodon.social
1	ProfMRS@mstdn.social
4	Prof_Harley@mastodon.social
4	Ruwani93@mastodon.scot
620	vlk@mastodon.social
254	JenniferMaggs@mastodon.social
334	tommi@mastodon.social
9	caterinagratton@fediscience.org
42	mauriziosicorello@fediscience.org
265	SerhatTutkal@fediscience.org
2	Luke_Harding@mastodon.social
82	psychologician@fediscience.org
670	fetner@sciences.social
51	abbynoyce@fediscience.org
1	DNAlawyer@mas.to
1	SebSvenberg@sciences.social
238	sserbin@mastodon.social
43	annapowell@mastodon.social
49	jhpassoth@mastodon.social
11	whitcher@mastodon.social
51	peonor@mstdn.social
1	bellaw2@masto.ai
6	ekvraga@mastodon.social
499	Giselinde@mstdn.social
739	wrigleyfield@fediscience.org
138	mdlincoln@mstdn.social
57	mark_ungrin@fediscience.org
2	reinoudk@mastodon.social
74	bethcimini@fediscience.org
28	HagenSchoelzel@mastodon.social
1	volcano_diana@fediscience.org
2	JulienBethune@fediscience.org
140	crisprflydesign@fediscience.org
20	roger_p_levy@mastodon.social
26	jo_frankie@mstdn.social
7	FrankPattyn@fediscience.org
119	martkuldkepp@mastodon.social
74	KrisAnathema@fediscience.org
64	tristanstoeber@fediscience.org
1172	smaideman@mastodon.social
97	weelibrarian@mastodon.social
26	dalcantonJD@mastodon.social
20	CoralieChevallier@fediscience.org
1	andrewperrault@fediscience.org
4	christoforos@mastodon.social
58	spartakan@mastodon.scot
530	MatteoCarandini@mastodon.social
178	fraistat@zirk.us
44	ahvinson@mstdn.social
18	klara_soukup@mas.to
9	ewan@fediscience.org
30	ProfFionasm@mstdn.social
279	jessecohn@mas.to
25	markusvoelter@mastodon.social
80	coralsncaves@fediscience.org
5	fmassin@mas.to
89	nmayhall@mastodon.social
59	SScottGraham@assemblag.es
90	lexolf@fediscience.org
99	x7557x@mastodon.social
2	FascinatingPupa@mastodon.social
25	drkate99@mastodon.world
3	Megan_A_Stewart@mastodon.world
110	tomoshea@zirk.us
17	RVanneman@mastodon.social
860	W_Lucht@mstdn.social
2	UriShalit@mastodon.social
17	haiderlab@mastodon.world
249	jessejiryudavis@mas.to
643	adamsteer@mastodon.social
1	profvigeant@mstdn.social
7	sdbreslin@assemblag.es
110	GioFassetta@mastodon.scot
5	mpoblet@mastodon.social
36	moneschleper@mas.to
111	__nate__@mstdn.social
46	rkadelhi@mastodon.world
42	axemaiden@mstdn.social
3	stephaniemedleyrath@mastodon.world
26	icastelaohuerta@sciences.social
752	katestarbird@mstdn.social
4	tinainalbon@mstdn.social
3	berndweiss@mastodon.social
28	Andi_Microscopy@mastodon.social
300	luis_de_sousa@mastodon.social
4	nepearce@fediscience.org
4	jongleur@fediscience.org
42	fergusmcneill@mastodon.scot
34	alittleroad@hcommons.social
7	asternmichelle@fediscience.org
32	schwilk@fediscience.org
27	MarshPrincess@mastodon.social
10	dsp@mas.to
57	CharlesDriverAU@mastodon.social
29	rjgsousa@masto.ai
24	JoachimFuchs@fediscience.org
40	logological@mastodon.social
2267	andrei_chiffa@mastodon.social
71	BaharTuncgenc@mastodon.world
13	vnoel@mastodon.social
232	sascha_wolfer@fediscience.org
15	cassmos@masto.ai
59	ritahamad@sciences.social
13	koch_means_cook@fediscience.org
80	olihammond@mas.to
13	linkki@mas.to
113	MartinStendel@fediscience.org
2	argamon@mastodon.social
6	MRIman_9@mas.to
78	ulrikekrause@sciences.social
37	jake_wittman@mastodon.social
21	PatLazarevic@sciences.social
4	cmbrierley@fediscience.org
17	JenniferWhyte@mastodon.world
441	ChrisBataille@fediscience.org
20	Gav_Armstrong@mastodon.social
24	Maudbo@mstdn.social
7	AlexWiegmann@zirk.us
63	heinivaisanen@mstdn.social
32	FabianPfeffer@sciences.social
59	ruudhortensius@fediscience.org
6	memory_control@fediscience.org
12	barrycsmith@fediscience.org
750	iceadvice@fediscience.org
16	stefanherzog@fediscience.org
7	MKFlugge@mastodon.world
4	andeekaplan@mastodon.social
17	andreanini@mastodon.social
28	richlucas@mastodon.social
141	jonathanstray@mastodon.social
1	RachelAldred@mstdn.social
8	srsandve@mas.to
79	diver@mastodon.social
21	JanaHasenacker@mstdn.social
3	archaeozoo@fediscience.org
781	mcaleerp@mastodon.social
3	pauline_franz@mastodon.social
6	sam@assemblag.es
2	sparsity@mastodon.social
60	reinholdleinfelder@mastodon.social
1	john_zinda@sciences.social
62	wentasah@mas.to
4	mrosen@fediscience.org
397	Maximilian_Mayer@mastodon.social
47	aaronclauset@fediscience.org
760	aspuru@mastodon.social
5	larshubatsch@mas.to
1	cahirokane@mas.to
19	ekfarran@mastodon.social
5	sdurabernal@fediscience.org
29	spiralizing@masto.ai
287	DrDree@mastodon.social
8	ProfRArmitage@mstdn.social
114	stefanhartmann@fediscience.org
22	danbose@mstdn.social
13	alteraf@mastodon.green
2	omarcheta@hcommons.social
101	NivReggev@fediscience.org
35	mirela@mastodon.social
63	cbrueffer@mastodon.social
6	jagephart@mstdn.social
5	davidamckay@mstdn.social
116	alex_wuttke@sciences.social
16	samirawadnunez@mastodon.social
168	A_J_Millar@fediscience.org
5	katharinewillis@mastodon.green
760	ballaschk@mastodon.social
20	wouterpoortinga@mastodon.social
11	giselaredeker@mas.to
20	annahm@mstdn.social
76	jamillaaz@mstdn.social
1	erinmr@mas.to
20	susieoftraken@mastodon.social
8251	pvonhellermannn@mastodon.green
26	hilarybarth@mstdn.social
7	ashpags@mastodon.social
2	apradel@mastodon.world
22	fzenke@mas.to
60	sroulston@mas.to
18	guerzovich@mastodon.world
53	ThomasRhysEvans@mas.to
2	thalassa@mastodon.social
5	lynrobinson@mastodon.world
196	michaelalevin@mastodon.social
7	kai@fediscience.org
13	annagloyn@mastodon.social
7	megancarey@mastodon.social
14	jleser@sciences.social
81	gabioshka@mastodon.social
74	oonahathaway@mstdn.social
1	brungio@fediscience.org
89	catiehausman@fediscience.org
8	nkundiushuti@mastodon.social
85	lisagiven@mastodon.social
10	joshdaymude@fediscience.org
7	LPenke@fediscience.org
51	kpomi@mstdn.social
19	LukasKapitein@mas.to
6	CostisDallas@hcommons.social
3	dave_matus@mastodon.social
193	uecker@mastodon.social
4	PippaSim@mastodon.scot
8	jendavies@fediscience.org
2380	rodhilton@mastodon.social
14	pmyteh@sciences.social
350	literature_geek@hcommons.social
70	jillhopke@mas.to
1	lisafederer@mastodon.social
288	sheribiesen@mastodon.social
3243	faustosterling@mastodon.world
37	RS_EU@mastodon.green
102	AWarb@mastodon.world
540	Rieder@mastodon.social
34	numbleroot@fediscience.org
13	saltikoff@mas.to
36	jsta@mas.to
16	muerko@hcommons.social
12	lemibaruh@mastodon.social
24	volzo@mastodon.world
79	carlbrusse@fediscience.org
80	ingridrobeyns@mstdn.social
232	sirileknes@mastodon.world
51	briemreid@fediscience.org
10	ashleymuddiman@mastodon.social
125	hjalmarcarlsen@sciences.social
5	hannak@mastodon.social
3	dbenoit@mastodon.social
602	DrEvanGowan@fediscience.org
99	giacomoi@fediscience.org
103	johnmjones@mastodon.social
1	joncannon_neuro@fediscience.org
63	MatthewCollins@mastodon.social
11	rashel@mas.to
36	dougwest@mstdn.social
32	Georghenning@fediscience.org
53	AnsgarAllen@zirk.us
19	eugenio_marco@mastodon.social
26	BryanLammon@mastodon.social
19	yannistheocharis@mastodon.world
117	bestqualitycrab@mastodon.social
694	jmcrookston@mastodon.social
76	lindedomingo@fediscience.org
37	CathyAbbott@fediscience.org
2	robinsall@mas.to
6	joel_luethi@mstdn.social
3	lourick@mas.to
672	rebeccanatow@mastodon.social
48	pavlosvas1@sciences.social
731	bbak@mastodon.social
2	oferyizhar@mastodon.social
211	PoLaRobs@fediscience.org
74	katejjeffery@fediscience.org
748	dgfeist@fediscience.org
10	NeuRoman_cer@fediscience.org
72	realKatrinaD@mas.to
2	danielcapis@sciences.social
5	Allison@mstdn.social
589	asbjorndyrendal@mstdn.social
12	SeanBlakley@fediscience.org
33	chrstn_e@mastodon.social
180	elisa_sdem@fediscience.org
26	quantschmant@fediscience.org
137	tillsawala@mastodon.social
541	shqippy@deacon.social
2	marianapereira@fediscience.org
22	kimmokarhu@mas.to
138	biocs@fediscience.org
7	tatianaeflores@zirk.us
1755	koen_hufkens@mastodon.social
49	StevenStrauss@mastodon.social
1996	mia@hcommons.social
442	Sheencr@fediscience.org
220	florisbiskamp@mastodon.social
185	roelof@fediscience.org
20	psipear@mas.to
159	uma_karma@fediscience.org
17	ecozzo@mastodon.social
1	MaxBruchmann@fediscience.org
2	mariekehaan@mastodon.social
227	J_Geschke@mastodon.social
1	ben_matthews@mstdn.social
47	robertvief@sciences.social
1	kasiapaprocki@sciences.social
39	heatherstaines@masto.ai
10	fiona_whelan@mastodon.social
30	normanrz@mastodon.social
2	kimberlee@mastodon.social
3	jz_psych@mastodon.social
6	sscambler@sciences.social
533	EdMHill@fediscience.org
125	DrMikeStanton@mstdn.social
127	bpfairfax@mas.to
1	pacocuak@mastodon.social
6	OertnerLab@fediscience.org
1	FassiLuisa@fediscience.org
25	violetcv@mstdn.social
221	jw_lockhart@mstdn.social
24	JanetSiegmund@mastodon.social
21	alexxai@mastodon.social
239	rafguns@mastodon.social
8	kirstygrainger@mastodon.social
6	stat_PT@mastodon.social
71	kjj@mas.to
3	steffiorentino@mstdn.social
466	margraf@mastodon.social
3	hwkwonsoc@sciences.social
9	kuhla@mastodon.green
355	beps@mastodon.social
352	drrodebaugh@fediscience.org
56	JKrueckeberg@mastodon.social
126	jmlilly@fediscience.org
5	JaviAgua@mastodon.social
3	alexsilver@fediscience.org
230	MattHinton@mas.to
1234	cepaea@mstdn.social
2	bedecato@mastodon.social
28	NilsSteiner@mastodon.social
17	danielcarlson@sciences.social
106	phdmas@sciences.social
1	jsh_jhnsn@mastodon.social
147	christakou@mastodon.social
161	jason_m_kelly@fediscience.org
225	michelnivard@fediscience.org
21	bschlipphak@fediscience.org
151	jgpausas@fediscience.org
237	alelazic@mastodon.social
5	njchiang@fediscience.org
571	NitzkeSolvejg@hcommons.social
3	timbrady@fediscience.org
11	Bedwards@mastodon.social
121	monikamerkes@mastodon.social
4	mVranka@sciences.social
8	felixbaier@mas.to
209	JanaSvenska@Mastodon.Social
72	eriklindahl@mastodon.social
273	aeronomix@mastodon.social
36	justin_ales@mastodon.social
68	Evan_Stewart@sciences.social
7	Kkilteni_neuro@fediscience.org
5	Heesters@fediscience.org
46	seriousstats@mastodon.social
1	jasonmstevens@mstdn.social
29	mststats@mastodon.social
12	og_ko@sciences.social
280	SteveRuss@mstdn.social
11	janrombouts@mas.to
37	rgutzen@mstdn.social
28	JanZika@fediscience.org
71	DieterLukas@fediscience.org
1	uwearp@mastodon.world
1	nikaradziun@mastodon.social
252	GParrinello@mastodon.social
144	MoreorLoess@mstdn.social
101	balbionthebox@mstdn.social
32	dgaboriau@mas.to
