Account address,Show boosts
@mcastel@vivaldi.net,true
@vicgrinberg@mastodon.social,true
@imprs_solar@social.mpdl.mpg.de,true
@darren@astrodon.social,true
@esrabulbul@astrodon.social,true
@StellarAlchemist@astrodon.social,true
@mmontarges@mastodon.obspm.fr,true
@AIP_Potsdam@astrodon.social,true
@robizzard@scientificnetwork.de,true
@hcottin@piaille.fr,true
@bether@astrodon.social,true
@karinavoggel@astrodon.social,true
@LIGO@astrodon.social,true
@LauraWatkins@astrodon.social,true
@sraymond_astro@astrodon.social,true
@ProfDoubleJ@astrodon.social,true
@PeterMelchior@scicomm.xyz,true
@mustapipa@scicomm.xyz,true
@misaladino@astrodon.social,true
@Birnstiel@astrodon.social,true
@AURA@astrodon.social,true
@ominazzoli@scicomm.xyz,true
@mattkenworthy@mastodon.social,true
@HIprocessor@astrodon.social,true
@kellylepo@astrodon.social,true
@j824h_arXiv_astro_ph@mathstodon.xyz,true
@jwuphysics@astrodon.social,true
@timlichtenberg@fediscience.org,true
@actualdrdoctor@mathstodon.xyz,true
@sarahkendrew@mastodon.online,true
@planet4589@mastodon.social,true
@ThomasConnor@astrodon.social,true
@ec_euclid@astrodon.social,true
@VRubinObs@astrodon.social,true
@sundogplanets@mastodon.social,true
@Silvio_S_Cerri@astrodon.social,true
@nbatalha@mastodon.social,true
@tmegadeath@astrodon.social,true
@astroml@astrodon.social,true
@carobertemes@astrodon.social,true
@juliengirard@astrodon.social,true
@justtheletteru@astrodon.social,true
@jknodlseder@astrodon.social,true
@NatureAstronomy@astrodon.social,true
@AstroHoss@astrodon.social,true
@markmccaughrean@mastodon.social,true
@mpsgoettingen@astrodon.social,true
@jradavenport@mastodon.social,true
@imartividal@astrodon.social,true
@ognimaeb@astrodon.social,true
@boud@framapiaf.org,true
@stephenserjeant@mas.to,true
@VirStrakul@mstdn.social,true
@eamonn_kerins@astrodon.social,true
@jaztrophysicist@astrodon.social,true
@sydonahi@mastodon.lol,true
@AstroWoodrum@astrodon.social,true
@knud@mastodon.social,true
@GalacticRAVE@astrodon.social,true
@AlexSanterne@astrodon.social,true
@jfg_astro@astrodon.social,true
@sebastienmaret@scholar.social,true
