Account address,Show boosts
@skepteis@skepteis.social,true
@physicsteo@mastodon.online,true
@bspahh@sciencemastodon.com,true
@rbhar90@mastodon.social,true
@ATGarciaSosa@mastodon.social,true
@marwinsegler@mastodon.social,true
@caco3@scholar.social,true
@egonw@scholar.social,true
@davidzhuang@fosstodon.org,true
@pschmidtke@masto.ai,true
@aspuru@mastodon.social,true
@marquetand@mastodon.social,true
@MolecularXtal@mastodon.social,true
@margraf@mastodon.social,true
@fxcoudert@mastodon.social,true
@deadlyvices@toot.wales,true
@lonepair@mstdn.social,true
@adafede@mastodon.online,true
@cthoyt@scholar.social,true
@clemensisert@sigmoid.social,true
@rguha@nerdculture.de,true
@markussitzmann@mastodon.social,true
@janhjensen@mastodon.social,true
@khinsen@scholar.social,true
@kottmann@qubit-social.xyz,true
@johnpoverington@mastodon.social,true
@bzdrazil@qoto.org,true
@alexeyorlov@qoto.org,true
@drugilsberg@masto.ai,true
@mattschap@fediscience.org,true
@lilyminium@mastodon.social,true
@vtemarticent@mstdn.science,true
@ChemProfCramer@mstdn.science,true
@ghutchis@mastodon.social,true
@karnparmar@mstdn.science,true
@macinchem@sciencemastodon.com,true
@giribio@mas.to,true
@bjonnh@mastodon.social,true
@marcofoscato@mastodon.social,true
@LukasFriedrich@mstdn.science,true
@wpwalters@masto.ai,true
@jannisborn@social.dev-wiki.de,true
@ernest_chemist@mastodon.sdf.org,true
@baoilleach@mstdn.science,true
@ChemITnerf@sigmoid.social,true
@gmattedi@mastodon.social,true
