Account
@josh@sciences.social (Josh Braun, University of Massachusetts Amherst)
@bethanyklein@assemblag.es (Bethany Klein)
@ProfRanjanaDas@mastodon.online (Ranjana Das)
@simnatale@mastodon.online (Simone Natale)
@GuyBerger@mastodon.online (Guy Berger)
@ggrill@mastodon.social (Gabriel Grill)
@chavezheras@sigmoid.social (Daniel Chavez Heras)
@EmmaBedorHiland@mastodon.social (Emma Bedor Hiland)
@asveenstra@mastodon.social (Aaron S. Veenstra)
@DrPingray@sciences.social (Ray Pingree)
@tfrissen@mastodon.social (Thomas Frissen)
@jeandinco@freeradical.zone (Jean Dinco)
@BDetenber@mas.to (Benjamin Detenber)
@JudithPintar@indieweb.social (Judith Pintar)
@bertha_c@scholar.social (Bertha Chin)
@monrodriguez@mastodon.social (Mon Rodríguez-Amat)
@oiarzabal@mastodon.online (Pedro J Oiarzabal)
@ShnayienM@mastodon.lol (Mary Shnayien)
@alisonHearn@mastodon.social (Alison Hearn)
@Chanders@sciences.social (Chris W. Anderson)
@Markboynz@mastodon.social (Mark Stewart)
@jwyg@post.lurk.org (Jonathan W.Y. Gray)
@RobynCaplan@mastodon.social (Robyn Caplan)
@jeremy@hci.social (Jeremy Foote)
@susankeith@c.im (Susan Keith)
@fenwick@mastodon.social (Fenwick McKelvey)
@ananny@scholar.social (Mike Ananny)
@meryl@mastodon.social (Meryl Alper)
@bkeegan@hci.social (Brian Keegan)
@karinwahlj@toot.wales (Karin Wahl-Jorgensen)
@journoscholar@mastodon.online (Valerie Belair-Gagnon)
@willthewordguy@mastodon.social (Will Mari)
@jhanchey@wandering.shop (Jenna Hanchey)
@ricardoferreira@mastodon.scot (Ricardo Ribeira Ferreira)
@lindsayhahn@sciences.social (Lindsay Hahn)
@atillahallsby@mas.to (Atilla Hallsby)
@lutzid@mastodon.social (Christoph Lutz)
@jmittell@hcommons.social (Jason Mittell)
@klangable@mastodon.social (Mathias Klang)
@benjkraemer@social.saarland (Benjamin Krämer)
@baykurt@mastodon.social (Burcu Baykurt)
@robertwgehl@scholar.social (Robert Gehl)
@yucca@fosstodon.org
@jmping@mastodon.social (Josh Pasek)
@mel_hogan@mstdn.social (Mel Hogan)
@manuelmenke@sciences.social (Manuel Menke)
@meinungsfuehrer@mastodon.social (Simon Kruschinski)
@lemibaruh@mastodon.social (Lemi Baruh)
@21c_aesthetics@mastodon.social (Mike Watson)
@jesspgh@assemblag.es (Jessica Ghilani)
@migueldobrich@mastodon.social (Miguel Ángel Dobrich)
@mergerson@mastodon.social (Christoph Mergerson)
@jonmladd@mastodon.social (Jonathan Ladd)
@koenleurs@sciences.social (Koen Leurs)
@rkdasgupta@mastodon.lol (Rohit K Dasgupta)
@adriwall@mastodon.social (Adrienne Wallace)
@sadaf492@mastodon.social (Sadaf Siddiqui/Ali)
@inquiline@mastodon.social (Christina Dunbar-Hester)
@musleh@mastodon.social (Samira Musleh)
@gtzarcelia@mastodon.online (Arcelia Gutiérrez)
@pwik@aus.social (Patrik Wikstrom)
@robertlepenies@mastodon.social (Robert Lepenies)
@karin202@mastodon.social (Karin Assmann)
@juliettedm@mastodon.online (Juliette De Maeyer)
@mss7676@mastodontech.de (Mike Schäfer)
@qrdknpfr@mastodon.online (Curd Knüpfer)
@PolComm@Mastodon.social (APSA & ICA Political Communication Divisions)
@karengregory@mastodon.social (Karen Gregory)
@scott_bot@scholar.social (Scott B. Weingart)
@ubiquity75@mastodon.social (Sarah T. Roberts)
@talestomaz@scholar.social (Tales Tomaz)
@nielsmede@fediscience.org (Niels Mede)
@pverdegem@mastodon.social (Pieter Verdegem)
@bekdale@scholar.social (Brian Ekdale)
@wchr@mastodon.social (Wolfie Christl)
@irwin@saturation.social (Irwin Chen)
@dkiesow@social.kiesow.net (Damien Kiesow)
@giorgishka@mastodon.social (Giorgia Aiello)
@John47@scholar.social (John Sullivan)
@design_law@mastodon.social (Sarah Burstein)
@yasemin@c.im (Yasemin Y. Celikkol)
@dsw@mastodon.online (Dominique S. Wirz)
@riddhima@mastodon.social (Riddhima Sharma)
@IndrekIbrus@mastodon.social (Indrek Ibus)
@timelfen@assemblag.es (Timothy Elfenbein)
@geek_worlds@scholar.social (Benjamin Woo)
@ct_bergstrom@fediscience.org (Carl T. Bergstrom)
@cyberlyra@mastodon.social (Janet Vertesi)
@autumnlinny@mastodon.social (Autumn Linny)
@aramsinn@mastodon.social (Aram Sinnreich)
@bpettis@mastodon.social (Ben Pettis)
@JeremyLittau@mastodon.social (Jeremy Littau)
@danielsgriffin@mastodon.social (Daniel Griffin)
@scope@mastodon.lol (Stacey Copeland)
@guzferreira@scholar.social (Gustavo Ferreira)
@owlyph@social.coop (Joshua Chalifour)
@loebbi@fediscience.org
@michaelmunnik@scholar.social (Michael Munnik)
@zeerak@mastodon.social (Zeerak Talat)
@jahapaula@scholar.social (Salla-Maaria Laaksonen)
@thefirstred@mastodon.social (Laura Brandimarte)
@APLKadiri@mastodon.social (Aisha P.L. Kadiri)
@tamigraph@mastodon.social (Tamara Kneese)
@OskarA@mastodon.eus (Oskar Almazán)
@NickyRedl@mastodon.online (Nicky Redl)
@szidani@mastodon.social (Sulafa Zidani)
@SerhatTutkal@fediscience.org (Serhat Tutkal)
@dcbrock@federate.social (David C. Brock)
@bridgetbarrett@sciences.social (Bridget Barrett)
@Waynexu@scholar.social (Wayne Weiai Xu)
@kylestine@assemblag.es (Kyle Stine)
@CherylStephens@mastodon.social
@IPuyosa@mastodon.social (Iria Puyosa)
@segijn@mastodon.social (Claire Segijn)
@influencerlabor@mastodon.social (Zizi Li)
@gravesmatter@mastodon.social (Lucas Graves)
@carl@hci.social (Carl Colglazier)
@JKrueckeberg@mastodon.social (Jennifer Krueckeberg)
@eszter@mastodon.social (Eszter Hargittai)
@StephenMoore@stdn.social (Stephen Moore)
@salaverria@mas.to (Ramón Salaverría)
@betty@mastodon.bida.im (Elisabetta Ferrari)
@JinsookKimPhD@mastodon.social (Jinsook Kim)
@ericdharvey@mastodon.social (Eric Harvey)
@raimundmn@mastodon.social 
@jamesmeese@mastodon.social (James Meese)
@MortenBay@mastodon.social (Morten Bay)
@erazlogo@assemblag.es (Elena Razlogova)
@annajobin@mastodon.online (Anna Jobin)
@cgfoz@mastodon.social (Chris Foster)
@kattiidenberg@mastodon.social (Kat Tiidenberg)
@benjaminkjohnson@mas.to (Benjamin Johnson)
@aschrock@octodon.social (Aure Schrock) 
@rolienhoyng@mastodon.social (Rolien Hoyng)
@selminkara@mas.to (Selmin Kara)
@colditzjb@hci.social (Jason Colditz)
@philbetts@mastodon.social (Philip Betts)
@DrSueRobinson@sciences.social (Sue Robinson)
@dkompare@hcommons.social (Derek Kompare)
@kforde@mastodon.online (Kathy Roberts Forde)
@tarleton@mastodon.social (Tarleton Gillespie)
@re_vbrakel@mastodon.social (Rosamunde van Brakel)
@rjmcculloch@mastodonapp.uk (Richard McCulloch)
@wags@aus.social (Peter Wagstaff)
@mlmillerphd@mastodon.social (Mike Miller)
@stephanie_seul@mastodon.social (Stephanie Seul)
@randomwalker@mastodon.social (Arvind Narayanan)
@carwyn@fediscience.org (Carwyn Morris)
@alicetiara@mastodon.social (Alice E. Marwick)
@cameron@scholar.social (Cameron Conaway)
@besincere@indieweb.social (Diyi Liu)
@caseyboyle@assemblag.es (Casey Boyle)
@PR_Johnson@newsie.social (Patrick R. Johnson)
@carun@mastodon.social (Chinmayi Arun)
@kevinsmets@sciences.social (Kevin Smets)
@BritaYA@mastodon.online (Brita Ytre-Arne)
@ZoeGlatt@mastodon.social (Zoë Glatt)
@Sblanco@mas.to (Sonia Blanco) 
@fabienbp@sciences.re (Fabien Bièvre-Perrin)
@shannimcg@mastodon.social (Shannon McGregor)
@kirankappeler@hci.social (Kiran Kappeler)
@markhenick@mstdn.social (Mark Henick)
@odriessens@mastodon.social (Olivier Driessens)
@ssrauy@mastodon.social (Sam Srauy)
@annagibson@mastodon.lol (Anna Gibson)
@foundobject@mastodon.social (Jane Weng) 
@Deglassco@mastodon.social (D. Elisabeth Glassco)
@ulrikeklinger@mastodon.social (Ulrike Klinger)
@fiete@mastodon.social (Fiete Stegers)
@RMTownsend@mastodon.social (Rebecca M. Townsend)
@profshumate@fediscience.org (Michelle Shumate)
@matthindman@mastodon.social (Matt Hindman)
@richmondbridge@mstdn.social (Catherine Baker)
@gulserendipity@mas.to (Gulseren Adakli)
@NarrProf@mastodon.social (Melanie Green)
@Biella@mastodon.social (Biella Coleman)
@JustCodeCulture@mastodon.social (Jeffrey Yost)
@civiwhat@scholar.social (Christiana Varda)
@JohannesBreuer@fediscience.org (Johannes Breuer)
@maaritjii@mastodon.social (Maarit Jaakkola)
@davidribes@hci.social (David Ribes)
@craighamilton@mastodon.social (Craig Hamilton)
@goran_bolin@mstdn.social (Göran Bolin)
@jlori@mastodon.social (Jose Luis Orihuela)
@fheinderyckx@mastodon.social (François Heinderyckx)
@nicholasjohn@scholar.social (Nicholas John)
@snurb@mastodon.cloud (Axel Bruns)
@einar@sciences.social (Einar Thorsen)
@davidcheruiyot@newsie.social (David Cheruiyot)
@bowmanspartan@techhub.social (Nick Bowman) 
@hilary@typo.social (Hilary Palmen)
@tp_da@digitalcourage.social (Thomas Pleil)
@leelum@mastodon.social (Liam McLoughlin)
@slobster48602@mastodon.online (Rob Drew)
@maxwellfoxman@mastodon.social (Maxwell Foxman)
@isik5@mastodon.social (Isik Mater)
@AnneliseR@mastodon.social (Annelise Russell)
@FerrarelliM@mastodon.lol (Mariana Ferrarelli - Argentina)
@anna@journa.host (Anna Massoglia)
@ernestodeleon@sciences.social (Ernesto de León)
@atommarie@mastodon.social (Marie Cronqvist)
@Kate_Ames@aus.social
@thinkmacro@sciences.social (Dmitry Epstein)
@ChrChristensen@mastodon.social (Christian Christensen)
@elizabethward@mastodon.social (Elizabeth Ward)
@billard@sciences.social (TJ Billard)
@judith_moeller@mastodon.social (Judith Möller)
@cheeflo@mastodon.social (Florence Chee)
@amyadele@mastodon.lol (Amy Hasinoff)
@ppopiel@sciences.social (Pawel Popiel)
@montalbano@mastodon.lol (Kathryn Montalbano)
@giuliaevolvi@toot.community (Giulia Evolvi) 
@Winseck@mastodon.online (Dwayne Winseck)
@jenniferpete@mastodon.social (Jennifer Lynn Peterson)
@jeremydavidjohnson@hci.social (Jeremy David Johnson)
@PeterCunliffeJones@newsie.social (Peter Cunliffe-Jones)
@LMeeks@mas.to (Lindsey Meeks)
@DrPinkeee@assemblag.es (Elinor Carmi)
@samlangsdale@hcommons.social (Sam Langsdale)
@errolsalamon@mastodon.social (Errol Salamon)
@AUrman21@mastodon.social (Aleksandra Urman)
@umayyah@hcommons.social (Umayyah Cable)
@PeterCunliffeJones@newsie.social (Peter Cunliffe-Jones)
@rebekahtromble@federate.social (Rebekah Tromble)
@emilianotrere@toot.wales (Emiliano Treré) 
@devjpow@mastodon.social (Devon Powers)
@bretthalperin@hci.social (Brett Halperin)
@elohim@masto.ai (Elohim Monard)
@dorubio@hcommons.social (Fernando Domínguez Rubio)
@ericka@sciences.social (Ericka Menchen-Trevino)
@shahnazbashir@mastodon.social (Shahnaz Bashir)
@hendriktheine@fediscience.org (Hendrik Theine)
@emrinke@mas.to (Eike Mark Rinke)
@marcestevedelvalle@mastodon.sdf.org (Marc Esteve Del Valle)
@anneo@mastodon.social (Anne Oeldorf-Hirsch)
@skjethani@mastodon.lol (Suneel Jethani)
@michellemoeri@mastodon.social (Michelle Möri)
@henrikornebring@mastodon.social (Henrik Örnebring)
@jiyounglee@mastodon.social (Jiyoung Lee)
@paulibyron@mastodon.lol (Paul Byron)
@jtownend@mas.to (Judith Townend) 
@gabrielopereira@mastodon.social (Gabriel Pereira)
@hannescools@mastodon.social (Hannes Cools)
@Michael_Opgenhaffen@sciences.social (Michael Opgenhaffen)
@djokeefe@mastodon.social (Daniel O’Keefe)
@StanleyKarombo@mastodon.social ( Stanley Karombo)
@TobiasRothmund@nerdculture.de (Tobias Rothmund)
@matsommer@mastodon.social (Matthias Sommer)
@mpruden@mastondon.social (Meredith L. Pruden)
@hchsz@mastodon.online (Helena Chmielewska-Szlajfer)
@fionabradley@fediscience.org (Fiona Bradley)
@Producing2Power@mastodon.social (David Craig)
@StewartColes@mastodon.social (Stewart M. Coles)
@Sacha_Altay@mastodon.social (Sacha Altay)
@tamaleaver@mastodon.social (Tama Leaver)
@commfox@mastodon.social (Jesse Fox)
@camfig@zirk.us (Camila Figueiredo)
@bellur@mstdn.social (Saras Bellur)
@KVAnderson@hcommons.social (Karrin Anderson)
@nicophile@fediscience.org (Nicolas Bencherki)
@chaseaunspach@mastodon.lol (Chase Aunspach)
@victorpickard@mastodon.social (Victor Pickard)
@loriemerson@post.lurk.org (Lori Emerson)
@nealcurtis@mas.to (Nihil Curits)
@jeanburgess@mastodon.lol (Jean Burgess)
@jonathansterne@assemblag.es (Jonathan Sterne)
@neil_selwyn@mstdn.social (Neil Selwyn)
@akstuhl@assemblag.es (Andy Stuhl)
@waqasejaz@sciences.social (Waqas Ejaz)
@driscoll@mastodon.wellperns.com (Kevin Driscoll)
@mediagram@hcommons.social (garrett laroy johnson)
@scroeser@mstdn.social (sky croeser)
@joshrochotte@hci.social(Josh Rochotte)
@tatyanaterz@masto.so
@morrissey@mastodon.social (Jorge Gobbi)
@elisabethy@hcommons.social (Elisabeth Yang)
@Carabyrd@mastodon.online (Cara Hawkins-Jedlicka)
@laurenebridges@zirk.us (Lauren Bridges)
@Platform_Journalism@aus.social (Chris Hall)
@natematias@octodon.social (J. Nathan Matias)
@martonbene@sfba.social (Márton Bene)
@gregorytaylor@mstdn.ca (Gregory Taylor)
@maxeder@sciences.social (Maximilian Eder)
@kathalbury@eigenmagic.net
@aurken@mas.to
@faselmathieu@mastodon.lol (Mathieu Fasel)
@tugcebidav@mastodon.social (Tugce Bidav) 
@cbaden@mas.to (Christian Baden)
@bengrosser@mastodon.social (Ben Grosser)
@jessogden@digipres.club (Jessica Ogden)
@kylzjarrett@mastodon.social (Kylie Jarrett)
@Pillepv@sciences.social (Pille Pruulmann-Vengerfeldt)
@slehuede@mastodon.social (Sebastián Lehuedé)
@anisrahman@sciences.social (Anis Rahman)
@giovannamas@mastodon.online (Giovanna Mascheroni)
@edda@mas.to (Edda Humprecht)
@bisanderson@newsie.social (Bissie Anderson)
@ludmilalupinacci@mastodon.social (Ludmila Lupinacci)
@d_stoltenberg@fediscience.org (Daniela Stoltenberg)
@bildoperationen@mastodon.social (Roland Meyer)
@anajorge@sciences.social (Ana Jorge)
@hdnrch@mastodon.online (Tobias Heidenreich)
@manonberriche@mastodon.world (Manon Berriche)
@pollyannaruiz@universedon.com (Pollyanna Ruiz)
@MattNurse@aus.social (Matthew Nurse)
@RMansell@mastodonapp.uk (Robin Mansell)
@baharmur@mstdn.social (Bahar Muratoglu)
@memories_child@toot.wales (Bethan Jones)
@sydneyforde@mstdn.social (Sydney Forde) 
@stefaniavicari@mastodon.green (Stefania Vicari)
@unfernandezmas@mastodon.lol (José Luis Fernández)
@smgrimes@mastodon.social (Sara M. Grimes)
@abcronkhite@mastodon.social (Amanda B. Cronkhite)
@anands@mastodon.social (Anand Sheombar)
@yuyingtan@techhub.social (Yuying Tan)
@consideration@mastodon.social (Dhanaraj Thakur)
@notesoncinema@mastodon.online (James McMahon)
@milan@zirk.us (Milan Stürmer)
@ChrisPeters@mastodon.social (Chris Peters)
@vyl_media@journa.host (Vy Luong)
@bluemediagrad@mastodon.world (Blue Miaoran Dong)
@jillhopke@mas.to (Jill Hopke)
@ckatzenbach@kolektiva.social (Christian Katzenbach)
@DrJuliaKuttler@ieji.de (Julia Largent Kuttler)
@FPrimig@toot.community (Florian Primig)
@aeuritt@mastodon.social (Alyn Euritt)
@gabrielaper@c.im (Gabriela Perdomo)
@DeSchepper_J@masto.ai (Jolien De Schepper)
@Kudusch@social.tchncs.de (Tim Schatto-Eckrodt)
@kchiggins@mastodon.world (Kathryn Claire Higgins)
@4digitaldignity@federate.social (Sahana Udupa)
@madianou@mastodon.social (Mirca Madianou)
@grenwi1@mastodon.world (Gregor Wiedemann)
@smithisgeneric@fosstodon.org (Karen Smith)
@osmankoroglu@scholar.social (Osman Koroglu)
@timdwyer@mastodon.cloud (Tim Dwyer)
@ShannaGilkeson@mastodon.social (Shanna Gilkeson)
@marcosca@mastodon.lol (Cosimo Marco Scarcelli)
@drjessicaford@zirk.us (Jessica Ford)
@bilgeyesil@sciences.social (Bilge Yesil)
@Moniquetschofen@mastodon.cloud (Monique Tschofen) 
@sbasu@mastodon.online (Soma Basu)
@nasya@ohai.social (Nasya Bahfen)
@nataliia.laba.mas.to (Nataliia Laba)
@Jessandtech@mastodon.social (Jess Percy Campbell)
@clucas@mastodon.social (Christopher Lucas)
@andrewiliadis@mastodon.world (Andrew Iliadis)
@DariaDergacheva@mastodon.world (Daria Dergacheva)
@benedict@masto.ai (Benedict Mette-Starke)
@brunovianna@mastodon.social (Bruno Caldas Vianna)
@waliyayjoseph@mastodon.social (Yohanna Joseph Waliya)
@paufder@scholar.social (Patricia Aufderheide)
@gehrke@mastodon.social (Marília Gehrke)
