Account address,Show boosts
a_c_robinson@mapstodon.space,true
A_Hudde@sciences.social,true
adam_dennett@mapstodon.space,true
adammpacker@toot.community,true
adamramadan@mastodon.social,true
adamsteer@mastodon.social,true
AdeleGarnier@mastodon.social,true
affolderbach@mstdn.social,true
AgePoom@mstdn.social,true
agnieszka_leszczynski@mastodon.sdf.org,true
AhhReeUhh@mastodon.social,true
ajaybailey@mastodon.social,true
alan_geog@mstdn.social,true
albertarias@mastodon.social,true
alel@datasci.social,true
alexmonea@mastodon.social,true
alexnetogeo@fosstodon.org,true
alexsingleton@mapstodon.space,true
AlidaCantor@mastodon.social,true
alisonstenning@mastodon.social,true
alterurbanist@mas.to,true
amandahoperogers@toot.wales,true
ameliahine@aus.social,true
amruthkiran@mapstodon.space,true
andersriel@fediscience.org,true
andre_ourednik@mastodon.social,true
andrewleyshon@mastodon.social,true
AndyCrooks@mapstodon.space,true
andykarvonen@fediscience.org,true
Anna_Butzin@mastodon.social,true
annest@mastodon.social,true
Anomiegeog@mastodon.social,true
Anoze4maps@norden.social,true
antiapathy@mastodon.social,true
antoine_huerta@sciences.re,true
antscott@mastodon.social,true
APeris@mastodon.top,true
archaeogeek@mastodon.social,true
arijerrems@mastodon.online,true
ArrogantHair@mastodon.online,true
astroidex@mastodon.social,true
atanas@mastodon.cloud,true
atthenius@fediscience.org,true
austinkocher@mastodon.social,true
authormarkjames@mastodon.social,true
av_rose_ev@mastodon.lol,true
awzitcer@sciences.social,true
ayonadatta@mas.to,true
aza@scholar.social,true
baeing@mas.to,true
BarbaraBrayshay@mas.to,true
barnsarella@mastodon.world,true
benbrenner@mapstodon.space,true
benspigel@fediscience.org,true
bitnerd@mastodon.social,true
borismichel@mastodon.social,true
borismichel@tldr.nettime.org,true
bradweed@mastodon.social,true
c_tough_3000@mastodon.social,true
c1typlann3r@mapstodon.space,true
caitrobinson@mastodon.online,true
CanFre@mamot.fr,true
carwyn@fediscience.org,true
catrionagold@mastodon.social,true
ccamara@mastodon.social,true
CChlebna@mastodon.green,true
cgibson@mapstodon.space,true
ChloeTas@aus.social,true
chrisbrunsdon@toot.site,true
christoph@christophfink.com,true
citygeographics@mapstodon.space,true
ClimateTessa@mastodon.social,true
cneff@sciences.re,true
codrina@mastodon.social,true
concarr@sciences.social,true
conflictgeo@mastodon.social,true
coreysnipes@fosstodon.org,true
courtneybabb@mastodon.au,true
cressica@sciences.social,true
CresswellTim@mstdn.social,true
crl@mastodon.lol,true
CTemenos@mstdn.social,true
cwillmes@mastodon.social,true
dabernathy@mstdn.party,true
DallasRogers101@mastodon.online,true
dancockayne@mas.to,true
DanImmergluck@mastodon.social,true
dannymcnally@mas.to,true
danolner@mastodon.social,true
