Account address,Show boosts
@matherion@mastodon.nl,true
@ajamesgreen@mastodon.social,true
@tugcevarol@masto.ai,true
@lmwarner@mstdn.science,true
@natplas@home.social,true
@gidometz@mastodon.nl,true
@cnsyoung@fediscience.org,true
@segerstrom@mastodon.online,true
@mayabraun@nerdculture.de,true
@lauramkoenig@scicomm.xyz,true
@claudia_teranescobar@mastouille.fr,true
@Koller_JE@sciences.social,true
@ThomasGultzow@mastodon.nl,true
@LRehackova@home.social,true
@profsanderman@mas.to,true
@StefaanVanDamme@fediscience.org,true
@kanecarlock@mastodon.social,true
@JudithRosmalen@akademienl.social,true
@HealthPsyKN@scicomm.xyz,true
@neter_e@sciences.social,true
@PhilippMSchmid@sciences.social,true
@drtifftaft@nerdculture.de,true
@moniquealblas@akademienl.social,true
@BSchuez@mstdn.science,true
@@royawillems@mastodon.online,true
