Account address,Show boosts
@chronohh@norden.social,true
@mprove@hci.social,true
@zedstar@mastodon.social,true
@workergnome@hcommons.social,true
@jbaiter@openbiblio.social,true
@archaeoklammt@mastodon.top,true
@tomdeneire@fosstodon.org,true
@mjkls@openbiblio.social,true
@cgknowles@scholar.social,true
@adi@glammr.us,true
@BL_DigiSchol@techhub.social,true
@benwbrum@hcommons.social,true
@ratanass@glammr.us,true
@nfitzger@glammr.us,true
@digitaldogsbody@code4lib.social,true
@erwin@digipres.club,true
@raffaele@digipres.club,true
@alison@hcommons.social,true
@ProfJohanna@mastodon.online,true
@regisrob@mamot.fr,true
@roblancefield@mastodon.social,true
@triplingual@octodon.social,true
@hadro@glammr.us,true
@julsraemy@hcommons.social,true
@IIIF@glammr.us,true
