Name,Mastodon handle,Twitter handle,Areas of Interest,Jurisdictions,Other information

Andy AYDIN-AITCHISON,@Andy8chi@mastodon.scot,Andy8chi,Atrocity; Genocide; Crimes against Humanity; former Yugoslavia; Global Crime; Police; Democracy; Human Rights; State-Building,Bosnia; Scotland; UK; International,Will post jobs; boost publications + events; pedagogy; Higher Education; Universities and Colleges Union; occasional personal content

Hannah Graham,@DrHannahGraham@mastodon.scot,@DrHannahGraham,Criminal justice; penology; penal policy and politics; probation and community justice; desistance from crime; qualitative methods;,Scotland; UK; Australia,

Jose Pina-SÃ¡nchez,@JPinaSanchez@sciences.social,@JPinaSanchez,sentencing; disparities; crime data; measurement,England and Wales,#sentencing #disparities #criminaljustice #crimedata #methods #measurement #bias #causalinference #rstats #openscience

Harriet Salem,@HarrietSalem@mastodon.social,@HarrietSalem,international criminal law; war crimes; international humanitarian law,international criminal court; conflict zones,"I'm a journalist (mostly reporting from conflict zones) currently studying for my LLM in intl law, focused on IHL & ICL. I hold a BA in Criminology."

Dr Anna Kotova,@annakotova@c.im,,Prisons; stigma; prisoners families; prison sociology,UK,

Tim Newburn,@TimNewburn@Mastodonapp.uk,@TimNewburn,Policing; security; youth; policy-making; policy transfer; public order; riots,,

Alex Luscombe,@aluscombe@sciences.social,@alexlusco,Policing studies: social inequality; social research methods; computational social science: freedom of information law,Canada,

The Tartan Con,@thetartancon@mastadon.scot,@TheTartanCon,Prisons and Probation,United Kingdom,I work in over 25 prisons in the UK in safer custody and self harm

Charlotte Walker,@purplepadma@mas.to,@CharlRWalker,"Risk, needs, responsivity; desistance; probation practice; digital exclusion among offender populations; trauma-informed criminal justice services",England and Wales,Iâm currently a research assistant hoping to progress to PhD study in 2023

Javier Wilenmann,@jwilenmann@wien.rocks,,Sentencing; organizational criminology; prosecutors,Chile; Latin America,

Allan T Moore,@AllanTMoore@glasgow.social,AllanTMoore,"Conflict, Genocide, Victimology, Counterterrorism, Organised Crime, Criminal Law, Comparative Justice, Psychology of Crime, Human Rights, Humanitarian Law","Scotland, England, Rwanda, Kenya, Burundi, Uganda, Tanzania, DRC, Nigeria, Kosovo, Bosnia, Serbia, Albania","Content linked with specialisms plus some personal, informal or politically related posts."

Marti Rovira,@mrovira@mastodon.social,,stigma; criminal records; experiments,United Kingdom; Spain; Europe,

Mirza BuljubaÅ¡iÄ,@mirzabuljubasic@mas.to,@mirzabuljubasix,Political violence; Atrocity Crimes,Bosnia and Herzegovina,

Lidia NuÃ±o,@lidianunophd@sciences.social,@LidiaNunoPhD,immigration; policing; gangs,United States; Central America; Eastern Caribbean,

Jeffrey Butts,@JeffreyButts@mastodon.online,@JeffreyButts,Evaluation; violence prevention; youth justice;,,

Andreas Varotsis,@AndreasThinks@fosstodon.org,@AndreasThinks,policing; statistical modelling; disproportionality,United Kingdom,"data science, economics and big data"

Richard Kjellgren,@Kjellgren@mastodon.scot,@r_kjellgren,exploitation; human trafficking; organised crime; online spaces; quantitative methods; social network analysis,UK,Criminology-related matters; post-graduate social science updates in Scotland; information from research groups/centres (SCCJR; SIPR; SNAS)

Mirjana GavriloviÄ Nilsson,@mjgn92@mas.to,@mjgn92,Criminology; Atrocity Crimes; Genocide; Crimes Against Humanity; War Crimes; former Yugoslavia; International Criminal Justice,Bosnia and Herzegovina; UK,

Monica Pons Hernandez,@MonicaPons@sciences.social,@MoniPons,Green criminology; Crimes of the powerful; Qualitative methods,EU; Spain,

Laura Knight,@LJKnight@mastodon.online,@Knight_LJ,Violence; police; volunteering; evaluation,,

Fergus McNeill,@fergusmcneill@mastodon.scot,@fergus_mcneill,"Punishment, rehabilitation, reintegration  Community sanctions and measures  Desistance from crime",,"Mostly criminal justice, occasional music ;)"

