Timestamp,Name,Full Mastodon handle (@you@yourserver.whatever),Full Mastodon link (https://yourserver.whatever/@you),Twitter handle (if you had one),"One line bio, job title, keywords of interest that might help people find you"
24/11/2022 19:56:01,Mia Ridge,@mia@hcommons.social,https://hcommons.social/web/@mia,@mia_out,Researcher / practitioner in UX and theory of crowdsourcing in cultural heritage; currently at the British Library / LibCrowds / Living with Machines / Collective Wisdom
24/11/2022 20:51:00,Siobhan Leachman,@siobhan_leachman@mastodon.nz,https://mastodon.nz/@siobhan_leachman,@siobhanleachman,Wikimedian https://orcid.org/0000-0002-5398-7721
24/11/2022 20:55:01,Julien A. Raemy,@julsraemy@hcommons.social,https://hcommons.social/@julsraemy,@julsraemy,"PhD Candidate in Digital Humanities, interested in Cultural Heritage, Linked Open Data and Information Interoperability"
24/11/2022 22:05:44,Claire Boardman,@claire_boardman@mstdn.science,https://mstdn.science/@claire_boardman,@boardman_claire,Digital Humanities; Transformational Engagement; Applied Open Research; Archive/Collections Reuse; Sustainability
25/11/2022 04:04:12,Ben Brumfield,@benwbrum@hcommons.social,https://hcommons.social/@benwbrum,@benwbrum,I study crowdsourced manuscript transcription and digital editions and run the FromThePage platform.
25/11/2022 05:49:32,Christian Gries,@cogries@sueden.social,Https://sueden.social/@cogries,@cogries,#DigsMus #Digamus #musetech #LMWdigital #Landesmuseum #Stuttgart #digitalstrategy #Museum
25/11/2022 07:48:33,SÃ¸ren K. Poder,@skpoder @basecrowd @denspanskesyge.dk @basecrowd.dk @poderdata,,,"I work with historical epidemiology, crowdsourcing and collective intelligence  c"
26/11/2022 08:00:38,Jason Evans,@Jason@toot.wales,https://toot.wales/@jason,@Wiki_nlw,"Open Data manager at National Library of Wales. Linked data, GLAM, Wikipedia, Wikidata, Welsh, Digital Scholarship "
28/11/2022 07:15:44,Christine Schmidt ,@cerin126@mastodon.social,https://mastodon.online/@cerin126,CerinschmidtWL,"Wiener Holocaust Library, Holocaust, World War II, translation "
28/11/2022 20:09:30,Marisa Ponti,@OpenEd@mastodon.bida.im,,https://mastodon.bida.im/@OpenEd,#datapractices #datastudies #infrastructurestudies #participatorydesign #scienceandtechnologystudies #AIforsocialgood #Citizengenerateddata #collectiveintelligence
28/11/2022 20:38:49,Elton Barker,@eltonteb@hcommons.social,https://hcommons.social/web/@eltonteb,@eltonteb,"General Secretary of the Pelagios Network, linking collections through the places they refer to"
28/11/2022 20:44:38,David Newbury,@workergnome@hcommons.social,https://hcommons.social/@workergnome,@workergnome,"Assistant Director, Software and UX, Getty"
28/11/2022 20:50:08,Nathan Kelber ,@nkelber@sigmoid.social,,@nkelber,Non-profit PhD working for social justice and open educational resources in Data Science & the Digital Humanities.
28/11/2022 21:04:16,Tom Elliott,@telliott@scholar.social,https://scholar.social/@telliott,@paregorios,"Managing Editor, Pleiades gazetteer of ancient places."
28/11/2022 21:12:05,Daniele Metilli,@metilli@mastodon.social,https://mastodon.social/@metilli,@dmetilli,"Digital humanist, PhD. Research fellow @UCLDIS, #SloaneLab & #WiGeDi. Antifascist. Non-binary (they/them)"
28/11/2022 21:42:28,Richard Urban,@musebrarian@mastodon.cloud,https://mastodon.cloud/@musebrarian,@musebrarian,"Senior Program Officer, data science and next generation metadata, OCLC Research Library Partnership"
28/11/2022 21:47:24,Paul Allen,@allenpg@hachyderm.io,,@allenpg,"Records in Context, linked data"
28/11/2022 21:52:52,,@merryarchivist@h-net.social,,@merryarchive,Letters and letters transcription
28/11/2022 22:04:59,Melissa Terras,@melissaterras@scholar.social,,@melissaterras,"Prof of Digital Cultural Heritage, University of Edinburgh"
29/11/2022 12:46:09,Paige Roberts,@paigeroberts@mastodon.social,https://mastodon.social/@paigeroberts,@paige_roberts,"Public historian: director of archives & special collections at Phillips Academy (Andover, Mass. USA). OpenGLAM"
29/11/2022 13:39:50,Jose Murilo,@josemurilo@mato.social,https://mato.social/@josemurilo,@josemurilo,Brazilian specialist in public policies focused on digital technology and the internet. #Tainacan #Museums #DigitalCollections
29/11/2022 14:56:53,Robin FranÃ§ois,@r2gf@digipres.club,https://digipres.club/@r2gf,@r2gf_,Job: Digital Archivist at CinÃ©mathÃ¨que suisse Hobby: Preservation of video games in ð¨ð­ #Aaru Technical Committee
29/11/2022 20:58:04,Claire Bailey Ross,@Clairebaileyross@hcommons.social,https://hcommons.social/@Clairebaileyross,@clairey_ross,"Academic at University of Portsmouth | Digital Humanities Researcher | Museums Tech, Co-design & Audience Experience"
03/12/2022 16:51:39,Sammlungsdinge ,@ Sammlungsdinge@glammr.us,,@ Sammlungsdinge,#museum #digitalHumanties #digitalTransformation #digSMus #mustech #museumDocumentation #agile #newWork #provenanceResearch
06/12/2022 08:05:48,Erikka Polk,,,@erikkaincolor,"SWE Fellow into Black art equity, museum access, digital fabrication and textile industry."
07/12/2022 14:48:57,Yael Netzer,@yaeln@tooot.im,https://tooot.im/@yaeln,@yaelnetzer,"Computational Linguistics, Digital Humanities @ HUJI, Digital Archives, Hebrew, OpenRefine, Omeka-S"
11/12/2022 19:46:43,Baptiste de Coulon,@b3d2c@framapiaf.org,https://framapiaf.org/@b3d2c,,data archivist at the Fundation SAPA (Switzerland)
12/12/2022 06:43:02,Verbrannte Orte,@verbrannteorte@weremember.social,https://weremember.social/@VerbrannteOrte,@VerbrannteOrte0Ãp,Informations- und Gedenkprojekt zu den NS BÃ¼cherverbrennungen.
12/12/2022 16:48:57,Martin Poulter,@mlpoulter@mastodon.world,https://mastodon.world/@mlpoulter,@mlpoulter,Wikipedia/ Wikidata/ Wikisource trainer/contributor; promoting open culture through open data
18/12/2022 21:10:27,Sebastian Majstorovic,@storytracer@mastodon.social,https://mastodon.social/@storytracer,@storytracer,Digital Humanities Consultant | Co-Founder of SUCHO (Saving Ukrainian Cultural Heritage Online)
19/12/2022 10:22:02,Margaret Gold (Citizen Science Lab),@MobileMaggie@mastodon.social,https://mastodon.social/@MobileMaggie,@MobileMaggie,"Previously at the NHM and ECSA, now at Leiden University, where I run the Citizen Science Lab for ALL domains of research"
19/12/2022 10:24:13,The Citizen Science Lab (Margaret Gold),@CitSciLab@social.cwts.nl,https://social.cwts.nl/@CitSciLab,@CitSciLab,"Knowledge hub and project incubator for Citizen Science at Leiden University - collaborating with local societal partners, national Dutch partners, and across Europe to launch & scale CS, and research the 'Science of CS'."
19/12/2022 11:36:42,Sharon Leon,@sharonmleon@hcommon.social,https://hcommons.social/@sharonmleon,@sharonmleon,"Director of Omeka, digital and public history"
19/12/2022 11:44:43,Gavin Findlay,@gavfinfnq@aus.social,http://aus.social/@gavfinfnq,@gavfunky,"PhD student, digital theatre archives, ANU"
19/12/2022 17:49:45,Eric Colleary,@ecolleary@zirk.us,https://zirk.us/@ecolleary,@ecolleary,"Curator of Theatre & Performing Arts at the Harry Ransom Center and faculty in Theatre & Dance at #UTexas | Historian of Theatre, Queer Studies, and Foodways"
19/12/2022 22:37:24,Nicky Nicolson ,@nickynicolson@mastodon.social,https://mastodon.social/@nickynicolson,@nickynicolson,Biodiversity informatics researcher & software developer. Mobilising data from our global natural history specimen collection & learning open science along the way
22/12/2022 19:54:45,JÃ¶rg Lehmann ,@jrglmn@mastodon.social,https://mastodon.social/@jrglmn,@jrglmn,Research data manager for ML datasets @stabi_berlin
11/01/2023 19:29:32,Peter Suber,@petersuber@fediscience.org ,https://fediscience.org/@petersuber,@petersuber,"open access, open science, open research, open glam"
11/01/2023 19:52:15,Carol Chiodo,@digitaldante@mastodon.social,https://mastodon.social/@digitaldante,@digitaldante,Librarian for Collections and Digital Scholarship at Harvard Library
11/01/2023 20:34:46,Scivil,@scivil@mastodon-belgium.be,,@scivil_flanders,Scivil is the center for citizen science in Flanders (Belgium). We gather and spread knowledge on citizen science.
14/01/2023 21:43:28,Mikko Heikkinen,@mikkohei13@mastodo.fi,https://mastodo.fi/@mikkohei13,,IT specialist at the Finnish museum of natural history
