account,name,link,keywords,language
@dendro_dk@sciencemastodon.com,Aoife Daly,https://sciencemastodon.com/@dendro_dk,Dendroarchaeology Dendroprovenance TimberERC,En da
@benlockwood@fediscience.org,Ben Lockwood,https://fediscience.org/@benlockwood,,en
@Dendrochronicle@mastodon.scot,Coralie Mills,https://mastodon.scot/@Dendrochronicle,Dendrochronology Archaeology Scotland,en
@dendroecologist@fediscience.org,Dario Martin-Benito,https://fediscience.org/@dendroecologist,Dendroecology Forest_ecology Tree_mortality,
@prehistormic@fediscience.org,Joshua Bregy,https://fediscience.org/@prehistormic,Paleotempestology Dendroclimatology Paleohydroclimatology,en es
@RonaldVisser@akademienl.social,Ronald Visser, https://akademienl.social/@RonaldVisser,Archaeology Network_analysis Dendroprovenance, nl en de
@BryhtSky@mastodon.social,VMHarris (Victoria),https://mastodon.social/@BryhtSky,Geography Dendroclimatology Dendrohydrology,en
Websites/Organisations,,***,***,***
@bomengidsnl@campaign.openworlds.info,Bomengids.nl,https://campaign.openworlds.info/@bomengidsnl,,nl en


