Timestamp,What name do you want to be listed by?,What is your full Mastodon handle (@user@instance.name)?,What are your areas of interest/research?,,"What are your chronological areas of interests? (i.e. Early Modern period, 19th century etc.)","What is your geographical area of interest (e.g. Global, Sikkim, Indian Ocean, West Africa, Central Europe, Global South, Cyprus)?",Provide any other info for self-description,"If another list of Mastodon accounts is created that overlaps with those interested in history of STM (humanities, etc.) is created, may we share the info here with that list?","If you have an account on Twitter, consider adding your account handle here to help your follows from there find you here:",Mastodon Profile Link

11/8/2022 14:23:53,Lisa Haushofer,@haushoferl@mastodon.social,"History of modern biomedical culture, cure, symptom and symptomatic therapy, nutrition, global health",,,,,,,

11/8/2022 15:23:49,Dora Vargha,@doravargha@mstdn.social,"Global health, international health, epidemics, public health, social medicine, socialism",,,,,,,

11/8/2022 15:34:55,Bruno J. Strasser,@brunostrasser@mstdn.social,"History of the medical mask, occupational health, epidemics, medical waste, medicine and gender.  ",,,,,,,

11/9/2022 10:55:48,Nathalie Sage PranchÃ¨re,@nathaliesagepranchere@sciences.re,"Medical History, History of health professionals, History of blood diseases, history of birth, midwifery",,19th and 20th century,Europe (and frequently France),,Yes,@NSagePranchere,https://social.sciences.re/web/@nathaliesagepranchere

11/9/2022 11:00:54,David Freis,@davidfreis@augsburg.social,History of medicine; history of psychiatry; history of psychotherapy; past futures; history of technology; history of science,,19th century; 20th century; contemporary history ,Central Europe ; Germany,,Yes,,

11/9/2022 11:36:37,Malcolm Shifrin,@VicTurk@mastodonapp.uk,Victorian Turkish baths; balneology; hydropathy,,Victorian to present day,UK; Ireland; Central Europe,Website since 1999 at www.victorianturkishbath.org,Yes,@VicTurkBath,

11/9/2022 12:17:02,Sara Wasson,@sarawasson@mstdn.social,"History of transplantation, tissue transfer; chronic pain, genetic science",,"Particularly mid-to-late twentieth century to early twenty first. My first book was on Second World War, and my second and third books are 1980+",UK and US,"Reader in Gothic Studies at Lancaster University. Interdisciplinary cultural studies, literature; critical medical humanities, science fiction . I also edit an online anthology of flash writing about chronic pain",Yes,@sarawasson_1,https://mstdn.social/sarawasson

11/9/2022 14:39:38,Deborah Neill,djneill@mas.to,"colonial medicine, European expansion in Africa, capitalism, WW1",,19th and 20th centuries,"Western Europe, Africa",,Yes,@neilldj,djneill@mas.to

11/9/2022 14:56:46,Flurin Condrau,@flurin_condrau@swiss.social,"Infectious diseases, clinical medicine, One Health, patient's view",,1800-present,"Europe, Switzerland",Co-editor of Social History of Medicine,Yes,@flurin_condrau,

11/9/2022 22:35:10,Sarah Bull,@sarahebull@mastodon.social,medical publishing; scientific publishing; language technologies,,"19th century, but have interests earlier and later","Britain, some USA",I'm a book historian who works in HSTM publishing/print culture/media tech,Yes,@sarahebull,https://mastodon.social/@sarahebull

11/10/2022 1:03:54,Cat Irving ,@AnatomicalCat@mstdn.social,History of human preservation/dissection/surgery/anatomy ,,Primarily 18th and 19thC,Scotland/Europe,Human Remains Conservator:Surgeonsâ Hall,Yes,@AnatomicalCat,

11/10/2022 8:09:24,Laurent Galopin,lopin@laurentgalopin@sciences.re,"Medicine exercice and physicians in roman world, especially in the army or around the emperor",,Antiquity,"Mediterranean world, Greece, Rome, Egypt...","Lecturer at University of Saint Etienne (France), researcher on roman medicine and webmaster (medecine-ancienne.com)",Yes,@LaurentGalopin,https://social.sciences.re/web/@laurentgalopin

11/10/2022 9:36:03,Henrik Jochum,@henrik@mastodon.green,"One Health, Agricultural History, Veterinary History, Industrial History",,19th / 20th Century,Switzerland + Global Connections,PhD Student,Yes,@henrikjochum,https://mastodon.green/@henrik

11/10/2022 9:45:30,Kim Todzi,@KimTodzi@mastodon.social,"Tropical Medicine, History of Pharmacy",,19th & 20th century,"Europe, Africa and South East Asia",Research Assistant at the Department of Global History at the University of Hamburg,Yes,@KimTodzi,https://mastodon.social/@kimtodzi

11/10/2022 10:02:14,Tom Quick,@organologist@mstdn.social,"animals in biomedical research, logistics of biomedicine, multispecies health ",,mostly post-1800,"Global, Britain, US, Europe",,Yes,,https://mstdn.social/@organologist

11/10/2022 10:21:20,Lindsey Fitzharris,@drlindseyfitzharris@mastodon.world,"History of Medicine, History of Science ",,"19th century, World War I","Britain, USA ",Freelance writer ,Yes,@DrLindseyFitz,https://mastodon.world/@DrLindseyFitzharris

11/10/2022 10:34:19,Laura Kelly,@tortietabby@mastodon.ie,"History of medicine, modern Irish history, gender history ",,Late nineteenth and twentieth century ,Ireland,,Yes,@tortietabby,@tortietabby@mastodon.ie

11/10/2022 10:38:25,Christian ReiÃ ,@juliusschaxel@mastodon.social,"history of the life sciences, History of ecology, history of lab animals, history of the laboratory in the life sciences, History of biophilosophies, History of the life sciences im contexts of application",,"18th century, 19th century, 20th century ","Europe, north America, latin america ",,Yes,,https://mastodon.social/@juliusschaxel

11/10/2022 11:52:14,Agnes Arnold-Forster ,@agnesjuliet@mastodon.social,"History of medicine, healthcare, public health, science, technology, and the emotions.",,Modern and contemporary history,"Britain, North America",Research Fellow at London School of Hygiene and Tropical Medicine. Writing a book about nostalgia for Picador.,Yes,@agnesjuliet,https://mastodon.social/@agnesjuliet

11/10/2022 11:56:48,Vanessa Heggie,@hps_vanessa@mstdn.social,"History of life sciences, medicine, sport, food, gender,",,Modern (1750-present),British / Global,,Yes,@hps_vanessa,

11/10/2022 12:16:49,Bernhard Leitner,@bmleitner@mas.to,"History of medicine, history of science, brain science, psychiatry, neurology, colonialism",,"Early Modern, ca. 1900","Central Europe, Japan, Korea, East Asia, Southeast Asia",,Yes,@bmleitner,https://mas.to/@bmleitner

11/10/2022 13:13:04,Ted Pedersen,@SeeTedTalk@dair-community.social,History of Artificial Intelligence,,1900s - present,Global,"Computer Science professor, NLP practitioner, more of a consumer than a producer in histSTM",Yes,,https://dair-community.social/web/@SeeTedTalk

11/10/2022 14:17:32,Andrew Lea,@andrewlea@mastodon.social,"disease, diagnosis, medicine, computing",,20th century,,,Yes,@_AndrewLea_,https://mastodon.social/@andrewlea

11/10/2022 14:25:20,Dana Mahr,@med_soz@social.sciences.re,"Personalized Health, Public Participation in Medicine",,19. century; 20. century,Global,,Yes,@medSoz_DE,

11/10/2022 20:48:09,Jaipreet Virdi ,@jaivirdi@mastodon.social,"history of science, tech, medicine, disability ",,19th and 20th century,"North America, Western Europe",Deaf Historian ,Yes,@jaivirdi ,https://mastodon.social/@jaivirdi

11/11/2022 0:03:09,Lisa Onaga,@lonaga@zirk.us,"insects, sericulture, textiles, weaving, material culture, life sciences, genetics, disaster studies",,19th century to recent ,"East Asia, Global",,Yes,@lisaonaga,https://zirk.us/web/@lonaga

11/11/2022 1:56:12,Alex Csiszar,@alexcsiszar@fediscience.org,"communication, information, media, technology",,"19th century, 20th century","Europe, North America",,Yes,@alexcsiszar,https://fediscience.org/@alexcsiszar

11/11/2022 6:23:17,Assoc Prof Christine Ball,@chrisball4,"Anesthesia history. Medical History, Medical Museums, Medical Archives",,19th and 20th century,,"Practicing Anaesthesiologist, Honorary Curator of the Geoffrey Kaye Museum of Anaesthetic History, Author of ""The Chloroformist""",Yes,chrisball4,https://mastodon.world/web/@chrisball4

11/11/2022 13:06:35,David Ribes,@davidribes@hci.edu,"HIV/AIDS, bioinformatics, AI, expert systems, data, specimens, archives",,Mid 20th to early 21st,North America,historical sociologist,Yes,,https://hci.social/@davidribes

11/11/2022 13:15:56,Roland Jackson,Roland_Jackson@mstdn.social,"History of science, engineering, medicine and the state",,19th century mostly,"Europe, US",,Yes,@Roland_Jackson,Roland_Jackson@mstdn.social

11/11/2022 15:04:19,John Manton,@urardi@kolektiva.social ,"history of infectious disease control (esp. leprosy), health planning and development",,20th and 21st century,"Global, West Africa, Southeast Asia, Ireland",currently working in visual arts,Yes,@urardi,https://kolektiva.social/@urardi

11/11/2022 15:44:27,Martin Meiske,@martinmeiske@hcommons.social,"Envirotech History, Environmental History, History of Technology, History of Science, Material History, Infrastructure History, Anthropocene, Environmental Humanities",,"19th century, 20th century, 21st century","Global, Global North, Global South, Germany, Austria, Balkans, Southeast Europe, Great Britain, North America, South America",Envirotech historian | #infrastructure #maintenance #envtech #histodon | postdoc @deutschesmuseum | #envhist #histtech #histsci | Die Geburt des Geoengineerings (Wallstein 2021) | Beyond the Lab and the Field (Univ. of Pittsburgh Press 2022),Yes,@MartinMeiske,https://hcommons.social/web/@martinmeiske

11/11/2022 15:50:08,Eva Surawy Stepney,https://docs.google.com/spreadsheets/d/1MKivV_PkVZBAKBXpBkxNFEvjvYvUyE-DQHtujsh6Gww/edit#gid=144548295&range=C42,"History of clinical psychology, history of OCD, history of mental health",,,Britain,,Yes,@EvaSurawy,https://mastodon.sdf.org/@evasurawy

11/11/2022 15:51:19,Eva Surawy Stepney,@evasurawy@mastodon.sdf.org,"History of clinical psychology, history of OCD, history of mental health",,,,,Yes,EvaSurawy,https://mastodon.sdf.org/@evasurawy

11/11/2022 16:11:45,Nina Wormbs,@ninawormbs@mastodon.nu,"History of technology and environment, STS, mediahistori, digitalisation, climatechange",,"20th century, contemporary","Scandinavia, Arctic","I do a lot of service to society, in Swedish. Blogg ninawormbs.se",Yes,,

11/11/2022 16:31:48,Thierry Joffredo,@ThierryJoffredo@mamot.fr,History of mathematics,,mostly 18th century,Europe,"Part-time historian of mathematics, working on Gabriel Cramer, algebraic curves in the 18th century",Yes,,https://mamot.fr/@ThierryJoffredo

11/12/2022 8:56:36,Sally Osborn,@sallyosborn@mastodon.social,"History of medicine, manuscript recipe books",,18th century,England,,Yes,@sallyosborn,@sallyosborn@mastodon.social

11/12/2022 11:38:46,Rebekah Higgitt,rhiggitt@mstdn.social,"astronomy, observatory sciences, scientific instruments, museums, institutions, biographies",,17th-19th centuries ,"Britain, former British Empire ",historian and curator,Yes,@beckyfh,https://mstdn.social/@rhiggitt

