Timestamp,What name do you want to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),"What are your main areas of specialization or interest (legal theory, tort law, international tax, etc.)?",Jurisdictions of interest?,Other info for short self-description,"If another list of Mastodon accounts is created that overlaps with those interested in law is created, may we share the info here with that list?"

10/31/2022 16:37:42,Heidi Li Feldman,@heidilifeldman@mastodon.social,,"legal theory, civil justice system, rule of law, tort law, public nuisance, state attorneys general, rule of law, pluralist democracy","U.S. federal, U.S. states, EU, UK, Canada, Australia, India",,Yes

10/31/2022 17:18:00,Kris Nelson,@krisnelson@legal.social,@krisnelson,"Disability discrimination, civil rights, privacy, legal history","US federal, California","Attorney now, also formerly PhD candidate in the history of science",Yes

10/31/2022 17:20:39,Michael Veale,@mikarv@someone.elses.computer,@mikarv,"internet law, data protection law, technology law, privacy law","england & wales, united kingdom, european union","Faculty of Laws, University College London",Yes

10/31/2022 17:34:18,Jin-Ho King,@jking@mas.to,@jinho_king,"appellate litigation, criminal defense, IP litigation, legal writing","United States, Massachusetts, New York",I am a partner/member of a small Boston-based litigation firm and lecture on American legal writing for the LLM program at the Boston University School of Law.,No

10/31/2022 17:39:11,Sarah Burstein,@design_law@mastodon.social,@design_law,"design patents, trade dress, copyright, patents",,,Yes

10/31/2022 17:45:27,Neil Brown,@neil@mastodon.neilzone.co.uk,@neil_neilzone,"Internet and telecoms law, surveillance, data protection",England and Wales,,Yes

10/31/2022 17:59:30,Shirley Lin,@ProfShirleyLin@mastodon.social,@ProfShirleyLin,"Labor & Employment Law, CRT (focus on race, disability & gender), Legal Theory","U.S., New York",Law Prof at Brooklyn Law School,Yes

10/31/2022 18:18:48,Sven Shipton,@svn@social.coop,,"Public law, particularly human rights, and constitutional and administrative law.","England and Wales, Scotland, Northern Ireland, European Union, European Court of Human Rights",I'm an LLB student at the York Law School with a strong interest in public law. I also observe elections to ensure they comply with domestic and human rights law.,Yes

10/31/2022 18:33:58,Jennifer Cobbe,@jennifercobbe@someone.elses.computer,@jennifercobbe,"tech platforms, clouds, ecosystems, algorithms; critical understandings of tech, law, and tech law ","UK, EU",,Yes

10/31/2022 18:36:12,Leslie Burns,@LeslieBurns@legal.social,@burnsthelawyer (now deleted),copyright for artists (pro strong Â©),USA/California,"I work primarily with visual artists, especially photographers. Not a troll! I do pursue infringers for my clients.",Yes

10/31/2022 20:50:39,Petros Terzis,@petros@eupolicy.social,@petros_ter,Law and Digital Infrastructures,EU/UK/Global South,,Yes

10/31/2022 20:53:48,Tim O'Brien,@timobrien@mastodon.social,@_TimOBrien,"Technology law, policy, society","US, EU","Affiliate Assoc. Prof, Univ. of Washington Evans School, longtime tech industry, ex-MSFT",Yes

10/31/2022 21:15:35,Melissa Carleton,@melissacarleton@mastodon.social,@MCHigherEd,"Higher Ed law, Title IX, civil rights, FERPA","Ohio, Florida, everywhere ","General counsel, teacher, hearing office, investigator, legal geek",Yes

10/31/2022 21:27:04,Tracy L. M. Norton,@tracymcnorton@mastodon.social,@millannialprof,"legal writing, applied legal storytelling, persuasion, criminal defense","U.S., Texas, Louisiana",Taylor Swift stan,Yes

10/31/2022 21:35:10,Jennifer Taub,@jentaub@mstdn.social ,@jentaub,"Corporate governance, financial market regulation, securities regulation, white collar crime ",,,Yes

10/31/2022 22:29:55,Matthew Clair,@matthewclair@mastodon.social,@mathuclair,"Criminal law, sociology of law, legal profession ",,,Yes

10/31/2022 22:51:32,Sarang Shah,@sarangshah@mastodon.social,@SarangBerkeley,"Law and politics, corporate law, political theory, law and political economy",US,"Lawyer + Politics PhD student @ Berkeley. Interested in governance, law, political economy, democracy, history, and epistemology/philosophy of science",Yes

10/31/2022 23:07:18,Thomas Streinz,@streinz@mas.to,@t_streinz,law & technology,Global,Exec Director of Guarini Global Law & Tech at NYU Law,Yes

10/31/2022 23:25:44, Mark Lemley,@mark.lemley@mastodon.social,marklemley,"intellectual property, antitrust, Internet law",US,,Yes

10/31/2022 23:39:45,Houfu Ang,@houfu,@houfu,Legal Technology ,Singapore,,Yes

11/1/2022 0:02:01,Frank Cire,@WestCoastFranky@sfba.social,,"Patent Law, Technology Law",International Technology Law,,Yes

