Timestamp,Name or Known As,"
What is your Mastodon handle (@user@instance.name)?","What is your Twitter handle, if you have one (@user)?",What is your focus?,"Anything else you want to share? (bio link, org, school, etc.)","Professional, enthusiast, student?"
11/18/2022 2:49:39,Capital Weather,@capitalweather@mstdn.social,@capitalweather,Weather all over,,Professional
11/18/2022 2:50:14,Jared Smith,@jaredwsmith@mastodon.online,@jaredwsmith,"Software, severe and tropical weather.","My Charleston, SC weather updates are at @chswx@micro.blog for now in the Fediverse.",Enthusiast
11/17/2022 21:54:58,Austin Burkes,@Austinburkeswx@mastodon.social,@Austinburkeswx,,,Professional
11/17/2022 21:57:24,Daniel (D.J.) Kayser,@dkayserwx@mastodon.world,@dkayserwx,National and Minnesota weather,Meteorologist at Praedictix Weather,Professional
11/17/2022 21:57:50,Evan Fisher,@EFisherWX@masto.ai,@EFisherWX,Mountain Weather/GIS,,University Student
11/17/2022 22:00:53,Jonathan Thornton,@jonblatho@mastodon.social,@jonblatho,,,Enthusiast
11/17/2022 22:01:32,Bryan Wood,@bryanwx@mastodon.world,@Bryanwx,"Catastrophe Analysis, Hurricanes, Severe Weather, Wildfire, Climate Change",,Professional
11/17/2022 22:03:41,Willard Sharp,@willardsharpwx@mastodon.social,@madridiowawx,"Weather, photography, astrophotography ",,Enthusiast
11/17/2022 22:04:54,Nate Johnson,@nsj@lothlorien.net,@nsj,"Broadcast, Scicomm, Radar, Aviation, BBQ",,Professional
11/17/2022 22:05:24,Michael Kruk,@stormcoolio@mastodon.social,@stormcoolio,"Hurricanes, Oceans, Coasts",,Professional
11/17/2022 22:05:31,Matthew Dux,@matthewdux@mastodon.social,@matthewdux,"Meteorology, NWS",,Professional
11/17/2022 22:06:49,Zack Labe,@ZLabe@fediscience.org,@ZLabe,Climate science,,Professional
11/17/2022 22:07:29,Stephen Mullens,@srmullens@scicomm.xyz,@Srmullens,"Tropical, radar, communication, coding",Non-wx account at srmullens@mstdn.social. Sorry for cheating. ,Professional
11/17/2022 22:07:51,Ian Livingston,@ianlivingston@journa.host,@islivingston,Weather reporting data and visualization,https://www.washingtonpost.com/people/ian-livingston/,Enthusiast
11/17/2022 22:09:21,James (Jim) Elsner,@jelsner@fediscience.org,@JBElsner,"climate, storms, weather, frisbee sports",,Professional
11/17/2022 22:10:42,Bryant Sell,@stormsellwx@mas.to,@stormsellwx,"#PAwx, webcams, timelapses, statistics, photography...",http://stormsellweather.com/index.html,Enthusiast
11/17/2022 22:12:28,MountainMan/Daniel Milbrath ,@danielm@newsie.social,@DanielO6_08,"Meteorology, geography, politics, science, space, drama ",I have a masters in GIS management and a BS in Atmospheric Sciences! I love the outdoor life and live in Denver CO ,Professional
11/17/2022 22:12:50,Billy DePriest,@wdepriest@mas.to,@marylandwx,Maryland weather,,Professional
11/17/2022 22:12:57,Stephanie Zick,@sezick@mstdn.science ,@sezick,"Hurricanes, weather",,Professional
11/17/2022 22:12:57,Jared Rennie,@jjrennie@fediscience.org,@jjrennie,Applied Climatology ,I appreciate you all ,Professional
11/17/2022 22:13:57,Chris Roller,@croller521@home.social,@crollerwx,"NWS, meteorology",,Professional
11/17/2022 22:14:14,Nicole Biagioni,@nbiagioni@mstdn.party,@NicoleBiagioni_,"Weather related content, for New England, for skiers, and across the Us",,Professional
11/17/2022 22:14:40,Brian Hughes,@Sentient_Wx@toad.social,@SentientWx,"Satellite Meteorology, NASA Wallops Range Weather",,Professional
11/17/2022 22:14:53,Technodad,@technodad@mastodon.online,@Technodad,"Weather in New England region of USA, especially Maine",,Enthusiast
11/17/2022 22:15:16,Matthew Bittorf,@wiwxman@tech.lgbt,@wiwxmn,"All things weather, climate, Wisconsin, education, science",Graduate of UW-Madison AOS Department. Currently getting Masters in Education.,Professional
11/17/2022 22:16:51,AZenner,@azenner@mastodon.social,@azenner,"Communications, transportation, dc",,Enthusiast
11/17/2022 22:17:59,James Marusak,@hpbear149den@mas.to,@hpbear149den,forecasting and messaging,"also do sports, poker, and yes some politics",Professional
11/17/2022 22:18:03,Kelly Hereid,@hereidk@fediscience.org,@KellyHereid,"Catastrophe modeling, climate, hurricane/wildfire/flood",#wxtwitter adjacent,Professional
11/17/2022 22:19:56,Henry Burton,@HenryWX@mas.to,@HenryWX,Weather ,,Enthusiast
11/17/2022 22:21:07,Rob Lightbown ,@crownweather@mstdn.science,@crownweather,Tropical Cyclones & Winter Weather ,Also am an Amateur Astronomer ,Professional
11/17/2022 22:21:21,Mike Montefusco ,@Akqmet5@ohai.social,@akqmet5,Meteorology/NWS/Outreach,,Professional
11/17/2022 22:21:24,J. Dianne Dotson,@jdiannedotson@mastodon.online,@jdiannedotson,"Author, sci-fi, horror, fantasy, art, science writing ",My website: jdiannedotson.com,Enthusiast
11/17/2022 22:24:38,Tim Supinie,@plustssn@mstdn.social,@plustssn,"Meteorology, Python programming, gratuitous food pics",,Professional
11/17/2022 22:25:22,Jake DeFlitch,@wxdeflitch@mas.to,@WxDeFlitch,Meteorology/Climate/Social Science,,Professional
11/17/2022 22:26:00,TrinaLovesInfo,@TrinaLovesInfo@mstdn.social,@PatrinaC,"Weather enthusiast, music, misc","Just an amateur, chasing from my balcony",Enthusiast
11/17/2022 22:26:14,Corey Pieper,@Geostrophic@universeodon.com,@Geostrophic,?,,Professional
11/17/2022 22:33:07,Chris Ratzlaff,@ratzlaff@mstdn.social,@ratzlaff,Canadian storms and Aurora,,Enthusiast
11/17/2022 22:35:09,Cheryl Lynn,@AtmoCheryl@scicomm.xyz,@AtmoCheryl,Weather and Space (Meteorology student at Florida Tech),,University Student
11/17/2022 22:35:13,Matt Seymour,@SassyWeatherman@mastodon.social,@SassyWeatherman,"Winter storms, lake-effect snow, Python, numerical modeling",,Professional
11/17/2022 22:35:18,ItzSwirlz/NENJWx,@ItzSwirlz@fosstodon.org,@NENJwx,primary Linux/FOSS stuff but periodically weather as Iâm an enthusiast ,no,Enthusiast
11/17/2022 22:37:31,Brad Panovich,wxbrad,@wxbrad,"Weather, Operational Forecasting, Social Science",,Professional
11/17/2022 22:38:10,Rick Thoman,@AlaskaWx@mastodon.social,@AlaskaWx,Alaska and Arctic weather and climate,,Professional
11/17/2022 22:40:21,Ed Oswald,@edoswald@journa.host,@edoswald,,,Enthusiast
11/17/2022 22:41:13,Douglas Schumacher,@dougaschu@mastodon.social,@dougaschu,Wisconsin Wx; Satellite and model products,,Professional
11/17/2022 22:44:39,Sean Stelten,@seanstelt@home.social,@wxstelten,"Shormchasing, movies, neon, chaos, snark",Kansas still beat Texas in football.,Professional
11/17/2022 22:45:01,James Aydelott,@jamesaydelott@techhub.social,@jamesaydelott,Severe Weather/Radar/Disaster Science,,Professional
11/17/2022 22:46:06,Beth Allan/Adolwyn,@adolwyn@mas.to,@adolwyn,"Canadian severe summer weather in June-August, other crap the rest of the year",,Enthusiast
11/17/2022 22:50:22,Zach Rosenthal,@zachr@universeodon.com,@z_rossnthal,"Weather, journalism, random stuff","Occasional CWG contributor, otherwise not super active in the space",Enthusiast
11/17/2022 22:50:40,Tim Brice,@timbrice17@mstdn.science,@timbrice17,"NWS forecaster, technology, leadership",,Professional
11/17/2022 22:52:19,Kevin Myatt,@kevinmyattwx@newsie.social,@kevinmyattwx,"Southwest/Southside Virginia weather for regional audience, but also general weather particularly severe and winter",,Professional
11/17/2022 22:54:54,wxaggie10,@wxaggie10@mas.to,@wxaggie10,supercell and hurricane chasing,,Enthusiast
11/17/2022 22:58:21,NJ Weather News,@NJWxNews@wxcloud.social,@NJWxNews,NJ Weather & General Weather,,Enthusiast
11/17/2022 22:58:50,Andrew Williams,@Yimes@toot.community ,@A_S_Williams,Weather news fun ,I have been following multiple wx accounts for years. Donât post much. Occasional weather pic from Maryland. Just like following the community,Enthusiast
11/17/2022 23:02:51,Charles Roop,@thewxtech@infosec.exchange,@charlesroopwctv,Meteorology as well as all things tech,The bird is failing.,Professional
11/17/2022 23:04:24,Craig Ceecee,@CC_StormWatch@qoto.org,@CC_StormWatch,"Communicating severe weather, preparation and science",I'm working on my Ph.D. at MS State focused on tornado sheltering and preparation.,Professional
11/17/2022 23:06:22,Lucas Sterzinger,@lsterzinger@fosstodon.org,@lucassterzinger,"Cloud physics, numerical modeling, open source, open science",,Professional
11/17/2022 23:13:21,Jose Garcia,@wx_garcia@wxcloud.social,@wx_garcia,Meteorology/DC Metro Weather ,Lets see how Mastodon goes.,Enthusiast
11/17/2022 23:22:26,Kyle Griffin,@kg@hachyderm.io,@kgriffin0,"Weather data and python, hurricanes, Midwest, energy/ag weather, AWS",,Professional
11/17/2022 23:30:52,Karen Kowalewsky ,@wxdoc@mastodon.sdf.org,@wxdoc,Atmospheric Physics/Remote Sensing,,Professional
11/17/2022 23:34:42,Andrew Hatter,@andrew_weather@mastodon.social,@andrew_weather,Radar Meteorology/Severe weather,,Professional
11/17/2022 23:42:28,Alan Schenkel,@alanschenkel@med-mastodon.com,@alanschenkel,"Science, photography, weather, immunology, biking, trains, outdoors",,Enthusiast
11/17/2022 23:59:28,Kyle Gustafson,@gusky@mas.to,@kygustafWX,"All kinds of weather, mainly focused on Western Washington",,Enthusiast
11/18/2022 0:10:54,Joseph Trujillo FalcÃ³n,@LatinWx@mstdn.science,@LatinWx,"Social science, Communication, Policy, Meteorology ",Â¡Bienvenido!,Professional
11/18/2022 0:22:11,Scott Hammel,@ScottHammel@masto.ai,@ChaseCaseCO,Weather photography,,Enthusiast
11/18/2022 0:28:48,Cameron_WX,@cameronl@mastodon.social,@Cameron_wx,"Weather, Gaming",just want to stay in touch with others who enjoy weather,Enthusiast
11/18/2022 0:31:18,Morgan Barry,@morganabigail@mstdn.science,@morganabigail,"Meteorology, Rip Currents, Social Media",,Professional
11/18/2022 0:34:35,Daniel Swain,@weatherwest@mastodon.social,@Weather_West,Extreme events and climate change,,Professional
11/18/2022 0:45:22,Beak,@beak@mastodon.online,@beakwx,"Lifestyle, weather, gardening, cats","Iâve lived on the periphery of wxtwitter for years, and Iâve grown to love you all even if I donât post much.",Enthusiast
11/18/2022 0:47:02,Nick Greenawalt ,@buckeyewx@mstdn.social,@buckeyewx,NWS met/hydrologist ,,Professional
11/18/2022 0:49:10,Josh Morgerman,@iCyclone@mas.to,@iCyclone,Chasing hurricanes. That is all.,,Professional
11/18/2022 0:49:18,Donal Harrigan ,@SOOage@mstdn.science,@FLGatorDon,Meteorology ,SOO NWS Miami,Professional
11/18/2022 0:53:11,Gerry Diaz,@geravitywave@sfba.social,@geravitywave,Newsroom Meteorologist ,,Professional
11/18/2022 1:04:22,Jordan Bell,@muwxman@mstdn.social,@muwxman,"Remote sensing, Land surface remote sensing, NASA Earth Science",,Professional
11/18/2022 1:05:54,Markus WeggÃ¤sser ,,@markus_tsc,Meteorology and Storm Chasing,,Enthusiast
11/18/2022 1:06:44,Josh Bregy,@prehistormic@fediscience.org,@prehistormic,"Paleotempestology (prehistoric hurricanes), paleoclimatology, tropical cyclones, coastal/hydrological hazards",,Professional
11/18/2022 1:24:05,Chuck Copeland,@chuckcopeland@wxcloud.social,@NCHurricane_com,"Weather, Motorsports, Cats, Multimedia Creation",Thanks for putting this together!,Enthusiast
11/18/2022 1:29:55,Danielle Manning,@dmanning283@c.im,@dmanning283 ,"Risk comm, tropical weather, dss, accessibility ",,Professional
11/18/2022 3:11:50,Justin Gibbs,@ForecasterJGG@mastodon.social,@ForecasterJGG,Shitposting,,Professional
11/18/2022 3:55:19,Jose Matinez-Claros,@doctorclaros@mindly.social,@doctorclaros,"Atmospheric rivers, mesoscale meteorology, lightning",,Professional
11/18/2022 4:45:11,Tiffany Fortier,@tfortier_wx@mastodon.world,@tfortier_wx,Everything and anything meteorology from an operational perspective. I currently work with Versar.  ,I frequently post photos of my dog and my progress on powerlifting. ,Professional
11/18/2022 5:02:04,Kevin Quinlan,@kevinq@mstdn.party,@KevQwx,weather / sports / energy / politics,,Professional
11/18/2022 6:11:41,"PlasmaNerd, Alexa Halford",@PlasmaNerd@fediscience.org,@PlasmaNerd,"Space Weather, Radiation storms, Ionospheric dynamics, Aurora, geomagnetic storms",Love learning more about the coupling of terrestrial weather to upper atmosphere/ionosphere/magnetosphere dynamics,Professional
11/18/2022 7:48:26,Sam Trujillo,@SamWX@mastodon.social,@SAMT_WX,Storm chasing and travel,,Enthusiast
11/18/2022 8:11:15,,@etoilenoire@mstdn.party,@etoilenoire,"politics, crochet",,Enthusiast
11/18/2022 8:51:19,Devin Pitts,@devinwxchase@mastodon.social,@devinwxchase,Storm chasing,,Enthusiast
11/18/2022 8:59:04,Kurtis M,@Stormorknot@mastodon.world,@stormorknot,"Weather, data science ","Meteorologist, catastrophe modeler, and SKYWARN spotter.",Professional
11/18/2022 9:09:32,Ai6yr Ben,@ai6yr@ai6yr.org,@ai6yrham,"Extreme weather and weather disasters, wildfires","Monitoring wildfires, floods, hurricanes, etc.",Enthusiast
11/18/2022 9:19:28,Margaret Orr,@climatewmargs@mstdn.science,@climatewithmargs,Climate communication,,Professional
11/18/2022 9:33:52,Charlie Eddy,,@_lettucehead,The strategic role of perigean spring tides,,Enthusiast
11/18/2022 9:34:03,Paul Knightly,@paulknightly@mstdn.social,@PaulKnightly,"Weather photography as a hobby, professionally a planetary geologist",,Enthusiast
11/18/2022 10:05:32,Joe Worster,@Joeworster@mstdn.science,@JoeWorsterWX,"Operational Meteorology, Stormchasing, Photography",,Professional
