Account address,Show boosts
@gabrieledragotto@mas.to,TRUE
@mervenoyan@mastodon.social,TRUE
@jfpuget@sigmoid.social,TRUE
@larrysnyder@mstdn.social,TRUE
@gglockner@social.seattle.wa.us,TRUE
@opsprof@mastodon.online,TRUE
@vanparys@mathstodon.xyz,TRUE
@mluebbecke@mas.to,TRUE
@AustinLBuchanan@mas.to,TRUE
@thyunes@mastodon.uno,TRUE
@thserra@sigmoid.social,TRUE
@bstellato@mastodon.social,TRUE
@cleophas@fediscience.org,TRUE
@walkingrandomly@mathstodon.xyz,TRUE
@chrischirp@fediscience.org,TRUE
@UlrichJunker@fediscience.org,TRUE
@mstiglmayr@mathstodon.xyz,TRUE
@EmilyLTucker@mastodon.sdf.org,TRUE
@geoffreydesmet@mastodon.social,TRUE
@rocarvaj@mas.to,TRUE
@famo2spaghi@sigmoid.social,TRUE
@totalUnimodular@mas.to,TRUE
@rax@mathstodon.xyz,TRUE
@claud10contardo@mastodon.social,TRUE
@rrwilliams@mastodon.social,TRUE
@hakan@mastodon.sdf.org,TRUE
@rax@mathstodon.xyz,TRUE
@mwalter@mas.to,TRUE
@mohitsinghr@mas.to,TRUE
@Dekker1@soapbox.network ,TRUE
@sibelalumur@mastodon.sdf.org,TRUE
@MikeTrick@mastodon.sdf.org,TRUE
@pascalvanhentenryck@mastodon.sdf.org,TRUE
@nkgarg@mstdn.social,TRUE
@justbozo@mas.to,TRUE
@hanizbib@qoto.org,TRUE
@angelamczhou@mastodon.social,TRUE
@vidalthi@mas.to,TRUE
@mstiglmayr@ruhr.social,TRUE
@baski@mastodon.online,TRUE
@sophiehuiberts@mathstodon.xyz,TRUE
@rfukasawa@mas.to,TRUE
@tavobula@mas.to,TRUE
@pbonomo@mastodon.green,TRUE
@bernalde@universodon.com,TRUE
@Merve@sigmoid.social,TRUE
@JoaquimLacombe@mas.to,TRUE
@melkoria@mas.to,TRUE
@merschformann@mastodon.social,TRUE
@hhijazi@sigmoid.social,TRUE
@MFischetti@sigmoid.social,TRUE
@fabian@sigmoid.social,TRUE
@schmaidt@mas.to,TRUE
@ryanjoneil@techhub.social,TRUE
@frank_e_curtis@mas.to,TRUE
@felixoneberlin@mas.to,TRUE
@LaurentPoirrier@mathstodon.xyz,TRUE
@lauraalbertphd@mas.to,TRUE
@bcavdar@mastodon.sdf.org,TRUE
@matbesancon@mathstodon.xyz,TRUE
@rbassett@mathstodon.xyz,TRUE
@aigerim@mas.to,TRUE
@madvictorz@mstdn.science,TRUE
@SolverMax@mathstodon.xyz,TRUE
@kermitiano@mas.to,TRUE
@cdambrosio@mas.to,TRUE
@elinaronnberg@mas.to,TRUE
@bmenendez@mas.to,TRUE
@AlexanderMitsos@mas.to,TRUE
@jefflinderoth@mathstodon.xyz,TRUE
@aliceraffaele@mas.to,TRUE
@edwardlam@mathstodon.xyz,TRUE
@airoyoung@mathstodon.xyz,TRUE
@anncampbell@sigmoid.social,TRUE
@mattbailey@mastodon.sdf.org,TRUE
@MartiFischetti@sigmoid.social,TRUE
@dominiqs@sigmoid.social,TRUE
@jannisk@mathstodon.xyz,TRUE
@marinaepelman@mastodon.social,TRUE
@supernetworks@mastodon.sdf.org,TRUE
@aringoogle@mastodon.uno,TRUE
@A_Sassano@awscommunity.social,TRUE
@parubin@mathstodon.xyz,TRUE
@bghaddar@mstdn.ca,TRUE
@tiffanybayley@mastodon.sdf.org,TRUE
@BmansEquation@machteburch.social,TRUE
@mattmilten@techhub.social,TRUE
@j_cole_smith@mathstodon.xyz,TRUE
@sibelalumur@mastodon.sdf.org,TRUE
@borelian@mathstodon.xyz,TRUE
@prof_Bragin@mastodon.world,TRUE
@thuerauf_j@mathstodon.xyz,TRUE
@jimluedtke@mathstodon.xyz,TRUE
@dirkvandenpoel@mastodon.online,TRUE
@giangarcia@mastodon.sdf.org,TRUE
@saigal@sfba.social,TRUE
@fzingler@tech.lgbt,TRUE
@ryancorywright@mathstodon.xyz,TRUE
@tahaarbaoui@mas.to,TRUE
@miclindahl@mas.to,TRUE
@marklstone@mathstodon.xyz,TRUE
@paulwgoldberg@mas.to,TRUE
@AntoinePrv@sigmoid.social,TRUE
@baabbaash@mathstodon.xyz,TRUE
@jaeandersson@mathstodon.xyz,TRUE
