Informazioni cronologiche,By which name do you wish to be listed?,Please provide your full Mastodon handle (please include the instance/server. For example: @you@mastodon.social),What is the link to your Mastodon profile? (For example: https://mastodon.social/@you),Please provide your Twitter handle (if any),"What are your research interests? 
(three keywords, separated by comma)",Permissions

25/01/2023 13.42.48,Milena Leybold ,@MilenaKLey@sciences.social,https://sciences.social/@MilenaKLey,@MilenaKLey,"organizational openness, communicative perspectives, organizational boundary drawing","I agree to add my account information to the ""Organization Histodons"" list of Mastodon., I am aware that I am able to remove my information at any time by contacting those in charge of this listing."

26/01/2023 9.43.10,Leonhard Dobusch,@leonido@chaos.social,https://chaos.social/@leonido,@leonidobusch,"organizational openness, regulation via standards, organizationality","I agree to add my account information to the ""Organidons"" list ob Mastodon., I am aware that I am able to remove my information at any time by contacting those in charge of this listing."

26/01/2023 21.47.21,Maximilian HeimstÃ¤dt,@heimstaedt@chaos.social,https://chaos.social/@heimstaedt,@heimstaedt,"Transparency, Algorithms, Expertise ","I agree to add my account information to the ""Organidons"" list on Mastodon., I am aware that I am able to remove my information at any time by contacting those in charge of this listing."

27/01/2023 13.15.05,Sebastian Spaeth,@spaetz@mas.to,https://mas.to/@spaetz,,"open innovation, digital platforms, collaboration","I agree to add my account information to the ""Organidons"" list on Mastodon., I am aware that I am able to remove my information at any time by contacting those in charge of this listing."

27/01/2023 13.31.41,Christof Brandtner,@cbrandtner@mastodon.social,https://mastodon.social/@cbrandtner,@c_brandtner,"Institutional change, organizations & urban governance, civil society","I agree to add my account information to the ""Organidons"" list on Mastodon., I am aware that I am able to remove my information at any time by contacting those in charge of this listing."

27/01/2023 13.55.38,Dide van Eck,@didevaneck@mas.to,https://mas.to/@didevaneck,EckDide,"Ethnography, Inclusion, Practice theory ","I agree to add my account information to the ""Organidons"" list on Mastodon., I am aware that I am able to remove my information at any time by contacting those in charge of this listing."

27/01/2023 14.14.16,Renate Kratochvil,@ren8te@expressional.social,https://expressional.social/@ren8te,ren8te,"Strategizing, managers, qualitative research, ","I agree to add my account information to the ""Organidons"" list on Mastodon., I am aware that I am able to remove my information at any time by contacting those in charge of this listing."

27/01/2023 16.38.39,Laura Dobusch,@loradob@chaos.social,https://chaos.social/@loradob,@loradob,"climate crisis, inclusion/exclusion, diversity","I agree to add my account information to the ""Organidons"" list on Mastodon., I am aware that I am able to remove my information at any time by contacting those in charge of this listing."

27/01/2023 16.42.29,Giuseppe Delmestri,@gdelmestri@climatejustice.social,https://climatejustice.social/@gdelmestri,@gdelmestri,"Organization theory, existential risks, Academic activism ","I agree to add my account information to the ""Organidons"" list on Mastodon., I am aware that I am able to remove my information at any time by contacting those in charge of this listing."

