Time and date added,What name do you wish to be listed by? ,What is your Mastodon handle (@username@instance.name),Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon) ,Feel free to add a brief bio ,What hashtags (up to 5) best describe the content you post? 

,Mary Williams,@PlantTeaching@genomic.social,@PlantTeaching,"Features Editor, The Plant Cell and Plant Physiology, PI NSF RCN: ROOT & SHOOT. ",#PlantScience #PlantScientists

11/19/2022 18:18:46,Wojciech Nawrocki,@nawrocki@scholar.social,@wjnawrocki,"Interested in photosynthesis, bioenergetics, spectroscopy, and structural biology. Scientist at CNRS; Paris, France",#photosynthesis #openscience #plantbiology #bioenergetics #biophysics

11/19/2022 18:20:44,Stefafra,@Stefafra@mstdn.social,@stefafra,"Plant pathologist, now working on the effect of climate on flowering and yield in Brassica napus, and Arabidopsis.",#botany #pictures #socialissues #politics

11/19/2022 18:33:24,Heather C.,@badbirch@ecoevo.social,@badbirchbotanic,I am a horticultural curator and educator at an Arboretum.,#NatievPlants #Ecology #Moss #Lichen #Botany

11/19/2022 18:34:19,Nika Shilobod,@NikaShilobod@fediscience.org,,I am a geoarchaeologist/palaeoecologist. I use fossil pollen to reconstruct old landscapes to see how humans interacted with their environment in the past.,Archaeology Palaeoecology Houseplants

11/19/2022 18:35:56,Devang Mehta,@devang_m@mastodon.social,@drdevangm,"Asst. Prof of Experimental Plant Systems Biology at KU Leuven. Formerly at the University of Alberta, ETH Zurich, Imperial College London. Fmr Early Career Advisor at eLife.",#plantsci #diversity #racism #publishing #openscience

11/19/2022 18:44:57,Mike Barker,@MikeBarker@ecoevo.social,@BarkerLab,"Assoc Professor of Ecology & Evolutionary Biology, University of Arizona",#PlantEvolution #Polyploidy #Chromosomes #Genomics #Biodiversity

11/19/2022 18:57:19,Brittany Sutherland,@SutherlandBL@ecoevo.social,@SutherlandBL,Asst Prof @ George Mason University,"@polyploidy, @plantevolution, @matingsystems, @education, @cats"

11/19/2022 19:21:38,Celine Caseys,@c_caseys@genonic.social,@c_caseys,curious plant biologist working on the genomics of plant-pathogenic fungi interactions,#plantscience #fungi 

11/19/2022 19:25:55,Ryo Yokoyama,@yokoyama_ryo@mstdn.jp,@yokoyama_ryo,"Plant scientist / @PlantPhys Assistant Features Editor / photosynthesis, primary metabolism, chloroplast, metabolomics / Kyotoð¯ðµâ©Madisonðºð¸â©MPI-Potsdamð©ðª",#plantsci #photosynthesis #chloroplast #metabolomics

11/19/2022 19:36:32,Susann Auer,@SusannAuer@mastodon.green,@SusannAuer,Plant biologist studying interaction with endophytes and clubroot pathogen; working at TU Dresden (GER); trainer for reproducible research and Open Science enthusiast.,#plants #OpenScience #reproducibility #ReproducibleResearch

11/19/2022 19:37:34,Jim Downie,@cenococcum@mstdn.science,cenococcum,,"Community ecology, microbial ecology, plant microbes interactions"

11/19/2022 20:16:28,Stephanie Klein,spklein@genomics.social,@spklein2,"Postdoc at Iowa state, root biology and abiotic stress ",

11/19/2022 20:54:21,Shyam Solanki,@shysol4u,@shysol4u,,#plantpathology #plantimmunity #receptors #NLR #bioinformatics

11/19/2022 21:29:00,Milan Zupunski,@milanzupunski@fosstodon.org,@milanzupunski,I'm a plant biologist/ecophysiologist. My research interests are pointed in direction of understanding how plants perceive and integrate the environmental cues into systemic wide responses which helps them to adapt to various environmental conditions.,

11/19/2022 21:32:29,Pallavi Singh,@Thepallavisingh@genomic.social,@Thepallavisingh,"Lecturer (Assistant Professor) at School of Life Sciences, University of Essex UK",#Photosynthesis #WaterUse #NewPI #PlantProductivity #FunctionalGenomics

11/19/2022 21:58:09,Magdalena Julkowska,@mmjulkowska@genomic.social,@mmjulkowska,"PI at BTI interested in how stress affects plant architecture, learning to talk to plants through genetics and phenotyping",#GWAS #stress #fairSTEM #phenotyping #coding

11/19/2022 22:29:04,HÃ©ctor Candela ,@candela_lab@mastodon.world,@candela_lab,,

11/19/2022 23:45:23,Gina Pham,@ginapham@genomic.social,@GinaPham,,#genomics #bioinformatics #plantscience

11/20/2022 0:04:51,Asher Pasha,@vegan_asher@genomic.social ,@AsherPasha,Bioinformatician at Bio-Analytic Resource (eFP/ePlant/ThaleMine),"Bioinformatics, Programming, ComputationalBiology, Databases"

11/20/2022 0:19:25,Marcel Dickmanns,@mdickmanns@mstdn.science,@mdickmanns1,Plant Signaling & Plasmodesmata,#plantphysiology #cryoET #stress #biosensors

11/20/2022 0:59:47,James P B Lloyd,@jamespblloyd@genomic.social,@jamespblloyd,"Synthetic biologist, creator of genetic circuits in plants and lover of RNA bio and epigenetics",#SynBio #RNA #CompBio #Genomics #Epigenetics

11/20/2022 1:12:19,Andrew Millar,@A_J_Millar@fediscience.org,@A_J_Millar,"University of Edinburgh; earlier circadian clocks, modelling; now OpenData; later science for Citizen Participation",#opendata #researchculture #circadian #plantsci #climatechange

11/20/2022 1:16:05,Shan Lu,@pinene@genomic.social,@pinene,plant biologist studying isoprenoid metabolism,#chloroplast #carotenoid #terpenoid #redalga

11/20/2022 1:51:29,Oliver Berkowitz ,@OliverBerkowitz@genomic.social,@OliverBerkowitz,,#medicinalagriculture #cannabis #mitochondria #molecularbiology #bvb

11/20/2022 3:33:15,Amey Redkar,@RedkarAmey@ecoevo.social,@RedkarAmey,plant biologist working on plant -microbial interactions,#plantpathogens #fungi #effectors #plantimmunity #functionalgenomics

11/20/2022 3:38:54,Carlos Vidal,@CarlosVidal@genomic.social,@CarolusVitalis,,#synbio

11/20/2022 5:20:13,Juniper Kiss,@GoesByJuniper@mastodon.au,@goesbyjuniper,www.juniperkiss.com,#plantscience #scicomm #foodsecurity #agriculture #malaria

11/20/2022 5:41:04,Jana Vamosi,@janac@mastodon.social,@jvamosi,Professor at UCalgary,#evolution #ecology #phylogeny #ClimateChange

11/20/2022 6:32:19,Mayuri Sadoine,@MayuriSadoine@mstdn.social,@MayuriSadoine,"plant-pathogens/microbes, sensors, microfluidics",

