account,name,link,keywords
@CarlisleRainey@sciences.social,Carlisle Rainey,https://sciences.social/@CarlisleRainey,political methodology; experimental design; Bayesian methods; computational methods
@pedrobarbabela@mastodon.world,Pedro Barbabela,https://mastodon.world/@pedrobarbabela,LGBTI+ politics; political careers; elections; brazilian politics
@Jurgen@mastodon.world,Jurgen Braungardt,https://mastodon.world/@Jurgen,Political Philosophy
@michaelrubin@sciences.social,Michael Rubin,https://sciences.social/@michaelrubin,armed conflict; political violence; international security; human rights
@ced3rico@econtwitter.net,Cédric M. Koch,https://econtwitter.net/@ced3rico,Political Economy; International Relations; Populism; Democratic Theory
@lucian_ashworth@sciences.social,Lucian M. Ashworth,https://sciences.social/@lucian_ashworth,International Relations; History of International Thought
@akblum@mstdn.social,Ashley Blum,https://mstdn.social/@akblum,propaganda; misinformation; Russian politics; political behavior; public opinion
@demcintosh@universeodon.com,Daniel McIntosh,https://universeodon.com/@demcintosh,Security; IR; IPE; international law and organizations; nationalism; globalism
@KaiMThaler@sciences.social,Kai M. Thaler,https://sciences.social/@KaiMThaler,Conflict; violence; security; statebuilding; protests; authoritarianism; democracy
@YaelZeira@mastodon.social,Yael Zeira,https://mastodon.social/@YaelZeira,Political conflict/violence; social movements; ethnic politics; MENA
@gerasy@mstdn.social,Georgiy Syunyaev,https://mstdn.social/@gerasy,Comparative Politics; Authoritarian Propaganda; Political Economy of Media
@williamtdaniel@mastodonapp.uk,Will Daniel,https://mastodonapp.uk/@williamtdaniel,institutions; EU; gender and representation; legislatures; parties; elites; careers
@steven_feldstein@mstdn.social,Steven Feldstein,https://mastodon.social/@steven_feldstein,Democracy; technology; international relations
@pgraterol@mastodon.world,Pedro Luis Graterol,https://mastodon.world/@pgraterol,Democratic Backsliding; Venezuelan politics; Social media and politics
@carlawinston@sciences.social,Carla Winston,https://sciences.social/@carlawinston,IR; International Law; Human Rights; Norms; Complexity
@jandrewsinclair@mastodon.online,Andrew Sinclair,https://mastodon.online/@jandrewsinclair,American politics; public opinion; public policy; public administration; political reform
@danaelkurd@mastodon.social,Dana El Kurd,Https://mastodon.social/@danaelkurd,Authoritarianism; protest; international intervention
@alicetimken@mas.to,Alice Cho Timken,https://mas.to/@alicetimken,Comparative politics; law and courts; institutions; judges and lawyers.
@gabrielleonablan@econtwitter.net,Gabriel Leon-Ablan,https://econtwitter/@gabrielleonablan,riots and protests; social order; historical political economy
@kwalz@sciences.social,Kevin Walz,https://sciences.social/@kwalz,autocratization; democratic resilience;
@ruthcarlitz@mastodon.social,Dr. Ruth D. Carlitz,https://mastodon.social/@ruthcarlitz,Political economy of development; Africa; service delivery
@amberzenklusen@fediscience.org,Amber Zenklusen,https://fediscience.org/@amberzenklusen,expertise; political behavior; political parties; gender; social policy
