Timestamp,"What name do you wish to be listed
",What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you'd like to share? (to help people you know on Twitter find you on Mastodon),What is (are) your main area(s) of research within theology? ,"What is (are) your main approach(es) (e.g. historical, systematic, contextual, practical, biblical, constructive...)",What's your main period of interest?,What other core disciplines do you cross into? (e.g. digital humanities for digital theology) ,Short self-description/Mastodon info? (optional),"An earlier list of Religion scholars on Mastodon (Religidons) is managed by Alana Vincent (
@amv@religion.masto.host) - and many thanks to Alana for allowing us to adapt her sheet and form for this. 

It is available here: https://docs.google.com/spreadsheets/d/1uBwBthFWMCTKxMEn6liNosDX8bOEmoNnFZnWD_xu_7E/htmlview 

Should we pass on your details to them?"

,,@kirche.social,,German Church Network,,,,,

,,@churchofengland@a.gup.pe,,Church of England Network,,,,,

11/18/2022 5:00:04,Peter Phillips,@pmphillips@amastodon.uk,@pmphillips,"Digital Theology, New Testament","Historical, Narrative, Constructive?",,"Digital Humanities, Narrative Theory, Linguistics, Theological Anthropology, Technology",,Yes

11/18/2022 5:26:07,Jeremy Pemberton,@BassCan@home.social,No,Ecclesiology,Historical and systematic,1950 onwards,Sociology of religion,Retired priest/healthcare chaplain researching Church of England's ecclesiological response to decline,Yes

11/18/2022 6:17:26,Christian Stroebele,@c_stroebele@mastodon.social,c_stroebele,"philosophical theology, fundamental theology, interreligious relations, apophaticism, mysticism, metatheology","systematic, interreligious","contemporary, medieval, 19th cent.","philosophy, religious studies, comparative religion","Department of Interreligious Dialogue, Academy of the Diocese of Rottenburg-Stuttgart / coordinating Theological Forum Christianity - Islam",Yes

11/18/2022 7:02:11,NEUMEdIER,@neumedier@kirche.social,NEUMEdIER,Practical theology ,Practical,Reformation,Digital theology,Parish priest and socialmedia chaplaincy,Yes

11/18/2022 7:22:53,Graham Kings,@grahamrkings@toot.community,@GrahamRKings,"Theology of Mission, World Christianity, ","Contextual, historical biblical",19th and 20th centuries,"Study of Religions, Anthropology, Biblical Studies, African Studies","Founder of the Cambridge Centre for Christianity Worldwide (1996) and now, in retirement, a Research Associate at CCCW and Assistant Bishop, Diocese of Ely, having served as Mission Theologian in the Anglican Communion, Bishop of Sherborne, Vicar of Islington, Affiliated Lecturer, Faculty of Divinity, Cambridge, Vice Principal St Andrewâs College, Kabare, Kenya. ",Yes

11/18/2022 7:47:43,Margot Hodson,@MargotHodson@climatejustice.social,@MargotHodson,"Environmental Theology, Environmental Ethics, Ecotheology, Rural mission and ministry","Biblical, practical, historical",The Anthropocene,"Ethics, Science, Geography, Social Science","I am director of Theology and Education at the John Ray Initiative and Associate Lecturer in Environmental Theology at Ripon College, Cuddesdon, Oxford, UK. I am on the steering group for the Theological Colleges Environmental Network (TCEN) and on Grove Ethics editorial group. Ordained Anglican and serve part-time in Oxfordshire UK. #Environmentaltheology #ecotheology",Yes

11/18/2022 8:27:08,Matthew Pulis,@mpulis@masatadon.nu,@matthewpulis,"digital theology, youth ministry, practical theology, pastoral theology",contextual,Digital culture,"Social Psychology, Generational Theories, Digital Theology","I am a Maltese, Catholic priest and has graduated with an MSc Informatics from the University of Malta and with an MA in Digital Theology from the University of Durham. Am currently reading for a PhD at the Department of Pastoral Theology at the Faculty of Theology in the University of Malta, where I am also a Visiting Lecturer. My research attempts to develop a pastoral language to engage the Maltese Gaming Generation (aged 10 â 25 years).",Yes

11/18/2022 8:55:17,Jonathan Downie ,@churchinterpreting@theres.life ,@jonathanddownie,I'm interested in the practices of multilingual church ,I'm peeping in from the completely different field of Interpreting Studies ,Right now ,"Sociology, homiletics, missiology, ecclesiology",,Yes

11/18/2022 8:56:37,Andy Griffiths,@andy@mastnode.faith,@zinzendorf4u,"spirituality, formation, contextual, child theology, new testament theology, ecotheology, community organising as a theology ",curious practitioner ,"NT, eighteenth century, contemporary",community organising,still working out how mastodon works,Yes

11/18/2022 8:59:10,Hanna Reichel,@hannareichel@hcommons.social,@citizentheology,"doctrine of god, christology, anthropology, hamartiology, digital theology, queer theology","systematic, constructive, liberationist, queer-feminist",20th/21st century,"philosophy, sociology, political theory",,Yes

11/18/2022 9:03:54,Calida Chu,@calidachu@mastodonapp.uk,calidachu,Digital theology; world Christianity; Public theology,Contextual; practical ,Contemporary,Theology and music; sociology,,Yes

11/18/2022 9:13:35,Andrew Fouts (Ministry Misfit),@ministrymisfit@deacon.social,@ministrymisfit,"American Evangelicalism, Ecclesiology, Sports Ministry, Multi-Ethnic Ministry, Missiology","Biblical, Historical, ",American History ,"Digital Ministry, Sports Ministry, Multiethnic, ",,Yes

11/18/2022 9:19:46,Jeff Scoggins,@jeffscoggins@mastodon.online,@Jeff_scoggins,Old Testament,"Historicist hermeneutic, systematic, sola scriptura",Old Testament,,,Yes

11/18/2022 9:31:13,Daniel Rose,@danielmrose@writing.exchange ,@danielmrose,Pastoral ,Practical/biblical ,,,,No

11/18/2022 9:45:16,Graeme Holdsworth,@fatherhilarious@mstdn.social,@fatherhilarious,Exercise as a physical form of prayer,"Practical, contextual",Today,Chemistry,Long distance cyclist who happens to be the Vicar of Marsden and Slaithwaite in West Yorkshire,Yes

11/18/2022 10:56:45,James Quinby,@aa4jq@mastodon.radio,aa4jq,"sacraments, scripture, catechesis, mystagogy","Practical, as focused on pastoral work",Early church and the desert fathers/mothers,,Studying theology as part of my formation for the permanent diaconate.,No

11/18/2022 12:20:38,Emilie K Grosvenor ,@emiliegrosvenor@mastodon.scot,@emiliegrosvenor,"Feminist theologies, eco-theologies, Mariology, and popular religion",,,,,Yes

11/18/2022 12:46:36,Al Barrett,@al_barrett@ohai.social,@hodgehillvicar,"Political Theology, Critical White Theology, Critical Masculinities, Ecotheology",Practical / Contextual / Interdisciplinary to ,,,,Yes

11/18/2022 13:17:51,GÃ¼ntzel Schmidt ,@gfs@kirche.social,No,Systematic Theology ,systematic ,today,"Philosophy, Judaism ","Evangelical-Lutheran Pastor @ Nordkirche, Germany",Yes

