	user	instance	user_id
0	HelmutBuergmann	mstdn.science	109290116551935157
1	boshek	fosstodon.org	109314764090379220
2	DenisDuboule	mas.to	109258593858933399
3	paulgkeil	mastodon.world	109500238977329432
4	rider_jon	zirk.us	109365280591812662
5	magnuspalmblad	fediscience.org	109291801904129030
6	belovedblackram	ecoevo.social	109328034735981426
7	AxelVisel	genomic.social	109298959599953137
8	ohara	hcommons.social	109309350289759122
9	tylermorgan	mathstodon.xyz	109345596361560602
10	neilstats	fediscience.org	109309763079861449
11	geomblog	mastodon.social	109208461668085872
12	macartan	sciences.social	109313283101110093
13	emma_cogdev	fediscience.org	109280516484832600
14	connyyu	scicomm.xyz	109286574433687133
15	Yishai_levin	universeodon.com	109366396177767419
16	crablab	mastodon.world	109561429222602372
17	SuzieReichman	mstdn.science	109353147213603880
18	RayGallon	mstdn.social	109331476456493784
19	hannorein	botsin.space.	
20	tfc	hcommons.social	109750424542760545
21	msevilla00	mastodon.social	106097962985370325
22	lilopozzo	mastodon.social.	
23	diffendale	scholar.social	25722
24	Andre_Mascar	fediscience.org	109307853774636037
25	doug_manuel	fosstodon.org	109364237785973589
26	gabrielamarcu	mastodon.world	109326100695472615
27	michellecimoli	fediscience.org	109327288447966503
28	impractknow	scholar.social	165263
29	texas	mastodon.online	109279932529290132
30	pietercolpaert	mastodon.social	35799
31	planetwater	mathstodon.xyz	4355
32	zentralwerkstatt	sigmoid.social	109434384091759732
33	skroon	sigmoid.social	109332430044315220
34	antonietrebor	fediscience.org	109338014560781805
35	jarosenfield	sfba.social	109316061687731949
36	h_shawberry	qoto.org	
37	datenkeller	chaos.social	15517
38	olliewearn	ecoevo.social	109368630278026930
39	GreaterScott	genomic.social	109301715283988329
40	donkirkby	hachyderm.io	109603547667578738
41	Noellab	mastodon.social	109324704671300223
42	ekfletch	mastodon.social	109259067481210195
43	clarissaong	mastodon.online	109259674490178818
44	ashtoncurryhyde	genomic.social	109305332291122594
45	iris_groen	akademienl.social	109435381748629773
46	valeria_kebets	indieweb.social	109292934776074214
47	kavega21	ecoevo.social	109383602044891704
48	williameoswald	mastodon.world	109383817935822115
49	solartube	fediscience.org	109301298889107362
50	spacelizard	aus.social	108195275365745786
51	roshcher	mstdn.science	109300464512128538
52	andriestemme	mastodon.social	109244642742093338
53	lesliekern	mindly.social	109331534091623428
54	visnut	aus.social	109294247155481416
55	singhvilabglia	mstdn.science	109292703636165265
56	bhvieira	mastodon.online	109297948704828771
57	roxana_zeraati	neuromatch.social	109505694031476673
58	David_A_Marques	ecoevo.social	109286095126446347
