	user_instance	user_id
0	rheinze@assemblag.es	109287555889598271
1	BrianJAP@mastodon.world	109376150646500709
2	joelglasman@fediscience.org	109285335069156233
3	brenton_peterson@sciences.social	109269805703778449
4	keremd@social.anoxinon.de	108194974464772153
5	azelin@sciences.social	109387759492279296
6	mrofheart@zirk.us	109323305090178618
7	JochenLingelba1@h-net.social	109386427588410530
8	djneill@mas.to	109286175886301035
9	AnkeFK@mastodon.social	109244709534183199
10	Kartenmaler@mastodon.social	108197133668596750
11	zeilenkino@mastodon.social	109245685922602604
12	jowedekind@mastodon.social	109258839101999913
13	Adam_Sandor@mas.to	109301702234686409
14	michaelaclarkba@masto.ai	109393173393299967
15	drotbohm@mastodon.social	109252764439919085
16	DaWoDerPfeffer@mastodon.social	109241964949327801
17	MariaKetzmerick@sciences.social	109404050001300829
18	ulrikekrause@sciences.social	109381614721818925
19	ddroney@sciences.social	109422089246325382
20	aaronrking@sciences.social	109383682926316962
21	kellenhoxworth@mastodon.world	109285933689104401
22	sjanep@climatejustice.social 	
23	ilovecuhmesha@masto.ai	109522191544719081
24	darja_wolf@h-net.social	109524656785378101
25	karinkaup@mastodon.world	109346229789004377
26	klasronnback@mastodon.world	109529786365545467
27	alessa_ed@mstdn.social	109287717123554679
28	thelauramartin@mastodon.world	109542044420325542
29	acorsin@mastodon.social	109244473119372960
30	Alex_Golub@scholar.social	28776
31	anaivas@mastodon.ie	109291872328192225
32	anibalarregui@mastodon.world	109372780421974252
33	annetpauwelussen@akademienl.social	109297672423652387
34	anthrobirder@mstdn.social	109287363329204457
35	anthroetc@fediscience.org	109285534406811171
36	anthropam@climatejustice.social	109296027877397946
37	anthropomonde@mastodon.social	109245996633387829
38	anthrotech_ana@mastodon.ie	109383951033009469
39	AssaDoron@aus.social	109379170962280118
40	atama001@hcommons.social	109304708102129232
41	bairdcampbell@union.place	109362745130022686
42	BCernusa@mastodon.social	109245896155043487
43	beefgallo@home.social	
44	Behappy@disabled.social	109397729626789695
45	benjaminefrati@hcommons.social	109313386173742075
46	bjkingape@mastodon.online 	
47	Carwil@mastodon.online	108198705405848013
48	CatherineMunro@writing.exchange	109256344652067992
49	cazaschuster@mastodon.lol	
50	cmenzies@scholar.social	108194620152225289
51	csammells@mstdn.social	109422431604537077
52	davidrypel@sciences.social	109364767143370388
53	ddroney@sciences.social	109422089246325382
54	dennyrp@universeodon.com	109499387513121082
55	DonnaLanclos@scholar.social	108193455110439819
56	dreimear@mastodon.ie	109315742025657635
57	drlaurian@mastodon.social	109258207542393959
58	edwin_schmitt@mastodon.social 	
59	eisenberg_andy@mstdn.social	109263987910052754
60	emmakowal@aus.social	109267037375236748
61	enganhifa@mstdn.social	109277078868709713
62	ErinMConsiglio@spore.social	109501890362929519
63	fabiomattioli@mastodon.social	109244100699597330
64	factolvictor@dice.camp	108214440683913906
65	FionaCoward@fediscience.org	109307949229584534
66	flgnk@social.coop	16250
67	foodstudies@social.nkb.fr	109315357366935326
68	fran@archaeo.social	109395593613388353
69	gkountourides@fediscience.org	109304021683705750
70	globalnetworks@fediscience.org	109320797745602359
71	goepfe@mastodon.online	109264546749097209
72	gratefulwolf@archaeo.social	8006
73	Gudrunwillett@fediscience.org	109293324460042400
74	HadasWeiss@mastodon.social	108197092546215626
75	hanelizqui@mastodon.lol	
76	hoda@mastodon.social	661960
77	hw@fediscience.org	109331454989686036
78	hyenachow@mstdn.social	109291294600765536
79	HyL@mstdn.ca	109338231210274477
80	HyL@urbanists.social	109304432365957070
81	hyltonwhite@zirk.us	109362799195715804
82	ilsepit@fediscience.org	109263239217874661
83	independentpen@mas.to	109293135531595390
84	ionheras@masto.ai	109364024959187702
85	Izband@mastodon.world	109380675630194880
86	jaaptimmer@aus.social	109387365311479097
87	Janinedahinden@mstdn.social	109327902253550893
88	jasminefolz@mastodon.online	107020938285030908
89	jasonbairdjackson@mastodon.online	109279653607552536
90	jasongoroncy@scholar.social	109258160204899925
91	jdecaro@sciences.social	109396849732586774
92	jeremyfcohen@sciences.social	109546278145023861
93	jjablair@mstdn.social	109271488025951493
94	jmgib2@aus.social	109386920672594735
95	jontheanthroman@mastodon.world	109325817443432105
96	js_rubin@newsie.social	109373623716627645
97	jwwr@aus.social	109266262354893941
98	kagillogly@masto.nu	109376476593458617
