	0	1	2	3	4	5
0	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
1	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
2	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
3	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
4	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
5	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
6	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
7	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
8	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
9	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
10	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
11	110760383761728315	felipesiles	felipesiles@velhaestante.com.br	2023-07-22T00:00:00.000Z	0	0
12	109547714190061297	LangurLover	LangurLover@toot.wales	2022-12-18T00:00:00.000Z	458	329
13	109746356502816463	dominicvfx	dominicvfx@mountains.social	2023-01-24T00:00:00.000Z	116	168
14	109297901124722246	analogist	analogist@social.ridetrans.it	2022-11-03T00:00:00.000Z	320	776
15	109373375457207602	TucsonSentinel	TucsonSentinel@mastodon.tucsonsentinel.com	2022-11-19T00:00:00.000Z	182	2932
16	109276789924238203	diraquel	diraquel@masto.pt	2022-11-01T00:00:00.000Z	325	443
17	109274749275374235	cwebber	cwebber@octodon.social	2017-05-03T00:00:00.000Z	1756	10282
18	109295218810845766	glightly	glightly@mastodon.social	2016-11-26T00:00:00.000Z	536	592
19	109457089818461893	tatianasaito	tatianasaito@ursal.zone	2022-12-01T00:00:00.000Z	251	602
20	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
21	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
22	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
23	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
24	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
25	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
26	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
27	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
28	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
29	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
30	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
31	110760383761728315	felipesiles	felipesiles@velhaestante.com.br	2023-07-22T00:00:00.000Z	0	0
32	109547714190061297	LangurLover	LangurLover@toot.wales	2022-12-18T00:00:00.000Z	458	329
33	109746356502816463	dominicvfx	dominicvfx@mountains.social	2023-01-24T00:00:00.000Z	116	168
34	109297901124722246	analogist	analogist@social.ridetrans.it	2022-11-03T00:00:00.000Z	320	776
